"","Table 5#7#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Billions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 27, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2015 6:09:36 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Change in private inventories","A014RX1",84.8,79,75.5,66.2,-46.2,22.5,22.6,71.4,64.3,71.6,35.5,-33.7,-147.6,58.2,37.6,54.7,61.4,68
"9","2","Farm","B018RX1",4.1,1.9,-4.2,-2,0.1,-3.5,0.1,9,0.3,-4.2,-0.9,1.1,-1.6,-7,1.4,-12.6,6.7,3.7
"10","3","Mining, utilities, and construction","N541RX1",2.6,9.2,-2,-3,11.4,-4.1,7.7,1.3,3.2,16.1,-3.1,-6.7,-2.6,1.4,-4.4,7,-3.9,1.6
"11","4","Manufacturing","N150RX1",26.4,19.8,18,8.8,-29.3,-1.1,-8.9,6.5,22.8,19,17.5,-17.9,-26.3,22.1,21.2,11.1,5.4,14.5
"12","5","  Durable goods industries","N624RX1",16.2,18.9,7.6,7.4,-22.9,-3.9,-5.7,4.3,17.8,12.7,12.6,-5.2,-24.1,16.8,20.3,10,7,21.3
"13","6","  Nondurable goods industries","N625RX1",9.9,-0.9,11,1,-5.3,3.4,-3.1,2.2,4.8,6.3,4.9,-12.5,-2.2,5.5,1.8,1.5,-1.1,-5.4
"14","7","Wholesale trade","N658RX1",30,26.5,23.6,23.1,-15.2,0.4,1.9,24.2,30.9,23.8,15.9,18.3,-61.9,24.8,16.6,25.8,24.5,29.6
"15","8","  Durable goods industries","N661RX1",18.1,18.6,15.8,15.2,-19.2,-1.7,2.9,21.3,22.3,18.8,3.3,8.5,-49.6,10.4,22.9,21.2,14.9,20.6
"16","9","  Nondurable goods industries","N664RX1",11.5,6.6,7.1,7.4,6.1,2.5,-1.2,2.1,8.2,4.8,12.5,9.7,-12.3,14.2,-4.4,5.7,9.8,9.6
"17","10","Retail trade","N153RX1",15.8,16.2,27.5,21.8,-11.3,27.7,19.1,25.2,5.2,9.8,6.6,-30.1,-49.7,18.4,-1.1,25.8,27.4,11.9
"18","11","  Motor vehicle and parts dealers","N631RX1",5.1,1.8,12.3,11.7,-9.2,17.2,12.9,7.6,-2.9,-0.7,2.9,-12.2,-32.9,11.7,1.2,20.5,16.7,6.8
"19","12","  Food and beverage stores","N542RX1",0.5,1.3,2,-0.7,0.5,1.1,-1.5,0.4,-0.3,1,1.2,-0.4,-0.3,0.3,-0.1,0.1,0.7,0.8
"20","13","  General merchandise stores","N543RX1",0.2,0.4,3.1,1.2,0.2,2.3,1.4,4.9,3.1,1.1,-0.2,-4.1,-2.9,2.2,0.9,1,0.1,-0.5
"21","14","  Other retail stores","N558RX1",9.7,13.1,9.4,8.5,-1.8,5.8,5.2,12.3,5.6,8.6,2.7,-13.4,-13.6,4.2,-3,4.3,10.1,5
"22","15","Other industries","N154RX1",6.2,6.6,8.4,14.3,-0.4,-0.8,1.7,4.6,2.5,4.3,-0.2,1.8,-5.5,-1.1,3.3,3.4,1,7.1
"23","16","Residual","N969RX1",0.7,1.5,5,5.2,-5.7,4.2,2.2,1.4,-0.3,2.8,-0.2,-0.3,0,-0.4,-2.3,-7.6,-0.6,-2.6
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","17","  Change in private inventories","A014RX1",84.8,79,75.5,66.2,-46.2,22.5,22.6,71.4,64.3,71.6,35.5,-33.7,-147.6,58.2,37.6,54.7,61.4,68
"26","18","    Durable goods industries","N355RX1",42.8,43.4,42,39.7,-49.9,20,16.4,42.2,44.7,35.6,16.1,-24.3,-117,37.7,40.5,52.8,42.1,52.6
"27","19","    Nondurable goods industries","N357RX1",40.7,33.5,31.6,24.7,8,1.2,5.6,28.6,19.1,36,19.5,-9.7,-30.6,21.1,-0.6,5.6,21.4,18.2
"28","20","  Nonfarm industries","A015RX1",80.5,76.4,77.7,67.1,-45.8,25.5,22.4,62.4,63.9,75.4,36.5,-35,-146,65.9,36.6,72.7,54.3,65
"29","21","  Wholesale trade","N658RX1",30,26.5,23.6,23.1,-15.2,0.4,1.9,24.2,30.9,23.8,15.9,18.3,-61.9,24.8,16.6,25.8,24.5,29.6
"30","22","    Merchant wholesale trade","N151RX1",26.9,24,20.3,18.1,-9.9,1.1,2.3,22,21.8,17.9,9.9,5.9,-46.1,20.6,12.5,21.6,23.2,33.8
"31","23","      Durable goods industries","N626RX1",16.3,16.7,14.1,11.8,-15.4,-2.5,3,20.3,17.3,15,2.7,6.5,-44.5,12.9,17.2,20,14.2,21.1
"32","24","      Nondurable goods industries","N627RX1",10.4,6.4,5.5,6,7.3,4.1,-0.8,0.9,4.1,2.6,7.3,-0.6,-1.6,7.8,-3.5,2.7,9.1,13
"33","25","    Nonmerchant wholesale trade","N152RX1",3.1,2.5,3.4,5.1,-5.5,-0.8,-0.5,2.2,9,5.9,5.8,12.2,-15.8,4.1,4,4.2,1.4,-3.8
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Chained (2009) dollar series for real change in private inventories are calculated as the period-to-period",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
