"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:23:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Gross domestic product","A191RG3",12.607,12.779,12.979,13.246,13.395,13.552,13.788,13.782,13.738,13.652,13.547,13.551,13.506,13.564,13.847,14.067,14.539,14.623,14.671,14.865,14.883,14.941,15.053,15.107,15.124,15.158,15.215,15.262,15.326,15.355,15.341,15.363,15.422,15.509,15.616,15.719,15.875,16.025,16.201,16.303,16.487,16.604,16.733,16.83,16.97,17.042,17.083,17.104,17.189,17.237,17.308,17.375,17.41,17.473,17.552,17.631,17.651,17.688,17.727,17.769,17.859,17.908,17.95,17.992,18.08,18.094,18.112,18.231,18.3,18.355,18.447,18.526,18.606,18.692,18.778,18.9,19.016,19.189,19.359,19.518,19.6,19.717,19.894,20.112,20.332,20.559,20.757,21.047,21.259,21.54,21.847,22.12
"10","2","       Final sales of domestic product","B190RG3",12.476,12.644,12.828,13.107,13.249,13.403,13.641,13.647,13.608,13.525,13.42,13.425,13.384,13.443,13.724,13.931,14.391,14.469,14.525,14.72,14.741,14.802,14.916,14.976,14.997,15.034,15.092,15.139,15.2,15.229,15.217,15.24,15.301,15.387,15.493,15.594,15.748,15.896,16.071,16.172,16.355,16.473,16.602,16.7,16.84,16.91,16.95,16.97,17.058,17.104,17.175,17.241,17.276,17.34,17.42,17.498,17.518,17.555,17.593,17.635,17.725,17.775,17.816,17.858,17.947,17.962,17.98,18.098,18.168,18.224,18.315,18.395,18.476,18.562,18.648,18.77,18.885,19.059,19.229,19.387,19.469,19.587,19.766,19.984,20.205,20.433,20.632,20.923,21.134,21.414,21.722,21.993
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RG3",27.681,28.239,28.858,29.454,29.764,30.095,30.596,30.414,30.093,29.762,29.424,29.2,28.999,29.158,29.795,30.453,31.585,31.853,31.83,32.218,32.311,32.194,32.306,32.246,32.18,32.109,32.108,32.077,32.247,32.19,31.99,31.893,31.919,31.945,32.14,32.296,32.539,32.828,33.251,33.488,33.872,34.085,34.357,34.55,34.999,35.065,35.034,34.951,35.176,35.229,35.346,35.437,35.39,35.542,35.603,35.706,35.777,35.711,35.767,35.756,35.845,35.877,35.946,36.035,36.032,36.014,36.135,36.2,36.313,36.296,36.381,36.472,36.599,36.767,36.833,36.782,37.081,37.301,37.54,37.801,37.894,38.002,38.326,38.623,38.918,39.301,39.573,39.965,40.265,40.689,41.147,41.534
"13","5","    Final sales","A325RG3",27.247,27.79,28.338,28.992,29.27,29.596,30.109,29.974,29.673,29.358,29.022,28.807,28.616,28.782,29.411,30.023,31.107,31.352,31.359,31.757,31.861,31.757,31.877,31.846,31.803,31.744,31.747,31.72,31.878,31.824,31.635,31.545,31.577,31.604,31.796,31.944,32.176,32.461,32.877,33.113,33.494,33.71,33.988,34.189,34.633,34.695,34.665,34.575,34.814,34.859,34.972,35.061,35.016,35.175,35.24,35.342,35.406,35.344,35.397,35.384,35.475,35.509,35.578,35.668,35.667,35.656,35.777,35.839,35.952,35.941,36.024,36.118,36.247,36.416,36.484,36.427,36.727,36.948,37.188,37.447,37.537,37.65,37.984,38.282,38.582,38.97,39.248,39.642,39.942,40.364,40.828,41.206
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RG3",33.751,35.046,35.702,36.005,36.094,36.713,37.908,38.139,38.056,37.823,37.537,37.383,37.343,37.731,38.306,39.137,40.38,40.637,40.608,41.261,41.434,41.257,41.512,41.062,41.15,41.235,41.221,41.296,41.683,41.435,40.9,40.953,40.977,41.217,41.704,42.223,42.743,43.098,43.891,44.209,44.987,45.241,45.486,45.837,46.211,46.195,46.217,46.431,46.694,46.894,47.012,47.075,47.004,47.04,47.049,47.017,47.075,47.238,47.306,47.333,47.332,47.31,47.428,47.384,47.314,47.375,47.371,47.467,47.525,47.552,47.59,47.594,47.715,47.695,47.626,47.427,47.5,47.705,47.88,48.21,48.293,48.515,48.922,49.374,49.628,50.17,50.474,51.009,51.369,51.71,52.139,52.626
"16","8","    Final sales","A326RG3",34.15,35.458,36.119,36.416,36.498,37.129,38.341,38.566,38.493,38.265,37.962,37.804,37.764,38.177,38.759,39.557,40.778,40.993,40.97,41.669,41.843,41.665,41.917,41.452,41.54,41.619,41.597,41.677,42.053,41.813,41.301,41.355,41.371,41.61,42.095,42.605,43.124,43.479,44.282,44.602,45.391,45.651,45.901,46.256,46.627,46.61,46.632,46.845,47.142,47.344,47.466,47.531,47.451,47.486,47.499,47.473,47.531,47.689,47.759,47.789,47.792,47.772,47.893,47.847,47.776,47.84,47.839,47.935,47.994,48.017,48.057,48.059,48.185,48.161,48.084,47.874,47.946,48.158,48.336,48.673,48.747,48.982,49.401,49.856,50.113,50.672,50.978,51.518,51.881,52.229,52.678,53.163
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RG3",20.494,20.677,21.172,21.77,22.104,22.267,22.429,22.132,21.786,21.479,21.181,20.968,20.744,20.784,21.335,21.81,22.712,22.94,22.924,23.137,23.18,23.107,23.147,23.255,23.136,23.01,23.017,22.944,22.998,23.027,22.997,22.858,22.886,22.816,22.85,22.819,22.9,23.113,23.309,23.473,23.622,23.783,24.025,24.121,24.522,24.608,24.562,24.377,24.547,24.527,24.623,24.711,24.683,24.863,24.936,25.077,25.139,24.993,25.033,25.005,25.119,25.17,25.206,25.344,25.372,25.321,25.483,25.524,25.648,25.613,25.709,25.83,25.94,26.186,26.316,26.352,26.738,26.941,27.187,27.378,27.463,27.496,27.732,27.908,28.188,28.436,28.657,28.921,29.151,29.569,29.989,30.273
"19","11","    Final sales","A334RG3",19.676,19.853,20.258,20.909,21.205,21.362,21.534,21.298,20.976,20.69,20.405,20.208,19.998,20.042,20.574,21.004,21.844,22.056,22.072,22.283,22.341,22.285,22.335,22.477,22.392,22.286,22.301,22.234,22.275,22.305,22.279,22.149,22.185,22.12,22.155,22.125,22.197,22.405,22.591,22.753,22.898,23.061,23.303,23.406,23.801,23.883,23.837,23.648,23.82,23.793,23.883,23.967,23.944,24.127,24.203,24.339,24.394,24.254,24.291,24.261,24.373,24.425,24.459,24.596,24.627,24.583,24.742,24.779,24.901,24.875,24.965,25.089,25.199,25.44,25.57,25.6,25.976,26.173,26.413,26.597,26.683,26.718,26.963,27.139,27.422,27.668,27.895,28.159,28.387,28.795,29.207,29.478
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RG3",7.988,7.994,8.025,8.174,8.251,8.336,8.472,8.516,8.569,8.569,8.578,8.657,8.687,8.697,8.836,8.9,9.14,9.125,9.175,9.319,9.314,9.423,9.53,9.645,9.686,9.755,9.82,9.923,9.998,10.049,10.088,10.148,10.241,10.348,10.402,10.482,10.57,10.665,10.747,10.812,10.955,11.033,11.124,11.225,11.343,11.412,11.471,11.527,11.583,11.641,11.716,11.792,11.857,11.905,12.006,12.099,12.116,12.183,12.224,12.284,12.384,12.442,12.478,12.509,12.641,12.669,12.669,12.818,12.9,12.955,13.061,13.104,13.178,13.237,13.342,13.489,13.581,13.685,13.868,13.977,14.061,14.194,14.33,14.519,14.699,14.887,15.09,15.3,15.458,15.683,15.967,16.19
"22","14","Structures","A755RG3",7.421,7.677,7.918,8.131,8.311,8.466,8.68,8.739,8.717,8.657,8.463,8.496,8.411,8.501,8.777,8.932,9.294,9.477,9.606,9.691,9.707,9.773,9.866,9.81,9.832,9.856,9.934,9.853,9.733,9.772,9.794,9.813,9.782,9.851,10.002,10.099,10.343,10.479,10.642,10.682,10.725,10.837,10.893,10.832,10.649,10.716,10.761,10.774,10.776,10.766,10.755,10.746,10.763,10.759,10.76,10.742,10.713,10.751,10.749,10.785,10.813,10.837,10.855,10.868,10.885,10.885,10.845,10.891,10.85,10.974,11.003,11.168,11.195,11.257,11.282,11.501,11.454,11.77,11.775,11.955,12.002,12.042,12.141,12.315,12.532,12.655,12.695,13.083,13.329,13.568,13.693,13.943
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.929,34.17,34.797,35.359,35.207,35.442,35.818,36.088,36.035,36.222,36.58,36.542
"25","16","  Gross domestic product excluding motor vehicle output","A962RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.204,19.317,19.483,19.692,19.92,20.148,20.34,20.631,20.85,21.134,21.439,21.72
"26","17","  Final sales of computers \3\","BB01RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","  Implicit price deflator for final sales of domestic product","A190RD3",12.442,12.609,12.793,13.071,13.212,13.366,13.605,13.612,13.574,13.492,13.387,13.39,13.347,13.405,13.684,13.891,14.351,14.429,14.486,14.681,14.702,14.763,14.877,14.937,14.959,14.996,15.054,15.101,15.162,15.191,15.179,15.201,15.262,15.348,15.454,15.554,15.707,15.855,16.029,16.131,16.314,16.432,16.561,16.658,16.798,16.868,16.908,16.928,17.016,17.061,17.132,17.199,17.234,17.299,17.378,17.456,17.476,17.513,17.551,17.593,17.683,17.732,17.774,17.815,17.904,17.919,17.937,18.055,18.125,18.181,18.272,18.35,18.43,18.515,18.601,18.723,18.839,19.013,19.182,19.341,19.422,19.539,19.718,19.934,20.154,20.381,20.58,20.87,21.082,21.362,21.67,21.941
"29","20","  Research and development","Y694RG3",15.308,15.374,15.517,15.734,16.021,16.206,16.296,16.295,16.194,16.121,16.104,16.14,16.229,16.421,16.716,17.113,17.612,17.974,18.203,18.301,18.264,18.263,18.298,18.369,18.475,18.537,18.556,18.531,18.466,18.442,18.464,18.533,18.637,18.745,18.889,19.062,19.269,19.453,19.607,19.732,19.825,19.919,20.014,20.111,20.208,20.306,20.402,20.496,20.587,20.667,20.737,20.798,20.849,20.889,20.919,20.938,20.946,20.959,20.977,21.001,21.03,21.043,21.042,21.025,20.992,20.99,21.017,21.074,21.16,21.21,21.224,21.201,21.142,21.111,21.11,21.137,21.193,21.236,21.266,21.283,21.286,21.323,21.393,21.496,21.633,21.792,21.972,22.175,22.398,22.638,22.895,23.169
"30","21","  Gross domestic product excluding research and development","Y695RG3",12.541,12.713,12.913,13.179,13.327,13.482,13.719,13.714,13.67,13.584,13.478,13.482,13.437,13.493,13.775,13.993,14.463,14.544,14.591,14.784,14.803,14.862,14.974,15.027,15.043,15.077,15.134,15.182,15.247,15.277,15.262,15.284,15.342,15.428,15.534,15.636,15.791,15.94,16.117,16.218,16.403,16.521,16.65,16.746,16.887,16.959,16.998,17.018,17.104,17.15,17.222,17.289,17.323,17.386,17.466,17.546,17.567,17.605,17.643,17.686,17.777,17.827,17.87,17.913,18.004,18.018,18.036,18.156,18.225,18.28,18.374,18.456,18.54,18.629,18.716,18.841,18.959,19.135,19.308,19.471,19.556,19.675,19.854,20.075,20.298,20.527,20.726,21.018,21.229,21.511,21.82,22.093
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Prior to 1959, inventories held by construction establishments are included in nondurable goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Beginning with 1959, these inventories are included in durable goods. Estimates for durable goods and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","nondurable goods for 1996 and earlier periods are based on the 1987 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","(SIC); later estimates for these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Includes government consumption expenditures, which are for services (such as education and national",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","defense) produced by government. In current dollars, these services are valued at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
