"","Table 1#6#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:25:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","  Gross domestic purchases","A712RV1",-4.1,-9.8,-11.6,-2.8,4.8,2,1.3,3.9,-1.9,-1,0.8,6.4,8.1,4.7,2.3,2.6,13.3,11.1,5.7,0.1,1.3,7,2,1.1,1.1,1.4,3.4,3.4,2.2,1.4,1.4,1,1.2,1.2,1.6,1.7,2.8,2.7,4.2,4.9
"9","2","Personal consumption expenditures","DPCERV1",-4.2,-10.7,-11.8,-3.6,4.5,2.5,0.9,3.6,-2.3,-1,0.8,6.2,12.5,9.2,5.7,4,7,10.1,5.7,-0.8,1.2,6.8,2.1,1.3,0.9,0.4,2,3,2.4,1.5,1.6,1,1.2,1.2,1.5,1.4,2.5,2.5,3.9,4.5
"10","3","  Goods","DGDSRV1",-5.3,-13.8,-13.8,-0.8,9.9,2.7,0.4,3.6,-4.1,-1.5,0.9,8.2,16.5,11.5,6.7,4.6,7.6,12,5.9,-2.3,0.3,8.1,1,-0.5,-0.4,-0.6,1.7,3.1,2.3,0.5,0.8,0.4,0.5,0.8,1.1,1.1,2.2,1.8,3.5,3.9
"11","4","    Durable goods","DDURRV1",-5.9,-10.7,-11.9,-2.4,6,-0.6,0.6,4.1,-0.1,-1.2,1,7.4,17.1,9.1,12.4,5.8,4.1,8.8,5.1,0.7,0.5,6.7,0.6,-0.8,-2.2,-0.4,2.4,3.7,1.8,1.6,-0.4,0.3,0.4,0.4,0.5,-0.8,-0.2,1.6,3.2,2.8
"12","5","      Motor vehicles and parts","DMOTRV1",-3.7,-6.7,-6.2,-6.3,4.7,-1.5,0.5,2.5,4,-2.3,0.2,8.7,28.1,5.3,7.4,1.6,25.2,9.9,7.7,3.5,0.3,5.1,4.1,-1.9,-3.5,1.2,4.5,6.3,3.8,5,-1.9,0.6,1.6,0.8,0.8,-0.8,-0.7,1.4,3.4,2
"13","6","      Furnishings and durable household equipment","DFDHRV1",-3.8,-11.2,-13.7,0.3,8.1,0.6,0.7,6.7,-1.8,-0.8,1,7.5,15.6,14.3,14.9,8.5,0.4,7,4.2,-2.4,1.8,10.2,-1,0.2,-0.5,-0.7,0.8,1.7,-0.2,0.1,0.9,0.3,-0.1,0.1,0.1,-0.6,0.8,2.2,3.9,3.6
"14","7","      Recreational goods and vehicles","DREQRV1",-16.7,-20.7,-17.8,-6.7,3.7,-1,-1.1,2.5,-0.4,-2.4,1.5,2.1,13.9,0.1,8.8,2.7,2.5,15.4,5.8,3.8,-0.9,2.1,-3.5,-1.3,-3.2,-3.1,1.1,3.5,2.7,-2.9,0.7,-0.5,-1.1,-0.2,-1.2,-1.4,-1.1,0.6,2,2.3
"15","8","      Other durable goods","DODGRV1",-1.8,-4.5,-10.1,0.3,3.8,-1.9,2.1,0.9,-3.3,0.8,3,8.8,15.3,5,11.6,4,0,5.7,1.1,-0.5,-1.4,6.1,-0.2,0.5,-2.1,-1.3,1,0.7,0.1,0.5,0.3,-0.2,-0.4,0.5,2.6,-0.5,0,2.4,2.2,5
"16","9","    Nondurable goods","DNDGRV1",-5.2,-14.5,-14.3,-0.5,10.6,3.3,0.4,3.5,-4.9,-1.6,0.9,8.4,16.4,11.9,5.8,4.4,8.3,12.9,6.1,-3.3,0.2,8.6,1.1,-0.3,0.2,-0.7,1.4,2.9,2.4,0.1,1.2,0.4,0.5,1,1.3,1.8,3.2,1.8,3.6,4.3
"17","10","      Food and beverages purchased for off-premises consumption","DFXARV1",-6.4,-19.3,-18.2,0.5,12.4,7.9,0.2,3.1,-7.6,-1,0.6,10.6,19.6,15.2,2.7,3.1,10.4,15.1,4.9,-4.1,0.5,10.5,2.4,-1.9,-0.1,-1.8,0.7,3,4.2,-1,0.8,0.5,0.8,1.1,2,2,4.2,0.1,3,4.5
"18","11","      Clothing and footwear","DCLORV1",-4.6,-12.6,-17.9,1.9,15.9,-1.8,0.1,5.3,-2.4,-2.3,1.1,9.8,19.8,11.8,12.9,8.7,8.3,8,6.1,-4.3,-0.8,8.7,-1.7,-0.2,0.2,-0.3,1.9,1.5,0.4,0.9,1.3,0.6,0.3,0.9,0.9,0.9,2.8,4.1,5.7,5.4
"19","12","      Gasoline and other energy goods","DGOERV1",-3.3,-11.1,-2.4,-2.1,5.4,-0.8,2.7,2,-1.8,-3.4,0.1,4.6,5.9,3.5,2.1,-0.2,4,12.4,13.8,1.5,1.1,2.8,1.8,3.8,1.6,1.1,3.1,4.6,-1.1,1.4,1.8,0.1,0.5,0.2,-0.9,3.4,2.4,3.3,1.8,3.1
"20","13","      Other nondurable goods","DONGRV1",-3.5,-4.7,-5.5,-5,2.5,-0.1,-0.5,3.5,-1.6,-1,1.8,3.1,9.3,6.7,5.8,3.4,4.6,13.8,5.6,-2.2,0.4,6.5,0.4,1.5,0.3,1,1.7,3.2,2.4,1.6,1.6,0.2,0.3,1.4,1.5,1.4,2,2.4,3.8,3.7
"21","14","  Services","DSERRV1",-2.9,-7.1,-9.7,-6.3,-1.3,2.2,1.6,3.7,0.1,-0.3,0.8,3.5,7.1,6.2,4.6,3.3,6.1,7.3,5.3,1.7,2.6,4.9,3.7,3.9,2.5,1.7,2.4,2.9,2.5,2.7,2.7,1.8,1.9,1.5,1.9,1.9,2.9,3.3,4.3,5.2
"22","15","    Household consumption expenditures","DHCERV1",-2.8,-7,-9.8,-6.4,-1.6,2.3,1.6,3.6,0.2,-0.3,0.8,3.5,7,6.2,4.6,3.3,5.9,7,5.2,1.7,2.5,4.8,3.8,4,2.5,1.7,2.3,2.9,2.4,2.7,3,1.8,1.9,1.5,1.9,1.8,2.9,3.3,4.3,5.2
"23","16","      Housing and utilities","DHUTRV1",-2.7,-5.2,-9.4,-9.1,-7.6,0.3,1.6,3.7,2.5,-0.2,0.3,1.3,2.1,0.5,0.8,1,1.7,3.2,5.3,2.9,3,3.8,3.9,4.5,2.7,1.5,1.5,1.8,1.9,1.6,1.9,1.3,1.1,1.1,0.9,0.9,1.4,1.7,2.3,3.2
"24","17","      Health care","DHLCRV1",0.3,-7,-11.9,-1.4,3.6,5.8,2.1,2.7,2,-0.7,3.2,2.5,6.4,7.9,7.4,4.5,8.5,10.8,5.6,1.4,2.1,4.6,4.9,4.7,3.5,3.5,3.6,4.1,3.9,2.9,6.7,2.3,2.5,2.8,3.4,3.1,4.5,6.4,6.3,7.1
"25","18","      Transportation services","DTRSRV1",-0.8,-5.1,-7.7,-5.7,2,2.2,-0.6,-0.6,0.7,0.4,-1.8,1.8,6.1,2.3,-0.5,1.3,3.4,7.4,7.3,6.9,4.5,7.1,3.7,4.7,3.4,2.4,3.4,3.7,2.9,2.9,2.2,2.9,2.2,0.4,1.3,1.7,1.8,3.7,4.5,6.2
"26","19","      Recreation services","DRCARV1",-1.9,-4.5,-4.8,-5.7,0.8,1.4,1.9,3.7,1.9,-0.9,0.9,3.6,5.3,7.4,12.3,5,6.5,7.7,3.6,1.8,0.8,3.3,3.6,4.6,4.3,3.3,3,3.7,3.8,2.4,3.7,2.8,2.4,2.2,2.8,2,2.6,3.5,5.4,4.2
