"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:21:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Gross domestic product","A191RA3",13.416,13.401,13.388,13.598,13.798,14.022,14.101,14.116,13.923,13.876,14.029,13.903,14.457,14.894,15.468,15.767,15.983,16.26,16.595,16.632,16.808,16.843,16.965,17.521,17.847,17.987,17.886,17.614,17.533,17.551,17.75,18.096,18.613,18.916,19.17,19.286,19.211,19.37,19.354,19.671,19.797,19.753,19.946,19.741,19.23,19.356,19.804,20.267,20.644,21.146,21.105,21.188,21.66,21.578,21.632,21.37,21.515,21.915,22.281,22.732,23.142,23.391,23.614,23.706,23.969,24.282,24.756,24.933,25.472,25.775,26.125,26.217,26.864,27.231,27.784,28.44,29.142,29.261,29.47,29.722,29.995,30.021,30.281,30.524,31.144,31.67,31.898,32.04,32.538,32.643,32.847,32.704
"10","2","Personal consumption expenditures","DPCERA3",12.181,12.383,12.423,12.427,12.489,12.634,12.653,12.754,12.774,12.97,12.999,13.19,13.409,13.63,14.329,13.897,14.233,13.83,13.991,14.073,14.104,14.381,14.451,14.962,15.14,15.231,15.196,15.095,15.15,15.348,15.556,15.883,16.239,16.55,16.754,16.965,16.992,17.049,17.087,17.323,17.442,17.473,17.611,17.618,17.376,17.519,17.808,18.047,18.375,18.659,18.854,18.875,19.055,19.296,19.219,19.244,19.239,19.525,19.62,20.014,20.226,20.475,20.641,20.933,21.075,21.277,21.567,21.746,22.175,22.565,22.98,23.045,23.558,23.82,24.23,24.911,25.277,25.341,25.63,25.736,25.886,26.239,26.372,26.533,27.164,27.578,28.096,28.223,28.539,28.722,28.861,29.092
"11","3","  Goods","DGDSRA3",13.08,13.315,13.404,13.455,13.474,13.597,13.584,13.674,13.654,13.954,14.025,14.339,14.617,14.773,15.879,15.042,15.373,14.593,14.753,14.872,14.801,15.133,15.117,15.881,16.091,16.122,15.986,15.889,15.88,16.035,16.205,16.657,17.168,17.652,17.898,18.024,17.945,17.918,17.844,18.099,18.268,18.202,18.355,18.211,17.776,17.83,18.166,18.517,18.947,19.248,19.4,19.242,19.435,19.707,19.581,19.463,19.278,19.57,19.697,20.136,20.371,20.572,20.73,21.054,21.25,21.427,21.641,21.715,22.218,22.685,23.214,23.044,23.795,23.967,24.457,25.4,25.878,25.748,26.119,26.064,26.132,26.588,26.508,26.613,27.461,27.871,28.554,28.508,28.89,28.911,28.962,29.066
"12","4","    Durable goods","DDURRA3",4.557,4.652,4.717,5.024,4.998,5.032,5.116,5.044,4.952,5.381,5.638,5.862,6.087,6.138,7.593,6.654,6.864,5.879,5.773,5.754,5.787,5.9,5.55,6.506,6.725,6.686,6.645,6.459,6.258,6.561,6.589,6.994,7.623,8.036,8.296,8.078,7.708,7.719,7.583,7.826,7.97,7.782,7.728,7.638,7.13,7.021,7.166,7.429,7.832,8.127,8.284,7.889,8.142,8.327,8.261,8.054,7.611,7.769,7.959,8.345,8.525,8.754,8.817,9.206,9.39,9.591,9.71,9.863,10.247,10.515,10.862,10.528,11.508,11.526,11.92,12.423,13.013,12.494,12.904,12.899,12.655,13.199,13.093,13.126,13.942,14.239,14.88,14.792,15.071,15.03,14.987,14.93
"13","5","    Nondurable goods","DNDGRA3",21.226,21.59,21.69,21.406,21.476,21.687,21.555,21.837,21.921,21.982,21.79,22.147,22.43,22.691,23.083,22.57,22.984,22.648,23.124,23.396,23.202,23.742,24.159,24.514,24.666,24.779,24.552,24.588,24.825,24.759,25.072,25.494,25.759,26.234,26.41,26.947,27.251,27.183,27.201,27.419,27.585,27.689,28.073,27.89,27.638,27.889,28.399,28.789,29.164,29.405,29.518,29.701,29.775,30.1,29.924,29.945,30.122,30.526,30.549,30.964,31.221,31.346,31.59,31.767,31.941,32.05,32.343,32.302,32.855,33.482,34.136,34.201,34.528,34.858,35.38,36.693,36.96,37.31,37.578,37.474,37.895,38.177,38.141,38.314,39.068,39.548,40.178,40.187,40.633,40.723,40.875,41.149
"14","6","  Services","DSERRA3",10.889,11.047,11.023,10.965,11.083,11.256,11.316,11.43,11.502,11.56,11.536,11.57,11.713,12.01,12.195,12.272,12.607,12.692,12.851,12.883,13.042,13.246,13.421,13.612,13.752,13.916,14,13.897,14.026,14.269,14.517,14.692,14.865,14.973,15.127,15.428,15.576,15.725,15.89,16.097,16.159,16.297,16.416,16.593,16.573,16.814,17.043,17.153,17.362,17.622,17.859,18.075,18.237,18.439,18.417,18.595,18.782,19.056,19.115,19.452,19.636,19.929,20.101,20.354,20.435,20.66,21.022,21.308,21.651,21.952,22.239,22.544,22.803,23.15,23.468,23.867,24.113,24.373,24.571,24.837,25.067,25.31,25.654,25.867,26.266,26.676,27.017,27.315,27.558,27.897,28.119,28.469
"15","7","Gross private domestic investment","A006RA3",11.857,10.948,10.626,12.683,13.984,14.849,15.001,14.284,12.142,10.528,11.401,10.84,13.413,14.849,16.125,18.174,16.317,16.695,15.466,14.234,14.605,13.504,14.228,15.253,15.581,15.67,15.342,14.234,14.132,14.099,14.779,15.426,16.967,17.994,18.269,18.693,18.16,18.017,17.856,17.691,17.416,17.398,17.797,16.429,15.319,15.01,16.162,17.54,18.496,19.935,18.647,19.254,21.19,19.215,19.166,17.043,17.485,18.71,20.165,20.498,21.603,21.433,21.797,21.159,22.273,22.627,23.324,23.607,24.49,24.402,24.972,25.209,27.612,27.685,28.649,28.839,31.143,30.682,30.455,30.634,29.882,28.801,29.645,30.285,30.892,32.074,31.199,31.538,33.396,33.199,33.873,32.237
"16","8","  Fixed investment","A007RA3",11.45,11.153,11.513,12.461,12.859,12.84,12.709,12.564,11.861,11.501,11.481,11.898,12.63,13.748,14.726,14.432,13.909,13.289,13.094,12.993,13.192,13.414,12.685,13.65,14.205,14.315,14.341,14.217,14.018,14.241,14.782,15.106,15.684,16.336,16.707,16.774,16.495,16.664,16.673,16.595,16.584,16.441,16.609,16.332,15.411,15.031,15.257,16.161,17.113,17.641,17.828,17.621,18.209,17.878,17.495,17.46,17.312,17.596,18.018,18.588,18.944,19.481,19.638,19.578,19.834,20.718,21.228,21.863,22.62,22.578,22.945,23.146,24.191,24.876,25.549,26.141,27.115,26.85,26.879,26.166,25.671,26.305,26.622,27.421,28.034,27.965,28.399,29.069,29.878,30.035,30.466,29.788
"17","9","    Nonresidential","A008RA3",8.116,7.989,7.843,8.061,8.529,8.245,8.265,8.456,8.06,7.76,7.406,7.314,7.526,8.153,8.829,8.816,8.585,8.689,8.79,8.646,8.73,8.868,8.177,8.902,9.384,9.478,9.69,9.602,9.35,9.266,9.502,9.489,9.65,10.221,10.727,11.048,10.912,11.108,11.22,11.221,11.281,11.258,11.485,11.22,10.506,10.118,10.012,10.388,10.711,11.02,11.316,11.285,11.677,11.848,11.64,11.613,11.447,11.702,11.817,12.176,12.42,12.756,12.914,12.866,12.897,13.298,13.663,14.061,14.356,14.692,15.166,15.489,16.475,17.08,17.701,18.421,19.193,19.509,19.766,19.766,19.445,19.399,19.365,19.755,20.337,20.087,20.363,20.918,21.453,21.687,22.18,22.064
"18","10","      Structures","B009RA3",28.974,28.821,29.017,28.599,29.193,30.006,30.903,31.345,30.756,30.036,28.707,27.919,29.25,30.725,32.504,33.337,33.445,34.58,34.371,33.049,33.089,33.327,33.605,34.893,35.943,36.633,36.837,37.487,37.869,38.132,38.048,37.887,39.06,40.03,41.358,42.38,43.696,45.253,45.539,45.431,45.04,45.009,45.016,44.76,43.921,42.465,41.495,42.136,41.988,43.288,44.575,44.236,46.082,46.628,46.717,48.495,48.275,47.47,47.498,47.248,48.135,49.889,51.204,49.964,48.226,50.512,50.862,51.901,53.245,55.048,56.854,57.306,60.245,64.444,65.121,68.119,69.735,68.39,69.914,67.536,68.238,66.299,66.999,67.107,68.416,67.832,67.392,68.768,69.831,70.386,73.704,73.188
"19","11","      Equipment","Y033RA3",7.426,7.267,7.022,7.429,8.058,7.522,7.426,7.664,7.177,6.825,6.461,6.391,6.502,7.235,8.01,7.888,7.552,7.565,7.729,7.654,7.695,7.802,6.647,7.482,8.014,8.002,8.272,8.032,7.583,7.414,7.766,7.748,7.819,8.511,9.044,9.308,8.846,8.865,8.954,8.932,9.093,9.059,9.379,9.007,8.048,7.636,7.557,7.965,8.404,8.656,8.938,8.92,9.229,9.384,8.979,8.663,8.381,8.782,8.902,9.437,9.681,9.926,9.962,9.991,10.176,10.38,10.827,11.251,11.528,11.765,12.181,12.542,13.498,13.74,14.475,15.037,15.864,16.423,16.497,16.732,16.068,16.242,16.02,16.53,17.159,16.745,17.159,17.755,18.402,18.593,18.835,18.677
"20","12","      Intellectual property products","Y001RA3",1.699,1.678,1.677,1.643,1.657,1.631,1.632,1.621,1.561,1.557,1.57,1.638,1.694,1.72,1.728,1.711,1.664,1.647,1.678,1.747,1.897,2.028,2.162,2.323,2.425,2.536,2.585,2.616,2.642,2.659,2.682,2.721,2.745,2.818,2.918,3.067,3.211,3.336,3.414,3.491,3.455,3.461,3.503,3.52,3.53,3.581,3.673,3.801,3.916,3.985,3.966,3.995,4.059,4.111,4.282,4.378,4.506,4.65,4.737,4.79,4.797,4.85,4.905,5.016,5.179,5.357,5.453,5.519,5.497,5.551,5.653,5.775,6.029,6.226,6.432,6.652,6.881,7.083,7.276,7.458,7.59,7.644,7.775,7.91,8.057,8.262,8.402,8.522,8.582,8.749,8.812,8.906
"21","13","    Residential","A011RA3",29.995,28.496,32.853,39.185,38.673,40.913,39.614,36.711,34.005,33.435,36.293,40.717,45.262,49.6,52.309,49.871,47.29,40.973,38.387,38.756,39.771,40.51,40.116,42.283,42.965,43.107,41.494,41.156,41.606,44.32,47.019,49.961,53.634,54.405,53.247,51.012,49.708,49.451,48.517,47.794,47.139,46.022,45.416,45.356,43.573,43.729,46.881,51.76,57.603,59.614,58.499,56.843,58.588,53.791,52.184,52.13,52.342,52.55,55.416,57.303,58.301,60.107,60.059,59.964,62.081,66.533,67.805,69.934,74.231,70.537,69.408,68.176,68.511,69.109,69.436,68.076,69.782,64.354,62.217,55.69,54.157,60.4,63.613,67.297,67.496,69.143,70.542,71.518,73.919,73.227,72.646,67.652
"22","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Exports","B020RA3",5.731,5.659,5.372,4.763,4.546,4.121,4.218,4.069,4.556,4.517,4.14,3.584,3.525,3.567,3.66,3.956,4.154,4.563,4.675,4.631,4.877,4.341,3.998,4.026,3.958,3.982,4.142,4.005,3.826,4.376,4.235,4.43,4.595,4.487,4.782,4.803,5.031,5.37,5.549,5.798,6.176,5.993,5.825,5.651,5.09,5.114,5.13,5.114,5.453,5.634,5.813,5.657,6.365,6.77,6.599,6.735,6.689,6.596,6.56,6.763,6.747,7.394,6.981,6.83,6.99,7.808,7.391,7.762,8.237,8.374,8.31,8.557,7.634,9.067,8.547,9.167,9.005,9.4,9.045,9.343,9.521,9.436,9.208,9.47,9.746,9.94,10.526,10.393,9.148,11.199,10.931,11.307
"25","17","    Goods","B253RA3",6.254,6.079,5.744,5.033,4.825,4.34,4.452,4.274,4.838,4.768,4.387,3.788,3.668,3.711,3.834,4.152,4.321,4.751,4.863,4.775,5.042,4.427,4.106,4.17,4.02,4.092,4.293,4.138,3.904,4.603,4.367,4.608,4.788,4.638,4.94,4.954,5.222,5.585,5.795,6.056,6.477,6.266,6.051,5.656,5.224,5.17,5.204,5.143,4.862,5,5.495,5.24,6.076,6.372,6.484,6.494,6.537,6.09,6.407,6.521,6.442,6.861,6.874,6.515,6.539,7.218,7.346,7.695,8.045,8.041,8.267,8.442,7.213,8.572,8.315,9.021,8.936,8.796,8.835,9.028,8.994,8.969,8.816,8.986,9.29,9.433,10.085,9.85,8.52,10.778,10.503,10.868
"26","18","    Services","B646RA3",3.622,3.928,3.842,3.667,3.406,3.235,3.266,3.237,3.412,3.496,3.136,2.755,2.922,2.965,2.943,3.152,3.458,3.776,3.887,4.021,4.183,3.956,3.533,3.425,3.658,3.51,3.513,3.448,3.471,3.467,3.675,3.7,3.804,3.855,4.118,4.165,4.244,4.489,4.55,4.751,4.967,4.889,4.898,5.524,4.508,4.813,4.765,4.913,7.564,7.882,6.875,7.087,7.323,8.118,6.918,7.512,7.137,8.361,7.015,7.541,7.753,9.205,7.29,7.873,8.513,9.816,7.474,7.919,8.832,9.461,8.381,8.88,9.048,10.73,9.278,9.584,9.15,11.455,9.687,10.361,11.313,11.005,10.505,11.101,11.274,11.647,11.99,12.224,11.293,12.592,12.347,12.755
"27","19","  Imports","B021RA3",2.758,2.811,2.493,2.627,2.963,3.08,3.241,3.188,3.093,3.047,2.923,2.967,3.05,3.219,3.972,3.979,3.979,3.848,3.522,3.43,3.828,3.808,4.041,4.403,4.294,4.517,4.5,4.279,4.032,4.394,4.129,4.168,4.415,4.665,4.743,4.915,5.122,5.095,5.139,4.903,5.293,5.335,5.232,5.25,5.328,5.556,5.471,5.757,5.906,6.192,6.25,6.091,6.322,6.37,6.182,5.891,5.862,5.933,6.326,6.477,6.674,6.82,6.906,6.991,6.829,6.989,7.167,7.143,7.137,7.297,7.493,7.696,7.419,8.294,8.328,8.735,8.96,9.183,9.698,9.807,9.96,9.881,10.011,10.539,11.159,11.33,12.011,11.909,10.786,12.914,12.747,12.607
"28","20","    Goods","B255RA3",2.601,2.66,2.303,2.333,2.726,2.833,2.894,2.885,2.808,2.718,2.641,2.729,2.789,2.958,3.814,3.746,3.678,3.516,3.037,2.813,3.188,3.221,3.337,3.56,3.497,3.699,3.592,3.29,3.164,3.48,3.19,3.167,3.507,3.542,3.553,3.911,4.069,3.932,3.887,3.922,4.01,4.065,3.998,4.195,4.015,4.099,4.146,4.465,4.71,5.004,5.049,4.866,4.968,5.037,4.766,4.538,4.49,4.567,5.05,5.172,5.36,5.528,5.628,5.618,5.545,5.734,5.883,5.869,5.822,6.023,6.249,6.457,6.16,7.129,7.193,7.545,7.743,7.863,8.369,8.469,8.496,8.25,8.317,9.091,9.819,10.059,10.754,10.577,9.217,11.672,11.433,11.144
"29","21","    Services","B656RA3",3.383,3.412,3.278,3.887,3.941,4.103,4.711,4.463,4.284,4.443,4.111,3.966,4.156,4.311,4.521,4.884,5.215,5.231,5.806,6.483,6.953,6.641,7.486,8.572,8.231,8.543,9.011,9.249,8.367,8.95,8.855,9.239,8.925,10.346,10.798,9.904,10.355,10.95,11.491,9.758,11.796,11.759,11.464,10.477,11.967,12.955,12.184,12.287,11.903,12.108,12.214,12.2,13.122,13.05,13.325,12.707,12.777,12.814,12.715,13.009,13.254,13.286,13.308,13.86,13.258,13.282,13.598,13.531,13.724,13.687,13.733,13.908,13.721,14.165,14.055,14.732,15.098,15.826,16.396,16.552,17.32,18.039,18.473,17.845,17.976,17.816,18.458,18.716,18.682,19.326,19.49,20.067
"30","22","Government consumption expenditures and gross investment","B822RA3",15.495,15.63,15.73,15.618,15.817,16.347,16.673,17.28,17.759,18.533,18.699,18.315,18.035,18.341,18.041,19.333,21.394,24.241,26.899,28.318,29.151,30.129,30.431,30.934,31.903,32.564,32.218,32.125,31.312,30.245,29.597,29.412,29.431,29.152,29.332,28.755,28.748,29.325,29.078,29.806,30.453,30.292,30.543,31.054,30.781,31.553,31.743,32.394,32.03,32.429,32.706,32.441,31.893,32.237,33.02,33.24,33.731,33.809,34.521,35.276,35.955,36.127,36.959,37.216,36.714,36.745,38.375,37.994,38.112,38.456,38.503,38.489,38.447,38.912,40.197,40.962,41.728,42.516,43.673,44.427,46.287,46.105,46.621,46.986,47.821,48.073,48.223,48.266,48.387,48.235,48.346,47.714
"31","23","  Federal","B823RA3",19.58,19.701,19.653,19.251,19.667,20.398,20.839,21.764,22.195,22.997,22.745,21.693,20.775,21.252,20.635,23.235,27.556,33.069,38.424,41.36,43.045,44.719,45.815,46.463,48.097,49.492,48.293,47.651,45.304,43.016,41.138,40.663,39.885,39.052,39.45,38.138,37.9,38.819,38.201,39.479,40.273,39.751,39.946,40.433,39.227,40.461,40.327,41.212,40.369,41.114,41.656,41.243,39.688,39.765,40.985,41.134,41.267,41.616,42.849,43.636,45.269,45.425,46.785,47.004,45.406,45.199,47.762,46.534,46.301,46.278,46.019,45.635,45.244,45.329,47.007,48.062,49.208,50.558,52.529,53.121,56.544,55.934,56.864,56.905,57.895,57.588,57.27,56.991,56.832,56.115,56.229,54.96
"32","24","    National defense","B824RA3",25.596,24.243,25.182,25.777,25.396,24.755,24.534,25.458,26.095,26.538,26.494,24.957,24.083,24.303,25.769,29.508,36.947,45.13,53.774,58.28,60.094,63.2,64.57,65.602,67.452,67.967,67.225,66.031,61.978,59.478,56.8,54.964,54.848,53.027,53.585,51.991,51.811,53.093,52.945,54.535,55.049,55.486,55.99,55.344,54.909,55.518,55.519,55.936,54.161,53.438,54.293,53.852,53.098,52.715,54.368,53.809,55.232,55.005,56.679,57.719,59.824,59.21,60.216,60.26,58.073,57.715,60.035,58.415,57.533,56.826,56.709,55.899,54.924,54.687,56.357,57.954,59.968,61.274,64.952,66.618,70.384,70.507,72.135,71.489,73.075,73.018,71.792,71.178,70.619,69.276,69.29,67.983
"33","25","    Nondefense","B825RA3",9.267,12.403,10.552,8.448,10.204,13.464,15.165,16.152,16.223,17.722,17.094,16.885,15.867,16.831,12.317,12.913,11.697,12.687,12.415,12.682,14.155,13.377,14,13.995,15.268,18.115,16.182,16.458,16.973,15.071,14.548,16.369,14.486,15.31,15.44,14.608,14.272,14.582,13.113,13.874,15.192,12.935,12.594,15.109,12.525,14.88,14.495,16.208,16.953,20.217,20.232,19.867,16.898,17.786,18.274,19.638,17.561,18.889,19.37,19.729,20.559,22.013,23.969,24.481,23.881,23.927,26.888,26.324,27.191,28.315,27.821,28.151,28.735,29.361,31.046,31.184,30.866,32.286,31.365,30.134,32.962,31.112,30.851,32.068,32.041,31.307,32.532,32.822,33.341,33.684,33.97,32.769
"34","26","  State and local","B829RA3",11.86,12.02,12.291,12.481,12.454,12.793,13.011,13.319,13.859,14.632,15.231,15.52,15.898,16.03,16.042,16.051,15.899,16.165,16.245,16.223,16.269,16.608,16.17,16.544,16.893,16.868,17.312,17.727,18.356,18.429,18.934,19.024,19.808,20.064,20.039,20.161,20.375,20.629,20.733,20.946,21.462,21.642,21.949,22.49,23.118,23.455,23.965,24.399,24.495,24.563,24.59,24.465,24.879,25.483,25.859,26.15,26.99,26.807,27.035,27.765,27.56,27.748,28.092,28.385,28.905,29.159,29.93,30.337,30.788,31.482,31.819,32.156,32.443,33.268,34.199,34.699,35.113,35.385,35.796,36.705,37.149,37.353,37.498,38.157,38.855,39.608,40.179,40.512,40.881,41.227,41.335,41.264
