"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:23:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","A191RX1",1056.6,966.7,904.8,788.2,778.3,862.2,939,1060.5,1114.6,1077.7,1163.6,1266.1,1490.3,1771.8,2073.7,2239.4,2217.8,1960.9,1939.4,2020,2008.9,2184,2360,2456.1,2571.4,2556.9,2739,2797.4,2856.3,2835.3,3031,3108.7,3188.1,3383.1,3530.4,3734,3976.7,4238.9,4355.2,4569,4712.5
"9","2","Less: Exports of goods and services","A020RX1",40.5,33.5,27.8,21.8,21.9,24.4,25.7,27,34,33.6,35.5,40.4,41.4,27.3,23,24.8,34.7,74.9,85.4,67.3,66.7,58.4,71.5,68.4,63.9,66.9,74.1,86.3,93.9,81.2,89.5,105.1,105.6,111,118.9,132.9,136.6,146,149.4,161.2,169
"10","3","Plus: Imports of goods and services","A021RX1",52.7,45.8,40,33.1,34.5,35.3,46.2,45.7,51.4,40,42,43,52.9,48,60.5,63.3,67.3,55.8,53,61.8,59.6,70.5,73.3,79.7,87.2,82.9,92.9,100.4,104.7,109.6,121.2,122.8,122,135.8,139.5,146.9,162.5,186.7,200.3,230.1,243.2
"11","4","Equals: Gross domestic purchases","A712RX1",1076.8,988,926.8,809,799.7,883.4,969.9,1092.6,1143.3,1095.3,1182.7,1281.7,1520.4,1828.5,2160.9,2331.5,2293.9,1944.9,1901.7,2026.5,2013.7,2218.5,2379.8,2491.3,2625.7,2600.6,2787.2,2836.6,2889.8,2893.7,3093.5,3151.3,3230.8,3436.8,3579.5,3774.8,4033.8,4313.4,4441.6,4673.3,4821.8
"12","5","Less: Change in private inventories","A014RX1",11.4,-5,-11.7,-26.2,-13.4,-6.4,8.3,8.5,14.3,-3.4,1.7,17.8,29.1,11.3,-4,-4.7,-8.9,28,-3.9,21.3,-11.2,21.2,29.5,11.9,7.4,-7.1,17.6,13.1,3.2,-0.8,15.3,13,11.7,24.1,22.3,19,36.2,51.9,37.3,33.9,33.3
"13","6","Equals: Final sales to domestic purchasers","A713RX1",1088.3,1017.8,960.9,854.5,829.9,905.7,970.2,1094.5,1135,1109.7,1190.8,1266.9,1490.3,1828.4,2189.4,2362.8,2331.7,1915.7,1930.2,2007.3,2052.5,2201.6,2348,2493,2635.5,2633.7,2782.4,2840.1,2908.9,2917.9,3095,3157.2,3238.9,3428.4,3574.7,3775.9,4012.3,4271,4420.6,4658.1,4807.5
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","A190RX1",1067.5,995.4,937.7,832.3,807.4,883.7,939,1062.1,1106.3,1091.6,1171.4,1251.6,1460.8,1771.1,2100.6,2268.9,2253.7,1932.7,1967.7,2001.2,2046.9,2167.1,2328.5,2457.5,2580.5,2588.9,2733.9,2800.5,2874.7,2858.6,3031.9,3114.1,3195.7,3374.4,3525.3,3734.8,3955.2,4196.9,4334.1,4553.4,4697.7
"16","8","  Final sales to private domestic purchasers \1\","LB0000031",926.4,850.4,792.1,694.9,675.5,733.4,791.1,887.8,933.7,897.1,960.1,1026.8,1111.3,1019.4,1023.7,1065.2,1155.4,1378.2,1442.3,1494.7,1502.1,1634,1640.2,1679.4,1769.5,1805.9,1958.3,2009.3,2045.4,2033,2179.1,2231.9,2271.8,2400.2,2516.4,2682.4,2874.9,3041,3106.4,3293,3431.1
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
