"","Table 1#4#3# Real Gross Domestic Product, Real Gross Domestic Pu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:23:52 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","Gross domestic product","A191RA3",13.416,13.401,13.388,13.598,13.798,14.022,14.101,14.116,13.923,13.876,14.029,13.903,14.457,14.894,15.468,15.767,15.983,16.26,16.595,16.632,16.808,16.843,16.965,17.521,17.847,17.987,17.886,17.614,17.533,17.551,17.75,18.096,18.613,18.916,19.17,19.286,19.211,19.37,19.354,19.671,19.797,19.753,19.946,19.741,19.23,19.356,19.804,20.267,20.644,21.146,21.105,21.188,21.66,21.578,21.632,21.37,21.515,21.915,22.281,22.732,23.142,23.391,23.614,23.706,23.969,24.282,24.756,24.933,25.472,25.775,26.125,26.217,26.864,27.231,27.784,28.44,29.142,29.261,29.47,29.722,29.995,30.021,30.281,30.524,31.144,31.67,31.898,32.04,32.538,32.643,32.847,32.704
"10","2","Less: Exports of goods and services","B020RA3",5.731,5.659,5.372,4.763,4.546,4.121,4.218,4.069,4.556,4.517,4.14,3.584,3.525,3.567,3.66,3.956,4.154,4.563,4.675,4.631,4.877,4.341,3.998,4.026,3.958,3.982,4.142,4.005,3.826,4.376,4.235,4.43,4.595,4.487,4.782,4.803,5.031,5.37,5.549,5.798,6.176,5.993,5.825,5.651,5.09,5.114,5.13,5.114,5.453,5.634,5.813,5.657,6.365,6.77,6.599,6.735,6.689,6.596,6.56,6.763,6.747,7.394,6.981,6.83,6.99,7.808,7.391,7.762,8.237,8.374,8.31,8.557,7.634,9.067,8.547,9.167,9.005,9.4,9.045,9.343,9.521,9.436,9.208,9.47,9.746,9.94,10.526,10.393,9.148,11.199,10.931,11.307
"11","3","Plus: Imports of goods and services","B021RA3",2.758,2.811,2.493,2.627,2.963,3.08,3.241,3.188,3.093,3.047,2.923,2.967,3.05,3.219,3.972,3.979,3.979,3.848,3.522,3.43,3.828,3.808,4.041,4.403,4.294,4.517,4.5,4.279,4.032,4.394,4.129,4.168,4.415,4.665,4.743,4.915,5.122,5.095,5.139,4.903,5.293,5.335,5.232,5.25,5.328,5.556,5.471,5.757,5.906,6.192,6.25,6.091,6.322,6.37,6.182,5.891,5.862,5.933,6.326,6.477,6.674,6.82,6.906,6.991,6.829,6.989,7.167,7.143,7.137,7.297,7.493,7.696,7.419,8.294,8.328,8.735,8.96,9.183,9.698,9.807,9.96,9.881,10.011,10.539,11.159,11.33,12.011,11.909,10.786,12.914,12.747,12.607
"12","4","Equals: Gross domestic purchases","B712RA3",12.752,12.758,12.746,13.093,13.387,13.709,13.794,13.828,13.535,13.488,13.686,13.663,14.235,14.689,15.365,15.614,15.796,15.977,16.229,16.256,16.46,16.585,16.807,17.416,17.732,17.903,17.772,17.489,17.398,17.383,17.561,17.877,18.402,18.762,18.977,19.116,19.037,19.133,19.094,19.329,19.453,19.447,19.65,19.479,19.075,19.231,19.661,20.166,20.508,21.019,20.959,21.043,21.432,21.292,21.345,21.021,21.169,21.592,22.018,22.456,22.894,23.059,23.359,23.486,23.7,23.904,24.466,24.58,25.04,25.343,25.729,25.811,26.562,26.822,27.46,28.072,28.828,28.915,29.252,29.471,29.735,29.764,30.077,30.35,31.009,31.525,31.751,31.9,32.443,32.508,32.731,32.512
"13","5","Less: Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","6","Equals: Final sales to domestic purchasers","B713RA3",12.727,12.837,12.943,13.097,13.238,13.41,13.444,13.572,13.525,13.704,13.744,13.899,14.146,14.546,15.173,14.996,15.418,15.414,15.854,16.087,16.259,16.626,16.58,17.183,17.544,17.718,17.651,17.545,17.436,17.468,17.623,17.883,18.239,18.535,18.77,18.844,18.809,18.963,18.955,19.204,19.377,19.347,19.509,19.536,19.159,19.298,19.563,19.99,20.336,20.685,20.893,20.83,20.981,21.134,21.124,21.168,21.21,21.468,21.715,22.198,22.507,22.798,23.063,23.29,23.357,23.657,24.189,24.367,24.809,25.119,25.472,25.549,26.074,26.443,27.034,27.716,28.252,28.37,28.749,28.813,29.116,29.437,29.663,29.968,30.629,30.935,31.381,31.59,31.961,32.087,32.273,32.208
"15",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RA3",13.386,13.475,13.579,13.595,13.642,13.715,13.743,13.853,13.907,14.086,14.081,14.134,14.36,14.745,15.268,15.137,15.595,15.685,16.21,16.454,16.598,16.877,16.729,17.28,17.65,17.793,17.757,17.663,17.563,17.629,17.806,18.095,18.441,18.679,18.953,19.003,18.973,19.19,19.205,19.536,19.712,19.644,19.795,19.79,19.305,19.415,19.697,20.081,20.463,20.801,21.03,20.965,21.198,21.41,21.4,21.508,21.547,21.781,21.966,22.462,22.742,23.119,23.306,23.498,23.613,24.022,24.466,24.707,25.227,25.537,25.854,25.942,26.362,26.837,27.344,28.069,28.55,28.7,28.951,29.048,29.36,29.679,29.851,30.126,30.749,31.063,31.512,31.714,32.041,32.206,32.372,32.383
"17","8","  Final sales to private domestic purchasers \1\","IB0000033",11.971,12.075,12.178,12.369,12.498,12.61,12.599,12.65,12.523,12.604,12.623,12.859,13.182,13.587,14.341,13.94,14.096,13.65,13.736,13.779,13.845,14.109,14.011,14.614,14.871,14.966,14.943,14.838,14.84,15.042,15.319,15.643,16.044,16.426,16.665,16.844,16.805,16.886,16.918,17.084,17.175,17.167,17.311,17.257,16.869,16.899,17.172,17.553,18.014,18.348,18.54,18.512,18.779,18.896,18.754,18.767,18.732,19.017,19.18,19.608,19.85,20.157,20.32,20.538,20.703,21.045,21.379,21.651,22.144,22.444,22.847,22.939,23.559,23.905,24.367,25.026,25.515,25.511,25.745,25.683,25.7,26.109,26.279,26.57,27.193,27.506,28.004,28.242,28.657,28.834,29.032,29.075
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
