"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:27:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross value added of corporate business \1\","A451RC1",54.8,48.2,37.8,27.9,26.9,33.5,37.1,42.7,48.3,43,47.3,54.1,70,87.5,103.5,107.3,100.8,105.8,127.5,146.1,143.1,162.2,185.8,195.1,209.3,206.9,233.1,250.2,261.8,256.9,287.5,300,308.8,336,357.5,386.1,423.9,465.2,491.3,542.2,590.8
"9","2","Consumption of fixed capital","A438RC1",5.2,5.1,4.8,4.2,4,4.1,4.2,4.2,4.7,4.8,4.8,5,5.6,6.4,6.6,6.7,7,8,9.8,11.5,12.4,13.3,15.1,16.1,17.3,18.3,19.6,22.1,24.6,26.4,27.6,28.5,29.5,30.8,32.4,34.4,37.1,40.9,45.1,50,55.7
"10","3","Net value added","A439RC1",49.6,43.1,33.1,23.6,22.9,29.4,33,38.5,43.6,38.2,42.5,49.1,64.4,81.1,96.9,100.5,93.9,97.8,117.7,134.6,130.7,148.9,170.7,179,192,188.6,213.6,228.1,237.2,230.5,259.9,271.5,279.3,305.2,325,351.7,386.7,424.3,446.2,492.2,535.1
