"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:24:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RL1",-8.5,-6.4,-12.9,-1.3,10.8,8.9,12.9,5.1,-3.3,8,8.8,17.7,18.9,17,8,-1,-11.6,-1.1,4.1,-0.5,8.7,8.1,4.1,4.7,-0.6,7.1,2.1,2.1,-0.7,6.9,2.6,2.6,6.1,4.4,5.8,6.5,6.6,2.7,4.9,3.1
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Personal consumption expenditures","DPCERY2",-3.96,-2.37,-7,-1.79,5.71,4.69,7.68,2.72,-1.15,4.11,3.72,4.9,-1.5,1.52,1.42,3.01,6.29,1.21,1.47,1.77,4.2,1,1.9,2.85,1.25,4.5,1.77,1.49,0.52,3.49,1.67,1.26,3,2.47,3.56,3.79,3.37,1.76,3.38,2.21
"12","3","  Goods","DGDSRY2",-3.29,-1.47,-4.72,-0.29,3.87,3.49,5.65,1.26,-0.9,2.85,2.52,3.16,-2.91,-0.31,0.21,1.86,5.29,1.11,0.8,1.17,3.06,-0.47,0.81,1.8,0.37,3.16,0.52,0.58,-0.34,2.1,0.58,0.21,1.63,1.25,1.85,2.18,1.95,0.6,1.85,0.92
"13","4","    Durable goods","DDURRY2",-1.61,-1.13,-1.83,-0.17,0.95,1.42,1.64,0.42,-1.38,1.29,1.11,1.25,-2.99,-0.48,-0.3,0.39,3.05,1.29,0.57,0.73,2.07,-0.9,-0.2,0.98,-0.04,1.82,-0.36,0.08,-0.67,0.97,0.17,-0.28,0.89,0.75,0.79,1.06,0.73,0.13,0.95,0.33
"14","5","      Motor vehicles and parts","DMOTRY2",-0.97,-0.54,-0.78,0.31,0.46,0.81,0.61,0.05,-0.99,0.69,0.62,0.38,-2.38,0.01,-0.03,0.08,1.08,0.8,0.34,0.83,1.13,-0.71,-0.35,0.74,-0.16,1.21,-0.62,0.17,-0.64,0.61,0.22,-0.36,0.59,0.44,0.21,0.59,0.06,-0.09,0.54,0.14
"15","6","      Furnishings and durable household equipment","DFDHRY2",-0.63,-0.08,-0.58,-0.2,0.27,0.41,0.74,0.12,-0.33,0.39,0.32,0.55,-0.59,-0.55,-0.23,0.15,1.28,0.54,0.22,-0.08,0.56,-0.2,-0.01,0.1,0,0.4,0.16,-0.06,-0.04,0.2,-0.04,0.02,0.15,0.18,0.31,0.18,0.24,0.06,0.16,0.06
"16","7","      Recreational goods and vehicles","DREQRY2",0.08,-0.25,-0.29,-0.1,0.1,0.09,0.21,0.12,-0.07,0.15,0.1,0.18,-0.1,-0.12,-0.03,0.07,0.51,0.01,-0.01,0.01,0.33,-0.03,0.1,0.12,0.09,0.16,0.07,-0.03,-0.01,0.14,-0.01,0.05,0.08,0.1,0.2,0.21,0.31,0.15,0.17,0.11
"17","8","      Other durable goods","DODGRY2",-0.09,-0.25,-0.18,-0.18,0.13,0.12,0.08,0.13,0,0.06,0.06,0.14,0.07,0.18,-0.02,0.09,0.18,-0.07,0.02,-0.02,0.05,0.03,0.07,0.03,0.03,0.06,0.04,0.01,0.01,0.03,0.01,0.02,0.07,0.03,0.07,0.08,0.12,0.01,0.08,0.03
"18","9","    Nondurable goods","DNDGRY2",-1.68,-0.35,-2.89,-0.12,2.92,2.07,4.01,0.85,0.48,1.55,1.41,1.91,0.08,0.17,0.51,1.47,2.24,-0.18,0.23,0.44,0.99,0.43,1.01,0.82,0.41,1.34,0.87,0.5,0.33,1.13,0.41,0.49,0.73,0.5,1.06,1.12,1.22,0.47,0.91,0.58
"19","10","      Food and beverages purchased for off-premises consumption","DFXARY2",-0.38,-0.08,-1.07,0.69,1.67,0.92,2.44,0.49,0.37,0.23,0.68,0.52,-0.07,-0.36,0.52,0.63,1.45,0,-0.13,0.08,0.31,0.07,0.36,0.49,0.34,0.61,0.4,0.29,0.05,0.51,0.08,0.16,0.08,0.09,0.35,0.51,0.39,0.22,0.42,0.26
"20","11","      Clothing and footwear","DCLORY2",-0.86,-0.1,-0.92,-0.84,0.46,0.65,0.68,-0.08,0.1,0.59,0.24,0.54,0.29,0.58,-0.21,0.22,0.13,-0.35,0.07,0.04,0.17,-0.03,0.3,0.05,0.01,0.26,0.14,-0.04,0.05,0.26,0.04,0.09,0.21,0.08,0.34,0.19,0.29,0.03,0.18,0.08
"21","12","      Gasoline and other energy goods","DGOERY2",-0.02,-0.08,-0.24,0.1,0.23,0.22,0.33,0.16,-0.04,0.28,0.25,0.3,-0.46,-0.43,0.01,0.25,0.68,0.15,0.11,0.01,0.16,0.15,0.12,0.07,0.08,0.23,0.12,0.07,0.13,0.07,0.05,-0.02,0.09,0.09,0.14,0.12,0.14,0.07,0.11,0.11
"22","13","      Other nondurable goods","DONGRY2",-0.42,-0.09,-0.66,-0.08,0.56,0.28,0.56,0.28,0.06,0.45,0.24,0.56,0.31,0.37,0.2,0.38,-0.02,0.01,0.18,0.31,0.35,0.23,0.22,0.2,-0.02,0.23,0.21,0.17,0.1,0.3,0.23,0.26,0.36,0.23,0.23,0.3,0.39,0.15,0.2,0.13
"23","14","  Services","DSERRY2",-0.67,-0.9,-2.28,-1.5,1.84,1.2,2.02,1.45,-0.25,1.26,1.21,1.75,1.41,1.83,1.21,1.15,1,0.1,0.66,0.6,1.14,1.47,1.09,1.05,0.89,1.34,1.25,0.91,0.87,1.39,1.09,1.05,1.38,1.23,1.72,1.61,1.42,1.16,1.52,1.29
"24","15","    Household consumption expenditures (for services)","DHCERY2",-0.73,-0.93,-2.16,-1.35,1.93,1.22,2,1.49,-0.3,1.25,1.14,1.74,1.37,1.76,1.15,1.15,0.97,0.17,0.65,0.59,1.13,1.49,1.01,1.03,0.85,1.32,1.19,0.9,0.82,1.29,0.99,1.03,1.35,1.19,1.62,1.56,1.39,1.12,1.47,1.28
"25","16","      Housing and utilities","DHUTRY2",-0.03,-0.08,-0.26,-0.33,0.82,0.17,0.27,0.24,0.2,0.34,0.41,0.59,0.47,0.28,0.27,0.16,0.55,0.59,0.49,0.53,0.65,0.65,0.56,0.5,0.49,0.53,0.52,0.49,0.49,0.59,0.54,0.51,0.62,0.5,0.52,0.55,0.47,0.45,0.5,0.54
"26","17","      Health care","DHLCRY2",-0.05,-0.05,-0.14,-0.21,0.07,0.01,0.15,0.05,-0.05,0.12,0.06,0.07,0.08,0,0.09,0.03,0.25,0.09,0.18,0.05,0.1,0.06,0.11,0.1,0.16,0.07,0.14,0.14,0.2,0.21,0.04,0.13,0.28,0.21,0.38,0.16,0.19,0.17,0.29,0.29
"27","18","      Transportation services","DTRSRY2",-0.28,-0.27,-0.29,0,0.14,0.05,0.24,0.1,-0.09,0.15,0.13,0.21,0.17,0.37,0.14,0.12,0.28,-0.04,-0.01,-0.1,-0.06,0.06,0.02,0.04,-0.06,0.06,0.05,0.03,-0.02,0.07,0.05,0.02,0.06,0.07,0.09,0.08,0.09,0.09,0.11,0.11
"28","19","      Recreation services","DRCARY2",-0.02,-0.05,-0.35,-0.08,0.17,0.1,0.17,0.11,-0.09,0.05,0.12,0.09,0.12,0.09,-0.02,0.07,0.19,-0.08,-0.04,-0.03,0,0.01,0.02,0.01,0.02,0.05,0.06,-0.04,-0.01,0.08,0.06,0.05,0.06,0.05,0.05,0.05,0.07,0.04,0.08,0.07
"29","20","      Food services and accommodations","DFSARY2",0.06,0.16,-0.08,-0.4,0.51,0.3,0.55,0.54,0.04,0.39,0.26,0.49,0.43,0.79,0.64,0.61,-0.53,-0.67,-0.16,0.05,0.04,0.39,0.21,0.16,-0.01,0.11,0.12,0.05,-0.06,0.08,0.04,0.01,0.13,0.09,0.19,0.26,0.18,-0.04,0.22,0.08
"30","21","      Financial services and insurance","DIFSRY2",-0.24,-0.19,-0.12,0.23,-0.27,0.24,0.11,0.04,-0.08,0.07,0.01,0.05,-0.06,0.09,0.01,0.04,0.1,0.13,0.08,0.05,0.21,0.21,0,0.08,0.14,0.18,0.12,0.07,0.07,0.05,0.1,0.14,0,0.09,0.18,0.17,0.09,0.13,0.14,0.04
"31","22","      Other services","DOTSRY2",-0.17,-0.46,-0.91,-0.57,0.49,0.35,0.5,0.4,-0.23,0.13,0.14,0.26,0.17,0.14,0.02,0.12,0.15,0.16,0.11,0.05,0.18,0.09,0.09,0.14,0.1,0.33,0.2,0.17,0.16,0.22,0.16,0.16,0.2,0.18,0.22,0.28,0.29,0.29,0.14,0.15
"32","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRY2",0.06,0.03,-0.12,-0.15,-0.09,-0.02,0.02,-0.04,0.05,0.01,0.07,0.01,0.04,0.07,0.06,0,0.02,-0.07,0.01,0,0.01,-0.01,0.08,0.02,0.03,0.02,0.06,0.01,0.04,0.09,0.1,0.02,0.03,0.03,0.1,0.05,0.03,0.04,0.05,0.01
"33","24","      Gross output of nonprofit institutions \2\","DNPERY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.12,0.15,0.16,0.23,0.18,0.19,0.18,0.22,0.17
