"","Table 4#3B# Relation of Foreign Transactions in the National Inc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1986 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2015 6:05:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","Exports of goods, ITAs","B1232C1",223.3,250.2,320.2,359.9,387.4,414.1,439.6,456.9,502.9,575.2,612.1,678.4,670.4,698.5,784.9,731.3,698,730.4,823.6,913,1040.9,1165.2,1308.8,1070.3,1290.3,1499.2,1562.6,1592,1632.6
"9","2","Less: Gold, ITAs \1\","B1087C1",5.7,2.6,5.8,3.1,3.7,3.6,4.5,9.1,5.8,5.1,6.9,5.7,5.5,5.3,6.1,4.9,3.4,4.8,4.5,5.6,8.8,13.4,18.8,14.1,17.9,34.7,37.3,33.9,22.6
"10","3","Less: Statistical differences \2\","B1233C1",-5.4,-8,-6.3,-5.4,-6.6,-6.6,-7.4,-7.8,-8.3,-9.2,-10.5,-12.2,-11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","4","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1234C1",8.3,10,11.4,12.5,13,13,12.9,12.1,13,13.2,13.2,15,15.9,18.5,18.4,17.4,18.5,15.8,15.3,19.1,17.5,14.7,8.8,8.9,7.2,2.4,0.7,2.8,8
"12","5","Equals: Exports of goods, NIPAs","A253RC1",231.4,265.6,332.1,374.8,403.3,430.1,455.3,467.7,518.4,592.4,628.8,699.9,692.6,711.7,797.3,743.8,713.2,741.4,834.4,926.6,1049.6,1166.4,1298.8,1065.1,1279.6,1466.9,1526,1560.9,1618
"13","6","Exports of services, ITAs","B1235C1",86.7,98.7,110.9,127.1,147.8,164.3,177.2,185.9,200.4,219.2,239.5,256.1,262.8,271.3,290.4,274.3,280.7,290,338,373,416.7,488.4,532.8,512.7,563.3,627.8,656.4,687.9,710.6
"14","7","Less: Statistical differences \2\","B1236C1",5.1,7.7,5.9,5.1,6.3,6.2,7.3,7.8,8.3,9.1,10.4,12.2,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","8","Less: Other items \4\","B1237C1",0,0,0,0,0.1,0.4,0.5,0.8,0.6,0.7,0.7,0.5,0.6,0.7,1,0.8,0.7,0.8,1,1.4,1.2,1.5,1.6,1.5,2,1.6,1.2,0.9,1.1
"16","9","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1238C1",2.3,2.5,2.6,2.7,2.8,3,3.2,3.3,3.5,3.6,3.7,3.8,3.8,3.9,4.1,4.3,4.5,4.8,5,5.1,5,4.9,4.6,4.2,4,4,7.4,5.9,3.8
"17","10","Plus: Financial services furnished without payment","B1607C1",5.7,4.9,5,4.9,4.3,4.2,5.2,6.4,7.5,7.4,6.7,6.7,6.2,5.7,6,5,4.9,4.9,5.1,5.7,6.2,6.3,7.3,7.2,7.4,9.3,9.6,9.5,10.7
"18","11","Equals: Exports of services, NIPAs","A646RC1",89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,280.3,299.6,282.9,289.3,298.9,347.1,382.3,426.7,498.2,543.1,522.6,572.7,639.5,672.2,702.3,723.9
"19","12","Primary income receipts, ITAs","B1239C1",102.8,113.6,141.7,166.4,176.9,155.3,139.1,141.6,169.4,213.7,229.5,261.4,266.2,300.3,358.8,298.2,287.5,326.7,420.6,544,693.1,844,823.7,614.4,684.9,759.7,769.5,794.8,823.4
"20","13","Less: Statistical differences \2\","B1240C1",-0.7,-0.8,-0.8,-1,-1.1,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","14","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1241C1",8.1,9,9.8,10.5,11.1,12,13.2,14.3,15.4,16.5,17.4,19.4,21.4,22.1,25,28.3,29.4,30.5,31.9,33,32.7,33.2,35,36,36.7,35.8,35.9,36.2,36.6
"22","15","Plus: Imputed interest received from the rest of the world","W320RC1",-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.7,-0.8,-1,-1.2,-1.2,-1.1,-1.1,-1,-1.2,-1.6,-1.6,-1.8,-1.5,-1.6,-2.9,-3.8,-4.8,-5.7
"23","16","Equals: Income receipts, NIPAs","B645RC1",111.3,123.3,152.1,177.7,188.8,168.4,152.1,155.6,184.5,229.8,246.4,280.1,286.8,321.4,382.7,325.3,315.8,356.1,451.4,575.8,724.2,875.7,856.9,648.9,720,792.6,801.5,826.2,854.3
"24","17","Secondary income receipts, ITAs","LA0000421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,37.4,41.3,52.6,61.9,60.2,66,71.4,71.9,86.6,88.5,92.3,100.8,109.6,126.6,140
"25","18","Less: Statistical differences \2\","LA0000331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.1,0.3,0,0.1,0.3,1.1,0.2,0.6,0,0,0,0,0,0,0
"26","19","Plus: Adjustment for U.S. territories and Puerto Rico \3\","LA0000341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.6,3.7,3.8,3.9,4.4,4.7,4.6,4.7,4.8,5,4.9,4.4,4.6,5.2,5.1
"27","20","Equals: Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world, NIPAs \5\","LA0000351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,40.8,44.8,56.3,65.8,64.3,69.6,75.7,76,91.5,93.4,97.2,105.2,114.2,131.7,145.1
"28","21","Imports of goods, ITAs","B1242C1",368.4,409.8,447.2,477.7,498.4,491,536.5,589.4,668.7,749.4,803.1,876.8,918.6,1035.6,1231.7,1153.7,1173.3,1272.1,1488.3,1695.8,1878.2,1986.3,2141.3,1580,1939,2239.9,2303.7,2294.6,2374.1
"29","22","Less: Gold, ITAs \1\","B1095C1",7.9,3.8,4.9,3.7,2.5,2.9,3.8,8.8,4.7,5.3,7.7,6.6,6.5,6.1,5.9,4.4,3,3.8,4.2,4.6,5.9,9.1,13.5,10.4,14.5,18,19.2,17.7,15.4
"30","23","Less: Statistical differences \2\","B1243C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
