"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:23:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Gross domestic product","A191RA3",13.416,13.401,13.388,13.598,13.798,14.022,14.101,14.116,13.923,13.876,14.029,13.903,14.457,14.894,15.468,15.767,15.983,16.26,16.595,16.632,16.808,16.843,16.965,17.521,17.847,17.987,17.886,17.614,17.533,17.551,17.75,18.096,18.613,18.916,19.17,19.286,19.211,19.37,19.354,19.671,19.797,19.753,19.946,19.741,19.23,19.356,19.804,20.267,20.644,21.146,21.105,21.188,21.66,21.578,21.632,21.37,21.515,21.915,22.281,22.732,23.142,23.391,23.614,23.706,23.969,24.282,24.756,24.933,25.472,25.775,26.125,26.217,26.864,27.231,27.784,28.44,29.142,29.261,29.47,29.722,29.995,30.021,30.281,30.524,31.144,31.67,31.898,32.04,32.538,32.643,32.847,32.704
"10","2","Business \1\","B195RA3",12.205,12.245,12.23,12.484,12.702,12.967,13.025,13.011,12.784,12.719,12.878,12.747,13.367,13.806,14.387,14.542,14.695,14.83,15.077,15.076,15.207,15.193,15.293,15.901,16.229,16.353,16.211,15.902,15.798,15.796,15.985,16.339,16.889,17.213,17.456,17.547,17.433,17.577,17.506,17.822,17.93,17.84,18.01,17.772,17.17,17.265,17.708,18.193,18.615,19.144,19.046,19.08,19.552,19.369,19.388,19.033,19.143,19.574,19.926,20.332,20.738,20.965,21.162,21.221,21.479,21.779,22.252,22.412,22.977,23.249,23.592,23.637,24.35,24.692,25.23,25.885,26.617,26.664,26.764,26.933,27.168,27.136,27.335,27.542,28.164,28.678,28.864,28.996,29.495,29.533,29.7,29.489
"11","3","  Nonfarm \2\","B358RA3",11.881,12.157,11.831,12.447,12.575,12.537,12.643,12.576,12.485,12.405,12.57,12.453,12.984,13.454,14.179,14.331,14.602,14.668,14.856,14.898,15.058,14.984,15.033,15.742,16.031,16.11,16.028,15.716,15.532,15.525,15.745,16.129,16.702,16.969,17.215,17.37,17.26,17.376,17.308,17.588,17.805,17.701,17.867,17.553,16.918,17.004,17.528,18.09,18.453,19.029,18.935,18.905,19.463,19.234,19.18,18.77,18.904,19.399,19.782,20.221,20.633,20.844,21.072,21.115,21.314,21.666,22.187,22.359,22.978,23.235,23.56,23.576,24.3,24.687,25.189,25.89,26.631,26.729,26.895,27.006,27.203,27.148,27.348,27.571,28.236,28.78,28.972,29.1,29.598,29.632,29.792,29.577
"12","4","  Farm","B359RA3",18.043,15.137,19.396,14.629,15.973,20.592,19.966,20.903,18.427,18.686,18.79,18.419,20.609,20.429,18.587,18.79,17.22,18.383,19.563,18.908,18.572,19.567,20.558,19.386,20.461,21.48,20.117,19.863,21.482,21.583,21.084,20.75,20.759,22.385,22.559,21.095,20.865,21.682,21.571,22.786,20.131,20.424,20.692,22.295,22.522,22.825,21.302,19.846,21.711,21.025,20.828,22.482,20.637,21.67,23.674,24.864,24.295,22.979,22.457,21.938,22.199,22.834,22.199,22.68,24.519,23.378,22.511,22.352,21.323,21.997,22.802,23.682,24.019,23.091,24.562,23.932,24.372,23.122,21.564,23.187,24.426,25.054,25.193,24.901,24.226,23.87,23.87,24.111,24.61,24.756,25.104,25.013
"13","5","Households and institutions","B193RA3",9.145,9.189,9.284,9.42,9.596,9.762,9.917,10.059,10.187,10.342,10.524,10.731,10.959,11.178,11.386,11.584,11.763,11.948,12.132,12.314,12.514,12.704,12.899,13.108,13.306,13.515,13.709,13.89,14.076,14.293,14.552,14.854,15.194,15.509,15.796,16.057,16.287,16.517,16.74,16.956,17.176,17.403,17.648,17.91,18.18,18.448,18.704,18.949,19.164,19.471,19.812,20.201,20.537,20.896,21.191,21.502,21.696,21.73,21.956,22.41,22.699,23.003,23.346,23.699,23.832,24.013,24.292,24.498,24.748,25.104,25.34,25.619,25.903,26.252,26.708,27.105,27.351,27.509,27.957,28.257,28.453,28.763,29.143,29.558,29.871,30.236,30.613,30.939,31.328,31.705,31.963,32.148
"14","6","  Households","B701RA3",9.183,9.224,9.288,9.371,9.47,9.586,9.713,9.851,9.999,10.177,10.383,10.615,10.87,11.118,11.356,11.586,11.799,12.016,12.229,12.438,12.67,12.883,13.097,13.322,13.53,13.754,13.962,14.156,14.362,14.599,14.885,15.22,15.597,15.944,16.258,16.543,16.792,17.042,17.285,17.522,17.764,18.005,18.254,18.515,18.771,19.044,19.318,19.593,19.847,20.172,20.502,20.866,21.127,21.462,21.76,22.13,22.401,22.415,22.664,23.198,23.453,23.754,24.122,24.534,24.645,24.817,25.121,25.314,25.549,25.959,26.158,26.44,26.684,27.025,27.497,27.916,28.042,28.144,28.659,29.026,29.256,29.548,29.834,30.086,30.154,30.34,30.583,30.86,31.248,31.682,31.992,32.273
"15","7","  Nonprofit institutions serving households \3\","B702RA3",9.229,9.282,9.46,9.75,10.144,10.458,10.694,10.849,10.921,11.017,11.136,11.276,11.437,11.579,11.705,11.818,11.909,12.012,12.118,12.228,12.348,12.478,12.626,12.792,12.969,13.141,13.3,13.447,13.586,13.747,13.937,14.156,14.404,14.636,14.854,15.057,15.24,15.42,15.594,15.76,15.922,16.12,16.356,16.626,16.937,17.196,17.41,17.582,17.7,17.967,18.342,18.799,19.325,19.75,20.039,20.208,20.216,20.298,20.471,20.735,21.107,21.422,21.711,21.927,22.114,22.318,22.539,22.775,23.06,23.296,23.619,23.893,24.266,24.633,25.054,25.404,25.906,26.183,26.491,26.655,26.787,27.133,27.698,28.439,29.245,29.975,30.621,31.043,31.426,31.687,31.845,31.85
"16","8","General government \4\","B765RA3",28.44,27.563,27.444,26.946,26.759,26.292,26.531,26.806,26.842,26.842,26.761,26.333,26.01,26.422,27.003,29.378,30.428,32.782,34.44,34.82,35.524,36.056,36.32,36.235,36.509,36.69,36.846,36.673,36.599,36.622,36.75,36.844,36.822,36.644,36.875,37.071,37.181,37.367,37.796,38.091,38.28,38.54,38.866,38.619,38.572,38.874,39.406,39.654,39.476,39.642,39.89,40.191,40.639,41.327,41.501,41.805,42.275,42.562,43.126,43.968,44.4,44.762,45.076,45.214,45.607,46.118,46.675,46.945,47.359,47.859,48.313,48.708,48.819,49.383,50.058,50.832,51.527,52.39,53.482,54.555,55.262,55.596,56.312,56.71,57.497,58.201,58.668,58.682,59.184,59.677,60.168,60.41
"17","9","  Federal","B766RA3",47.746,45.43,44.878,43.465,43.017,41.851,42.249,42.594,42.203,41.7,41.03,39.627,38.74,39.662,41.003,46.777,49.205,54.863,58.795,59.49,61.106,62.262,62.664,62.131,62.512,62.625,62.608,61.802,61.291,61.044,61.019,60.837,60.502,59.697,59.736,59.686,59.607,59.333,59.811,60.027,60.201,60.428,60.653,59.388,58.825,58.872,59.57,59.691,59.046,59.174,59.372,59.671,60.182,61.305,61.075,61.294,61.68,62.149,63.014,64.799,65.732,66.079,66.235,65.979,66.39,67.097,67.645,67.693,67.846,68.351,68.887,68.956,68.713,69.028,69.713,70.79,71.948,73.298,75.23,76.955,78.79,79.079,79.907,80.023,80.667,81.662,82.004,81.249,81.712,82.238,82.731,82.441
"18","10","  State and local","B767RA3",16.346,16.602,16.83,16.998,16.983,16.994,17.134,17.38,17.734,18.112,18.464,18.729,18.798,18.853,18.912,18.998,19.13,19.287,19.466,19.652,19.774,19.911,20.096,20.31,20.524,20.756,21.031,21.273,21.486,21.689,21.919,22.196,22.379,22.615,22.985,23.356,23.595,24.096,24.508,24.866,25.072,25.363,25.769,26.194,26.495,26.987,27.429,27.777,27.912,28.113,28.409,28.726,29.153,29.575,30.029,30.401,30.944,31.119,31.503,31.757,31.878,32.26,32.685,33.084,33.477,33.876,34.455,34.877,35.474,35.989,36.404,37.028,37.377,38.122,38.812,39.413,39.825,40.398,40.978,41.663,41.679,42.049,42.709,43.289,44.178,44.714,45.266,45.754,46.288,46.767,47.261,47.829
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009A3",9.008,9.069,9.153,9.258,9.378,9.513,9.659,9.814,9.977,10.144,10.314,10.487,10.657,10.84,11.03,11.227,11.428,11.642,11.864,12.093,12.345,12.567,12.776,12.973,13.135,13.328,13.53,13.742,13.978,14.197,14.411,14.62,14.824,15.025,15.224,15.422,15.607,15.821,16.049,16.292,16.574,16.825,17.071,17.311,17.514,17.772,18.053,18.357,18.766,19.039,19.405,19.749,20.042,20.302,20.606,20.981,21.25,21.479,21.783,22.216,22.469,22.895,23.22,23.665,23.813,24.053,24.361,24.669,24.898,25.174,25.479,25.911,26.221,26.543,26.943,27.31,27.543,27.802,28.205,28.576,28.901,29.225,29.612,29.928,30.15,30.265,30.58,30.986,31.368,31.805,32.178,32.514
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of nonresidential fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","assets owned and used by nonprofit institutions serving households, and rental income of persons for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
