"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:27:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      National income","A032RC1",245.1,240,267,308,326.5,344.4,344.4,377.6,400.9,419.4,421.6,459.6,479.9,497.2,535.2,566.6,608.3,660.3,719.7,760.2,832.1,899.5
"9","2","Domestic business","A368RC1",211.9,203.7,227.4,258.6,270.7,285.5,282.8,311.8,330.3,343.5,340.3,373.6,386.6,397.2,427.4,451.5,484.6,527.2,572.8,599.4,654.4,705
"10","3","  Corporate business","A439RC1",134.6,130.7,148.9,170.7,179,192,188.6,213.6,228.1,237.2,230.5,259.9,271.5,279.3,305.2,325,351.7,386.7,424.3,446.2,492.2,535.1
"11","4","    Compensation of employees","A442RC1",91.1,88.8,98.7,114.6,123,134,132.2,144.6,158.2,166.5,164,180.3,190.7,195.6,211,222.7,239.2,259.9,288.5,308.4,340.2,377.5
"12","5","      Wages and salaries","A443RC1",86.9,84.4,93,107.5,115.5,125.8,123.6,134.8,147,154,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338
"13","6","      Supplements to wages and salaries","A444RC1",4.2,4.4,5.7,7,7.5,8.2,8.6,9.8,11.2,12.5,12.6,14.6,16.2,16.9,19.2,20.8,22.4,24.7,29.3,31.4,34.8,39.4
"14","7","    Corporate profits with IVA and CCAdj","A445RC1",30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8
"15","8","    Net interest and miscellaneous payments","A453RC1",0.1,0,-0.1,-0.2,-0.2,0,0.2,0.2,0.1,0.3,0.7,-0.1,-0.1,0.5,0.9,0.5,0.9,1.3,2.4,4.2,4.4,8.6
"16","9","    Taxes on production and imports less subsidies plus business current transfer payments","W460RC1",13.3,13.9,15.5,16.9,18.4,19.4,18.7,20.9,22.9,24.4,24.6,26.9,29.3,30.6,33.1,35.5,38.3,41,41.8,44.5,51.6,57.2
"17","10","  Noncorporate business","W461RC1",77.3,73.1,78.5,87.9,91.8,93.5,94.2,98.2,102.2,106.3,109.7,113.7,115.1,117.9,122.1,126.4,132.9,140.4,148.5,153.2,162.2,169.9
"18","11","    Compensation of employees","W462RC1",27.4,27.2,29.2,32.5,34.8,36.5,36.3,37.7,39.8,41.2,41.7,43.9,44.4,44.3,45.7,47.2,49.8,51.7,55.1,56.6,60,63
"19","12","      Wages and salaries","W463RC1",26.3,26.1,27.8,30.9,33.1,34.6,34.4,35.6,37.5,38.7,39.1,40.9,41.1,40.9,42,43.2,45.7,47.4,50.3,51.7,54.5,57.1
"20","13","      Supplements to wages and salaries","W464RC1",1.1,1.2,1.4,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.6,3,3.3,3.4,3.7,4,4.1,4.3,4.9,5,5.4,5.9
"21","14","    Proprietors' income with IVA and CCAdj","A041RC1",39.3,34.7,37.5,42.6,43,42,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77
"22","15","    Rental income of persons with CCAdj","W155RC1",4.5,4.4,4.8,5.1,5.2,5.3,5.4,5.4,5.5,5.4,5.6,5.5,5.5,5.5,5.6,5.8,5.8,5.9,6,5.9,6,6
"23","16","    Net interest","W468RC1",1.1,1.3,1.5,1.8,1.9,2.1,2.3,2.5,2.8,3.2,3.5,3.7,4,4.3,4.8,5.4,6.2,6.9,7.8,8.4,9.1,10.4
"24","17","    Taxes on production and imports less subsidies plus business current transfer payments \1\","W469RC1",5,5.4,5.5,5.9,6.8,7.7,7.9,8.3,8.4,8.7,8.7,9.6,10.2,10.1,10.5,10.9,11.2,11.5,11.3,12.6,12.9,13.6
"25","18","    Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.3,0.4,0.8,0.8,0.7,0.3,0.2,0.3,0
"26","19","    Sole proprietorships and partnerships","A1641C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,97.2,99.1,102.3,104.9,110.3,116.5,123.5,127.1,133.8,139.9
"27","20","      Compensation of employees","A1642C1",24,23.6,25.3,28.2,29.9,31.4,31.2,32.2,34.1,35.2,35.2,37.1,37,36.5,37.2,38.1,40.1,41.3,43.9,44.5,46.4,48.1
"28","21","        Wages and salaries","B1643C1",23.3,22.8,24.3,27,28.6,30.1,29.8,30.7,32.4,33.4,33.4,34.9,34.6,34.1,34.7,35.3,37.3,38.4,40.5,41.1,42.7,44.2
"29","22","        Supplements to wages and salaries","B1644C1",0.8,0.8,1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,1.8,2.1,2.3,2.4,2.6,2.8,2.8,2.9,3.4,3.4,3.7,3.9
"30","23","      Proprietors' income with IVA and CCAdj","A1645C1",39.3,34.7,37.5,42.6,43.1,42.1,42.3,44.3,45.9,47.8,50.2,50,50.2,52.8,54.8,56,58.7,63.2,67.5,69,73.4,76.6
"31","24","        Farm","B042RC1",16.7,12,12.9,15.3,14.3,12.2,11.7,10.7,10.6,10.6,12.4,10,10.6,11.2,11.2,11,9.8,12,13,11.6,11.7,12.8
"32","25","        Nonfarm","A1646C1",22.6,22.7,24.7,27.3,28.8,29.9,30.5,33.6,35.3,37.3,37.8,40,39.6,41.6,43.6,44.9,48.9,51.2,54.4,57.4,61.7,63.7
"33","26","      Net interest","B1649C1",0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1,1.1,1.3,1.3,1.4,1.5,1.7,2,2.5,2.9,3.5,3.8,4.2,5.1
"34","27","      Taxes on production and imports less subsidies plus business current transfer payments","W471RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.6,8.3,8.5,8.8,9,9.1,8.8,9.8,9.8,10.3
"35","28","    Other private business","A1650C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,11.6,12.2,12.8,13.6,14.2,15,15.7,16.4,17.3,18
"36","29","      Compensation of employees","A1651C1",0.8,0.8,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.7,1.8,1.9,2,2.1,2.3,2.6,2.8,3
"37","30","        Wages and salaries","B1652C1",0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.7,1.8,1.9,2,2.1,2.4,2.5,2.8
"38","31","        Supplements to wages and salaries","B1653C1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
"39","32","      Proprietors' income with IVA and CCAdj","A1654C1",0,0,0,0,0,0,0,0,0,-0.1,-0.1,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4
"40","33","      Rental income of persons with CCAdj","W155RC1",4.5,4.4,4.8,5.1,5.2,5.3,5.4,5.4,5.5,5.4,5.6,5.5,5.5,5.5,5.6,5.8,5.8,5.9,6,5.9,6,6
