"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"1","[Billions of dollars; months seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Monthly data from 2001 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 30, 2008      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/29/2008 9:44:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008
"8",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4
"9","1","    Wage and salary disbursements","A576RC1",4945.8,4965.9,4971.5,4953,4949.3,4951.9,4948.2,4940.3,4917.2,4916.4,4921.8,4932.2,4949.1,4958.3,4976.1,4978.3,4985.9,5004,4982.1,4989.6,4993.8,4982.2,4982.5,4988.8,5001.2,5022.4,5039.4,5055,5090.2,5110,5115,5135.6,5152.2,5188.5,5225.6,5217.2,5240.9,5263.9,5277.8,5319.4,5362.2,5372,5417.7,5446.3,5479.5,5510.3,5509.8,5534.3,5551.3,5558,5568.1,5601.4,5607.3,5633.4,5703.2,5715.2,5742.8,5752.3,5768.9,5812.6,5916.3,5956,5964.5,5960.2,5927.4,5987.5,5993,6006,6048.6,6115.7,6150.2,6193,6248.4,6291.2,6343.6,6298.3,6314.1,6344.2,6358.6,6376.8,6412.9,6435.2,6470,6500,6534.3,6558.1,6588.4,6574
"10","2","Private industries","A132RC1",4152.3,4167.1,4169.7,4147.7,4140.6,4138.4,4130.4,4117.9,4090.8,4085.4,4086.5,4096.2,4096.9,4102.4,4117.9,4118.2,4121.3,4137.7,4115.8,4119.6,4122.4,4108.7,4107.4,4111.4,4111.4,4127.9,4142.2,4155.3,4186.7,4199.8,4207.7,4228.2,4245.7,4278.4,4313.6,4302.5,4313.5,4332.9,4341.4,4375.2,4421.4,4430.2,4473.5,4499.7,4531.2,4559.5,4557.1,4581.1,4582.7,4586.6,4595.1,4626,4630.1,4654.3,4721.4,4731.3,4756.1,4764,4777.6,4818.1,4915.5,4951.1,4956.9,4949.7,4913.8,4970.2,4971.2,4979,5016.2,5080.6,5113,5153.6,5200.7,5239.1,5288.5,5239.1,5252.3,5279.4,5290.8,5303.1,5335.7,5354.2,5385.7,5411.1,5434.8,5453.7,5480.6,5462.4
"11","3","  Goods-producing industries","N231RC1",1076,1077.6,1080.1,1064.4,1055,1046.4,1043.4,1028.6,1021.8,1014.7,1011.6,1012.1,1012.9,1014.9,1019.7,1016.4,1017.5,1019.3,1013,1008.7,1006.7,999.8,998.8,1001.2,999.6,999.9,1000.1,996.8,1002.1,1003.4,995.5,1000.9,1008.7,1023.1,1034.5,1029.8,1017.7,1017.1,1019,1031.3,1044.4,1045.5,1058,1066.3,1070.7,1072.6,1071.5,1076.8,1075.7,1076,1075.1,1082.1,1085.1,1091.4,1108.5,1115.5,1115.8,1117.1,1116.2,1125.6,1154.6,1164.9,1164.3,1156,1151,1160.7,1156,1158,1161.4,1185.4,1189.5,1199.2,1203.4,1205.9,1217.3,1210.4,1211.3,1216.1,1215.8,1217.1,1219.6,1224.1,1233,1233.7,1234.9,1236.5,1241,1229.6
"12","4","    Manufacturing","N552RC1",748.4,746.5,746.2,731.2,718.5,708.1,704.8,690.1,683.9,678.2,675.1,674.1,673.7,674.5,680.1,680.3,683.2,685.7,679.1,674.8,672.7,667.3,666.5,667.6,665.2,666.7,665.7,661.6,665.8,666.2,659.2,662.2,667.2,677.7,686.8,682.1,670.3,668.5,667,676.2,684.6,683.4,694.2,699.6,701.3,700.3,697.3,700.5,700.8,698.9,695.3,698.6,699.6,701.3,709.3,711.9,708.6,710,705.3,709.9,728.2,735.7,734.9,726.8,722.4,720.8,723,724.7,725.4,741.3,741.2,747.4,750.9,754.4,760.8,753.9,752.5,756,755.1,754.9,754.2,756.5,762.8,762.3,763.7,764.9,767.4,762.3
"13","5","  Services-producing industries","N233RC1",3076.3,3089.4,3089.6,3083.3,3085.6,3091.9,3087,3089.2,3069,3070.6,3074.9,3084.1,3084,3087.5,3098.2,3101.8,3103.7,3118.5,3102.8,3110.8,3115.6,3108.9,3108.6,3110.1,3111.8,3128,3142.1,3158.4,3184.6,3196.4,3212.3,3227.3,3237,3255.3,3279.1,3272.7,3295.8,3315.9,3322.4,3343.9,3377,3384.6,3415.5,3433.4,3460.5,3486.9,3485.6,3504.3,3507,3510.6,3520,3543.9,3545,3562.9,3612.9,3615.8,3640.3,3646.9,3661.5,3692.5,3760.8,3786.2,3792.6,3793.7,3762.8,3809.4,3815.1,3821,3854.8,3895.3,3923.4,3954.4,3997.2,4033.2,4071.2,4028.7,4041,4063.3,4075,4086,4116,4130.1,4152.7,4177.4,4199.9,4217.2,4239.6,4232.8
