"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"11","4","    Durable","A332RC1",2.2,1.5,0.9,0.5,0.5,0.8,1,1.1,1.7,1.5,1.7,2.6,2.9,2.3,2,2.4,2.8,5,8.5,6.6,6.1,5.1,6.6,6.9,6.9,7.1,8.2,9.8,10.9,9,8.9,11.3,11.5,12,12.7,14.7,15.8,17.5,18.4,21,23.7,27.1,27.5,31,41.4,56.5,63.8,69,72,85.3,108,133.3,140.1,124.7,120.4,132.4,137.2,142.6,162.9,208.8,239.8,262,282.3,300.6,314,349.7,394.1,421.8,483,487.1,503.3,569.2,521.1,487.2,496.1,563.8,627.8,717.3,790.4
"12","5","    Nondurable","A339RC1",3.1,2.4,1.6,1.2,1.2,1.4,1.5,1.5,1.7,1.7,1.7,1.6,1.7,1.1,0.9,1.2,2.5,6.7,7.6,6.6,6.1,5.1,7.6,6.5,5.5,5.8,6.2,7.8,8.6,7.4,7.5,9.2,9.4,9.7,10.7,12,12,13.2,13.7,14.3,14.6,17.4,18,20.8,32.6,44.5,45.8,48.7,51.6,60.1,76,92.5,99,90.3,86.9,93.2,85,83.4,94.6,117,129.5,134.6,141.3,147.4,145.9,160.4,189.2,196.6,204.7,193.8,193.9,215.1,210.1,210.4,228.3,254.5,279.2,313.1,362.5
"13","6","  Services \1\","A646RC1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1,1.1,1.3,1.4,2.4,2.6,2.3,2.3,2.1,2.9,3,2.9,2.9,3.3,3.7,4.5,4.1,6.3,6.6,6.7,7.4,7.7,8.3,9.4,10.2,11.3,12.6,13.7,15.2,17.4,19,21.3,25.7,29.1,31.7,35.7,41.5,46.1,55,66.1,68.2,69.7,76.7,79.8,94.5,106.4,118.3,134,155.7,173.3,187.4,195.9,210.8,228.9,250.2,267.6,275.1,294,311.9,301.6,308.4,316.4,364.1,402.4,437.1,490.1
"14","7","Income receipts","B645RC1",1.1,1,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2,1.9,2.2,2.8,2.9,2.8,3,3.5,3.9,4.3,3.9,4.3,4.9,5.3,5.9,6.5,7.2,7.9,8.1,8.7,10.1,11.8,12.8,14,16.3,23.5,29.8,28,32.4,37.2,46.3,68.3,79.1,92,101,101.9,121.9,112.4,111.4,123.2,152.1,177.7,189.1,168.9,152.7,156.2,186.4,233.9,248.7,286.7,287.1,320.8,382.7,322.4,305.7,336.8,437.5,544.1,691.4,817.5
"15","8","  Wage and salary receipts","B4188C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.9,1,1,1,1.2,1.3,1.8,1.8,1.9,2.2,2.2,2.3,2.4,2.7,2.9,2.9,2.9,2.8,2.8,2.9,2.9,3
"16","9","  Income receipts on assets","W160RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.1,2.6,2.7,2.7,2.9,3.4,3.8,4.1,3.7,4.1,4.7,5.1,5.8,6.4,7.1,7.7,7.9,8.5,9.9,11.5,12.6,13.7,16,23.2,29.5,27.7,32,36.8,45.8,67.9,78.6,91.5,100.5,101.3,121.2,111.8,110.5,122.2,151.1,176.6,187.9,167.6,150.9,154.4,184.5,231.8,246.6,284.4,284.7,318.1,379.7,319.5,302.7,334,434.7,541.2,688.6,814.5
"17","10","    Interest","A2067C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.7,1.9,2.2,2.5,2.9,3.5,3.9,4,4.2,5.7,9.1,9.8,11,13,16.8,25.3,34.8,53.4,63.8,60.2,75.1,65,61.8,63.3,79.5,101.1,107,92.1,72.6,65.5,80.8,104.5,107.3,125.5,137.7,141.3,177.2,136.9,98.3,84.9,118.3,182.5,268.8,323.5
"18","11","    Dividends","B3375C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.1,1.3,1.5,1.4,1.5,1.7,1.9,2.2,2.3,2.1,2.3,2.4,2.9,3.2,3.2,3.8,4,3.6,3.9,4.2,4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,58.8,58.4,69,83.4,83.4,92.7,86.3,87.4,92.8,100.9,121.1,348.3,167.2,198
"19","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.4,0.5,0.8,0.9,0.8,0.7,1,1.2,1.4,0.9,1.1,1.4,1.2,1.3,1.6,1.6,1.7,2,2,2.8,3.2,3.6,3.7,5.2,9,8.8,9.3,9.3,9.6,14.3,22.7,22.4,17.3,12.8,21.6,26.5,25.8,20.8,31,26.5,27.6,37.3,34,33.6,49.5,44.9,68.8,70.3,75.5,63.5,84.1,116.1,95.2,111.6,148.2,195.3,10.4,252.6,293
"20","13","    Current payments to the rest of the world","W163RC1",6.3,4.8,3.5,2.3,2.3,2.6,3.3,3.7,4.6,3.3,3.6,4,4.9,5.1,6.8,7.6,8.9,10.3,11.1,15.2,15.6,16.4,19,18.7,19.4,18.6,20.7,22.5,23.5,23.5,28.2,28.7,28.6,31.1,32.6,34.7,38.8,45.1,48.6,56.3,61.9,68.5,76.4,90.7,109.5,149.8,145.4,173,205.6,243.6,297,348.5,390.9,384.4,410.9,511.2,525.3,571.2,637.9,708.4,769.3,811.5,752.3,824.9,882.5,1012.5,1137.1,1217.6,1352.2,1430.5,1585.9,1875.6,1725.6,1769.9,1889.8,2244,2588.5,2953.2,3171.3
"21","14","Imports of goods and services","B021RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,453.3,509.1,554.5,591.5,630.3,624.3,668.6,720.9,814.5,903.6,964.8,1056.9,1115.9,1251.7,1475.8,1399.8,1430.3,1540.2,1797.8,2023.9,2229.6,2351
"22","15","  Goods \1\","A255RC1",4.5,3.1,2.1,1.3,1.5,1.8,2.5,2.5,3.2,2.2,2.4,2.7,3.4,2.7,3.4,3.8,3.9,5.1,6,7.6,6.9,9.1,11.2,10.8,11,10.4,11.5,12.8,13.3,13,15.3,15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.3,929,1045.5,1243.5,1167.9,1189.3,1283.9,1499.5,1702,1880.4,1979.4
"23","16","    Durable","A333RC1",1.3,0.8,0.5,0.2,0.3,0.4,0.7,0.7,1,0.6,0.7,1,1.4,1,1,1.1,1.2,1.5,1.8,2.4,2.1,3,3.8,4.1,4.1,3.6,4.5,5.2,5.3,5,6.6,6.4,6,6.9,7.4,8.4,10.4,13.3,14.5,18.8,20.8,22.8,26.6,33.3,40.8,50.3,45.6,56.8,69.2,89,100.4,111.9,126,125.1,147.3,192.4,204.2,238.8,264.2,294.8,310.4,314.7,315.7,346.9,386.6,454.2,511,533.6,588.3,636.5,714.7,820.7,754.7,770,801.2,934.1,1021,1126.5,1171.8
"24","17","    Nondurable","A340RC1",3.2,2.3,1.7,1.1,1.2,1.3,1.8,1.8,2.2,1.6,1.7,1.7,2.1,1.8,2.5,2.7,2.7,3.6,4.2,5.2,4.8,6.1,7.4,6.7,6.9,6.7,7.1,7.6,8,8,8.7,8.9,9,9.9,10.3,11,11.8,13.1,13.2,15.1,16.1,18.1,19.9,23.6,31,54.2,53.4,67.8,83.4,88.4,112.3,136.6,141.8,125.4,125.4,143.9,139.1,131.2,150.6,157.3,174.4,193.4,185,198.1,206.2,222.6,246.5,273.8,297.1,292.5,330.8,422.8,413.2,419.4,482.7,565.4,681,753.9,807.6
"25","18","  Services \1\","B656RC1",1.1,1,0.8,0.6,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,1,1.9,2.8,3.1,3.7,1.9,2,2.5,2.4,2.5,3.4,4.5,5,5.1,5.7,6.1,6.7,7.1,7,7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,83.3,94.3,102.4,106.7,122.3,123.6,123.6,128.1,137.7,146.1,157.4,171.5,186.9,206.3,232.3,231.9,241,256.2,298.3,322,349.2,371.6
"26","19","Income payments","A655RC1",0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.1,1.1,1.2,1.2,1.5,1.8,1.8,1.8,2.1,2.3,2.6,3,3.3,4,5.7,6.4,6.4,7.7,10.9,14.3,15,15.5,16.9,24.7,36.4,44.9,59.1,64.5,64.8,85.6,85.9,93.6,105.3,128.5,151.5,154.3,138.5,123,124.3,160.2,198.1,213.7,253.7,265.8,287,343.7,278.8,275,280,361.3,475.6,633.4,721.8
"27","20","  Wage and salary payments","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4,4.8,5.1,6,6.3,6.3,6.7,7,8,7.5,8.1,8.4,8.5,9,9.3,9.4,10
"28","21","  Income payments on assets","W161RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0.7,0.8,0.7,0.8,0.8,0.9,0.9,1,1,1.3,1.5,1.5,1.6,1.8,2.1,2.4,2.8,3.1,3.8,5.5,6.2,6.2,7.4,10.6,13.9,14.6,15.1,16.4,24.2,35.9,44.3,58.4,63.8,64,84.7,85,90.9,103,126.6,149.2,150.8,134.5,118.3,119.2,154.3,191.9,207.4,247.1,258.8,279.1,336.2,270.7,266.7,271.4,352.3,466.3,624,711.7
"29","22","    Interest","B1869C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.7,0.9,1,1.2,1.3,1.7,1.9,2.4,4,4.7,4.2,5.2,7.9,11,11.3,10.7,11.8,18,27.9,36,50,59.7,58,75.2,76.3,81.7,92,112,140.8,146,135.4,113,107.1,127.7,157.4,170,199.1,214.8,223.8,279.4,257.8,218,187.8,229.4,325.7,461.5,558.3
"30","23","    Dividends","B3376C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41,51,56.8,46.5,45,68.9,73.3,92.5,91.4,62.4
"31","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.4,0.4,0.6,0.6,0.9,1.1,1.2,1.7,1.6,2.6,4.1,3.6,3.1,-3.4,-1.3,2.2,-0.5,-0.7,-0.3,1.4,-7.9,-13.9,-18.1,-11.4,-6.9,5.1,8.6,8.7,15.2,3,4.3,-0.1,-33.7,3.6,14.7,49.7,48.1,71.1,91
"32","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1",0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.8,2.9,2.6,4.5,5.6,4,3.5,2.5,2.5,2.3,2.5,2.4,2.3,2.3,4.3,4.1,4.2,4.3,4.4,4.3,4.7,5,5.4,5.7,5.8,6.3,7.6,8.8,7.4,8.1,7.6,6.3,6.2,6.7,8,9.8,14.1,16.7,17.5,20.5,22.2,24.3,23.5,25.5,26.4,26.9,-10.6,33.4,37.3,37.8,35.4,39.1,41.6,48.8,47.2,56.1,47,64.5,69.7,84.9,89,90.1,98.5
"33","26","  From persons (net)","B070RC1",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.5,0.7,0.7,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.8,0.8,1,1,1.1,1.3,1.3,1.4,1.5,1.3,1.3,1.3,1.3,1.5,1.6,1.8,5.5,6.6,6.9,7.8,8.2,9,9.9,10.6,11.4,12,13,12.3,14.2,15.4,16.2,18,21,24.6,28.3,31.5,33,40,40.2,43.1,47.3,48.9,51.1
"34","27","  From government (net)","B088RC1",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.4,2.3,2,3.9,5.1,3.6,3.1,2.1,2,1.8,2.1,1.9,1.8,1.8,3.8,3.5,3.6,3.6,3.6,3.4,3.7,4,4.1,4.4,4.4,4.7,5.9,7,5.2,5.8,5.6,3.9,3.5,3.8,4.3,5.5,5.4,6.7,7.2,9.2,11.1,12.2,10.3,10.4,10.4,10,-28.6,17.1,17.8,15.8,10.1,14.1,10.9,11.2,11.6,13.5,9.5,14.3,17.6,19.2,27.1,20.3,25.2
"35","28","  From business (net)","W164RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,3.9,5.4,6.6,9.1,7.1,9.7,12.9,7.3,11.2,4.5,10.3,11.9,22.6,14.6,20.9,22.2
"36","29","    Balance on current account, NIPAs","A124RC1",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.8,4.8,0.9,-1.2,3.2,4.3,3.9,5,7.5,6.2,3.9,3.6,1.7,1.8,4,0.6,-3.6,9.3,6.6,21.4,8.9,-9,-10.4,1.4,11.4,6.3,-0.2,-32.1,-86.9,-110.8,-139.2,-150.8,-112.2,-88.3,-70.1,13.5,-36.9,-70.4,-105.2,-91,-100.3,-110.2,-187.4,-273.9,-396.6,-370.4,-458.3,-512.3,-624.1,-735.1,-794.1,-710.8
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Net lending or net borrowing (-), NIPAs \2\","W162RC1",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.8,4.8,0.9,-1.2,3.2,4.3,3.9,5,7.5,6.2,3.9,3.6,1.7,1.8,4,0.6,-3.6,9.3,6.6,21.4,8.9,-9,-10.4,1.4,11.4,6.3,0,-31.8,-86.7,-110.5,-138.9,-150.4,-111.7,-88,-76.6,9,-37.5,-71.7,-106.9,-91.9,-101,-111.3,-188.1,-278.7,-397.4,-371.5,-459.7,-515.5,-626.5,-739.1,-798,-712.4
"39","31","    Balance on current account, NIPAs","A124RC1",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.8,4.8,0.9,-1.2,3.2,4.3,3.9,5,7.5,6.2,3.9,3.6,1.7,1.8,4,0.6,-3.6,9.3,6.6,21.4,8.9,-9,-10.4,1.4,11.4,6.3,-0.2,-32.1,-86.9,-110.8,-139.2,-150.8,-112.2,-88.3,-70.1,13.5,-36.9,-70.4,-105.2,-91,-100.3,-110.2,-187.4,-273.9,-396.6,-370.4,-458.3,-512.3,-624.1,-735.1,-794.1,-710.8
"40","32","    Less:Capital account transactions (net) \3\","W167RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.3,6.6,4.5,0.6,1.3,1.7,0.9,0.7,1,0.7,4.8,0.8,1.1,1.4,3.2,2.4,4.1,3.9,1.6
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","and sold by the Federal Government, are included in services.  Beginning with 1986,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
