"","Table 6#6C# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Dollars]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 20, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2008 9:18:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Wage and salary accruals per full-time equivalent employee","A4401C0",23132,24277,25032,26262,27326,28672,29444,30177,31034,32087,33490,35201,36754,38846
"9","2","Domestic industries","A4402C0",23131,24268,25025,26264,27331,28679,29373,30099,30956,32017,33411,35121,36664,38762
"10","3","  Private industries \1\","A4403C0",22835,23990,24691,25857,26822,28171,28801,29479,30353,31438,32910,34719,36294,38446
"11","4","    Agriculture, forestry, and fishing","A4404C0",12251,12929,14104,15946,16114,16632,17241,17739,18039,19089,20267,20487,20985,22474
"12","5","      Farms","B4405C0",10156,11018,12578,14804,14506,14906,16235,16987,17603,19315,19860,21092,20465,22271
"13","6","      Agricultural services, forestry, and fishing","B4406C0",14597,14966,15566,17029,17624,18169,18076,18312,18360,18937,20554,20108,21309,22593
"14","7","    Mining","A4407C0",34210,35114,36478,38024,39696,42125,43545,44494,46619,48490,50754,52537,55452,59037
"15","8","      Metal mining","B4408C0",32750,34902,35895,36983,39250,41130,42824,44620,49067,49262,50540,50566,56897,55433
"16","9","      Coal mining","B4409C0",36522,37365,38406,40736,41575,43403,44255,45373,46869,49356,50176,51310,51804,53525
"17","10","      Oil and gas extraction","B4410C0",34992,35892,37620,39093,41255,44468,46307,47021,49557,51835,54590,56844,61423,66824
"18","11","      Nonmetallic minerals, except fuels","B4411C0",28620,29473,30391,31261,31624,33013,33868,35261,36292,37343,39431,41280,41998,42869
"19","12","    Construction","B4412C0",24748,25992,26775,27870,28551,29333,29398,30185,30425,31637,32934,34718,36199,37922
"20","13","    Manufacturing","A4413C0",26732,27984,28854,30056,31236,32809,33660,34699,35833,37109,38940,40840,42834,45665
"21","14","      Durable goods","A4414C0",28297,29546,30448,31667,32888,34502,35487,36703,37708,38992,40786,42632,44855,47920
"22","15","        Lumber and wood products","B4415C0",19764,20721,21081,21704,22179,23341,23870,24380,25152,26158,27410,28295,29006,29962
"23","16","        Furniture and fixtures","B4416C0",18980,19764,20387,21404,22057,23379,23965,24312,25175,26067,27630,28875,29672,30714
"24","17","        Stone, clay, and glass products","B4417C0",26070,26945,27436,28341,29097,30772,31053,32274,33337,34769,35761,36926,38694,40658
"25","18","        Primary metal industries","B4418C0",29911,31470,32762,33637,33980,36125,37245,38755,40157,40859,41964,42823,44591,45508
"26","19","        Fabricated metal products","B4419C0",25468,26599,27262,28248,29365,30721,31178,32448,32927,33946,35158,36323,37148,38316
"27","20","        Industrial machinery and equipment","B4420C0",29999,31600,32526,34030,35186,37176,37770,39039,40138,41656,43999,46207,49618,54665
"28","21","        Electronic and other electric equipment","B4421C0",27428,28611,29706,31070,32643,34388,36171,37256,39064,40256,42877,45697,50376,57314
"29","22","        Motor vehicles and equipment","B4422C0",35278,37563,38079,38239,39790,40968,44606,47521,46516,48533,49715,52233,53910,55338
"30","23","        Other transportation equipment","B4423C0",33729,34258,35572,37344,38952,41012,42036,43641,44621,45459,47231,48700,50096,51822
"31","24","        Instruments and related products","B4424C0",31961,33186,34364,35894,37825,39528,40881,42505,44808,46771,48630,51479,55001,58966
"32","25","        Miscellaneous manufacturing industries","B4425C0",21016,22247,22790,24522,25009,26471,26971,27379,28179,28819,30649,31924,33231,34692
"33","26","      Nondurable goods","A4426C0",24467,25706,26541,27770,28970,30534,31231,31996,33233,34430,36248,38158,39777,42197
"34","27","        Food and kindred products","B4427C0",23536,24444,25116,25909,26906,28081,28664,29133,30199,30585,31883,33415,34158,36012
"35","28","        Tobacco products","B4428C0",35481,38000,41098,40059,41735,45191,44089,47930,54376,55951,59385,56103,60219,68259
"36","29","        Textile mill products","B4429C0",18416,18916,19728,20214,21386,22672,23050,23665,23937,24923,26327,27290,28432,29380
"37","30","        Apparel and other textile products","B4430C0",14198,14934,15514,16173,16916,17683,17862,18123,18827,19820,20880,22115,23363,25271
"38","31","        Paper and allied products","B4431C0",30067,31382,32282,33514,34456,36119,36967,38261,39561,40753,42137,43204,44878,46461
"39","32","        Printing and publishing","B4432C0",25551,27063,27511,28888,29885,31688,32451,33225,34575,35798,37404,39332,41091,43251
"40","33","        Chemicals and allied products","B4433C0",35381,37395,38940,40949,42912,45380,47022,48886,51274,53191,56775,60399,62964,68329
"41","34","        Petroleum and coal products","B4434C0",40296,41058,42699,44974,47205,50292,51899,53531,54870,55522,60118,63249,63753,64560
"42","35","        Rubber and miscellaneous plastics products","B4435C0",22756,23833,24467,25500,26310,27928,28509,29212,29887,30864,32211,33561,34523,35627
"43","36","        Leather and leather products","B4436C0",15434,16310,17050,18053,19238,20271,20744,21532,22217,23694,24848,25927,28057,29877
"44","37","    Transportation and public utilities","A4437C0",30020,30816,31592,32989,34210,35915,36404,37493,38368,39254,41053,42812,45447,47387
"45","38","      Transportation","A4438C0",26435,27080,27660,29000,30018,31575,31392,31946,32283,33074,34407,35907,37178,38484
"46","39","        Railroad transportation","B4439C0",41950,41792,42270,43602,45893,50267,50440,51719,50465,55299,57235,60632,60623,62673
"47","40","        Local and interurban passenger transit","B4440C0",15358,16330,16626,17554,18064,18950,18955,19504,19980,20648,21219,22008,22792,23745
"48","41","        Trucking and warehousing \2\","B4441C0",23602,24510,25035,26297,26921,28336,28293,29112,29605,30342,31754,32949,34007,35024
"49","42","        Water transportation","B4442C0",29793,30720,32006,33855,34703,36311,36833,37357,37769,38857,40329,42317,43436,44980
"50","43","        Transportation by air \2\","B4443C0",32497,30759,31543,32867,34487,36058,35852,36257,36419,36989,38691,40441,42523,43820
"51","44","        Pipelines, except natural gas","B4444C0",40167,43000,42722,46167,47000,51526,50421,54647,58186,54782,58881,64991,65379,66540
"52","45","        Transportation services","B4445C0",22030,23382,24326,26057,27169,28534,28792,29588,30801,31511,32794,34603,36204,38602
"53","46","      Communications","A4446C0",35110,36331,37280,38750,40128,42194,43807,46972,49134,50411,53386,55889,62336,64102
"54","47","        Telephone and telegraph","B4447C0",37172,38771,40095,41442,43043,45362,47146,50853,52283,54154,57310,59002,66134,67718
"55","48","        Radio and television","B4448C0",29225,29565,29897,31736,32494,34175,35518,37516,41785,41866,43959,48336,52916,54893
"56","49","      Electric, gas, and sanitary services","B4449C0",35402,36664,38420,39555,41273,43212,45423,46721,49012,50378,52536,55043,58050,62468
"57","50","    Wholesale trade","B4450C0",27303,29244,30085,31503,32810,34358,35398,36659,37868,39242,41225,43599,45982,48754
