"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191RX1","1,934,471.0","1,932,281.0","1,930,315.0","1,960,705.0","1,989,535.0","2,021,851.0","2,033,155.0","2,035,329.0","2,007,522.0","2,000,788.0","2,022,798.0","2,004,653.0","2,084,559.0","2,147,592.0","2,230,362.0","2,273,435.0","2,304,542.0","2,344,517.0","2,392,808.0","2,398,105.0","2,423,457.0","2,428,516.0","2,446,081.0","2,526,359.0","2,573,372.0","2,593,456.0","2,578,922.0","2,539,786.0","2,528,043.0","2,530,689.0","2,559,397.0","2,609,272.0","2,683,766.0","2,727,452.0","2,764,128.0","2,780,762.0","2,770,032.0","2,792,872.0","2,790,588.0","2,836,238.0","2,854,517.0","2,848,186.0","2,875,927.0","2,846,446.0","2,772,654.0","2,790,948.0","2,855,472.0","2,922,264.0","2,976,629.0","3,049,011.0","3,043,139.0","3,055,104.0","3,123,162.0","3,111,310.0","3,119,057.0","3,081,300.0","3,102,251.0","3,159,918.0","3,212,606.0","3,277,717.0","3,336,753.0","3,372,706.0","3,404,833.0","3,418,046.0","3,456,080.0","3,501,134.0","3,569,479.0","3,594,954.0","3,672,708.0","3,716,382.0","3,766,862.0","3,780,219.0","3,873,452.0","3,926,406.0","4,006,152.0","4,100,631.0","4,201,891.0","4,219,097.0","4,249,152.0","4,285,582.0","4,324,926.0","4,328,720.0","4,366,088.0","4,401,233.0","4,490,609.0","4,566,442.0","4,599,332.0","4,619,803.0","4,691,637.0","4,706,684.0","4,736,143.0","4,715,469.0"
"21","2","Business \1\","A195RX1","1,293,428.0","1,297,688.0","1,296,073.0","1,322,957.0","1,346,125.0","1,374,140.0","1,380,295.0","1,378,873.0","1,354,792.0","1,347,853.0","1,364,695.0","1,350,909.0","1,416,575.0","1,463,126.0","1,524,699.0","1,541,072.0","1,557,289.0","1,571,629.0","1,597,744.0","1,597,689.0","1,611,539.0","1,610,084.0","1,620,686.0","1,685,110.0","1,719,828.0","1,732,980.0","1,717,964.0","1,685,191.0","1,674,153.0","1,673,953.0","1,694,054.0","1,731,485.0","1,789,809.0","1,824,166.0","1,849,918.0","1,859,558.0","1,847,468.0","1,862,682.0","1,855,216.0","1,888,652.0","1,900,160.0","1,890,588.0","1,908,619.0","1,883,382.0","1,819,559.0","1,829,637.0","1,876,629.0","1,927,961.0","1,972,725.0","2,028,831.0","2,018,421.0","2,022,028.0","2,071,974.0","2,052,629.0","2,054,596.0","2,017,029.0","2,028,645.0","2,074,403.0","2,111,643.0","2,154,632.0","2,197,747.0","2,221,816.0","2,242,638.0","2,248,872.0","2,276,219.0","2,307,998.0","2,358,115.0","2,375,156.0","2,434,959.0","2,463,815.0","2,500,188.0","2,504,972.0","2,580,441.0","2,616,717.0","2,673,735.0","2,743,124.0","2,820,780.0","2,825,723.0","2,836,341.0","2,854,202.0","2,879,128.0","2,875,775.0","2,896,877.0","2,918,721.0","2,984,669.0","3,039,173.0","3,058,869.0","3,072,871.0","3,125,745.0","3,129,757.0","3,147,505.0","3,125,052.0"
"22","3","  Nonfarm \2\","A358RX1","1,246,022.0","1,275,016.0","1,240,844.0","1,305,394.0","1,318,790.0","1,314,813.0","1,325,991.0","1,318,928.0","1,309,390.0","1,301,023.0","1,318,302.0","1,305,996.0","1,361,698.0","1,411,054.0","1,487,100.0","1,503,009.0","1,531,422.0","1,538,285.0","1,558,008.0","1,562,411.0","1,579,274.0","1,571,521.0","1,576,600.0","1,650,950.0","1,681,247.0","1,689,572.0","1,680,951.0","1,648,276.0","1,628,950.0","1,628,194.0","1,651,305.0","1,691,510.0","1,751,692.0","1,779,650.0","1,805,456.0","1,821,718.0","1,810,185.0","1,822,383.0","1,815,208.0","1,844,530.0","1,867,345.0","1,856,396.0","1,873,804.0","1,840,946.0","1,774,299.0","1,783,291.0","1,838,316.0","1,897,246.0","1,935,309.0","1,995,696.0","1,985,809.0","1,982,678.0","2,041,193.0","2,017,254.0","2,011,497.0","1,968,531.0","1,982,631.0","2,034,502.0","2,074,639.0","2,120,755.0","2,163,900.0","2,186,050.0","2,209,960.0","2,214,491.0","2,235,339.0","2,272,295.0","2,326,916.0","2,344,907.0","2,409,883.0","2,436,803.0","2,470,951.0","2,472,581.0","2,548,499.0","2,589,145.0","2,641,753.0","2,715,222.0","2,792,934.0","2,803,219.0","2,820,625.0","2,832,263.0","2,852,945.0","2,847,158.0","2,868,162.0","2,891,513.0","2,961,310.0","3,018,328.0","3,038,508.0","3,051,952.0","3,104,138.0","3,107,708.0","3,124,540.0","3,101,898.0"
"23","4","  Farm","B359RX1","19,812.0","16,620.0","21,297.0","16,062.0","17,538.0","22,611.0","21,923.0","22,952.0","20,232.0","20,517.0","20,632.0","20,224.0","22,629.0","22,431.0","20,409.0","20,631.0","18,908.0","20,185.0","21,480.0","20,761.0","20,393.0","21,485.0","22,573.0","21,285.0","22,466.0","23,586.0","22,088.0","21,809.0","23,587.0","23,699.0","23,151.0","22,783.0","22,794.0","24,579.0","24,770.0","23,162.0","22,910.0","23,807.0","23,685.0","25,019.0","22,104.0","22,426.0","22,719.0","24,480.0","24,730.0","25,062.0","23,389.0","21,791.0","23,839.0","23,086.0","22,869.0","24,685.0","22,659.0","23,793.0","25,994.0","27,300.0","26,676.0","25,231.0","24,658.0","24,088.0","24,374.0","25,071.0","24,374.0","24,902.0","26,922.0","25,669.0","24,717.0","24,543.0","23,413.0","24,152.0","25,037.0","26,003.0","26,373.0","25,353.0","26,969.0","26,277.0","26,761.0","25,388.0","23,677.0","25,459.0","26,820.0","27,509.0","27,662.0","27,341.0","26,601.0","26,209.0","26,209.0","26,474.0","27,022.0","27,182.0","27,565.0","27,464.0"
"24","5","Households and institutions","A193RX1","174,993.0","175,847.0","177,654.0","180,268.0","183,622.0","186,802.0","189,772.0","192,489.0","194,931.0","197,901.0","201,380.0","205,342.0","209,719.0","213,910.0","217,888.0","221,664.0","225,091.0","228,641.0","232,167.0","235,642.0","239,472.0","243,098.0","246,843.0","250,827.0","254,633.0","258,629.0","262,340.0","265,796.0","269,370.0","273,506.0","278,463.0","284,242.0","290,763.0","296,779.0","302,270.0","307,265.0","311,673.0","316,068.0","320,334.0","324,478.0","328,674.0","333,031.0","337,709.0","342,731.0","347,892.0","353,024.0","357,918.0","362,612.0","366,725.0","372,601.0","379,132.0","386,578.0","392,994.0","399,867.0","405,514.0","411,467.0","415,179.0","415,829.0","420,158.0","428,834.0","434,364.0","440,184.0","446,758.0","453,505.0","456,061.0","459,523.0","464,850.0","468,796.0","473,580.0","480,391.0","484,917.0","490,249.0","495,677.0","502,358.0","511,088.0","518,694.0","523,396.0","526,417.0","534,983.0","540,733.0","544,488.0","550,414.0","557,678.0","565,631.0","571,611.0","578,603.0","585,806.0","592,053.0","599,490.0","606,711.0","611,656.0","615,197.0"
"25","6","  Households","B701RX1","101,934.0","102,396.0","103,110.0","104,026.0","105,129.0","106,410.0","107,823.0","109,354.0","111,000.0","112,973.0","115,255.0","117,836.0","120,663.0","123,419.0","126,066.0","128,613.0","130,977.0","133,385.0","135,756.0","138,075.0","140,649.0","143,009.0","145,385.0","147,883.0","150,197.0","152,685.0","154,992.0","157,149.0","159,427.0","162,066.0","165,241.0","168,957.0","173,143.0","176,989.0","180,482.0","183,637.0","186,411.0","189,179.0","191,878.0","194,508.0","197,199.0","199,868.0","202,639.0","205,538.0","208,371.0","211,407.0","214,442.0","217,495.0","220,316.0","223,923.0","227,588.0","231,632.0","234,530.0","238,242.0","241,560.0","245,662.0","248,668.0","248,830.0","251,592.0","257,513.0","260,352.0","263,690.0","267,773.0","272,346.0","273,585.0","275,488.0","278,862.0","281,011.0","283,621.0","288,171.0","290,377.0","293,504.0","296,212.0","299,999.0","305,243.0","309,893.0","311,289.0","312,426.0","318,137.0","322,218.0","324,766.0","328,004.0","331,179.0","333,985.0","334,738.0","336,801.0","339,500.0","342,571.0","346,884.0","351,703.0","355,136.0","358,258.0"
"26","7","  Nonprofit institutions serving households \3\","B702RX1","74,155.0","74,587.0","76,012.0","78,341.0","81,513.0","84,034.0","85,927.0","87,176.0","87,756.0","88,527.0","89,482.0","90,603.0","91,899.0","93,038.0","94,055.0","94,962.0","95,692.0","96,519.0","97,370.0","98,253.0","99,216.0","100,267.0","101,456.0","102,786.0","104,209.0","105,589.0","106,872.0","108,049.0","109,170.0","110,464.0","111,990.0","113,746.0","115,738.0","117,606.0","119,356.0","120,991.0","122,454.0","123,908.0","125,298.0","126,635.0","127,941.0","129,532.0","131,422.0","133,596.0","136,094.0","138,171.0","139,895.0","141,278.0","142,228.0","144,371.0","147,384.0","151,059.0","155,286.0","158,696.0","161,016.0","162,381.0","162,438.0","163,097.0","164,491.0","166,609.0","169,600.0","172,133.0","174,458.0","176,190.0","177,690.0","179,332.0","181,108.0","183,007.0","185,297.0","187,193.0","189,788.0","191,984.0","194,983.0","197,936.0","201,317.0","204,128.0","208,163.0","210,385.0","212,866.0","214,184.0","215,239.0","218,021.0","222,564.0","228,514.0","234,995.0","240,860.0","246,045.0","249,441.0","252,516.0","254,616.0","255,887.0","255,924.0"
"27","8","General government \4\","A765RX1","542,522.0","525,800.0","523,522.0","514,026.0","510,465.0","501,545.0","506,119.0","511,358.0","512,039.0","512,043.0","510,503.0","502,336.0","496,172.0","504,024.0","515,105.0","560,423.0","580,453.0","625,364.0","656,990.0","664,236.0","677,658.0","687,810.0","692,851.0","691,231.0","696,460.0","699,914.0","702,881.0","699,577.0","698,167.0","698,614.0","701,050.0","702,843.0","702,417.0","699,025.0","703,426.0","707,181.0","709,274.0","712,821.0","720,996.0","726,632.0","730,239.0","735,196.0","741,416.0","736,710.0","735,811.0","741,576.0","751,713.0","756,447.0","753,047.0","756,219.0","760,958.0","766,695.0","775,241.0","788,353.0","791,680.0","797,476.0","806,440.0","811,916.0","822,678.0","838,743.0","846,985.0","853,886.0","859,871.0","862,509.0","870,007.0","879,760.0","890,388.0","895,537.0","903,422.0","912,974.0","921,620.0","929,161.0","931,280.0","942,042.0","954,910.0","969,687.0","982,936.0","999,401.0","1,020,233.0","1,040,695.0","1,054,188.0","1,060,560.0","1,074,217.0","1,081,807.0","1,096,818.0","1,110,257.0","1,119,166.0","1,119,422.0","1,129,002.0","1,138,403.0","1,147,767.0","1,152,386.0"
"28","9","  Federal","A766RX1","288,206.0","274,230.0","270,894.0","262,368.0","259,661.0","252,623.0","255,028.0","257,110.0","254,750.0","251,712.0","247,669.0","239,199.0","233,845.0","239,408.0","247,508.0","282,358.0","297,014.0","331,170.0","354,903.0","359,098.0","368,853.0","375,830.0","378,260.0","375,038.0","377,338.0","378,023.0","377,921.0","373,056.0","369,969.0","368,477.0","368,329.0","367,228.0","365,207.0","360,347.0","360,585.0","360,284.0","359,807.0","358,153.0","361,035.0","362,339.0","363,389.0","364,763.0","366,119.0","358,481.0","355,084.0","355,366.0","359,579.0","360,313.0","356,422.0","357,190.0","358,384.0","360,194.0","363,276.0","370,055.0","368,665.0","369,991.0","372,318.0","375,149.0","380,370.0","391,143.0","396,780.0","398,873.0","399,813.0","398,270.0","400,748.0","405,017.0","408,322.0","408,612.0","409,536.0","412,588.0","415,821.0","416,236.0","414,769.0","416,673.0","420,806.0","427,310.0","434,300.0","442,446.0","454,107.0","464,520.0","475,596.0","477,343.0","482,342.0","483,040.0","486,928.0","492,936.0","495,000.0","490,444.0","493,238.0","496,411.0","499,388.0","497,640.0"
"29","10","  State and local","A767RX1","213,154.0","216,495.0","219,463.0","221,653.0","221,460.0","221,598.0","223,427.0","226,628.0","231,251.0","236,185.0","240,767.0","244,229.0","245,127.0","245,843.0","246,606.0","247,737.0","249,460.0","251,498.0","253,839.0","256,266.0","257,850.0","259,632.0","262,048.0","264,847.0","267,626.0","270,654.0","274,248.0","277,398.0","280,177.0","282,817.0","285,825.0","289,433.0","291,820.0","294,892.0","299,721.0","304,558.0","307,671.0","314,206.0","319,578.0","324,253.0","326,938.0","330,736.0","336,030.0","341,571.0","345,498.0","351,902.0","357,678.0","362,209.0","363,964.0","366,586.0","370,448.0","374,581.0","380,153.0","385,654.0","391,578.0","396,431.0","403,513.0","405,787.0","410,796.0","414,103.0","415,684.0","420,662.0","426,203.0","431,408.0","436,540.0","441,741.0","449,289.0","454,791.0","462,582.0","469,291.0","474,699.0","482,847.0","487,390.0","497,109.0","506,107.0","513,946.0","519,312.0","526,780.0","534,355.0","543,286.0","543,496.0","548,319.0","556,921.0","564,480.0","576,080.0","583,072.0","590,263.0","596,631.0","603,593.0","609,832.0","616,280.0","623,682.0"
"30","11","Residual","A961RX1","-8,800.0","-27,000.0","-1,300.0","-27,200.0","-14,600.0","19,900.0","13,200.0","13,100.0","-7,000.0","-10,100.0","-9,400.0","-13,300.0","8,800.0","12,500.0","8,600.0","-3,900.0","-19,000.0","-26,600.0","-28,600.0","-36,900.0","-42,800.0","-43,200.0","-40,300.0","-36,400.0","-29,600.0","-26,700.0","-38,200.0","-45,900.0","-43,400.0","-45,100.0","-46,400.0","-44,300.0","-36,500.0","-26,600.0","-26,400.0","-33,600.0","-39,500.0","-38,800.0","-46,100.0","-41,000.0","-50,300.0","-55,500.0","-56,700.0","-58,200.0","-71,400.0","-74,400.0","-77,800.0","-78,000.0","-65,400.0","-61,900.0","-69,400.0","-69,800.0","-74,000.0","-82,500.0","-81,300.0","-89,000.0","-93,900.0","-92,600.0","-94,000.0","-96,500.0","-94,000.0","-93,900.0","-97,900.0","-99,600.0","-94,600.0","-98,400.0","-99,700.0","-101,800.0","-101,600.0","-101,900.0","-99,800.0","-102,900.0","-94,800.0","-99,800.0","-96,000.0","-96,100.0","-90,900.0","-101,500.0","-114,600.0","-116,400.0","-113,900.0","-117,600.0","-122,800.0","-127,600.0","-130,000.0","-131,800.0","-136,200.0","-137,700.0","-135,700.0","-140,700.0","-142,700.0","-149,400.0"
"31",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
