"","Table 6#16D# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","743,624.0","774,045.0","742,296.0","756,190.0","850,714.0","881,025.0","910,082.0","986,845.0","988,174.0","1,028,859.0","1,076,363.0","1,132,103.0","1,238,712.0","1,266,792.0","1,325,678.0","1,302,198.0","1,427,763.0","1,445,994.0","1,474,257.0","1,562,902.0","1,627,434.0","1,649,195.0","1,693,540.0","1,615,854.0","1,530,945.0","1,596,852.0","1,518,143.0","1,470,026.0","1,383,409.0","1,367,634.0","1,371,310.0","1,017,895.0","1,258,954.0","1,301,012.0","1,463,252.0","1,564,670.0","1,658,485.0","1,666,427.0","1,814,036.0","1,846,731.0","1,677,381.0","1,790,002.0","1,826,643.0","1,972,487.0","2,015,988.0","1,993,595.0","1,999,046.0","1,984,030.0","1,997,337.0","2,045,384.0","2,042,139.0","2,064,696.0","1,924,745.0","2,070,499.0","2,161,037.0","2,135,494.0","2,012,539.0","2,060,038.0"
"21","2","Domestic industries","A445RC1","582,882.0","602,360.0","595,023.0","554,290.0","691,177.0","734,254.0","752,616.0","815,592.0","837,941.0","868,803.0","912,056.0","940,187.0","1,025,507.0","1,069,551.0","1,110,450.0","1,107,743.0","1,193,653.0","1,212,955.0","1,221,749.0","1,326,246.0","1,381,101.0","1,394,499.0","1,443,211.0","1,342,557.0","1,244,335.0","1,274,080.0","1,142,063.0","1,041,953.0","965,311.0","948,898.0","931,765.0","667,484.0","904,302.0","974,003.0","1,086,580.0","1,194,243.0","1,260,809.0","1,271,843.0","1,429,389.0","1,442,913.0","1,270,574.0","1,381,284.0","1,392,338.0","1,534,683.0","1,594,735.0","1,589,359.0","1,587,864.0","1,579,345.0","1,605,864.0","1,634,022.0","1,615,672.0","1,634,842.0","1,510,262.0","1,661,855.0","1,733,940.0","1,712,817.0","1,618,899.0","1,669,273.0"
"22","3","  Financial \1\","A587RC1","182,363.0","194,941.0","204,078.0","225,348.0","266,984.0","281,813.0","282,534.0","288,760.0","300,963.0","300,488.0","309,905.0","313,914.0","329,888.0","330,355.0","335,505.0","348,781.0","379,548.0","338,127.0","386,644.0","366,608.0","388,250.0","401,478.0","365,013.0","346,550.0","282,357.0","294,038.0","279,862.0","187,641.0","176,755.0","157,756.0","23,258.0","-101,499.0","209,828.0","318,682.0","388,953.0","369,310.0","344,361.0","320,863.0","378,990.0","428,678.0","349,956.0","336,796.0","317,085.0","419,059.0","459,639.0","427,452.0","454,135.0","411,463.0","389,171.0","378,778.0","382,911.0","392,267.0","341,994.0","402,053.0","406,470.0","383,828.0","360,424.0","394,332.0"
"23","4","  Nonfinancial","A463RC1","400,518.0","407,418.0","390,945.0","328,942.0","424,194.0","452,442.0","470,082.0","526,831.0","536,978.0","568,315.0","602,151.0","626,273.0","695,619.0","739,195.0","774,944.0","758,962.0","814,106.0","874,827.0","835,105.0","959,638.0","992,852.0","993,022.0","1,078,199.0","996,007.0","961,977.0","980,043.0","862,201.0","854,311.0","788,556.0","791,142.0","908,507.0","768,983.0","694,474.0","655,321.0","697,626.0","824,934.0","916,448.0","950,980.0","1,050,399.0","1,014,235.0","920,618.0","1,044,488.0","1,075,253.0","1,115,624.0","1,135,096.0","1,161,907.0","1,133,730.0","1,167,882.0","1,216,693.0","1,255,245.0","1,232,762.0","1,242,576.0","1,168,268.0","1,259,802.0","1,327,470.0","1,328,988.0","1,258,475.0","1,274,941.0"
"24","5","Rest of the world","B394RC1","160,744.0","171,684.0","147,273.0","201,898.0","159,537.0","146,771.0","157,466.0","171,254.0","150,231.0","160,057.0","164,308.0","191,914.0","213,205.0","197,241.0","215,228.0","194,454.0","234,110.0","233,038.0","252,507.0","236,655.0","246,333.0","254,695.0","250,329.0","273,299.0","286,610.0","322,772.0","376,080.0","428,071.0","418,096.0","418,736.0","439,544.0","350,412.0","354,652.0","327,009.0","376,673.0","370,426.0","397,674.0","394,585.0","384,647.0","403,817.0","406,807.0","408,717.0","434,304.0","437,804.0","421,253.0","404,236.0","411,182.0","404,686.0","391,473.0","411,361.0","426,467.0","429,854.0","414,483.0","408,644.0","427,097.0","422,677.0","393,640.0","390,765.0"
"25","6","  Receipts from the rest of the world","B933RC1","191,894.0","186,964.0","176,776.0","177,507.0","192,477.0","203,132.0","218,144.0","207,369.0","230,488.0","237,320.0","251,303.0","281,062.0","314,692.0","323,132.0","332,714.0","342,171.0","373,189.0","374,354.0","383,819.0","403,398.0","409,959.0","435,415.0","440,525.0","449,179.0","465,393.0","498,495.0","528,398.0","549,427.0","599,486.0","618,983.0","600,854.0","508,636.0","465,343.0","466,633.0","513,344.0","547,025.0","565,779.0","576,983.0","584,209.0","611,458.0","625,844.0","644,579.0","661,879.0","645,026.0","655,446.0","636,412.0","655,600.0","653,601.0","648,215.0","666,773.0","677,739.0","682,026.0","680,044.0","687,478.0","703,562.0","690,047.0","650,022.0","656,062.0"
"26","7","  Less: Payments to the rest of the world","B934RC1","31,150.0","15,281.0","29,503.0","-24,391.0","32,939.0","56,362.0","60,678.0","36,114.0","80,256.0","77,263.0","86,995.0","89,148.0","101,487.0","125,891.0","117,486.0","147,717.0","139,079.0","141,316.0","131,312.0","166,743.0","163,626.0","180,720.0","190,196.0","175,880.0","178,783.0","175,723.0","152,318.0","121,356.0","181,390.0","200,248.0","161,310.0","158,224.0","110,691.0","139,625.0","136,671.0","176,598.0","168,104.0","182,398.0","199,562.0","207,641.0","219,037.0","235,862.0","227,574.0","207,221.0","234,193.0","232,176.0","244,418.0","248,915.0","256,742.0","255,411.0","251,273.0","252,172.0","265,561.0","278,834.0","276,465.0","267,369.0","256,381.0","265,297.0"
"27","8","    Corporate profits with inventory valuation adjustment","A052RC1","701,030.0","735,788.0","687,113.0","670,787.0","732,166.0","763,545.0","799,760.0","884,828.0","903,237.0","925,054.0","975,594.0","1,035,688.0","1,156,093.0","1,192,699.0","1,260,711.0","1,251,125.0","1,552,195.0","1,583,447.0","1,622,409.0","1,726,716.0","1,781,295.0","1,812,901.0","1,867,251.0","1,801,544.0","1,706,355.0","1,777,524.0","1,699,747.0","1,651,948.0","1,435,726.0","1,423,872.0","1,436,525.0","1,085,822.0","1,352,757.0","1,382,650.0","1,537,947.0","1,643,494.0","1,754,919.0","1,767,824.0","1,868,473.0","1,807,511.0","1,603,836.0","1,717,061.0","1,748,827.0","1,884,346.0","2,135,089.0","2,115,829.0","2,119,160.0","2,096,413.0","2,127,482.0","2,172,451.0","2,167,478.0","2,192,029.0","2,054,392.0","2,203,661.0","2,295,045.0","2,266,301.0","2,351,464.0","2,390,927.0"
"28","9","Domestic industries","A390RC1","540,288.0","564,105.0","539,840.0","468,888.0","572,629.0","616,774.0","642,294.0","713,575.0","753,005.0","764,999.0","811,286.0","843,773.0","942,888.0","995,458.0","1,045,484.0","1,056,670.0","1,318,084.0","1,350,408.0","1,369,901.0","1,490,061.0","1,534,962.0","1,558,205.0","1,616,922.0","1,528,247.0","1,419,745.0","1,454,751.0","1,323,667.0","1,223,876.0","1,017,630.0","1,005,135.0","996,981.0","735,410.0","998,104.0","1,055,640.0","1,161,275.0","1,273,067.0","1,357,244.0","1,373,240.0","1,483,825.0","1,403,694.0","1,197,028.0","1,308,343.0","1,314,523.0","1,446,543.0","1,713,836.0","1,711,593.0","1,707,979.0","1,691,728.0","1,736,009.0","1,761,089.0","1,741,011.0","1,762,175.0","1,639,909.0","1,795,017.0","1,867,948.0","1,843,624.0","1,957,824.0","2,000,162.0"
"29","10","  Financial","A392RC1","177,053.0","189,996.0","197,069.0","215,821.0","254,580.0","270,839.0","274,082.0","283,275.0","299,364.0","298,797.0","310,648.0","317,329.0","337,946.0","341,912.0","350,347.0","367,436.0","419,355.0","380,227.0","429,411.0","409,709.0","428,349.0","440,967.0","404,640.0","386,623.0","321,411.0","334,128.0","320,783.0","229,740.0","205,427.0","188,062.0","55,686.0","-67,429.0","249,738.0","359,703.0","430,043.0","411,969.0","387,625.0","363,535.0","416,844.0","457,324.0","373,324.0","357,744.0","336,083.0","436,642.0","499,324.0","469,182.0","495,959.0","451,691.0","428,639.0","416,455.0","419,809.0","429,627.0","379,765.0","441,671.0","447,290.0","424,932.0","421,854.0","455,415.0"
"30","11","    Federal Reserve banks","B397RC1","31,729.0","29,803.0","28,145.0","25,834.0","24,279.0","24,298.0","23,331.0","22,166.0","21,687.0","20,787.0","19,542.0","18,300.0","19,073.0","19,062.0","20,103.0","21,926.0","22,931.0","25,554.0","26,801.0","31,032.0","31,027.0","33,624.0","35,756.0","34,947.0","36,052.0","36,560.0","36,201.0","35,167.0","34,292.0","29,934.0","33,419.0","42,670.0","27,056.0","43,276.0","54,245.0","64,741.0","71,567.0","73,979.0","71,361.0","69,317.0","72,393.0","80,039.0","76,618.0","74,718.0","76,977.0","74,130.0","67,144.0","68,540.0","70,191.0","73,535.0","81,959.0","92,635.0","97,286.0","104,641.0","106,791.0","104,838.0","100,496.0","103,204.0"
"31","12","    Other financial \2\","N398RC1","145,325.0","160,194.0","168,924.0","189,987.0","230,300.0","246,540.0","250,751.0","261,110.0","277,677.0","278,010.0","291,106.0","299,029.0","318,873.0","322,851.0","330,245.0","345,510.0","396,423.0","354,674.0","402,610.0","378,677.0","397,321.0","407,342.0","368,883.0","351,676.0","285,360.0","297,567.0","284,582.0","194,574.0","171,135.0","158,128.0","22,267.0","-110,099.0","222,683.0","316,427.0","375,798.0","347,227.0","316,058.0","289,556.0","345,483.0","388,007.0","300,931.0","277,705.0","259,465.0","361,924.0","422,347.0","395,052.0","428,815.0","383,151.0","358,447.0","342,920.0","337,850.0","336,993.0","282,478.0","337,030.0","340,499.0","320,094.0","321,358.0","352,211.0"
"32","13","  Nonfinancial","A399RC1","363,234.0","374,108.0","342,771.0","253,067.0","318,050.0","345,936.0","368,212.0","430,299.0","453,641.0","466,202.0","500,638.0","526,444.0","604,942.0","653,545.0","695,136.0","689,234.0","898,730.0","970,180.0","940,490.0","1,080,352.0","1,106,614.0","1,117,239.0","1,212,283.0","1,141,624.0","1,098,333.0","1,120,624.0","1,002,884.0","994,135.0","812,203.0","817,073.0","941,295.0","802,839.0","748,365.0","695,937.0","731,232.0","861,099.0","969,619.0","1,009,705.0","1,066,981.0","946,370.0","823,704.0","950,599.0","978,440.0","1,009,901.0","1,214,512.0","1,242,411.0","1,212,019.0","1,240,036.0","1,307,370.0","1,344,635.0","1,321,202.0","1,332,548.0","1,260,144.0","1,353,346.0","1,420,658.0","1,418,692.0","1,535,970.0","1,544,748.0"
"33","14","    Utilities","N419RC1","25,437.0","26,833.0","23,563.0","14,333.0","6,495.0","10,553.0","13,318.0","13,983.0","13,425.0","12,318.0","13,175.0","15,188.0","17,291.0","19,730.0","20,316.0","24,513.0","29,084.0","30,392.0","23,491.0","40,101.0","46,736.0","54,197.0","61,260.0","58,358.0","54,035.0","49,770.0","56,907.0","37,245.0","14,803.0","-14,745.0","86,743.0","33,566.0","23,467.0","26,083.0","10,125.0","35,470.0","44,809.0","14,936.0","35,852.0","25,403.0","-2,875.0","29,462.0","4,755.0","7,854.0","9,369.0","11,161.0","17,475.0","11,988.0","19,043.0","33,091.0","30,471.0","23,147.0","38,882.0","32,019.0","23,125.0","16,905.0","24,920.0","....."
"34","15","    Manufacturing","N400RC1","109,967.0","108,093.0","72,621.0","9,913.0","61,432.0","69,537.0","78,746.0","90,644.0","110,966.0","107,694.0","127,854.0","154,626.0","168,374.0","175,444.0","186,990.0","200,149.0","268,570.0","264,549.0","277,104.0","300,425.0","325,195.0","347,938.0","386,644.0","338,938.0","337,965.0","354,407.0","279,611.0","315,417.0","248,937.0","218,610.0","269,176.0","225,708.0","159,034.0","153,916.0","172,530.0","200,025.0","229,879.0","286,447.0","327,580.0","306,627.0","261,131.0","283,116.0","314,258.0","333,782.0","397,261.0","404,589.0","382,304.0","398,812.0","407,626.0","418,669.0","420,246.0","458,993.0","380,407.0","454,669.0","458,026.0","466,110.0","534,638.0","....."
"35","16","      Durable goods","N406RC1","33,027.0","15,737.0","-22,304.0","-64,063.0","-15,042.0","-1,687.0","11,226.0","17,796.0","29,012.0","31,134.0","30,148.0","40,428.0","47,869.0","49,244.0","50,334.0","55,145.0","93,522.0","104,878.0","109,490.0","120,677.0","142,606.0","120,439.0","163,596.0","149,303.0","131,473.0","121,641.0","101,864.0","120,484.0","91,672.0","51,416.0","81,526.0","32,483.0","9,141.0","21,661.0","41,144.0","65,602.0","104,535.0","121,141.0","145,733.0","141,114.0","110,520.0","117,127.0","134,407.0","167,959.0","206,630.0","207,319.0","195,653.0","195,326.0","205,525.0","212,842.0","223,294.0","213,653.0","201,982.0","218,696.0","234,054.0","238,420.0","276,370.0","....."
"36","17","        Fabricated metal products","N408RC1","11,746.0","10,358.0","8,454.0","6,157.0","8,331.0","8,301.0","8,530.0","9,642.0","6,742.0","8,791.0","7,296.0","11,514.0","11,190.0","12,979.0","11,157.0","13,857.0","17,157.0","18,149.0","19,782.0","17,613.0","19,184.0","16,279.0","17,768.0","20,443.0","18,908.0","20,168.0","21,344.0","23,671.0","18,207.0","13,351.0","14,403.0","20,045.0","15,957.0","12,331.0","10,206.0","8,375.0","12,715.0","12,582.0","17,485.0","18,520.0","14,579.0","14,156.0","16,412.0","19,221.0","21,659.0","24,370.0","24,381.0","23,255.0","24,302.0","24,094.0","22,129.0","21,715.0","22,039.0","23,447.0","25,692.0","24,145.0","28,488.0","....."
"37","18","        Machinery","N409RC1","9,965.0","4,327.0","-6,921.0","1,500.0","3,692.0","3,338.0","3,099.0","2,586.0","2,167.0","4,985.0","2,931.0","2,599.0","4,928.0","8,240.0","10,688.0","10,189.0","14,199.0","15,502.0","18,046.0","24,122.0","21,086.0","22,696.0","24,934.0","24,003.0","25,650.0","27,037.0","24,824.0","22,558.0","20,574.0","17,995.0","17,478.0","19,272.0","11,484.0","7,956.0","7,668.0","10,317.0","12,519.0","15,327.0","20,092.0","21,673.0","20,558.0","22,797.0","25,192.0","28,695.0","32,765.0","32,555.0","34,188.0","28,742.0","29,399.0","34,798.0","34,639.0","36,257.0","30,337.0","33,332.0","33,043.0","30,723.0","36,826.0","....."
"38","19","        Computer and electronic products","N501RC1","-2,667.0","-15,570.0","-37,684.0","-60,670.0","-34,974.0","-27,089.0","-19,465.0","-15,727.0","-8,671.0","-7,569.0","-8,290.0","-678.0","1,096.0","-608.0","1,169.0","2,985.0","11,842.0","14,842.0","16,602.0","19,499.0","16,135.0","33,269.0","35,797.0","30,726.0","28,581.0","24,029.0","23,553.0","22,803.0","31,453.0","23,115.0","25,773.0","23,904.0","20,897.0","27,493.0","27,953.0","29,444.0","43,907.0","42,538.0","49,088.0","52,034.0","31,670.0","30,703.0","29,346.0","39,190.0","46,054.0","50,190.0","48,060.0","45,167.0","49,413.0","50,382.0","52,267.0","52,448.0","47,978.0","49,807.0","52,791.0","60,021.0","72,707.0","....."
"39","20","        Electrical equipment, appliances, and components","N410RC1","3,742.0","1,297.0","384.0","-970.0","-1,427.0","-3,638.0","-2,042.0","-1,147.0","544.0","1,367.0","2,020.0","2,215.0","1,843.0","1,590.0","-995.0","-3,049.0","-4,700.0","-4,278.0","-593.0","2,439.0","11,944.0","7,927.0","11,513.0","11,500.0","2,239.0","-3,381.0","-5,031.0","279.0","857.0","4,649.0","7,941.0","4,301.0","8,827.0","8,524.0","8,556.0","9,872.0","9,195.0","11,843.0","11,338.0","8,347.0","5,989.0","4,258.0","3,579.0","5,345.0","11,114.0","10,357.0","11,156.0","13,748.0","12,818.0","11,986.0","15,868.0","15,213.0","15,951.0","16,542.0","16,565.0","15,919.0","19,766.0","....."
"40","21","        Motor vehicles, bodies and trailers, and parts","N411RC1","-3,639.0","-6,465.0","-4,298.0","-12,722.0","-11,284.0","-2,552.0","-311.0","1,982.0","12,171.0","8,731.0","8,214.0","2,499.0","4,414.0","-6,173.0","-9,562.0","-8,656.0","2,342.0","3,343.0","-872.0","-3,613.0","2,635.0","-12,950.0","-3,752.0","-7,117.0","-11,694.0","-8,127.0","-26,494.0","-16,291.0","-24,390.0","-43,398.0","-31,128.0","-59,555.0","-72,812.0","-64,888.0","-43,980.0","-35,651.0","-19,350.0","-8,728.0","-1,213.0","-9,465.0","-7,321.0","-3,284.0","-922.0","10,490.0","26,449.0","23,132.0","19,025.0","18,990.0","19,427.0","21,842.0","24,523.0","22,388.0","19,091.0","24,682.0","25,523.0","30,021.0","37,792.0","....."
"41","22","        Other durable goods \3\","N412RC1","13,880.0","21,791.0","17,761.0","2,643.0","20,619.0","19,953.0","21,415.0","20,460.0","16,059.0","14,829.0","17,977.0","22,278.0","24,398.0","33,215.0","37,877.0","39,820.0","52,681.0","57,320.0","56,526.0","60,616.0","71,621.0","53,218.0","77,336.0","69,749.0","67,790.0","61,915.0","63,668.0","67,465.0","44,969.0","35,704.0","47,059.0","24,516.0","24,789.0","30,245.0","30,741.0","43,245.0","45,548.0","47,578.0","48,943.0","50,004.0","45,045.0","48,497.0","60,800.0","65,017.0","68,588.0","66,716.0","58,842.0","65,423.0","70,166.0","69,740.0","73,869.0","65,632.0","66,587.0","70,886.0","80,439.0","77,591.0","80,790.0","....."
"42","23","      Nondurable goods","N401RC1","76,940.0","92,356.0","94,925.0","73,976.0","76,474.0","71,224.0","67,520.0","72,848.0","81,954.0","76,560.0","97,706.0","114,197.0","120,505.0","126,200.0","136,656.0","145,004.0","175,048.0","159,672.0","167,614.0","179,748.0","182,590.0","227,500.0","223,048.0","189,635.0","206,492.0","232,766.0","177,747.0","194,934.0","157,265.0","167,195.0","187,650.0","193,225.0","149,893.0","132,254.0","131,386.0","134,422.0","125,344.0","165,306.0","181,847.0","165,513.0","150,611.0","165,988.0","179,851.0","165,823.0","190,631.0","197,269.0","186,651.0","203,486.0","202,101.0","205,827.0","196,951.0","245,340.0","178,424.0","235,973.0","223,972.0","227,690.0","258,269.0","....."
"43","24","        Food and beverage and tobacco products","N402RC1","21,818.0","31,507.0","30,603.0","30,229.0","27,278.0","27,839.0","27,734.0","24,633.0","23,433.0","25,521.0","24,244.0","30,438.0","27,236.0","24,580.0","30,058.0","25,145.0","30,527.0","27,844.0","29,267.0","30,301.0","33,069.0","35,497.0","35,809.0","35,691.0","31,169.0","34,090.0","30,614.0","31,026.0","24,327.0","29,460.0","36,374.0","33,766.0","41,995.0","48,872.0","49,738.0","45,135.0","43,162.0","45,991.0","51,855.0","43,283.0","41,128.0","42,755.0","35,293.0","43,214.0","48,756.0","43,342.0","43,843.0","41,143.0","47,096.0","50,910.0","61,637.0","58,920.0","41,205.0","54,644.0","61,358.0","63,505.0","75,248.0","....."
"44","25","        Petroleum and coal products","N404RC1","31,520.0","30,421.0","30,234.0","17,680.0","8,467.0","4,340.0","2,100.0","441.0","20,504.0","18,909.0","29,534.0","34,902.0","42,351.0","47,278.0","41,757.0","69,129.0","71,586.0","76,273.0","81,783.0","90,096.0","68,526.0","86,257.0","80,470.0","58,743.0","71,333.0","114,405.0","64,762.0","64,307.0","82,086.0","69,410.0","102,182.0","105,747.0","37,541.0","3,443.0","4,729.0","9,052.0","18,523.0","33,622.0","20,260.0","26,845.0","29,723.0","59,956.0","65,642.0","27,943.0","38,702.0","51,776.0","50,210.0","60,062.0","50,121.0","44,672.0","33,045.0","65,699.0","44,094.0","58,605.0","53,775.0","57,264.0","42,171.0","....."
