"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 27, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2015 5:32:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","      National income without capital consumption adjustment","A422RC1","7,776,289.0","8,225,544.0","8,817,473.0","9,072,026.0","9,253,348.0","9,690,334.0","10,391,519.0","11,338,831.0","12,123,526.0","12,442,609.0","12,365,449.0","12,089,909.0","12,662,648.0","13,101,657.0","14,043,037.0","14,422,749.0","15,036,089.0"
"20","2","Domestic industries","A423RC1","7,758,055.0","8,198,413.0","8,780,466.0","9,020,223.0","9,204,749.0","9,623,220.0","10,302,387.0","11,246,262.0","12,055,926.0","12,317,028.0","12,193,438.0","11,938,861.0","12,456,679.0","12,855,018.0","13,805,464.0","14,172,389.0","14,772,980.0"
"21","3","  Private industries","A736RC1","6,818,300.0","7,205,970.0","7,729,442.0","7,908,244.0","8,020,815.0","8,368,368.0","8,977,848.0","9,865,489.0","10,616,494.0","10,811,159.0","10,617,534.0","10,315,830.0","10,776,867.0","11,165,111.0","12,103,985.0","12,454,044.0","13,015,173.0"
"22","4","    Agriculture, forestry, fishing, and hunting","N5004C1","74,345.0","69,228.0","73,800.0","73,908.0","68,779.0","84,497.0","104,273.0","94,016.0","97,205.0","108,443.0","115,613.0","105,641.0","123,140.0","152,983.0","154,345.0","183,077.0","175,770.0"
"23","5","    Mining","N5005C1","72,651.0","70,862.0","90,748.0","102,599.0","87,098.0","108,760.0","129,173.0","174,955.0","209,108.0","204,905.0","259,561.0","148,568.0","184,694.0","222,822.0","241,551.0","253,585.0","254,649.0"
"24","6","    Utilities","N5006C1","130,806.0","138,195.0","137,267.0","139,512.0","134,273.0","137,427.0","149,712.0","162,068.0","195,989.0","196,742.0","180,591.0","176,575.0","188,213.0","165,595.0","167,396.0","179,711.0","179,152.0"
"25","7","    Construction","N5007C1","376,082.0","421,943.0","470,679.0","508,659.0","513,288.0","529,212.0","580,447.0","648,870.0","703,528.0","679,098.0","623,657.0","545,703.0","523,413.0","535,523.0","587,016.0","619,694.0","667,767.0"
"26","8","    Manufacturing","N5008C1","1,147,887.0","1,189,701.0","1,243,138.0","1,113,268.0","1,069,813.0","1,105,533.0","1,193,679.0","1,326,745.0","1,432,044.0","1,454,241.0","1,385,311.0","1,216,260.0","1,350,224.0","1,411,319.0","1,552,129.0","1,589,452.0","1,635,239.0"
"27","9","      Durable goods","N5009C1","707,538.0","726,251.0","758,153.0","634,926.0","612,941.0","629,688.0","668,709.0","753,238.0","815,520.0","825,606.0","770,237.0","651,219.0","752,763.0","785,362.0","884,966.0","905,035.0","937,760.0"
"28","10","      Nondurable goods","N5010C1","440,350.0","463,450.0","484,984.0","478,342.0","456,874.0","475,844.0","524,969.0","573,506.0","616,525.0","628,636.0","615,074.0","565,041.0","597,461.0","625,956.0","667,162.0","684,417.0","697,478.0"
"29","11","    Wholesale trade","N5011C1","514,255.0","532,650.0","570,568.0","563,459.0","566,525.0","583,346.0","627,697.0","685,243.0","738,085.0","766,764.0","756,214.0","704,609.0","737,339.0","770,028.0","848,546.0","878,547.0","909,341.0"
"30","12","    Retail trade","N5012C1","609,063.0","635,677.0","666,662.0","700,409.0","727,513.0","761,291.0","787,927.0","856,990.0","905,428.0","906,249.0","840,466.0","839,984.0","872,203.0","893,441.0","964,098.0","998,225.0","1,027,448.0"
"31","13","    Transportation and warehousing","N5013C1","243,296.0","249,466.0","268,507.0","267,742.0","263,809.0","277,317.0","302,295.0","333,361.0","361,846.0","360,632.0","361,664.0","342,180.0","368,394.0","375,257.0","417,159.0","426,300.0","450,091.0"
"32","14","    Information","N5014C1","284,142.0","308,534.0","306,825.0","305,143.0","310,275.0","327,286.0","371,131.0","423,011.0","440,620.0","462,962.0","454,328.0","435,178.0","442,693.0","441,575.0","494,968.0","540,707.0","554,930.0"
"33","15","    Finance, insurance, real estate, rental, and leasing","N5015C1","1,304,137.0","1,351,530.0","1,472,647.0","1,624,055.0","1,625,824.0","1,681,849.0","1,777,938.0","1,969,064.0","2,093,694.0","2,097,390.0","1,932,010.0","2,135,047.0","2,142,546.0","2,179,141.0","2,411,303.0","2,436,276.0","2,618,856.0"
"34","16","    Professional and business services \1\","N5016C1","920,817.0","1,013,900.0","1,115,689.0","1,136,144.0","1,173,682.0","1,222,753.0","1,296,626.0","1,428,124.0","1,556,158.0","1,613,320.0","1,683,932.0","1,590,936.0","1,697,425.0","1,790,481.0","1,913,836.0","1,927,297.0","2,013,103.0"
