"","Table 1#3#5# Gross Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191RC1","243,080.0","246,267.0","250,115.0","260,309.0","266,173.0","272,897.0","279,497.0","280,656.0","275,370.0","271,692.0","273,262.0","270,984.0","281,209.0","290,735.0","308,510.0","320,320.0","336,372.0","344,455.0","351,774.0","356,579.0","360,195.0","361,414.0","368,084.0","381,241.0","388,472.0","392,259.0","391,696.0","386,521.0","385,924.0","386,716.0","391,596.0","400,348.0","413,753.0","422,226.0","430,925.0","437,787.0","440,491.0","446,771.0","451,983.0","461,278.0","470,578.0","472,835.0","480,315.0","475,681.0","468,353.0","472,786.0","486,653.0","500,380.0","511,063.0","524,241.0","525,196.0","529,322.0","543,347.0","542,697.0","546,012.0","541,063.0","545,949.0","557,430.0","568,228.0","581,624.0","595,176.0","602,580.0","609,575.0","613,132.0","622,679.0","631,835.0","644,960.0","654,840.0","671,149.0","680,757.0","692,807.0","698,424.0","719,248.0","732,369.0","750,184.0","773,104.0","797,328.0","807,153.0","820,798.0","834,864.0","846,046.0","851,058.0","866,614.0","883,201.0","911,135.0","936,297.0","952,347.0","970,129.0","995,419.0","1,011,361.0","1,032,016.0","1,040,741.0"
"21","2","Business \1\","A195RC1","198,149.0","201,481.0","206,322.0","216,471.0","221,972.0","228,333.0","233,676.0","234,050.0","227,787.0","223,858.0","225,380.0","222,408.0","232,640.0","241,616.0","257,497.0","266,140.0","278,593.0","284,035.0","288,664.0","291,752.0","293,387.0","292,841.0","297,870.0","310,100.0","316,208.0","318,693.0","317,463.0","311,760.0","310,568.0","309,913.0","313,736.0","320,940.0","333,599.0","340,300.0","347,633.0","352,859.0","354,205.0","358,809.0","362,127.0","369,863.0","377,455.0","377,870.0","383,547.0","377,947.0","368,731.0","370,753.0","382,821.0","395,253.0","404,714.0","416,482.0","415,831.0","418,055.0","429,781.0","426,786.0","427,855.0","420,952.0","424,129.0","434,153.0","442,951.0","453,362.0","464,505.0","470,119.0","475,100.0","476,142.0","483,480.0","490,642.0","501,764.0","508,667.0","522,384.0","529,507.0","539,146.0","542,445.0","561,248.0","571,423.0","585,212.0","603,518.0","624,097.0","630,143.0","638,388.0","648,145.0","655,863.0","657,422.0","668,633.0","679,840.0","702,783.0","723,104.0","733,250.0","746,782.0","767,793.0","778,551.0","791,071.0","794,655.0"
"22","3","  Nonfarm \2\","A358RC1","177,842.0","184,456.0","187,423.0","196,465.0","202,072.0","204,783.0","210,474.0","212,303.0","209,407.0","205,987.0","208,187.0","205,514.0","214,937.0","223,714.0","238,386.0","245,954.0","257,393.0","262,136.0","267,132.0","269,740.0","273,086.0","271,770.0","275,481.0","290,712.0","296,569.0","299,807.0","299,212.0","293,842.0","291,427.0","291,698.0","295,432.0","303,815.0","316,187.0","322,429.0","330,326.0","336,363.0","337,456.0","341,903.0","344,829.0","352,543.0","361,037.0","361,059.0","366,268.0","360,780.0","349,094.0","351,090.0","363,836.0","377,190.0","386,670.0","399,543.0","399,116.0","400,494.0","412,767.0","408,813.0","409,277.0","401,834.0","405,081.0","416,495.0","425,026.0","434,663.0","445,547.0","451,746.0","457,186.0","457,740.0","464,494.0","472,317.0","483,516.0","490,254.0","505,214.0","512,419.0","522,214.0","524,276.0","542,141.0","551,543.0","565,083.0","582,869.0","601,309.0","609,855.0","618,272.0","628,030.0","635,683.0","637,886.0","648,113.0","659,600.0","682,539.0","703,268.0","712,525.0","725,606.0","746,852.0","756,173.0","767,764.0","769,981.0"
"23","4","  Farm","B359RC1","20,307.0","17,025.0","18,899.0","20,006.0","19,900.0","23,550.0","23,202.0","21,747.0","18,380.0","17,871.0","17,193.0","16,894.0","17,703.0","17,902.0","19,111.0","20,186.0","21,200.0","21,899.0","21,532.0","22,012.0","20,301.0","21,071.0","22,389.0","19,388.0","19,639.0","18,886.0","18,251.0","17,918.0","19,141.0","18,215.0","18,304.0","17,125.0","17,412.0","17,871.0","17,307.0","16,496.0","16,749.0","16,906.0","17,298.0","17,320.0","16,418.0","16,811.0","17,279.0","17,167.0","19,637.0","19,663.0","18,985.0","18,063.0","18,044.0","16,939.0","16,715.0","17,561.0","17,014.0","17,973.0","18,578.0","19,118.0","19,048.0","17,658.0","17,925.0","18,699.0","18,958.0","18,373.0","17,914.0","18,402.0","18,986.0","18,325.0","18,248.0","18,413.0","17,170.0","17,088.0","16,932.0","18,169.0","19,107.0","19,880.0","20,129.0","20,649.0","22,788.0","20,288.0","20,116.0","20,115.0","20,180.0","19,536.0","20,520.0","20,240.0","20,244.0","19,836.0","20,725.0","21,176.0","20,941.0","22,378.0","23,307.0","24,674.0"
"24","5","Households and institutions","A193RC1","12,508.0","13,253.0","13,793.0","14,052.0","14,249.0","14,694.0","15,213.0","15,377.0","15,696.0","16,034.0","16,227.0","16,945.0","17,345.0","17,672.0","18,184.0","18,852.0","19,520.0","19,909.0","20,415.0","21,032.0","21,542.0","22,115.0","22,854.0","23,342.0","24,016.0","24,763.0","25,420.0","25,738.0","26,186.0","26,787.0","27,414.0","28,427.0","28,748.0","29,440.0","30,256.0","31,158.0","31,488.0","32,022.0","32,871.0","33,588.0","34,153.0","34,842.0","35,604.0","36,187.0","36,969.0","38,070.0","38,510.0","39,037.0","39,853.0","40,746.0","41,765.0","42,992.0","43,856.0","44,910.0","45,706.0","46,670.0","47,202.0","47,576.0","48,242.0","49,441.0","50,361.0","51,330.0","52,391.0","53,400.0","54,001.0","54,706.0","55,520.0","56,413.0","57,368.0","58,371.0","59,102.0","60,069.0","60,926.0","62,240.0","63,674.0","65,167.0","66,023.0","66,996.0","68,791.0","70,279.0","71,474.0","72,688.0","74,028.0","75,435.0","76,825.0","78,367.0","80,137.0","82,180.0","84,080.0","86,308.0","88,733.0","91,220.0"
"25","6","  Households","B701RC1","9,294.0","9,607.0","10,069.0","10,279.0","10,386.0","10,626.0","10,921.0","11,082.0","11,255.0","11,515.0","11,771.0","12,329.0","12,661.0","12,902.0","13,335.0","13,643.0","14,251.0","14,567.0","15,091.0","15,342.0","15,585.0","16,391.0","17,115.0","17,346.0","17,672.0","18,371.0","18,978.0","19,295.0","19,556.0","20,003.0","20,480.0","21,177.0","21,628.0","21,987.0","22,632.0","23,295.0","23,663.0","24,010.0","24,533.0","24,948.0","25,378.0","25,924.0","26,500.0","26,926.0","27,306.0","28,144.0","28,596.0","29,010.0","29,470.0","30,134.0","30,894.0","31,678.0","32,163.0","32,775.0","33,399.0","34,067.0","34,548.0","34,749.0","35,221.0","36,084.0","36,677.0","37,216.0","37,951.0","38,695.0","39,031.0","39,413.0","39,973.0","40,443.0","40,954.0","41,736.0","42,196.0","42,731.0","43,253.0","44,022.0","44,906.0","45,752.0","46,240.0","46,586.0","47,594.0","48,580.0","49,234.0","49,870.0","50,579.0","51,423.0","52,041.0","52,863.0","53,642.0","54,621.0","55,778.0","57,029.0","58,240.0","59,419.0"
"26","7","  Nonprofit institutions serving households \3\","B702RC1","3,214.0","3,646.0","3,724.0","3,773.0","3,863.0","4,068.0","4,292.0","4,295.0","4,441.0","4,519.0","4,456.0","4,616.0","4,684.0","4,770.0","4,849.0","5,209.0","5,269.0","5,342.0","5,324.0","5,690.0","5,957.0","5,724.0","5,739.0","5,996.0","6,344.0","6,392.0","6,442.0","6,443.0","6,630.0","6,784.0","6,934.0","7,250.0","7,120.0","7,453.0","7,624.0","7,863.0","7,825.0","8,012.0","8,338.0","8,640.0","8,775.0","8,918.0","9,104.0","9,261.0","9,663.0","9,926.0","9,914.0","10,027.0","10,383.0","10,612.0","10,871.0","11,314.0","11,693.0","12,135.0","12,307.0","12,603.0","12,654.0","12,827.0","13,021.0","13,357.0","13,684.0","14,114.0","14,440.0","14,705.0","14,970.0","15,293.0","15,547.0","15,970.0","16,414.0","16,635.0","16,906.0","17,338.0","17,673.0","18,218.0","18,768.0","19,415.0","19,783.0","20,410.0","21,197.0","21,699.0","22,240.0","22,818.0","23,449.0","24,012.0","24,784.0","25,504.0","26,495.0","27,559.0","28,302.0","29,279.0","30,493.0","31,801.0"
"27","8","General government \4\","A765RC1","32,423.0","31,533.0","30,000.0","29,786.0","29,952.0","29,870.0","30,608.0","31,229.0","31,887.0","31,800.0","31,655.0","31,631.0","31,224.0","31,447.0","32,829.0","35,328.0","38,259.0","40,511.0","42,695.0","43,795.0","45,266.0","46,458.0","47,360.0","47,799.0","48,248.0","48,803.0","48,813.0","49,023.0","49,170.0","50,016.0","50,446.0","50,981.0","51,406.0","52,486.0","53,036.0","53,770.0","54,798.0","55,940.0","56,985.0","57,827.0","58,970.0","60,123.0","61,164.0","61,547.0","62,653.0","63,963.0","65,322.0","66,090.0","66,496.0","67,013.0","67,600.0","68,275.0","69,710.0","71,001.0","72,451.0","73,441.0","74,618.0","75,701.0","77,035.0","78,821.0","80,310.0","81,131.0","82,084.0","83,590.0","85,198.0","86,487.0","87,676.0","89,760.0","91,397.0","92,879.0","94,559.0","95,910.0","97,074.0","98,706.0","101,298.0","104,419.0","107,208.0","110,014.0","113,619.0","116,440.0","118,709.0","120,948.0","123,953.0","127,926.0","131,527.0","134,826.0","138,960.0","141,167.0","143,546.0","146,502.0","152,212.0","154,866.0"
"28","9","  Federal","A766RC1","23,576.0","22,408.0","20,576.0","19,944.0","19,752.0","19,388.0","19,620.0","19,812.0","20,344.0","20,168.0","19,752.0","19,632.0","19,160.0","19,200.0","20,252.0","22,444.0","24,968.0","26,936.0","28,688.0","29,428.0","30,708.0","31,596.0","32,040.0","32,160.0","32,256.0","32,624.0","32,484.0","32,364.0","32,208.0","32,508.0","32,460.0","32,656.0","32,888.0","33,680.0","33,812.0","34,004.0","34,400.0","34,952.0","35,320.0","35,600.0","36,316.0","36,836.0","37,288.0","37,096.0","37,656.0","38,256.0","39,156.0","39,504.0","39,552.0","39,776.0","40,024.0","40,260.0","40,720.0","41,328.0","42,056.0","42,404.0","42,708.0","43,120.0","43,712.0","44,900.0","45,796.0","46,132.0","46,596.0","47,368.0","48,024.0","48,584.0","48,996.0","50,180.0","50,944.0","51,568.0","52,488.0","52,892.0","53,004.0","53,524.0","54,816.0","56,852.0","58,220.0","59,580.0","61,676.0","62,928.0","64,144.0","65,112.0","66,280.0","68,540.0","69,824.0","71,244.0","73,544.0","73,764.0","74,412.0","75,264.0","78,740.0","79,184.0"
"29","10","  State and local","A767RC1","8,847.0","9,125.0","9,424.0","9,842.0","10,200.0","10,482.0","10,988.0","11,417.0","11,543.0","11,632.0","11,903.0","11,999.0","12,064.0","12,247.0","12,577.0","12,884.0","13,291.0","13,575.0","14,007.0","14,367.0","14,558.0","14,862.0","15,320.0","15,639.0","15,992.0","16,179.0","16,329.0","16,659.0","16,962.0","17,508.0","17,986.0","18,325.0","18,518.0","18,806.0","19,224.0","19,766.0","20,398.0","20,988.0","21,665.0","22,227.0","22,654.0","23,287.0","23,876.0","24,451.0","24,997.0","25,707.0","26,166.0","26,586.0","26,944.0","27,237.0","27,576.0","28,015.0","28,990.0","29,673.0","30,395.0","31,037.0","31,910.0","32,581.0","33,323.0","33,921.0","34,514.0","34,999.0","35,488.0","36,222.0","37,174.0","37,903.0","38,680.0","39,580.0","40,453.0","41,311.0","42,071.0","43,018.0","44,070.0","45,182.0","46,482.0","47,567.0","48,988.0","50,434.0","51,943.0","53,512.0","54,565.0","55,836.0","57,673.0","59,386.0","61,703.0","63,582.0","65,416.0","67,403.0","69,134.0","71,238.0","73,472.0","75,682.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross housing value added","A2009C1","11,804.0","12,135.0","12,475.0","12,832.0","13,215.0","13,577.0","13,926.0","14,267.0","14,604.0","14,951.0","15,312.0","15,688.0","16,079.0","16,506.0","16,966.0","17,460.0","17,992.0","18,535.0","19,093.0","19,661.0","20,245.0","20,836.0","21,439.0","22,052.0","22,667.0","23,277.0","23,874.0","24,457.0","25,038.0","25,575.0","26,082.0","26,560.0","26,991.0","27,445.0","27,904.0","28,370.0","28,849.0","29,366.0","29,918.0","30,506.0","31,145.0","31,765.0","32,380.0","32,990.0","33,575.0","34,215.0","34,890.0","35,600.0","36,437.0","37,192.0","38,039.0","38,927.0","39,597.0","40,191.0","40,983.0","41,881.0","42,488.0","43,164.0","43,909.0","44,792.0","45,522.0","46,451.0","47,293.0","48,263.0","48,760.0","49,397.0","50,123.0","50,972.0","51,549.0","52,229.0","53,026.0","54,014.0","54,788.0","55,633.0","56,587.0","57,542.0","58,329.0","59,100.0","60,082.0","61,279.0","62,274.0","63,176.0","64,288.0","65,382.0","66,351.0","67,146.0","68,303.0","69,767.0","71,155.0","72,766.0","74,445.0","75,991.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
