"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 9:01:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Exports of goods and services","B020RC1","43,995.0","43,540.0","42,439.0","43,892.0","45,498.0","47,358.0","49,529.0","49,238.0","43,974.0","53,915.0","53,340.0","56,459.0"
"21","2","Exports of goods \1\","A253RC1","32,889.0","32,647.0","31,954.0","32,697.0","33,966.0","35,358.0","37,106.0","36,455.0","32,063.0","40,446.0","39,960.0","42,508.0"
"22","3","  Foods, feeds, and beverages","B638RC1","5,088.0","5,040.0","4,856.0","5,012.0","5,260.0","4,652.0","4,616.0","4,696.0","3,280.0","5,300.0","4,804.0","5,412.0"
"23","4","  Industrial supplies and materials","A639RC1","10,308.0","10,132.0","9,728.0","9,824.0","10,244.0","10,876.0","12,024.0","11,040.0","8,704.0","12,596.0","12,420.0","12,996.0"
"24","5","    Durable goods","B686RC1","3,916.0","3,856.0","3,384.0","3,472.0","3,748.0","4,196.0","4,448.0","4,336.0","3,480.0","4,824.0","5,100.0","5,312.0"
"25","6","    Nondurable goods","B687RC1","6,392.0","6,276.0","6,344.0","6,352.0","6,496.0","6,680.0","7,576.0","6,704.0","5,224.0","7,772.0","7,320.0","7,684.0"
"26","7","      Petroleum and products","LA0000061",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
