"","Table 7#10# Dividends Paid and Received by Sector               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","3","    Financial","B1440C1","4,979.0","5,629.0","5,923.0","6,291.0","7,230.0","7,119.0","7,237.0","7,784.0","9,110.0","10,609.0","12,495.0","13,349.0","15,995.0","15,404.0","16,647.0","20,475.0","22,997.0","25,217.0","28,183.0","32,680.0","40,557.0","45,253.0","49,280.0","48,416.0","59,743.0","69,824.0","84,056.0","111,983.0","131,077.0","136,206.0","150,365.0","173,986.0","152,439.0","167,090.0","185,843.0","239,322.0","287,163.0","333,053.0","395,111.0","363,026.0","262,747.0","260,398.0","314,657.0","377,813.0"
"23","4","    Nonfinancial","B1441C1","24,997.0","24,612.0","25,488.0","28,114.0","33,239.0","40,936.0","36,063.0","45,008.0","51,418.0","55,973.0","64,604.0","72,619.0","79,026.0","85,671.0","92,174.0","97,466.0","99,397.0","103,685.0","106,101.0","127,937.0","147,877.0","158,547.0","162,754.0","174,929.0","185,299.0","198,785.0","223,392.0","250,245.0","278,280.0","299,249.0","284,377.0","313,357.0","299,323.0","305,098.0","349,194.0","430,762.0","471,061.0","550,752.0","576,889.0","582,201.0","490,419.0","509,906.0","537,057.0","577,416.0"
"24","5","  Rest of the world \2\","B3375C1","4,849.0","5,046.0","6,065.0","6,531.0","8,556.0","11,618.0","8,622.0","11,676.0","14,149.0","14,721.0","19,908.0","21,492.0","20,732.0","23,853.0","19,526.0","19,650.0","20,989.0","27,873.0","27,912.0","45,128.0","47,878.0","43,658.0","41,446.0","44,683.0","39,467.0","59,652.0","58,559.0","69,074.0","79,990.0","83,247.0","92,488.0","86,157.0","87,206.0","92,651.0","101,013.0","135,643.0","363,340.0","186,016.0","248,982.0","316,366.0","230,891.0","247,994.0","292,594.0","297,892.0"
"25","6","Monetary dividends received","Y375RC1","34,825.0","35,287.0","37,476.0","40,936.0","49,025.0","59,673.0","51,922.0","64,468.0","74,677.0","81,303.0","97,007.0","107,460.0","115,753.0","124,928.0","128,347.0","137,591.0","143,383.0","156,775.0","162,196.0","205,745.0","236,312.0","247,458.0","253,480.0","268,028.0","284,509.0","328,261.0","366,007.0","431,302.0","489,347.0","518,702.0","527,229.0","573,501.0","538,967.0","564,839.0","636,050.0","805,727.0","1,121,563.0","1,069,820.0","1,220,982.0","1,261,592.0","984,058.0","1,018,298.0","1,144,309.0","1,253,121.0"
"26","7","  Domestic corporate business \2\","Y376RC1","11,603.0","12,213.0","13,726.0","15,412.0","20,807.0","28,795.0","21,542.0","27,957.0","33,411.0","35,186.0","45,469.0","49,463.0","49,551.0","54,925.0","54,597.0","53,589.0","52,655.0","57,350.0","56,313.0","80,826.0","82,291.0","81,932.0","80,289.0","88,346.0","88,159.0","100,302.0","112,879.0","133,983.0","154,186.0","157,673.0","165,253.0","168,148.0","157,091.0","154,179.0","169,077.0","211,435.0","488,881.0","292,612.0","356,038.0","378,303.0","349,755.0","379,189.0","357,862.0","395,802.0"
"27","8","    Financial \3\","Y377RC1","5,632.0","5,896.0","6,383.0","6,970.0","8,318.0","9,391.0","10,050.0","10,724.0","12,904.0","15,139.0","18,504.0","21,495.0","23,027.0","23,312.0","25,671.0","23,327.0","25,264.0","26,519.0","26,463.0","35,054.0","39,775.0","41,684.0","43,027.0","47,683.0","52,042.0","59,493.0","67,511.0","81,287.0","91,853.0","99,457.0","105,543.0","106,117.0","103,187.0","103,871.0","113,249.0","145,155.0","188,622.0","212,934.0","263,731.0","270,271.0","211,076.0","244,756.0","261,105.0","297,152.0"
"28","9","    Nonfinancial","B1444C1","5,971.0","6,317.0","7,343.0","8,442.0","12,489.0","19,404.0","11,492.0","17,233.0","20,507.0","20,047.0","26,965.0","27,968.0","26,524.0","31,614.0","28,925.0","30,262.0","27,391.0","30,830.0","29,850.0","45,771.0","42,516.0","40,248.0","37,262.0","40,663.0","36,117.0","40,808.0","45,368.0","52,696.0","62,333.0","58,216.0","59,710.0","62,031.0","53,904.0","50,308.0","55,828.0","66,281.0","300,258.0","79,678.0","92,307.0","108,032.0","138,679.0","134,433.0","96,757.0","98,650.0"
"29","10","  Rest of the world \1\","B3376C1","1,013.0","1,110.0","1,375.0","1,637.0","1,756.0","1,853.0","2,066.0","2,717.0","3,070.0","3,537.0","3,867.0","4,744.0","5,287.0","7,468.0","7,381.0","7,358.0","9,152.0","9,990.0","11,207.0","13,234.0","16,278.0","18,684.0","17,119.0","16,649.0","18,885.0","21,486.0","25,787.0","28,683.0","32,780.0","40,977.0","50,962.0","56,917.0","46,539.0","44,750.0","68,919.0","73,325.0","102,479.0","108,114.0","108,552.0","135,853.0","119,019.0","126,579.0","136,163.0","141,111.0"
"30","11","  Government","W065RC1",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,720.0","2,016.0","2,216.0","2,334.0","2,394.0","3,175.0","20,889.0","19,333.0","21,042.0","23,426.0"
"31","12","  Persons \4\","B1447C1","22,209.0","21,964.0","22,375.0","23,887.0","26,435.0","28,993.0","28,276.0","33,751.0","38,150.0","42,515.0","47,588.0","53,156.0","60,789.0","62,381.0","66,193.0","76,480.0","81,420.0","89,285.0","94,514.0","111,509.0","137,566.0","146,604.0","155,729.0","162,568.0","176,879.0","205,717.0","226,378.0","267,283.0","300,856.0","318,422.0","309,518.0","347,081.0","333,915.0","364,359.0","396,334.0","518,950.0","527,988.0","666,761.0","753,998.0","744,262.0","494,395.0","493,197.0","629,242.0","692,781.0"
"32",NA,"      Imputed dividends"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","13","Imputed dividends paid by domestic corporate business, financial","Y378RC1","2,030.0","2,343.0","2,652.0","2,949.0","3,445.0","4,194.0","4,646.0","5,220.0","6,573.0","8,213.0","9,849.0","10,817.0","12,841.0","15,181.0","17,095.0","14,163.0","15,970.0","16,745.0","17,636.0","18,234.0","20,231.0","22,220.0","24,441.0","26,483.0","27,855.0","29,500.0","31,609.0","34,892.0","37,071.0","37,020.0","36,882.0","36,248.0","35,240.0","34,270.0","35,918.0","43,122.0","50,323.0","56,911.0","62,517.0","61,177.0","53,455.0","51,419.0","51,296.0","54,128.0"
"34","14","Imputed dividends received by persons \5\","Y379RC1","2,030.0","2,343.0","2,652.0","2,949.0","3,445.0","4,194.0","4,646.0","5,220.0","6,573.0","8,213.0","9,849.0","10,817.0","12,841.0","15,181.0","17,095.0","14,163.0","15,970.0","16,745.0","17,636.0","18,234.0","20,231.0","22,220.0","24,441.0","26,483.0","27,855.0","29,500.0","31,609.0","34,892.0","37,071.0","37,020.0","36,882.0","36,248.0","35,240.0","34,270.0","35,918.0","43,122.0","50,323.0","56,911.0","62,517.0","61,177.0","53,455.0","51,419.0","51,296.0","54,128.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","  Net corporate dividend payments (16+17)","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,716.0","83,464.0","90,807.0","97,546.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,513.0","189,516.0","205,320.0","235,973.0","258,950.0","303,528.0","339,452.0","357,072.0","347,896.0","384,684.0","370,577.0","400,180.0","433,972.0","564,089.0","580,527.0","726,006.0","818,909.0","808,614.0","568,739.0","563,949.0","701,580.0","770,335.0"
"37","16","    Domestic corporate business (2-7+13)","A2223C1","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,331.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,186.0","161,482.0","184,738.0","197,807.0","226,178.0","263,137.0","292,242.0","314,802.0","306,370.0","355,444.0","329,910.0","352,279.0","401,878.0","501,771.0","319,666.0","648,104.0","678,479.0","628,101.0","456,867.0","442,534.0","545,148.0","613,555.0"
"38","17","    Rest of the world (5-10)","A2224C1","3,836.0","3,936.0","4,690.0","4,894.0","6,800.0","9,765.0","6,556.0","8,959.0","11,079.0","11,184.0","16,041.0","16,748.0","15,445.0","16,385.0","12,145.0","12,292.0","11,837.0","17,883.0","16,705.0","31,894.0","31,600.0","24,974.0","24,327.0","28,034.0","20,582.0","38,166.0","32,772.0","40,391.0","47,210.0","42,270.0","41,526.0","29,240.0","40,667.0","47,901.0","32,094.0","62,318.0","260,861.0","77,902.0","140,430.0","180,513.0","111,872.0","121,416.0","156,432.0","156,781.0"
"39","18","  Personal dividend income (15-11 or 12+14)","B703RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,880.0","33,187.0","32,922.0","38,971.0","44,723.0","50,728.0","57,437.0","63,973.0","73,630.0","77,562.0","83,288.0","90,643.0","97,390.0","106,030.0","112,150.0","129,743.0","157,797.0","168,824.0","180,170.0","189,051.0","204,734.0","235,217.0","257,987.0","302,175.0","337,927.0","355,442.0","346,399.0","383,329.0","369,155.0","398,629.0","432,253.0","562,072.0","578,311.0","723,672.0","816,515.0","805,439.0","547,850.0","544,616.0","680,538.0","746,909.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Remitted earnings to foreign residents from their unincorporated U.S. affiliates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","treated as dividends paid by domestic corporate business (line 2) and as dividends received",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","by the rest of the world (line 10).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Earnings of U.S. residents remitted by their unincorporated foreign affiliates are treated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","as dividends paid by the rest of the world (line 5) and as dividends received by domestic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","corporate business (line 7).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Includes monetary dividends received by employee pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4. Dividends received by insured private pension plans are included in dividends received by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","financial corporate business (line 8), and in imputed interest received by persons,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","table 7.11 (line 66).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Consists of dividends imputed to persons from employee defined benefit pension funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
