"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"21","2","Plus: Income receipts from the rest of the world","A645RX1","57,946.0","59,474.0","61,261.0","62,446.0","63,712.0","64,100.0","62,920.0","58,582.0","62,277.0","64,952.0","63,600.0","66,712.0","67,884.0","69,686.0","73,207.0","75,500.0","86,301.0","93,628.0","103,417.0","104,929.0","117,006.0","117,374.0","114,608.0","106,047.0","96,357.0","93,728.0","97,081.0","103,822.0","105,235.0","106,788.0","106,087.0","106,515.0","113,117.0","114,466.0","116,065.0","113,614.0","125,498.0","122,613.0","130,693.0","148,630.0","156,461.0","170,565.0","191,170.0","199,573.0","208,681.0","194,417.0","178,847.0","182,116.0","193,800.0","199,666.0","208,563.0","205,998.0","206,727.0","222,984.0","208,284.0","197,044.0","189,203.0","197,312.0","208,306.0","215,449.0","223,138.0","237,467.0","243,547.0","232,018.0","212,112.0","213,523.0","203,929.0","208,552.0","212,652.0","204,204.0","197,207.0","192,499.0","199,249.0","213,400.0","219,396.0","230,507.0","249,259.0","248,394.0","257,460.0","270,929.0","281,489.0","291,728.0","287,902.0","288,960.0","289,510.0","287,634.0","284,301.0","306,991.0","281,023.0","251,400.0","240,108.0","231,975.0","226,882.0","228,702.0","215,644.0","212,095.0","216,750.0","218,963.0","222,375.0","222,720.0","231,153.0","244,599.0","263,163.0","281,650.0","301,221.0","313,620.0","309,773.0","317,253.0","320,925.0","318,206.0","325,517.0","342,540.0","353,752.0","369,695.0","372,796.0","364,910.0","376,238.0","380,008.0","364,544.0","363,063.0","378,900.0","397,042.0","420,103.0","441,042.0","455,149.0","481,103.0","470,478.0","495,128.0","442,594.0","411,569.0","376,796.0","353,728.0","362,472.0","377,236.0","395,099.0","379,614.0","393,360.0","406,438.0","418,159.0","450,839.0","485,258.0","499,485.0","520,255.0","548,180.0","599,297.0","611,959.0","638,307.0","675,357.0","710,071.0","765,238.0","786,423.0","812,053.0","836,887.0","898,773.0","938,137.0","936,782.0","914,525.0","898,114.0","865,960.0","744,979.0","631,758.0","618,649.0","640,007.0","684,356.0","628,632.0","641,603.0","647,267.0","670,862.0","684,081.0","706,089.0","717,704.0","707,126.0","707,993.0","703,633.0","698,949.0","711,501.0","695,184.0","697,855.0","698,919.0","725,644.0","715,759.0"
"22","3","Less: Income payments to the rest of the world","A655RX1","23,263.0","25,920.0","29,032.0","30,148.0","30,524.0","29,831.0","29,202.0","27,823.0","25,920.0","26,542.0","28,795.0","29,941.0","29,563.0","31,872.0","32,209.0","34,636.0","38,941.0","42,934.0","44,277.0","45,305.0","46,956.0","50,837.0","53,850.0","53,699.0","52,480.0","49,691.0","49,496.0","47,222.0","50,208.0","49,621.0","48,408.0","47,490.0","45,755.0","48,408.0","50,614.0","55,311.0","57,950.0","66,022.0","68,866.0","77,407.0","83,275.0","88,487.0","93,211.0","101,947.0","108,998.0","102,376.0","92,439.0","110,751.0","117,583.0","127,226.0","131,647.0","120,530.0","125,399.0","131,867.0","130,498.0","122,385.0","115,662.0","119,076.0","128,271.0","132,395.0","145,590.0","159,027.0","165,608.0","162,325.0","157,131.0","155,973.0","156,142.0","155,601.0","165,483.0","169,588.0","159,102.0","165,800.0","169,309.0","177,148.0","184,080.0","192,054.0","201,730.0","204,969.0","218,711.0","228,328.0","239,799.0","251,676.0","244,212.0","235,604.0","239,013.0","234,764.0","239,377.0","227,972.0","219,913.0","207,373.0","201,711.0","181,966.0","177,684.0","180,588.0","171,797.0","166,881.0","160,979.0","172,574.0","168,259.0","190,354.0","189,257.0","208,871.0","229,700.0","249,668.0","256,877.0","265,947.0","280,942.0","273,074.0","267,935.0","276,282.0","287,902.0","297,756.0","319,929.0","326,051.0","339,118.0","340,149.0","339,877.0","347,516.0","349,048.0","344,437.0","348,941.0","360,532.0","387,274.0","395,651.0","414,569.0","436,695.0","431,900.0","426,192.0","391,110.0","349,463.0","342,719.0","243,299.0","299,277.0","336,680.0","337,626.0","302,441.0","331,900.0","328,806.0","340,807.0","342,987.0","357,105.0","400,838.0","410,140.0","467,556.0","481,622.0","507,314.0","523,264.0","592,488.0","625,220.0","686,106.0","721,677.0","736,463.0","760,685.0","799,941.0","780,995.0","733,448.0","727,259.0","709,528.0","662,396.0","621,014.0","508,185.0","498,537.0","473,755.0","505,578.0","444,890.0","456,285.0","467,370.0","477,977.0","464,016.0","486,641.0","480,109.0","469,915.0","493,205.0","479,910.0","485,493.0","490,740.0","491,930.0","486,868.0","475,222.0","484,948.0","502,451.0"
"23","4","Equals: Gross national product","A001RX1","4,725,886.0","4,739,760.0","4,767,851.0","4,747,211.0","4,739,833.0","4,749,203.0","4,790,481.0","4,738,903.0","4,870,280.0","4,899,656.0","4,934,202.0","4,950,227.0","5,039,301.0","5,154,632.0","5,204,713.0","5,290,301.0","5,425,405.0","5,489,313.0","5,467,402.0","5,518,285.0","5,482,384.0","5,493,179.0","5,435,088.0","5,405,893.0","5,333,465.0","5,374,554.0","5,466,001.0","5,547,511.0","5,670,078.0","5,714,546.0","5,743,863.0","5,787,870.0","5,862,370.0","5,974,944.0","6,078,954.0","6,072,766.0","6,102,197.0","6,326,598.0","6,392,754.0","6,486,203.0","6,500,570.0","6,516,467.0","6,577,371.0","6,593,513.0","6,616,193.0","6,476,933.0","6,462,391.0","6,565,879.0","6,704,816.0","6,652,355.0","6,731,964.0","6,662,712.0","6,548,422.0","6,592,656.0","6,556,734.0","6,560,464.0","6,644,757.0","6,799,182.0","6,932,299.0","7,076,496.0","7,209,992.0","7,335,790.0","7,406,578.0","7,457,478.0","7,517,398.0","7,588,266.0","7,696,403.0","7,758,751.0","7,824,424.0","7,848,184.0","7,930,557.0","7,960,442.0","8,018,917.0","8,114,451.0","8,186,696.0","8,324,131.0","8,379,245.0","8,485,420.0","8,529,402.0","8,645,427.0","8,731,174.0","8,797,751.0","8,866,788.0","8,894,866.0","8,988,894.0","9,025,815.0","9,020,347.0","8,977,080.0","8,918,059.0","8,970,332.0","9,007,778.0","9,058,328.0","9,164,007.0","9,263,444.0","9,348,960.0","9,443,598.0","9,471,475.0","9,518,190.0","9,571,976.0","9,677,572.0","9,781,459.0","9,908,332.0","9,964,047.0","10,075,147.0","10,121,546.0","10,159,973.0","10,227,914.0","10,315,476.0","10,391,570.0","10,561,206.0","10,654,221.0","10,773,377.0","10,844,234.0","11,016,999.0","11,146,902.0","11,224,433.0","11,346,644.0","11,452,523.0","11,585,302.0","11,778,341.0","11,899,264.0","12,005,631.0","12,154,307.0","12,376,398.0","12,406,924.0","12,644,214.0","12,654,598.0","12,751,646.0","12,698,358.0","12,776,140.0","12,709,984.0","12,816,262.0","12,889,240.0","12,936,973.0","13,015,566.0","13,041,294.0","13,091,405.0","13,230,595.0","13,452,590.0","13,634,316.0","13,735,139.0","13,810,043.0","13,941,713.0","14,028,971.0","14,218,143.0","14,282,060.0","14,408,020.0","14,454,843.0","14,631,127.0","14,670,415.0","14,668,695.0","14,793,459.0","14,803,503.0","14,939,313.0","15,097,541.0","15,198,581.0","15,081,927.0","15,157,294.0","15,098,663.0","14,698,091.0","14,495,316.0","14,476,793.0","14,568,836.0","14,719,542.0","14,782,744.0","14,925,072.0","15,020,536.0","15,137,790.0","15,119,161.0","15,235,554.0","15,306,384.0","15,485,740.0","15,600,235.0","15,656,197.0","15,751,088.0","15,764,782.0","15,789,749.0","15,893,891.0","16,067,378.0","16,188,885.0","16,040,753.0"
"24","5","Less: Consumption of fixed capital","A262RX1","472,039.0","477,850.0","483,596.0","489,110.0","494,299.0","499,293.0","504,108.0","508,453.0","512,619.0","516,769.0","521,065.0","525,234.0","529,905.0","535,194.0","541,348.0","548,177.0","555,614.0","562,773.0","569,499.0","575,980.0","582,160.0","587,873.0","593,286.0","598,285.0","602,722.0","607,199.0","611,613.0","616,009.0","620,434.0","625,332.0","630,556.0","636,376.0","642,642.0","649,180.0","656,056.0","663,210.0","670,472.0","678,282.0","686,405.0","694,932.0","703,908.0","712,752.0","721,313.0","729,621.0","737,736.0","745,582.0","753,075.0","760,319.0","767,191.0","774,407.0","781,904.0","789,721.0","797,871.0","805,521.0","812,658.0","819,342.0","825,538.0","832,383.0","839,812.0","847,955.0","856,774.0","866,589.0","877,504.0","889,523.0","902,600.0","915,304.0","927,564.0","939,366.0","950,663.0","962,147.0","973,789.0","985,641.0","997,619.0","1,009,316.0","1,020,694.0","1,031,777.0","1,042,552.0","1,053,426.0","1,064,351.0","1,075,392.0","1,086,526.0","1,097,566.0","1,108,520.0","1,119,400.0","1,130,233.0","1,140,413.0","1,149,973.0","1,158,888.0","1,167,176.0","1,175,227.0","1,183,081.0","1,190,692.0","1,198,078.0","1,205,894.0","1,214,244.0","1,223,060.0","1,232,367.0","1,241,985.0","1,251,881.0","1,261,963.0","1,272,373.0","1,283,426.0","1,295,202.0","1,307,649.0","1,320,762.0","1,334,137.0","1,347,814.0","1,361,745.0","1,375,929.0","1,390,939.0","1,406,765.0","1,423,420.0","1,440,908.0","1,459,330.0","1,479,181.0","1,500,449.0","1,523,129.0","1,545,253.0","1,566,722.0","1,587,498.0","1,607,599.0","1,633,802.0","1,666,514.0","1,705,864.0","1,702,551.0","1,742,706.0","1,775,887.0","1,800,606.0","1,819,749.0","1,834,861.0","1,849,120.0","1,863,835.0","1,881,391.0","1,897,416.0","1,913,376.0","1,928,263.0","1,942,193.0","1,955,587.0","1,970,474.0","1,987,260.0","2,006,109.0","2,022,741.0","2,041,071.0","2,060,643.0","2,081,113.0","2,100,446.0","2,120,879.0","2,141,493.0","2,162,446.0","2,184,226.0","2,205,172.0","2,225,866.0","2,246,831.0","2,266,253.0","2,284,258.0","2,301,211.0","2,315,722.0","2,331,477.0","2,347,010.0","2,359,509.0","2,366,483.0","2,369,224.0","2,369,358.0","2,368,458.0","2,372,718.0","2,378,743.0","2,385,539.0","2,392,536.0","2,399,117.0","2,407,119.0","2,415,971.0","2,425,850.0","2,436,898.0","2,448,518.0","2,459,321.0","2,470,787.0","2,483,220.0","2,495,793.0","2,508,384.0","2,521,339.0","2,533,890.0"
"25","6","  Private","A024RX1","323,777.0","328,480.0","333,024.0","337,406.0","341,623.0","345,733.0","349,735.0","353,626.0","357,403.0","361,289.0","365,293.0","369,420.0","373,678.0","378,699.0","384,455.0","390,887.0","397,910.0","404,482.0","410,688.0","416,593.0","422,236.0","427,455.0","432,235.0","436,562.0","440,424.0","444,221.0","447,954.0","451,626.0","455,238.0","459,296.0","463,803.0","468,763.0","474,181.0","479,828.0","485,705.0","491,814.0","498,156.0","504,843.0","511,878.0","519,263.0","527,000.0","534,481.0","541,704.0","548,668.0","555,372.0","561,766.0","567,847.0","573,611.0","579,054.0","584,757.0","590,726.0","596,965.0","603,483.0","609,469.0","614,917.0","619,822.0","624,181.0","629,051.0","634,437.0","640,347.0","646,787.0","654,094.0","662,278.0","671,354.0","681,334.0","690,825.0","699,818.0","708,304.0","716,274.0","724,403.0","732,694.0","741,150.0","749,775.0","758,188.0","766,385.0","774,363.0","782,118.0","790,056.0","798,179.0","806,488.0","814,985.0","823,412.0","831,765.0","840,042.0","848,239.0","855,948.0","863,161.0","869,872.0","876,071.0","882,174.0","888,183.0","894,097.0","899,916.0","906,298.0","913,247.0","920,771.0","928,876.0","937,345.0","946,180.0","955,386.0","964,967.0","975,224.0","986,170.0","997,816.0","1,010,175.0","1,022,748.0","1,035,538.0","1,048,547.0","1,061,778.0","1,075,763.0","1,090,511.0","1,106,034.0","1,122,343.0","1,139,820.0","1,158,492.0","1,178,387.0","1,199,532.0","1,220,008.0","1,239,767.0","1,258,756.0","1,276,922.0","1,301,169.0","1,331,759.0","1,368,995.0","1,364,186.0","1,402,075.0","1,433,179.0","1,455,933.0","1,473,134.0","1,486,367.0","1,498,727.0","1,511,630.0","1,527,349.0","1,541,400.0","1,555,176.0","1,567,768.0","1,579,625.0","1,590,509.0","1,602,805.0","1,616,827.0","1,632,863.0","1,646,636.0","1,662,035.0","1,678,647.0","1,696,123.0","1,712,433.0","1,729,807.0","1,747,251.0","1,765,078.0","1,783,594.0","1,801,259.0","1,818,673.0","1,836,279.0","1,852,345.0","1,866,973.0","1,880,537.0","1,891,587.0","1,903,838.0","1,915,714.0","1,924,464.0","1,927,627.0","1,927,275.0","1,925,083.0","1,922,622.0","1,923,216.0","1,925,957.0","1,929,824.0","1,934,303.0","1,938,717.0","1,944,662.0","1,951,629.0","1,959,723.0","1,969,132.0","1,979,223.0","1,988,564.0","1,998,675.0","2,009,869.0","2,021,208.0","2,032,474.0","2,044,108.0","2,055,347.0"
"26","7","  Government","A264RX1","157,526.0","158,594.0","159,780.0","160,894.0","161,831.0","162,674.0","163,443.0","163,809.0","164,109.0","164,260.0","164,439.0","164,326.0","164,638.0","164,775.0","165,045.0","165,294.0","165,539.0","165,992.0","166,385.0","166,862.0","167,324.0","167,751.0","168,347.0","168,989.0","169,523.0","170,168.0","170,814.0","171,513.0","172,318.0","173,136.0","173,794.0","174,595.0","175,360.0","176,161.0","177,070.0","178,017.0","178,805.0","179,810.0","180,754.0","181,738.0","182,811.0","184,043.0","185,256.0","186,492.0","187,820.0","189,213.0","190,576.0","192,036.0","193,451.0","194,955.0","196,464.0","198,016.0","199,622.0","201,294.0","203,021.0","204,876.0","206,822.0","208,906.0","211,044.0","213,378.0","215,858.0","218,451.0","221,266.0","224,291.0","227,459.0","230,777.0","234,176.0","237,649.0","241,158.0","244,696.0","248,224.0","251,798.0","255,314.0","258,758.0","262,093.0","265,351.0","268,521.0","271,586.0","274,488.0","277,300.0","279,993.0","282,663.0","285,322.0","287,987.0","290,695.0","293,230.0","295,641.0","297,911.0","300,068.0","302,066.0","303,951.0","305,669.0","307,242.0","308,644.0","309,988.0","311,191.0","312,276.0","313,293.0","314,199.0","314,891.0","315,525.0","316,104.0","316,704.0","317,259.0","317,750.0","318,295.0","318,932.0","319,608.0","320,318.0","321,099.0","321,922.0","322,794.0","323,705.0","324,331.0","325,195.0","326,251.0","327,462.0","328,828.0","330,292.0","331,862.0","333,608.0","335,258.0","336,995.0","338,668.0","340,369.0","342,152.0","343,919.0","345,722.0","347,542.0","349,324.0","351,139.0","352,869.0","354,609.0","356,523.0","358,658.0","360,922.0","362,954.0","365,464.0","368,044.0","370,785.0","373,552.0","376,398.0","379,298.0","382,216.0","385,157.0","388,143.0","391,155.0","394,282.0","397,358.0","400,570.0","403,816.0","407,066.0","410,400.0","413,749.0","417,132.0","420,531.0","424,017.0","427,542.0","431,224.0","435,006.0","438,850.0","441,954.0","444,277.0","445,833.0","449,487.0","452,748.0","455,653.0","458,151.0","460,303.0","462,352.0","464,234.0","466,020.0","467,668.0","469,208.0","470,681.0","472,048.0","473,300.0","474,544.0","475,874.0","477,200.0","478,512.0"
"27","8","    General government","A265RX1","144,910.0","145,848.0","146,887.0","147,851.0","148,659.0","149,359.0","149,971.0","150,229.0","150,394.0","150,423.0","150,450.0","150,240.0","150,377.0","150,395.0","150,482.0","150,613.0","150,674.0","150,949.0","151,180.0","151,485.0","151,764.0","152,049.0","152,456.0","152,931.0","153,296.0","153,804.0","154,279.0","154,817.0","155,479.0","156,125.0","156,637.0","157,318.0","157,956.0","158,623.0","159,393.0","160,198.0","160,861.0","161,717.0","162,515.0","163,346.0","164,238.0","165,285.0","166,319.0","167,357.0","168,494.0","169,682.0","170,856.0","172,114.0","173,321.0","174,621.0","175,926.0","177,267.0","178,670.0","180,137.0","181,667.0","183,319.0","185,060.0","186,928.0","188,870.0","190,990.0","193,237.0","195,604.0","198,179.0","200,940.0","203,841.0","206,872.0","210,015.0","213,204.0","216,445.0","219,726.0","222,985.0","226,295.0","229,554.0","232,748.0","235,824.0","238,815.0","241,739.0","244,552.0","247,201.0","249,772.0","252,204.0","254,616.0","257,000.0","259,403.0","261,835.0","264,096.0","266,225.0","268,214.0","270,097.0","271,805.0","273,401.0","274,842.0","276,122.0","277,229.0","278,281.0","279,183.0","279,962.0","280,688.0","281,320.0","281,762.0","282,150.0","282,506.0","282,876.0","283,207.0","283,495.0","283,836.0","284,256.0","284,710.0","285,201.0","285,747.0","286,328.0","286,932.0","287,597.0","288,090.0","288,758.0","289,571.0","290,507.0","291,552.0","292,687.0","293,899.0","295,272.0","296,523.0","297,902.0","299,223.0","300,542.0","301,973.0","303,412.0","304,898.0","306,434.0","307,915.0","309,427.0","310,851.0","312,289.0","313,871.0","315,648.0","317,523.0","319,133.0","321,226.0","323,369.0","325,673.0","328,003.0","330,429.0","332,936.0","335,481.0","338,084.0","340,746.0","343,448.0","346,262.0","349,061.0","351,974.0","354,930.0","357,896.0","360,934.0","363,990.0","367,070.0","370,174.0","373,359.0","376,572.0","379,935.0","383,385.0","386,880.0","389,648.0","391,626.0","392,861.0","396,144.0","399,068.0","401,655.0","403,863.0","405,732.0","407,519.0","409,152.0","410,698.0","412,139.0","413,475.0","414,746.0","415,921.0","416,995.0","418,044.0","419,168.0","420,278.0","421,380.0"
"28","9","    Government enterprises","A266RX1","11,762.0","11,897.0","12,050.0","12,208.0","12,345.0","12,501.0","12,675.0","12,799.0","12,957.0","13,102.0","13,282.0","13,400.0","13,603.0","13,743.0","13,955.0","14,091.0","14,304.0","14,507.0","14,690.0","14,883.0","15,090.0","15,249.0","15,454.0","15,635.0","15,816.0","15,962.0","16,143.0","16,312.0","16,460.0","16,640.0","16,793.0","16,915.0","17,047.0","17,185.0","17,327.0","17,472.0","17,600.0","17,752.0","17,902.0","18,056.0","18,241.0","18,429.0","18,612.0","18,812.0","19,003.0","19,210.0","19,400.0","19,603.0","19,813.0","20,018.0","20,222.0","20,435.0","20,639.0","20,844.0","21,039.0","21,241.0","21,442.0","21,655.0","21,845.0","22,052.0","22,278.0","22,494.0","22,724.0","22,976.0","23,231.0","23,505.0","23,743.0","24,013.0","24,264.0","24,503.0","24,756.0","25,002.0","25,242.0","25,475.0","25,720.0","25,974.0","26,206.0","26,445.0","26,689.0","26,922.0","27,176.0","27,427.0","27,697.0","27,953.0","28,224.0","28,495.0","28,776.0","29,056.0","29,330.0","29,626.0","29,920.0","30,204.0","30,507.0","30,816.0","31,121.0","31,439.0","31,763.0","32,070.0","32,361.0","32,628.0","32,890.0","33,128.0","33,372.0","33,611.0","33,830.0","34,049.0","34,280.0","34,516.0","34,749.0","34,997.0","35,254.0","35,537.0","35,796.0","35,934.0","36,139.0","36,396.0","36,684.0","37,023.0","37,367.0","37,743.0","38,133.0","38,552.0","38,925.0","39,292.0","39,692.0","40,057.0","40,396.0","40,722.0","41,013.0","41,321.0","41,632.0","41,947.0","42,257.0","42,597.0","42,962.0","43,361.0","43,798.0","44,222.0","44,669.0","45,114.0","45,558.0","45,981.0","46,376.0","46,750.0","47,086.0","47,408.0","47,717.0","48,027.0","48,301.0","48,598.0","48,887.0","49,170.0","49,466.0","49,759.0","50,060.0","50,356.0","50,657.0","50,969.0","51,288.0","51,621.0","51,971.0","52,305.0","52,652.0","52,972.0","53,342.0","53,680.0","53,998.0","54,288.0","54,571.0","54,832.0","55,082.0","55,323.0","55,528.0","55,733.0","55,934.0","56,125.0","56,302.0","56,496.0","56,701.0","56,914.0","57,122.0"
"29","10","Equals: Net national product","A027RX1","4,299,942.0","4,307,053.0","4,328,951.0","4,300,774.0","4,286,718.0","4,290,227.0","4,326,923.0","4,268,209.0","4,398,847.0","4,424,064.0","4,454,458.0","4,465,878.0","4,552,177.0","4,664,784.0","4,708,906.0","4,788,901.0","4,919,335.0","4,976,524.0","4,945,568.0","4,990,110.0","4,945,327.0","4,949,365.0","4,882,356.0","4,845,706.0","4,764,747.0","4,801,569.0","4,890,909.0","4,969,975.0","5,091,705.0","5,131,600.0","5,155,312.0","5,193,527.0","5,262,881.0","5,371,519.0","5,470,812.0","5,454,938.0","5,476,043.0","5,699,653.0","5,757,874.0","5,844,040.0","5,847,172.0","5,852,051.0","5,904,223.0","5,910,002.0","5,922,832.0","5,766,969.0","5,741,803.0","5,840,237.0","5,976,130.0","5,911,642.0","5,984,741.0","5,901,796.0","5,771,333.0","5,807,360.0","5,760,365.0","5,755,521.0","5,835,365.0","5,987,237.0","6,116,001.0","6,255,223.0","6,382,368.0","6,500,226.0","6,559,650.0","6,597,124.0","6,642,687.0","6,700,069.0","6,796,520.0","6,846,216.0","6,899,979.0","6,910,209.0","6,980,825.0","6,996,948.0","7,042,478.0","7,126,627.0","7,187,130.0","7,315,247.0","7,358,803.0","7,454,932.0","7,486,861.0","7,592,915.0","7,667,642.0","7,722,737.0","7,780,474.0","7,796,194.0","7,879,792.0","7,905,508.0","7,888,509.0","7,833,573.0","7,763,325.0","7,807,458.0","7,836,647.0","7,879,539.0","7,979,026.0","8,071,576.0","8,149,265.0","8,235,701.0","8,253,494.0","8,290,172.0","8,333,769.0","8,429,951.0","8,524,005.0","8,640,706.0","8,684,134.0","8,783,201.0","8,815,623.0","8,839,647.0","8,893,422.0","8,966,900.0","9,028,416.0","9,184,116.0","9,260,993.0","9,363,517.0","9,416,118.0","9,571,117.0","9,681,062.0","9,736,413.0","9,835,546.0","9,918,743.0","10,029,866.0","10,202,664.0","10,303,260.0","10,382,675.0","10,498,002.0","10,680,426.0","10,714,843.0","10,911,466.0","10,886,538.0","10,958,334.0","10,884,637.0","10,947,024.0","10,865,300.0","10,956,908.0","11,012,134.0","11,043,604.0","11,106,190.0","11,116,796.0","11,152,888.0","11,278,896.0","11,486,391.0","11,651,523.0","11,733,441.0","11,791,652.0","11,905,039.0","11,972,654.0","12,141,578.0","12,185,981.0","12,291,496.0","12,317,320.0","12,472,841.0","12,489,873.0","12,466,599.0","12,570,693.0","12,559,209.0","12,675,664.0","12,816,014.0","12,899,941.0","12,767,763.0","12,827,282.0","12,752,770.0","12,338,468.0","12,128,597.0","12,107,577.0","12,199,621.0","12,351,170.0","12,409,983.0","12,546,014.0","12,634,487.0","12,744,491.0","12,719,497.0","12,827,701.0","12,889,644.0","13,058,774.0","13,162,089.0","13,206,473.0","13,290,483.0","13,292,873.0","13,305,541.0","13,397,057.0","13,557,808.0","13,666,306.0","13,505,765.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross domestic income \1\","A261RX1","4,660,964.0","4,693,040.0","4,727,825.0","4,719,410.0","4,686,260.0","4,686,057.0","4,724,567.0","4,680,278.0","4,773,512.0","4,804,940.0","4,846,398.0","4,908,025.0","4,978,280.0","5,042,094.0","5,124,171.0","5,255,694.0","5,349,601.0","5,379,045.0","5,396,855.0","5,453,492.0","5,411,353.0","5,389,639.0","5,361,259.0","5,297,379.0","5,236,907.0","5,281,234.0","5,387,879.0","5,443,181.0","5,556,546.0","5,591,358.0","5,632,698.0","5,649,922.0","5,701,195.0","5,846,808.0","5,959,250.0","5,994,182.0","6,031,290.0","6,209,975.0","6,250,752.0","6,306,537.0","6,365,412.0","6,331,397.0","6,338,339.0","6,364,835.0","6,369,237.0","6,250,542.0","6,296,672.0","6,456,983.0","6,507,501.0","6,507,918.0","6,598,743.0","6,524,138.0","6,471,390.0","6,497,251.0","6,471,980.0","6,445,108.0","6,517,030.0","6,627,866.0","6,718,598.0","6,872,172.0","7,062,835.0","7,177,003.0","7,255,931.0","7,334,705.0","7,399,525.0","7,453,528.0","7,544,795.0","7,587,567.0","7,664,815.0","7,685,045.0","7,736,167.0","7,797,372.0","7,875,860.0","8,000,906.0","8,120,544.0","8,227,128.0","8,326,653.0","8,423,655.0","8,498,507.0","8,615,772.0","8,672,528.0","8,655,469.0","8,688,530.0","8,695,119.0","8,786,010.0","8,835,784.0","8,827,527.0","8,785,426.0","8,773,950.0","8,796,962.0","8,820,334.0","8,853,254.0","9,007,897.0","9,081,532.0","9,110,482.0","9,199,836.0","9,162,208.0","9,275,013.0","9,290,818.0","9,472,193.0","9,523,188.0","9,673,291.0","9,764,382.0","9,876,682.0","9,923,235.0","9,980,656.0","10,102,991.0","10,167,234.0","10,277,869.0","10,432,504.0","10,530,878.0","10,662,283.0","10,784,286.0","10,911,393.0","11,093,787.0","11,238,858.0","11,358,930.0","11,521,660.0","11,685,219.0","11,793,019.0","11,951,119.0","12,025,702.0","12,136,372.0","12,334,723.0","12,587,439.0","12,657,174.0","12,750,987.0","12,727,950.0","12,873,419.0","12,851,589.0","12,805,430.0","12,741,100.0","12,906,590.0","12,984,739.0","13,001,330.0","13,075,557.0","13,096,227.0","13,220,460.0","13,346,096.0","13,474,131.0","13,578,384.0","13,724,568.0","13,877,279.0","13,944,459.0","14,083,340.0","14,188,601.0","14,310,601.0","14,504,713.0","14,782,008.0","14,803,882.0","14,863,377.0","14,919,722.0","14,882,881.0","14,904,656.0","14,823,125.0","14,816,120.0","14,843,538.0","14,833,957.0","14,772,441.0","14,485,570.0","14,260,564.0","14,258,386.0","14,328,191.0","14,535,434.0","14,552,759.0","14,653,356.0","14,840,069.0","14,900,506.0","14,975,368.0","15,061,450.0","15,142,186.0","15,238,778.0","15,441,937.0","15,417,950.0","15,451,888.0","15,635,954.0","15,730,558.0","15,855,383.0","15,925,196.0","16,027,841.0","15,922,094.0"
