"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"21","3","Less: Income payments to the rest of the world","A655RX1","27,091.0","29,345.0","27,800.0","32,070.0","42,864.0","51,336.0","49,722.0","48,932.0","50,022.0","67,562.0","91,730.0","103,641.0","124,247.0","127,537.0","123,851.0","158,138.0","156,212.0","164,993.0","180,648.0","213,435.0","242,823.0","235,281.0","202,741.0","174,238.0","173,042.0","219,374.0","269,210.0","282,469.0","331,312.0","345,219.0","373,099.0","427,339.0","331,648.0","319,006.0","336,125.0","408,910.0","526,172.0","692,367.0","768,767.0","680,049.0","496,514.0","461,630.0","475,170.0","487,337.0","484,742.0"
"22","4","Equals: Gross national product","A001RX1","4,745,177.0","4,754,605.0","4,913,591.0","5,172,237.0","5,475,101.0","5,454,136.0","5,430,383.0","5,729,089.0","5,997,258.0","6,326,938.0","6,546,980.0","6,530,349.0","6,687,961.0","6,564,569.0","6,863,183.0","7,352,460.0","7,640,205.0","7,890,902.0","8,161,049.0","8,509,874.0","8,822,645.0","9,003,034.0","8,988,624.0","9,305,002.0","9,559,803.0","9,932,246.0","10,206,227.0","10,595,094.0","11,058,142.0","11,540,702.0","12,108,900.0","12,614,346.0","12,750,186.0","12,970,768.0","13,352,227.0","13,878,967.0","14,340,766.0","14,690,924.0","15,009,734.0","15,008,994.0","14,565,122.0","14,966,535.0","15,286,710.0","15,693,075.0","15,984,976.0"
"23","5","Less: Consumption of fixed capital","A262RX1","480,649.0","501,538.0","518,922.0","538,656.0","565,966.0","590,401.0","609,386.0","628,174.0","652,772.0","682,523.0","716,898.0","749,178.0","778,306.0","808,848.0","836,422.0","872,598.0","921,208.0","968,060.0","1,014,851.0","1,058,930.0","1,103,003.0","1,144,877.0","1,179,044.0","1,210,319.0","1,247,049.0","1,289,663.0","1,341,115.0","1,399,263.0","1,469,967.0","1,555,651.0","1,653,444.0","1,755,438.0","1,841,891.0","1,905,112.0","1,963,879.0","2,032,641.0","2,110,982.0","2,194,428.0","2,274,638.0","2,338,430.0","2,368,380.0","2,382,384.0","2,412,014.0","2,453,881.0","2,502,184.0"
"24","6","  Private","A024RX1","330,672.0","347,679.0","363,351.0","381,930.0","407,418.0","429,622.0","446,056.0","461,775.0","482,882.0","508,535.0","537,964.0","564,649.0","587,876.0","611,923.0","632,004.0","658,628.0","695,070.0","728,631.0","762,178.0","794,210.0","827,551.0","859,305.0","885,131.0","910,058.0","941,947.0","981,044.0","1,029,252.0","1,083,522.0","1,149,760.0","1,229,516.0","1,319,711.0","1,413,843.0","1,492,464.0","1,547,923.0","1,597,442.0","1,655,045.0","1,721,403.0","1,792,151.0","1,859,033.0","1,908,901.0","1,925,652.0","1,928,325.0","1,948,683.0","1,983,898.0","2,026,915.0"
"25","7","  Government","A264RX1","159,198.0","162,939.0","164,284.0","164,938.0","166,194.0","168,103.0","170,505.0","173,461.0","176,652.0","180,277.0","184,651.0","189,911.0","195,722.0","202,203.0","210,037.0","219,967.0","232,515.0","246,469.0","260,379.0","272,974.0","283,991.0","294,370.0","302,938.0","309,266.0","313,665.0","316,398.0","318,647.0","321,533.0","324,871.0","329,611.0","336,132.0","343,040.0","350,218.0","357,678.0","366,812.0","377,866.0","389,684.0","402,202.0","415,453.0","429,447.0","442,729.0","454,010.0","463,227.0","469,901.0","475,229.0"
"26","8","    General government","A265RX1","146,374.0","149,555.0","150,377.0","150,467.0","151,072.0","152,300.0","154,049.0","156,390.0","159,042.0","162,110.0","165,800.0","170,287.0","175,284.0","180,948.0","187,962.0","196,990.0","208,483.0","221,363.0","234,235.0","245,816.0","255,806.0","265,092.0","272,536.0","277,704.0","280,933.0","282,685.0","284,074.0","286,052.0","288,504.0","292,161.0","297,230.0","302,706.0","308,657.0","314,833.0","322,350.0","331,712.0","342,135.0","353,465.0","365,542.0","378,313.0","390,254.0","400,183.0","408,275.0","414,070.0","418,621.0"
"27","9","    Government enterprises","A266RX1","11,979.0","12,580.0","13,185.0","13,848.0","14,596.0","15,357.0","16,058.0","16,702.0","17,258.0","17,828.0","18,524.0","19,304.0","20,122.0","20,941.0","21,749.0","22,618.0","23,623.0","24,631.0","25,603.0","26,566.0","27,563.0","28,638.0","29,770.0","30,971.0","32,205.0","33,250.0","34,169.0","35,134.0","36,066.0","37,204.0","38,725.0","40,217.0","41,479.0","42,794.0","44,451.0","46,166.0","47,559.0","48,739.0","49,910.0","51,134.0","52,475.0","53,827.0","54,952.0","55,830.0","56,603.0"
"28","10","Equals: Net national product","A027RX1","4,309,180.0","4,293,019.0","4,435,812.0","4,678,692.0","4,957,884.0","4,905,688.0","4,856,800.0","5,143,036.0","5,390,038.0","5,694,402.0","5,878,362.0","5,817,960.0","5,943,577.0","5,773,645.0","6,048,457.0","6,509,842.0","6,746,373.0","6,946,990.0","7,167,870.0","7,473,378.0","7,741,762.0","7,876,845.0","7,821,742.0","8,108,892.0","8,326,847.0","8,658,011.0","8,878,898.0","9,209,261.0","9,601,178.0","9,996,705.0","10,466,091.0","10,867,795.0","10,913,467.0","11,069,681.0","11,392,424.0","11,850,696.0","12,234,094.0","12,500,001.0","12,737,707.0","12,671,571.0","12,196,741.0","12,583,744.0","12,873,904.0","13,237,980.0","13,481,678.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross domestic income \1\","A261RX1","4,700,494.0","4,694,317.0","4,833,446.0","5,100,240.0","5,394,982.0","5,364,436.0","5,337,414.0","5,607,443.0","5,875,800.0","6,198,818.0","6,349,337.0","6,344,567.0","6,535,129.0","6,471,170.0","6,683,653.0","7,207,620.0","7,496,208.0","7,720,772.0","8,056,285.0","8,466,191.0","8,677,498.0","8,808,785.0","8,810,992.0","9,099,706.0","9,300,220.0","9,709,519.0","10,043,632.0","10,475,798.0","11,007,251.0","11,589,629.0","12,111,912.0","12,680,578.0","12,817,622.0","12,992,090.0","13,283,875.0","13,781,255.0","14,272,272.0","14,842,293.0","14,856,053.0","14,733,815.0","14,345,697.0","14,736,700.0","15,104,307.0","15,486,969.0","15,884,680.0"
"31","12","  Gross national income \2\","A023RX1","4,737,688.0","4,731,064.0","4,873,881.0","5,143,722.0","5,451,941.0","5,428,272.0","5,388,102.0","5,667,209.0","5,942,446.0","6,265,303.0","6,436,857.0","6,431,361.0","6,612,329.0","6,551,471.0","6,762,017.0","7,282,684.0","7,550,619.0","7,759,469.0","8,093,421.0","8,510,661.0","8,722,991.0","8,866,255.0","8,860,700.0","9,147,970.0","9,349,115.0","9,746,974.0","10,086,183.0","10,521,438.0","11,042,497.0","11,616,994.0","12,149,437.0","12,729,810.0","12,883,463.0","13,053,219.0","13,366,161.0","13,886,221.0","14,377,538.0","14,917,941.0","14,989,056.0","14,909,152.0","14,492,876.0","14,923,983.0","15,338,709.0","15,709,221.0","16,108,095.0"
"32","13","  Net domestic product","A362RX1","4,271,240.0","4,255,448.0","4,394,497.0","4,634,414.0","4,899,755.0","4,840,321.0","4,805,064.0","5,082,017.0","5,321,892.0","5,626,485.0","5,788,385.0","5,728,914.0","5,864,641.0","5,691,690.0","5,968,415.0","6,433,234.0","6,691,289.0","6,908,175.0","7,130,893.0","7,428,911.0","7,696,070.0","7,818,937.0","7,771,904.0","8,060,516.0","8,277,796.0","8,620,692.0","8,836,527.0","9,163,805.0","9,566,262.0","9,969,914.0","10,428,973.0","10,818,969.0","10,847,951.0","11,008,921.0","11,310,468.0","11,745,901.0","12,129,088.0","12,424,634.0","12,604,874.0","12,496,087.0","12,049,562.0","12,396,633.0","12,639,785.0","13,015,820.0","13,258,195.0"
"33","14","  Net domestic income \3\","W256RX1","4,263,649.0","4,231,267.0","4,353,584.0","4,604,843.0","4,875,832.0","4,813,616.0","4,761,278.0","5,017,805.0","5,264,850.0","5,562,394.0","5,673,746.0","5,625,598.0","5,785,708.0","5,677,984.0","5,863,449.0","6,361,085.0","6,598,896.0","6,772,576.0","7,061,079.0","7,429,769.0","7,593,623.0","7,678,754.0","7,640,882.0","7,900,306.0","8,063,215.0","8,432,061.0","8,714,242.0","9,088,952.0","9,550,370.0","10,047,096.0","10,469,871.0","10,935,511.0","10,982,107.0","11,091,685.0","11,324,394.0","11,753,114.0","12,165,901.0","12,652,788.0","12,584,006.0","12,395,967.0","11,977,315.0","12,354,187.0","12,691,603.0","13,031,977.0","13,381,338.0"
"34","15","  Net domestic purchases","W367RX1","4,385,254.0","4,352,431.0","4,504,378.0","4,760,749.0","4,989,012.0","4,887,125.0","4,802,985.0","5,142,223.0","5,425,924.0","5,729,659.0","5,849,871.0","5,681,191.0","5,824,904.0","5,693,843.0","6,057,903.0","6,630,816.0","6,918,600.0","7,158,715.0","7,367,902.0","7,597,789.0","7,820,250.0","7,906,526.0","7,802,899.0","8,094,821.0","8,364,264.0","8,746,175.0","8,949,665.0","9,292,652.0","9,728,900.0","10,261,868.0","10,831,255.0","11,322,985.0","11,376,473.0","11,618,927.0","11,977,332.0","12,501,093.0","12,929,847.0","13,234,263.0","13,328,438.0","13,054,080.0","12,441,764.0","12,861,578.0","13,088,370.0","13,447,125.0","13,669,452.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
