"","Table 2#2B# Wages and Salaries by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Wages and salaries","A576RC1","4,982,752.0","4,963,812.0","4,936,556.0","4,934,625.0","4,952,510.0","5,000,689.0","5,010,898.0","5,021,548.0","5,031,891.0","5,102,919.0","5,167,792.0","5,252,505.0","5,282,254.0","5,384,600.0","5,493,105.0","5,531,574.0","5,580,881.0","5,640,672.0","5,738,241.0","5,811,873.0","5,977,013.0","6,016,112.0","6,061,742.0","6,178,107.0","6,348,795.0","6,372,007.0","6,394,649.0","6,468,725.0","6,540,472.0","6,532,380.0","6,544,681.0","6,513,712.0","6,231,270.0","6,257,009.0","6,239,831.0","6,280,835.0","6,239,573.0","6,365,523.0","6,426,378.0","6,478,609.0","6,577,582.0","6,620,980.0","6,697,982.0","6,658,202.0","6,842,214.0","6,873,500.0","6,904,742.0","7,086,564.0","7,040,357.0","7,117,638.0","7,162,846.0","7,229,126.0","7,293,221.0"
"21","2","Private industries","A132RC1","4,178,242.0","4,148,271.0","4,108,004.0","4,095,236.0","4,090,874.0","4,130,271.0","4,133,051.0","4,138,829.0","4,127,078.0","4,190,497.0","4,252,192.0","4,332,104.0","4,340,462.0","4,434,000.0","4,537,431.0","4,568,984.0","4,598,396.0","4,653,026.0","4,743,775.0","4,810,425.0","4,958,163.0","4,987,980.0","5,020,953.0","5,126,002.0","5,272,639.0","5,289,556.0","5,302,241.0","5,364,354.0","5,412,914.0","5,394,523.0","5,393,667.0","5,353,717.0","5,064,384.0","5,081,021.0","5,062,149.0","5,100,808.0","5,052,139.0","5,168,716.0","5,236,069.0","5,288,794.0","5,387,024.0","5,423,034.0","5,499,744.0","5,467,196.0","5,642,820.0","5,678,005.0","5,709,680.0","5,887,244.0","5,844,537.0","5,923,570.0","5,972,214.0","6,029,710.0","6,088,789.0"
"22","3","  Goods-producing industries","N231RC1","1,069,788.0","1,054,290.0","1,032,975.0","1,020,474.0","1,013,217.0","1,017,037.0","1,009,341.0","1,005,490.0","996,669.0","1,001,567.0","1,007,149.0","1,036,452.0","1,021,291.0","1,047,329.0","1,074,101.0","1,069,430.0","1,082,946.0","1,090,902.0","1,111,451.0","1,118,305.0","1,170,153.0","1,167,379.0","1,164,165.0","1,182,748.0","1,205,448.0","1,211,138.0","1,205,393.0","1,213,262.0","1,217,359.0","1,210,776.0","1,198,134.0","1,180,988.0","1,091,196.0","1,056,822.0","1,039,898.0","1,043,931.0","1,023,365.0","1,050,742.0","1,064,339.0","1,074,851.0","1,093,464.0","1,097,829.0","1,113,505.0","1,103,546.0","1,149,225.0","1,153,184.0","1,146,661.0","1,166,964.0","1,173,823.0","1,187,139.0","1,190,575.0","1,204,148.0","1,220,117.0"
"23","4","    Manufacturing","N552RC1","740,163.0","722,516.0","701,490.0","689,315.0","680,553.0","686,702.0","678,704.0","674,327.0","668,307.0","668,549.0","669,570.0","690,525.0","674,701.0","689,602.0","707,280.0","702,793.0","705,633.0","706,732.0","713,503.0","715,606.0","739,629.0","735,840.0","733,655.0","741,564.0","753,542.0","753,794.0","749,634.0","749,828.0","750,216.0","746,535.0","739,666.0","725,907.0","674,067.0","659,194.0","649,442.0","662,311.0","649,186.0","672,759.0","682,060.0","692,215.0","705,459.0","705,059.0","711,567.0","706,336.0","733,203.0","735,651.0","732,339.0","740,549.0","742,140.0","745,942.0","747,272.0","754,152.0","758,070.0"
"24","5","  Services-producing industries","N233RC1","3,108,453.0","3,093,979.0","3,075,028.0","3,074,765.0","3,077,657.0","3,113,232.0","3,123,710.0","3,133,340.0","3,130,410.0","3,188,931.0","3,245,042.0","3,295,652.0","3,319,171.0","3,386,672.0","3,463,329.0","3,499,556.0","3,515,449.0","3,562,124.0","3,632,324.0","3,692,121.0","3,788,010.0","3,820,603.0","3,856,787.0","3,943,257.0","4,067,190.0","4,078,419.0","4,096,847.0","4,151,091.0","4,195,554.0","4,183,747.0","4,195,535.0","4,172,730.0","3,973,187.0","4,024,202.0","4,022,250.0","4,056,877.0","4,028,772.0","4,117,973.0","4,171,732.0","4,213,944.0","4,293,560.0","4,325,207.0","4,386,238.0","4,363,651.0","4,493,596.0","4,524,820.0","4,563,020.0","4,720,283.0","4,670,713.0","4,736,433.0","4,781,638.0","4,825,561.0","4,868,673.0"
"25","6","    Trade, transportation, and utilities","N234RC1","852,987.0","849,171.0","844,031.0","840,476.0","842,072.0","847,514.0","849,367.0","848,096.0","851,546.0","855,500.0","864,851.0","880,659.0","880,165.0","899,019.0","918,174.0","922,850.0","927,750.0","936,386.0","949,398.0","959,203.0","982,801.0","988,383.0","995,287.0","1,009,625.0","1,031,804.0","1,045,309.0","1,040,420.0","1,051,218.0","1,053,309.0","1,047,944.0","1,044,229.0","1,035,730.0","990,683.0","983,368.0","979,008.0","985,366.0","976,441.0","996,949.0","1,007,664.0","1,014,637.0","1,031,793.0","1,042,248.0","1,054,821.0","1,055,831.0","1,086,795.0","1,083,808.0","1,090,035.0","1,114,214.0","1,115,216.0","1,123,239.0","1,129,779.0","1,142,371.0","1,151,830.0"
"26","7","    Other services-producing industries \1\","N235RC1","2,255,466.0","2,244,808.0","2,230,997.0","2,234,289.0","2,235,585.0","2,265,718.0","2,274,343.0","2,285,244.0","2,278,864.0","2,333,431.0","2,380,191.0","2,414,993.0","2,439,006.0","2,487,653.0","2,545,155.0","2,576,706.0","2,587,699.0","2,625,738.0","2,682,926.0","2,732,918.0","2,805,209.0","2,832,220.0","2,861,500.0","2,933,632.0","3,035,386.0","3,033,110.0","3,056,427.0","3,099,873.0","3,142,245.0","3,135,803.0","3,151,306.0","3,137,000.0","2,982,504.0","3,040,834.0","3,043,242.0","3,071,511.0","3,052,331.0","3,121,024.0","3,164,068.0","3,199,307.0","3,261,767.0","3,282,959.0","3,331,417.0","3,307,820.0","3,406,801.0","3,441,012.0","3,472,985.0","3,606,069.0","3,555,497.0","3,613,194.0","3,651,859.0","3,683,190.0","3,716,843.0"
"27","8","Government","B202RC1","804,510.0","815,541.0","828,552.0","839,389.0","861,636.0","870,418.0","877,847.0","882,719.0","904,813.0","912,422.0","915,600.0","920,401.0","941,792.0","950,600.0","955,674.0","962,590.0","982,485.0","987,646.0","994,466.0","1,001,448.0","1,018,850.0","1,028,132.0","1,040,789.0","1,052,105.0","1,076,156.0","1,082,451.0","1,092,408.0","1,104,371.0","1,127,558.0","1,137,857.0","1,151,014.0","1,159,995.0","1,166,886.0","1,175,988.0","1,177,682.0","1,180,027.0","1,187,434.0","1,196,807.0","1,190,309.0","1,189,815.0","1,190,558.0","1,197,946.0","1,198,238.0","1,191,006.0","1,199,394.0","1,195,495.0","1,195,062.0","1,199,320.0","1,195,820.0","1,194,068.0","1,190,632.0","1,199,416.0","1,204,432.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
