"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Gross domestic product","A191RC1","1,019,879.0","1,075,884.0","1,167,769.0","1,282,449.0","1,428,548.0","1,548,824.0","1,688,922.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,949.0","3,344,985.0","3,638,129.0","4,040,686.0","4,346,725.0","4,590,145.0","4,870,205.0","5,252,616.0","5,657,676.0","5,979,568.0","6,174,020.0","6,539,273.0","6,878,690.0","7,308,727.0","7,664,028.0","8,100,165.0","8,608,478.0","9,089,133.0","9,665,696.0","10,289,748.0","10,625,252.0","10,980,187.0","11,512,237.0","12,277,037.0","13,095,426.0","13,857,893.0","14,480,312.0","14,720,254.0","14,417,942.0","14,958,261.0","15,533,839.0","16,244,586.0","16,799,735.0"
"20","2","Personal consumption expenditures","DPCERC1","604,486.0","647,688.0","700,990.0","769,431.0","851,143.0","931,999.0","1,032,755.0","1,150,172.0","1,276,673.0","1,426,173.0","1,589,496.0","1,754,616.0","1,937,512.0","2,073,913.0","2,286,519.0","2,498,155.0","2,722,674.0","2,898,411.0","3,092,050.0","3,346,889.0","3,592,814.0","3,825,630.0","3,960,151.0","4,215,654.0","4,471,002.0","4,741,018.0","4,984,178.0","5,268,071.0","5,560,720.0","5,903,033.0","6,316,895.0","6,801,630.0","7,106,864.0","7,385,297.0","7,764,356.0","8,257,757.0","8,790,344.0","9,297,459.0","9,744,444.0","10,005,501.0","9,842,938.0","10,201,880.0","10,711,793.0","11,149,602.0","11,501,545.0"
"21","3","  Goods","DGDSRC1","304,677.0","318,794.0","342,116.0","373,815.0","416,636.0","451,539.0","491,334.0","546,305.0","600,383.0","663,567.0","737,938.0","799,792.0","869,373.0","899,292.0","973,780.0","1,063,700.0","1,137,606.0","1,195,629.0","1,256,296.0","1,337,308.0","1,423,803.0","1,491,302.0","1,497,435.0","1,563,269.0","1,642,347.0","1,746,554.0","1,815,532.0","1,917,673.0","2,006,764.0","2,108,719.0","2,286,769.0","2,452,854.0","2,525,237.0","2,598,581.0","2,721,556.0","2,900,255.0","3,080,281.0","3,235,797.0","3,361,573.0","3,375,702.0","3,198,444.0","3,362,811.0","3,602,715.0","3,769,710.0","3,885,857.0"
"22","4","    Durable goods","DDURRC1","90,482.0","89,988.0","102,447.0","116,444.0","130,527.0","130,177.0","142,165.0","168,624.0","191,963.0","213,349.0","226,340.0","226,390.0","243,940.0","253,032.0","295,029.0","342,156.0","380,363.0","421,440.0","442,021.0","475,052.0","494,328.0","497,080.0","477,185.0","508,082.0","551,532.0","607,171.0","635,738.0","676,297.0","715,530.0","779,295.0","855,570.0","912,571.0","941,515.0","985,367.0","1,017,526.0","1,079,823.0","1,127,231.0","1,156,115.0","1,184,633.0","1,102,283.0","1,023,319.0","1,070,692.0","1,129,911.0","1,202,691.0","1,262,986.0"
"23","5","    Nondurable goods","DNDGRC1","214,195.0","228,806.0","239,669.0","257,371.0","286,109.0","321,362.0","349,169.0","377,681.0","408,420.0","450,218.0","511,598.0","573,402.0","625,433.0","646,260.0","678,751.0","721,544.0","757,243.0","774,189.0","814,275.0","862,256.0","929,475.0","994,222.0","1,020,250.0","1,055,187.0","1,090,815.0","1,139,383.0","1,179,794.0","1,241,376.0","1,291,234.0","1,329,424.0","1,431,199.0","1,540,283.0","1,583,722.0","1,613,214.0","1,704,030.0","1,820,432.0","1,953,050.0","2,079,682.0","2,176,940.0","2,273,419.0","2,175,125.0","2,292,119.0","2,472,804.0","2,567,019.0","2,622,871.0"
"24","6","  Services","DSERRC1","299,809.0","328,894.0","358,874.0","395,616.0","434,507.0","480,460.0","541,421.0","603,867.0","676,290.0","762,606.0","851,558.0","954,824.0","1,068,139.0","1,174,621.0","1,312,739.0","1,434,455.0","1,585,068.0","1,702,782.0","1,835,754.0","2,009,581.0","2,169,011.0","2,334,328.0","2,462,716.0","2,652,385.0","2,828,655.0","2,994,464.0","3,168,646.0","3,350,398.0","3,553,956.0","3,794,314.0","4,030,126.0","4,348,776.0","4,581,627.0","4,786,716.0","5,042,800.0","5,357,502.0","5,710,063.0","6,061,662.0","6,382,871.0","6,629,799.0","6,644,494.0","6,839,069.0","7,109,078.0","7,379,892.0","7,615,688.0"
"25","7","Gross private domestic investment","A006RC1","173,560.0","170,050.0","196,827.0","228,145.0","266,930.0","274,527.0","257,253.0","323,222.0","396,612.0","478,377.0","539,656.0","530,098.0","631,230.0","581,031.0","637,516.0","820,093.0","829,649.0","849,144.0","892,177.0","936,964.0","999,701.0","993,453.0","944,344.0","1,013,014.0","1,106,829.0","1,256,483.0","1,317,478.0","1,432,057.0","1,595,606.0","1,735,330.0","1,884,195.0","2,033,750.0","1,928,638.0","1,924,988.0","2,027,947.0","2,276,678.0","2,527,109.0","2,680,649.0","2,643,745.0","2,424,810.0","1,878,116.0","2,100,812.0","2,232,073.0","2,475,199.0","2,670,035.0"
"26","8","  Fixed investment","A007RC1","164,387.0","168,049.0","188,571.0","219,038.0","251,052.0","260,537.0","263,509.0","306,106.0","374,288.0","452,586.0","521,672.0","536,429.0","601,421.0","595,945.0","643,267.0","754,688.0","807,825.0","842,573.0","865,028.0","918,482.0","972,008.0","978,906.0","944,738.0","996,686.0","1,086,015.0","1,192,699.0","1,286,305.0","1,401,257.0","1,524,666.0","1,671,611.0","1,823,379.0","1,979,205.0","1,966,921.0","1,906,487.0","2,008,661.0","2,212,818.0","2,467,530.0","2,613,677.0","2,609,293.0","2,456,806.0","2,025,686.0","2,039,284.0","2,195,645.0","2,409,106.0","2,563,975.0"
"27","9","    Nonresidential","A008RC1","120,012.0","124,638.0","130,418.0","146,639.0","172,730.0","191,069.0","196,776.0","219,344.0","259,059.0","314,576.0","373,831.0","406,909.0","472,939.0","485,097.0","482,154.0","564,324.0","607,748.0","607,761.0","615,238.0","662,282.0","715,993.0","739,237.0","723,585.0","741,945.0","799,206.0","868,852.0","962,237.0","1,043,196.0","1,149,081.0","1,252,804.0","1,361,613.0","1,493,773.0","1,453,876.0","1,348,893.0","1,371,717.0","1,463,147.0","1,611,470.0","1,776,288.0","1,920,615.0","1,940,954.0","1,633,443.0","1,658,221.0","1,809,884.0","1,969,956.0","2,047,091.0"
"28","10","      Structures","B009RC1","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,768.0","207,271.0","224,582.0","250,265.0","275,129.0","283,945.0","318,140.0","329,747.0","282,903.0","281,830.0","301,805.0","345,645.0","415,586.0","496,929.0","552,387.0","438,211.0","362,041.0","380,594.0","437,348.0","456,448.0"
"29","11","      Equipment","Y033RC1","65,163.0","66,404.0","69,059.0","78,885.0","95,062.0","104,316.0","107,615.0","121,242.0","148,665.0","180,634.0","208,062.0","216,386.0","240,852.0","234,862.0","246,470.0","291,874.0","307,905.0","317,693.0","320,919.0","346,816.0","372,160.0","371,891.0","360,849.0","381,699.0","425,141.0","476,380.0","528,128.0","565,309.0","610,859.0","660,014.0","713,626.0","766,088.0","711,517.0","659,640.0","668,971.0","719,193.0","790,695.0","856,134.0","885,773.0","825,149.0","644,308.0","731,832.0","832,698.0","907,617.0","939,677.0"
"30","12","      Intellectual property products","Y001RC1","17,151.0","17,947.0","18,680.0","20,581.0","22,685.0","25,516.0","27,811.0","32,187.0","35,816.0","40,358.0","48,068.0","54,353.0","64,773.0","72,671.0","81,340.0","95,053.0","105,326.0","113,541.0","120,117.0","132,677.0","150,117.0","164,429.0","179,131.0","187,674.0","196,913.0","205,704.0","226,838.0","253,305.0","287,957.0","317,661.0","364,042.0","409,545.0","412,612.0","406,350.0","420,916.0","442,149.0","475,130.0","504,568.0","537,913.0","563,418.0","550,924.0","564,348.0","596,592.0","624,991.0","650,966.0"
"31","13","    Residential","A011RC1","44,375.0","43,411.0","58,153.0","72,399.0","78,322.0","69,468.0","66,733.0","86,762.0","115,229.0","138,010.0","147,841.0","129,520.0","128,482.0","110,848.0","161,113.0","190,364.0","200,077.0","234,812.0","249,790.0","256,200.0","256,015.0","239,669.0","221,153.0","254,741.0","286,809.0","323,847.0","324,068.0","358,061.0","375,585.0","418,807.0","461,766.0","485,432.0","513,045.0","557,594.0","636,944.0","749,671.0","856,060.0","837,389.0","688,678.0","515,852.0","392,243.0","381,063.0","385,761.0","439,150.0","516,884.0"
"32","14","  Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","36,428.0","66,093.0","106,060.0"
"33","15","Net exports of goods and services","A019RC1","1,432.0","3,950.0","621.0","-3,372.0","4,110.0","-815.0","15,977.0","-1,631.0","-23,093.0","-25,366.0","-22,546.0","-13,056.0","-12,527.0","-19,980.0","-51,650.0","-102,731.0","-114,028.0","-131,877.0","-144,782.0","-109,405.0","-86,758.0","-77,876.0","-28,638.0","-34,766.0","-65,202.0","-92,514.0","-89,790.0","-96,412.0","-102,007.0","-162,744.0","-261,432.0","-380,060.0","-369,015.0","-425,035.0","-500,915.0","-614,800.0","-715,717.0","-762,409.0","-709,804.0","-713,248.0","-392,203.0","-518,457.0","-568,739.0","-547,200.0","-497,307.0"
"34","16","  Exports","B020RC1","51,923.0","59,710.0","62,963.0","70,844.0","95,269.0","126,650.0","138,706.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,232.0","283,203.0","276,988.0","302,376.0","303,200.0","320,990.0","363,932.0","444,587.0","504,274.0","551,853.0","594,909.0","633,027.0","654,772.0","720,911.0","812,781.0","867,554.0","953,769.0","952,946.0","989,153.0","1,094,333.0","1,028,794.0","1,004,699.0","1,043,388.0","1,183,123.0","1,310,354.0","1,478,530.0","1,665,738.0","1,843,135.0","1,583,803.0","1,843,516.0","2,101,151.0","2,195,930.0","2,259,881.0"
"35","17","    Goods","A253RC1","38,262.0","44,546.0","45,557.0","51,795.0","73,924.0","100,981.0","109,629.0","117,770.0","123,653.0","145,401.0","184,041.0","225,781.0","239,097.0","215,001.0","207,293.0","225,627.0","222,241.0","226,002.0","257,547.0","325,785.0","369,354.0","396,637.0","423,565.0","447,952.0","459,934.0","510,064.0","583,279.0","618,330.0","687,694.0","680,860.0","711,447.0","797,132.0","743,703.0","712,578.0","740,799.0","832,807.0","925,287.0","1,048,104.0","1,165,325.0","1,297,632.0","1,064,688.0","1,278,434.0","1,473,600.0","1,535,998.0","1,567,020.0"
"36","18","    Services","A646RC1","13,661.0","15,164.0","17,406.0","19,049.0","21,345.0","25,669.0","29,077.0","31,745.0","35,697.0","41,484.0","46,088.0","54,992.0","66,135.0","68,202.0","69,695.0","76,749.0","80,959.0","94,988.0","106,385.0","118,802.0","134,920.0","155,216.0","171,344.0","185,075.0","194,838.0","210,847.0","229,502.0","249,224.0","266,075.0","272,086.0","277,706.0","297,201.0","285,091.0","292,121.0","302,589.0","350,316.0","385,067.0","430,426.0","500,413.0","545,503.0","519,115.0","565,082.0","627,551.0","659,932.0","692,861.0"
"37","19","  Imports","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,250,585.0","1,474,393.0","1,397,809.0","1,429,734.0","1,544,303.0","1,797,923.0","2,026,071.0","2,240,939.0","2,375,542.0","2,556,383.0","1,976,006.0","2,361,973.0","2,669,890.0","2,743,130.0","2,757,188.0"
"38","20","    Goods","A255RC1","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,050,294.0","1,250,386.0","1,175,537.0","1,198,090.0","1,294,502.0","1,508,879.0","1,716,157.0","1,896,482.0","2,000,277.0","2,146,392.0","1,587,316.0","1,951,210.0","2,234,614.0","2,295,394.0","2,296,031.0"
"39","21","    Services","B656RC1","13,678.0","14,905.0","15,792.0","17,282.0","19,316.0","22,945.0","23,729.0","26,514.0","29,813.0","34,841.0","39,887.0","45,258.0","49,944.0","52,642.0","55,961.0","68,791.0","73,934.0","82,861.0","93,945.0","101,868.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","200,291.0","224,007.0","222,272.0","231,644.0","249,801.0","289,044.0","309,914.0","344,457.0","375,265.0","409,991.0","388,690.0","410,763.0","435,276.0","447,736.0","461,157.0"
"40","22","Government consumption expenditures and gross investment","A822RC1","240,401.0","254,196.0","269,331.0","288,245.0","306,365.0","343,113.0","382,937.0","405,824.0","435,759.0","477,387.0","525,537.0","590,847.0","654,734.0","710,021.0","765,744.0","825,169.0","908,430.0","974,467.0","1,030,760.0","1,078,168.0","1,151,919.0","1,238,361.0","1,298,163.0","1,345,371.0","1,366,061.0","1,403,740.0","1,452,162.0","1,496,449.0","1,554,159.0","1,613,514.0","1,726,038.0","1,834,428.0","1,958,765.0","2,094,937.0","2,220,849.0","2,357,402.0","2,493,690.0","2,642,194.0","2,801,927.0","3,003,191.0","3,089,091.0","3,174,026.0","3,158,712.0","3,166,985.0","3,125,462.0"
"41","23","  Federal","A823RC1","131,146.0","132,749.0","134,409.0","141,521.0","145,565.0","158,128.0","172,772.0","183,753.0","198,795.0","216,707.0","237,733.0","272,364.0","311,729.0","345,614.0","380,191.0","407,620.0","449,276.0","478,377.0","500,219.0","508,819.0","531,380.0","560,019.0","580,738.0","586,605.0","578,383.0","572,690.0","575,360.0","578,210.0","582,401.0","584,096.0","610,427.0","632,433.0","669,236.0","740,604.0","824,808.0","892,379.0","946,320.0","1,001,989.0","1,049,772.0","1,155,606.0","1,217,685.0","1,303,864.0","1,304,055.0","1,295,722.0","1,245,877.0"
"42","24","    National defense","A824RC1","102,070.0","100,713.0","97,991.0","100,638.0","102,041.0","109,199.0","116,971.0","123,786.0","132,845.0","143,023.0","157,785.0","180,963.0","211,186.0","242,784.0","269,346.0","294,660.0","325,960.0","349,188.0","369,943.0","379,614.0","388,639.0","402,759.0","411,952.0","404,718.0","390,067.0","380,316.0","376,049.0","376,548.0","371,434.0","367,702.0","382,716.0","391,702.0","412,726.0","456,844.0","519,884.0","570,230.0","608,254.0","642,390.0","678,726.0","754,127.0","788,276.0","832,766.0","835,847.0","817,133.0","770,745.0"
"43","25","    Nondefense","A825RC1","29,076.0","32,036.0","36,418.0","40,883.0","43,524.0","48,929.0","55,801.0","59,967.0","65,950.0","73,684.0","79,948.0","91,401.0","100,543.0","102,830.0","110,845.0","112,960.0","123,316.0","129,189.0","130,276.0","129,205.0","142,741.0","157,260.0","168,786.0","181,887.0","188,316.0","192,374.0","199,311.0","201,662.0","210,967.0","216,394.0","227,711.0","240,731.0","256,510.0","283,760.0","304,924.0","322,149.0","338,066.0","359,599.0","371,046.0","401,479.0","429,409.0","471,098.0","468,208.0","478,589.0","475,132.0"
"44","26","  State and local","A829RC1","109,255.0","121,447.0","134,922.0","146,724.0","160,800.0","184,985.0","210,165.0","222,071.0","236,964.0","260,680.0","287,804.0","318,483.0","343,005.0","364,407.0","385,553.0","417,549.0","459,154.0","496,090.0","530,541.0","569,349.0","620,539.0","678,342.0","717,425.0","758,766.0","787,678.0","831,050.0","876,802.0","918,239.0","971,758.0","1,029,418.0","1,115,611.0","1,201,995.0","1,289,529.0","1,354,333.0","1,396,041.0","1,465,023.0","1,547,370.0","1,640,205.0","1,752,155.0","1,847,585.0","1,871,406.0","1,870,162.0","1,854,657.0","1,871,263.0","1,879,585.0"
