"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 26, 2008     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2008 10:27:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","    Change in private inventories","A014RC1",72,70.8,66.9,56.5,-31.7,11.9,14.3,58.6,36.9,46.7,2.9
"9","2","Farm","B018RC1",3.2,1.4,-2.7,-1.3,0,-2.5,0.4,8,-0.5,-1.2,3.4
"10","3","Mining, utilities, and construction","N541RC1",2.2,6.3,-0.5,-1.7,10.7,-3.6,5.9,0.7,2.7,5.3,-0.8
"11","4","Manufacturing","N150RC1",21,18.2,16.5,7.9,-21.2,-5.9,-9.8,2.7,13.1,7.8,0.8
"12","5","  Durable goods industries","N624RC1",14.1,18,8.4,7.3,-17.9,-6.8,-6.5,2,12,7.2,4.6
"13","6","  Nondurable goods industries","N625RC1",6.9,0.3,8.1,0.6,-3.3,0.9,-3.3,0.7,1.1,0.6,-3.8
"14","7","Wholesale trade","N658RC1",25.7,22.2,19.2,17.6,-10.5,1,0.6,19,18.1,23.7,4.4
"15","8","  Durable goods industries","N661RC1",17.3,17.2,13.3,12,-15.8,-0.4,1.3,17.8,13.5,16.9,0.3
"16","9","  Nondurable goods industries","N664RC1",8.4,5,5.9,5.6,5.3,1.4,-0.7,1.1,4.6,6.9,4.1
"17","10","Retail trade","N153RC1",14.6,17,27.4,21.6,-10.8,24.2,15.9,22.4,5.9,6.6,-5.7
"18","11","  Motor vehicle and parts dealers","N631RC1",5,2.2,12.9,12.3,-8.8,18.2,12.3,7.4,-2.1,-3.3,-9.9
"19","12","  Food and beverage stores","N542RC1",0.3,1.2,1.8,-0.2,0.7,0.2,-1,0.4,0,0.6,1
"20","13","  General merchandise stores","N543RC1",0.2,0.9,2.7,1.1,-0.1,1.2,0.9,4.4,2.1,1.8,0.6
"21","14","  Other retail stores","N558RC1",9.1,12.7,9.9,8.4,-2.6,4.6,3.8,10.2,5.9,7.5,2.6
"22","15","Other industries","N154RC1",5.3,5.7,7.1,12.4,0.2,-1.4,1.3,5.8,-2.5,4.4,0.8
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Change in private inventories","A014RC1",72,70.8,66.9,56.5,-31.7,11.9,14.3,58.6,36.9,46.7,2.9
"25","17","    Durable goods industries","N355RC1",39.9,42.8,40,36.1,-41.8,15.1,11.1,35.2,31.1,20.4,-3.4
"26","18","    Nondurable goods industries","N357RC1",32.1,28,26.9,20.4,10,-3.2,3.2,23.4,5.8,26.3,6.3
"27","19","  Nonfarm industries","A015RC1",68.8,69.4,69.6,57.8,-31.7,14.4,13.9,50.5,37.4,47.8,-0.5
"28","20","    Nonfarm change in book value \1\","B016RC1",49.1,42.3,71.5,78.9,-53.2,19.3,32.8,107.5,92.2,80.8,52
"29","21","    Nonfarm inventory valuation adjustment \2\","B017RC1",19.7,27.1,-2,-21.1,21.4,-5,-18.9,-57,-54.8,-33,-52.5
"30","22","  Wholesale trade","N658RC1",25.7,22.2,19.2,17.6,-10.5,1,0.6,19,18.1,23.7,4.4
"31","23","    Merchant wholesale trade","N151RC1",22.9,20.2,17.1,15.1,-8.3,1.5,1.1,18,16.8,19.4,5.7
"32","24","      Durable goods industries","N626RC1",15.4,15.3,11.9,10,-13.9,0.1,1.6,17.1,12.3,13.1,0.4
"33","25","      Nondurable goods industries","N627RC1",7.5,4.9,5.2,5.1,5.6,1.5,-0.5,0.9,4.5,6.4,5.3
"34","26","    Nonmerchant wholesale trade","A152RC1",2.8,2,2.1,2.5,-2.2,-0.5,-0.5,1,1.3,4.3,-1.3
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. This series is derived from the Census Bureau series ``current cost inventories.''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
