"","Table 5#4#4B# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2008 10:26:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","    Private fixed investment in structures","B349RG3",89.518,92.654,95.932,100,104.995,108.41,113.193,121.166,131.136,139.971
"9","2","Nonresidential","B009RG3",89.381,93.474,96.257,100,105.403,110.03,113.872,120.912,135.013,150.806
"10","3","  Commercial and health care","W001RG3",87.945,92.046,96.052,100,103.567,106.346,109.357,116.234,127.064,137.634
"11","4","    Office \1\","W031RG3",86.964,91.408,95.927,100,103.018,105.48,108.539,115.26,127.193,140.038
"12","5","    Health care","W032RG3",88.574,91.828,95.736,100,104.456,106.387,109.625,116.257,125.508,134.58
"13","6","      Hospitals and special care","C311RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.259,125.536,134.63
"14","7","        Hospitals","W033RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.288,125.561,134.626
"15","8","        Special care","W034RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.094,125.405,134.725
"16","9","      Medical buildings","W035RG3",88.471,91.828,95.736,100,104.456,106.387,109.625,116.252,125.436,134.445
"17","10","    Multimerchandise shopping","W036RG3",88.584,92.751,96.298,100,103.811,107.273,110.141,117.339,128.747,138.388
"18","11","    Food and beverage establishments","W037RG3",88.563,92.751,96.298,100,103.811,107.273,110.141,117.018,128.384,138.293
"19","12","    Warehouses","W038RG3",88.586,92.751,96.298,100,103.811,107.273,110.141,117.245,126.888,136.428
"20","13","    Other commercial \2\","W039RG3",88.69,92.799,96.33,100,103.776,107.206,110.058,117.296,128.41,138.191
