"","Table 6#11D# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2008 10:36:03 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",529695,562362,609908,642690,745050,815595,868546,927655,970719
"9",NA,"          By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",529695,562362,609908,642690,745050,815595,868546,927655,970719
"11","3","  Private industries","B4903C0",355349,383133,423075,446505,527928,566719,593147,626509,647782
"12","4","    Agriculture, forestry, fishing, and hunting","N4904C0",1689,1906,2018,2192,2162,2155,2293,2283,2366
"13","5","    Mining","N4905C0",3387,3349,3745,4079,4546,5556,6281,6607,6818
"14","6","    Utilities","N4906C0",4895,5032,5568,5986,8317,9762,13712,14302,14550
"15","7","    Construction","N4907C0",26434,29130,32061,34362,37033,37522,39158,41345,42638
"16","8","    Manufacturing","N4908C0",95801,100346,110975,110761,145856,165679,158999,167005,171479
"17","9","      Durable goods","N4909C0",66583,70116,78444,76817,95218,114127,101067,106250,109229
"18","10","      Nondurable goods","N4910C0",29218,30230,32531,33943,50638,51552,57932,60755,62250
"19","11","    Wholesale trade","N4911C0",22668,25259,27091,28833,31733,34117,34165,36399,38307
"20","12","    Retail trade","N4912C0",21763,23007,25314,27517,34373,36596,35679,37961,38767
"21","13","    Transportation and warehousing","N4913C0",19483,20342,22334,23777,27310,25298,33535,35313,36248
"22","14","    Information","N4914C0",16247,18618,21567,22404,24261,27384,26750,28345,29613
"23","15","    Finance, insurance, real estate, rental, and leasing","N4915C0",34520,37270,41141,44924,58691,58886,66165,69719,72332
"24","16","    Professional and business services \1\","N4916C0",51843,57778,64473,67840,71586,73055,76137,80799,84483
"25","17","    Educational services, health care, and social assistance","N4918C0",36978,39961,43611,48392,52608,58216,64220,68090,70525
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N4919C0",10825,11593,12872,14075,16518,18398,20091,21396,22021
"27","19","    Other services, except government","N4929C0",8818,9540,10302,11363,12934,14096,15961,16947,17635
"28","20","  Government","B4918C0",174346,179229,186834,196186,217122,248876,275399,301146,322937
"29","21","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"          By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","22","Employer contributions for employee pension and insurance funds","B040RC0",529695,562362,609908,642690,745050,815595,868546,927655,970719
"32","23","  Pension and profit-sharing","B4934C0",210434,215965,222553,230769,296185,325472,334972,352201,360475
"33","24","    Private pension and profit-sharing","B4921C0",102911,107878,113451,120238,176813,187011,185239,190748,189666
"34","25","      Defined benefit pension and profit-sharing","W350RC0",33464,32828,34301,36016,91852,100064,92780,94684,89950
"35","26","      Defined contribution pension and profit-sharing","W351RC0",69447,75050,79150,84222,84961,86947,92459,96064,99716
