"","Table 5#4#2B# Contributions to Percent Change in Real Private Fi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2008 10:26:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Private fixed investment in structures","A349RL1",6.6,3.3,3.2,-0.7,-4.3,4,7.1,4.7,-0.6
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Nonresidential","B009RW2",2.18,-0.18,2.74,-0.94,-7.07,-1.46,0.43,0.15,2.63
"12","3","  Commercial and health care","W001RW2",1.02,0.56,1.11,-0.96,-2.69,-0.99,0.32,-0.09,0.89
"13","4","    Office \1\","W031RW2",1.1,0.45,0.86,-0.62,-2.23,-0.82,0.05,0.11,0.5
"14","5","    Health care","W032RW2",-0.05,-0.02,0.04,-0.12,0.36,0.15,0.07,0.01,0.25
"15","6","      Hospitals and special care","C311RW2",-0.04,-0.13,0.05,-0.02,0.33,0.01,-0.07,0.03,0.38
"16","7","        Hospitals","W033RW2",-0.16,-0.06,0.04,0.1,0.34,0.12,0,0.09,0.32
"17","8","        Special care","W034RW2",0.12,-0.06,0.01,-0.12,-0.01,-0.1,-0.07,-0.05,0.06
"18","9","      Medical buildings","W035RW2",-0.02,0.11,-0.01,-0.09,0.03,0.14,0.15,-0.02,-0.13
"19","10","    Multimerchandise shopping","W036RW2",0.08,0.21,-0.12,0.11,-0.16,-0.07,0.26,0.19,0.38
"20","11","    Food and beverage establishments","W037RW2",0.02,-0.17,0.02,-0.04,-0.13,0.03,-0.07,-0.11,-0.08
"21","12","    Warehouses","W038RW2",-0.07,0.07,0.08,0.04,-0.5,0.02,-0.11,-0.02,0.04
"22","13","    Other commercial \2\","W039RW2",-0.06,0.02,0.24,-0.32,-0.03,-0.29,0.13,-0.26,-0.21
"23","14","  Manufacturing","C307RW2",0.21,-1.39,-0.28,-0.43,-1.56,-0.17,0.1,0.33,0.16
"24","15","  Power and communication","W003RW2",0.73,0.88,0.83,0.19,-0.15,-0.81,-0.94,-0.13,0.29
"25","16","    Power","W028RW2",0.72,-0.04,0.82,0.16,0.04,0.03,-0.96,-0.33,0.22
"26","17","      Electric","C571RW2",0.14,0.31,0.94,0.14,-0.12,0.01,-0.7,-0.23,0.09
"27","18","      Other power","W029RW2",0.59,-0.35,-0.12,0.02,0.16,0.02,-0.26,-0.1,0.12
"28","19","    Communication","C314RW2",0.01,0.92,0,0.03,-0.19,-0.85,0.02,0.2,0.07
"29","20","  Mining exploration, shafts, and wells","E318RW2",-0.31,-0.3,0.81,0.7,-1.25,0.85,0.8,0.35,0.99
"30","21","    Petroleum and natural gas","C319RW2",-0.25,-0.28,0.77,0.71,-1.33,0.9,0.72,0.3,0.93
"31","22","    Mining","C320RW2",-0.06,-0.02,0.04,-0.02,0.08,-0.05,0.08,0.05,0.06
"32","23","  Other structures","W004RW2",0.52,0.07,0.27,-0.43,-1.41,-0.34,0.15,-0.31,0.3
"33","24","    Religious","C309RW2",0.1,0.07,0.04,0,-0.03,0,-0.1,-0.1,-0.05
"34","25","    Educational and vocational","W044RW2",0.12,-0.08,0.23,0.09,-0.01,-0.03,-0.18,-0.08,-0.04
"35","26","    Lodging","W045RW2",0.29,0.09,-0.06,-0.39,-0.66,-0.13,0.2,-0.03,0.43
"36","27","    Amusement and recreation","W046RW2",-0.04,0.11,-0.2,-0.2,-0.07,0.01,0.02,-0.18,0.1
"37","28","    Transportation","W047RW2",0.15,-0.14,0.01,0,-0.07,-0.07,0.04,0.01,0.05
"38","29","      Air","W048RW2",0.02,0.02,0.07,0.01,-0.09,-0.05,-0.01,-0.02,-0.01
"39","30","      Land \3\","W049RW2",0.13,-0.16,-0.06,-0.02,0.03,-0.02,0.06,0.03,0.06
"40","31","    Farm","C316RW2",0.05,0.09,0.1,-0.14,0.05,-0.08,0.01,-0.01,-0.08
"41","32","    Other \4\","W050RW2",0,-0.06,0.12,-0.15,-0.14,-0.03,0.07,0.02,-0.09
"42","33","    Brokers' commissions on sale of structures","C321RW2",0.02,0.01,0.02,-0.02,-0.04,0,0.01,0.02,0.03
"43","34","    Net purchases of used structures","E322RW2",-0.18,-0.01,0,0.38,-0.44,-0.01,0.08,0.04,-0.06
"44","35","Residential","A012RW2",4.43,3.48,0.41,0.21,2.81,5.41,6.7,4.55,-3.24
"45","36","  Permanent site","A943RW2",3.17,2.55,0.29,0.21,1.43,3.79,4.78,3.34,-2.91
"46","37","    Single-family structures","A944RW2",3.21,2.26,0.36,0.05,1.23,3.68,4.46,2.93,-3.06
"47","38","    Multifamily structures","C292RW2",-0.04,0.3,-0.07,0.16,0.2,0.11,0.32,0.41,0.15
"48","39","  Other structures","A863RW2",1.26,0.93,0.12,0,1.38,1.62,1.92,1.2,-0.33
