"","Table 2#3#1# Percent Change From Preceding Period in Real Person","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 26, 2008     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2008 2:49:37 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","    Personal consumption expenditures","A002RL1",-5.3,-3.1,-8.9,-2.2,7.1,6.1,10.1,3.7,-1.6,5.6,5.2,7.1,-2.3,2.9,2.9,6.2,12.2,1.8,2.2,2.8,6.4,1.6,3.2,4.8,2,7.3,2.9,2.5,0.8,5.6,2.8,2.1,5,4.1,6,6.3,5.7,3,5.7,3.7,2.3,3.8,6.1,4.9,-0.8,2.3,5.5,4.2,4.4,2.4,-0.3,1.4,1.4,5.7,5.3,5.2,4.1,3.3,4.1,2.8,2,0.2,3.3,3.3,3.7,2.7,3.4,3.8,5,5.1,4.7,2.5,2.7,2.8,3.6,3.2,3.1,2.9
"9","2","Durable goods","B003RL1",-17.6,-14.5,-25.1,-1.9,15.5,22.1,22.7,5.4,-18.3,18.8,15.2,16,-39.1,-12.5,-8.6,12.8,90.1,19.5,6.6,8.2,22,-8.9,-2.7,12.4,-0.4,22.2,-4,0.9,-8,12.1,2,-3.8,11.7,9.7,9.3,12.7,8.4,1.6,11,3.5,-3.2,10,12.7,10.3,-6.9,0,12.8,9.3,5.3,-0.3,-7.8,1.2,-0.1,14.6,14.6,10.1,9.7,1.7,6,2.2,-0.3,-5.6,5.9,7.8,8.4,4.4,7.8,8.6,11.3,11.7,7.3,4.3,7.1,5.8,6.3,4.9,3.8,4.7
"10","3","  Motor vehicles and parts","A165RL1",-30.4,-22,-36.1,19.2,24.6,38.5,23.5,1.6,-35.3,36.2,25.9,13.7,-84,2.6,-7.5,23.8,240.2,44.8,13,27.8,29.2,-15.5,-10.1,24.2,-4.6,37,-14.8,4.6,-17.2,19.2,6.1,-9.9,18.7,12.5,5.8,16.1,1.8,-2.3,16.4,4.1,-9.9,19.2,14.3,9.2,-17.1,0.6,20.9,10.7,4.3,-6.6,-13.4,2.3,2.6,19.3,16.9,13,7.5,-3.7,5.6,-0.1,-1.6,-11.5,8.1,5.8,6.6,-1.4,4.8,6.8,11.3,9.9,3.8,5,5.7,3,2,0.1,-3.1,2.2
