"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"1"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2006    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2006 10:58:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RL1",-8.6,-6.4,-13,-1.3,10.8,8.9,13,5.1,-3.4,8.1,8.8,17.1,18.5,16.4,8.1,-1.1,-11,-0.9,4.4,-0.5,8.7,7.7,3.8,4.6,-0.7,7.1,1.9,2,-1,7.1,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1,0.2,3.4,5.3,5.8,-0.5,-0.2,5.3,4.6,5.6,3.2,-0.2,2.5,-1.9,4.5,7.2,4.1,3.5,3.4,4.1,3.5,1.9,-0.2,3.3,2.7,4,2.5,3.7,4.5,4.2,4.5,3.7,0.8,1.6,2.7,4.2,3.5
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Personal consumption expenditures","A002RY2",-3.99,-2.35,-7.02,-1.79,5.71,4.81,7.74,2.75,-1.18,4.15,3.8,5.03,-1.48,1.59,1.49,3.08,6.36,1.2,1.47,1.79,4.28,1.05,1.95,2.91,1.25,4.57,1.79,1.53,0.5,3.55,1.73,1.3,3.11,2.56,3.71,3.91,3.5,1.81,3.5,2.27,1.42,2.38,3.8,3.05,-0.47,1.42,3.48,2.68,2.76,1.52,-0.17,0.9,0.87,3.65,3.44,3.31,2.62,2.17,2.66,1.86,1.34,0.11,2.18,2.23,2.52,1.81,2.31,2.54,3.36,3.44,3.17,1.74,1.9,2.05,2.71,2.48
"12","3","  Durable goods","A003RY2",-1.56,-1.14,-1.8,-0.12,0.95,1.4,1.59,0.41,-1.41,1.24,1.11,1.24,-3.08,-0.54,-0.3,0.4,3.07,1.37,0.55,0.7,2.06,-0.93,-0.24,1,-0.03,1.84,-0.38,0.08,-0.7,0.97,0.17,-0.31,0.89,0.77,0.77,1.07,0.73,0.13,0.93,0.31,-0.28,0.81,1.07,0.9,-0.61,0,1.04,0.8,0.47,-0.03,-0.65,0.09,0,1.07,1.15,0.83,0.83,0.16,0.53,0.19,-0.02,-0.46,0.44,0.59,0.66,0.36,0.64,0.7,0.93,0.99,0.63,0.37,0.61,0.57,0.51,0.37
"13","4","    Motor vehicles and parts","A165RY2",-0.98,-0.55,-0.79,0.31,0.47,0.82,0.62,0.05,-1,0.71,0.63,0.39,-2.45,0.01,-0.03,0.08,1.13,0.83,0.35,0.84,1.15,-0.72,-0.37,0.76,-0.17,1.25,-0.64,0.17,-0.66,0.63,0.23,-0.37,0.61,0.46,0.23,0.62,0.08,-0.09,0.59,0.16,-0.38,0.66,0.55,0.37,-0.69,0.02,0.71,0.42,0.18,-0.27,-0.49,0.07,0.08,0.61,0.6,0.5,0.31,-0.16,0.23,0,-0.06,-0.42,0.26,0.2,0.23,-0.05,0.17,0.24,0.41,0.38,0.15,0.2,0.23,0.19,0.06,-0.03
"14","5","    Furniture and household equipment","A166RY2",-0.45,-0.35,-0.72,-0.29,0.3,0.45,0.84,0.17,-0.38,0.46,0.4,0.66,-0.68,-0.71,-0.29,0.19,1.62,0.61,0.19,-0.07,0.84,-0.24,0.07,0.2,0.08,0.48,0.18,-0.11,-0.06,0.27,-0.04,0.06,0.21,0.25,0.42,0.33,0.44,0.17,0.23,0.09,0.04,0.13,0.36,0.37,0.04,-0.08,0.22,0.28,0.19,0.18,-0.06,0,-0.06,0.39,0.35,0.26,0.38,0.23,0.22,0.17,0.02,0.03,0.16,0.29,0.32,0.31,0.35,0.36,0.39,0.45,0.35,0.19,0.29,0.26,0.34,0.28
"15","6","    Other","A167RY2",-0.12,-0.23,-0.28,-0.14,0.18,0.13,0.13,0.19,-0.03,0.07,0.08,0.19,0.05,0.16,0.02,0.13,0.31,-0.07,0.01,-0.07,0.07,0.03,0.06,0.05,0.05,0.11,0.08,0.02,0.02,0.06,-0.01,0,0.07,0.07,0.12,0.12,0.21,0.06,0.11,0.06,0.06,0.02,0.16,0.16,0.04,0.06,0.11,0.11,0.1,0.06,-0.11,0.02,-0.02,0.08,0.19,0.07,0.14,0.1,0.08,0.03,0.02,-0.07,0.02,0.11,0.11,0.1,0.12,0.1,0.13,0.16,0.13,-0.01,0.09,0.11,0.1,0.13
"16","7","  Nondurable goods","A004RY2",-1.7,-0.18,-3.04,-0.58,3.45,2.44,4.69,1.41,0.53,2.03,1.7,2.49,0.6,1.07,1.19,2.12,1.72,-1.02,0.13,0.55,1.11,0.89,1.28,1,0.39,1.51,1.02,0.55,0.29,1.25,0.44,0.53,0.9,0.59,1.33,1.43,1.46,0.42,1.19,0.69,0.61,0.47,1.11,0.82,-0.51,0.37,1.24,0.6,0.91,0.65,-0.04,0.29,0.23,0.8,0.93,0.61,0.78,0.52,0.7,0.59,0.33,-0.05,0.43,0.56,0.71,0.44,0.51,0.53,0.78,0.89,0.74,0.4,0.5,0.63,0.94,0.9
"17","8","    Food","A168RY2",-0.32,0.09,-1.15,0.3,2.17,1.24,3.03,1.04,0.41,0.61,0.95,1.05,0.43,0.48,1.21,1.26,0.85,-0.79,-0.28,0.14,0.37,0.51,0.59,0.67,0.33,0.73,0.52,0.33,0,0.58,0.12,0.18,0.2,0.17,0.57,0.78,0.59,0.18,0.65,0.34,0.42,0.13,0.42,0.04,-0.21,0.33,0.7,0.26,0.14,0.25,0.11,0.01,0.19,0.35,0.26,0.27,0.25,0.15,0.43,0.2,0.29,-0.01,0.06,0.19,0.25,0.07,0.09,0.12,0.23,0.31,0.33,0.15,0.15,0.25,0.48,0.49
"18","9","    Clothing and shoes","A169RY2",-0.91,-0.13,-0.97,-0.9,0.47,0.69,0.72,-0.08,0.11,0.62,0.25,0.56,0.31,0.63,-0.23,0.23,0.17,-0.36,0.07,0.03,0.18,-0.03,0.34,0.06,0.01,0.28,0.15,-0.04,0.05,0.27,0.05,0.1,0.23,0.09,0.38,0.2,0.32,0.03,0.2,0.09,-0.06,0.22,0.3,0.32,-0.06,0.15,0.2,0.22,0.4,0.21,0.09,0.23,0.06,0.27,0.31,0.17,0.28,0.13,0.11,0.21,-0.02,0.01,0.19,0.14,0.18,0.13,0.16,0.1,0.21,0.23,0.16,0.06,0.14,0.14,0.17,0.17
"19","10","    Gasoline, fuel oil, and other energy goods","A173RY2",-0.02,-0.08,-0.25,0.1,0.24,0.22,0.34,0.16,-0.05,0.29,0.26,0.3,-0.47,-0.44,0.01,0.26,0.7,0.16,0.11,0.01,0.16,0.16,0.12,0.07,0.08,0.24,0.13,0.08,0.14,0.08,0.04,-0.01,0.09,0.1,0.14,0.13,0.15,0.07,0.11,0.11,0.09,0.09,0.12,0.14,-0.23,0.06,0.16,0.05,0.05,-0.07,-0.31,-0.05,0,0.06,0.08,0.05,0.11,0.04,0.06,0.03,-0.04,-0.02,0.08,0.05,0.03,0.04,0.03,0.04,0.06,0.05,-0.01,0.02,0.04,0.01,0.03,0.04
"20","11","    Other","A172RY2",-0.45,-0.06,-0.67,-0.09,0.57,0.28,0.59,0.28,0.06,0.51,0.24,0.57,0.33,0.39,0.2,0.37,0.01,-0.03,0.21,0.37,0.4,0.24,0.23,0.2,-0.03,0.25,0.22,0.18,0.1,0.32,0.23,0.27,0.39,0.23,0.25,0.32,0.41,0.15,0.22,0.15,0.16,0.04,0.26,0.32,-0.01,-0.16,0.18,0.07,0.33,0.26,0.08,0.1,-0.02,0.11,0.28,0.12,0.13,0.19,0.1,0.16,0.1,-0.02,0.09,0.18,0.24,0.2,0.23,0.27,0.27,0.3,0.26,0.17,0.18,0.22,0.26,0.21
"21","12","  Services","A005RY2",-0.74,-1.03,-2.19,-1.09,1.31,0.97,1.46,0.94,-0.3,0.87,0.99,1.3,1,1.06,0.6,0.56,1.57,0.85,0.79,0.54,1.11,1.09,0.91,0.91,0.89,1.22,1.15,0.9,0.9,1.33,1.12,1.08,1.31,1.2,1.61,1.42,1.31,1.26,1.38,1.28,1.08,1.09,1.61,1.33,0.65,1.05,1.19,1.27,1.38,0.9,0.52,0.51,0.65,1.79,1.36,1.87,1.01,1.5,1.43,1.07,1.03,0.62,1.31,1.09,1.14,1.01,1.15,1.31,1.66,1.56,1.8,0.97,0.79,0.85,1.27,1.21
"22","13","    Housing","A174RY2",-0.14,-0.13,-0.26,-0.28,0.74,0.11,0.19,0.17,0.15,0.25,0.31,0.54,0.39,0.27,0.23,0.13,0.47,0.53,0.36,0.42,0.51,0.53,0.47,0.41,0.38,0.42,0.41,0.43,0.4,0.49,0.47,0.44,0.53,0.43,0.45,0.51,0.41,0.4,0.45,0.47,0.32,0.4,0.52,0.46,0.45,0.26,0.28,0.22,0.43,0.36,0.27,0.24,0.04,0.2,0.42,0.38,0.26,0.31,0.32,0.27,0.25,0.23,0.16,0.11,0.34,0.22,0.16,0.24,0.29,0.32,0.29,0.28,0.09,0.07,0.3,0.24
"23","14","    Household operation","A186RY2",0.01,-0.15,-0.37,-0.22,0.34,0.21,0.29,0.23,-0.05,0.24,0.23,0.11,0.21,-0.03,0.09,0.12,0.09,0.21,0.15,0.12,0.28,0.2,0.09,0.15,0.12,0.33,0.24,0.14,0.12,0.16,0.18,0.14,0.19,0.16,0.18,0.19,0.19,0.18,0.15,0.18,0.13,0.06,0.19,0.18,0.04,0.17,0.16,0.21,0.21,0.12,0.1,-0.04,0.03,0.14,0.12,0.18,0.07,0.19,0.19,0.17,0.04,0.05,0.11,0.2,0.17,0.13,0.19,0.16,0.2,0.16,0.19,0.01,0.02,0.05,0.07,0.1
"24","15","      Electricity and gas","A175RY2",0.09,0.05,0,-0.07,0.08,0.09,0.09,0.09,0.05,0.07,0.12,0.07,0.08,0.04,0.05,0.05,0.1,0.11,0.1,0.08,0.15,0.13,0.1,0.09,0.12,0.1,0.12,0.09,0.08,0.09,0.08,0.08,0.11,0.08,0.09,0.07,0.08,0.08,0.08,0.09,0.07,0.05,0.09,0.04,0.02,0.09,0.06,0.09,0.08,0.01,0.05,-0.04,0.03,0.07,0.01,0.06,-0.02,0.07,0.1,0.04,-0.03,0.05,-0.01,0.09,0.03,0.02,0.06,-0.01,0.03,0.02,0.05,-0.03,0.04,0.02,0.03,0.06
"25","16","      Other household operation","A176RY2",-0.08,-0.21,-0.37,-0.15,0.26,0.12,0.2,0.14,-0.1,0.17,0.11,0.05,0.13,-0.06,0.04,0.06,-0.02,0.1,0.05,0.03,0.13,0.07,0,0.06,0.01,0.23,0.12,0.05,0.05,0.07,0.1,0.06,0.08,0.09,0.1,0.11,0.1,0.1,0.07,0.1,0.06,0.02,0.11,0.14,0.02,0.08,0.1,0.12,0.13,0.11,0.05,0,0.01,0.07,0.1,0.12,0.1,0.12,0.09,0.13,0.07,0,0.12,0.1,0.14,0.11,0.13,0.18,0.16,0.15,0.14,0.03,-0.02,0.03,0.05,0.04
"26","17","    Transportation","A177RY2",-0.29,-0.28,-0.3,0,0.15,0.07,0.26,0.12,-0.09,0.17,0.15,0.24,0.15,0.37,0.15,0.13,0.31,-0.03,0,-0.09,-0.02,0.18,0.03,0.06,-0.03,0.09,0.08,0.04,-0.03,0.09,0.07,0.03,0.08,0.09,0.11,0.09,0.12,0.11,0.13,0.12,0.06,0.08,0.15,0.07,0.02,0.02,0.07,0.17,0.08,0.07,-0.12,-0.07,-0.03,0.15,0.22,0.22,0.09,0.1,0.13,0.04,0,-0.12,0.1,0.11,0.2,0.17,0.19,0.18,0.1,0.12,0.08,-0.03,-0.08,0,0.03,0.04
