"","Table 5#4#4BU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37"
"1","[Index numbers, 2000=100];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2005 6:39:19 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Private fixed investment in structures","B349RG3",88.432,89.033,89.894,90.712,91.42,92.219,93.074,93.902,94.717,95.578,96.323,97.111,98.591,99.517,100.436,101.456,102.885,104.319,106.052,106.723,106.979,107.867,108.551,110.245,112.277,112.376,113.155,115.007,117.199,119.729,121.756,123.162,124.417,125.832
"10","2","Nonresidential","B009RG3",88.047,88.854,89.813,90.81,92.138,93.157,93.926,94.674,95.302,95.88,96.513,97.331,98.482,99.366,100.455,101.697,103.196,104.835,106.512,107.069,108.065,109.455,110.612,111.988,113.093,113.182,113.996,115.287,117.279,119.23,121.159,122.827,125.876,128.813
"11","3","  Commercial and health care","W001RG3",86.784,87.357,88.35,89.288,90.478,91.419,92.572,93.717,94.702,95.675,96.506,97.327,98.731,99.594,100.409,101.266,102.117,102.896,104.188,105.069,105.363,106.01,106.393,107.617,108.872,108.768,109.154,110.632,112.884,115.281,117.373,118.912,120.213,121.831
"12","4","    Office\1\","W031RG3",84.798,86.074,87.638,89.052,89.823,90.669,91.835,93.115,94.388,95.544,96.49,97.362,98.794,99.604,100.325,101.068,101.865,102.538,103.704,104.452,104.63,105.204,105.547,106.748,108.003,107.914,108.321,109.818,112.095,114.497,116.589,118.123,119.414,121.022
"13","5","    Health care","W032RG3",87.775,88.065,88.841,89.613,90.508,91.249,92.253,93.303,94.334,95.315,96.197,97.096,98.517,99.505,100.476,101.502,102.781,103.836,105.222,105.986,105.784,106.066,106.25,107.449,109.097,109.075,109.466,110.86,112.766,114.998,116.969,118.455,119.75,121.362
"14","6","      Hospitals and special care","C311RG3",87.535,88.012,88.964,89.905,90.498,91.246,92.258,93.312,94.333,95.315,96.198,97.098,98.516,99.505,100.476,101.503,102.779,103.836,105.223,105.988,105.786,106.066,106.249,107.448,109.096,109.075,109.467,110.861,112.766,114.997,116.969,118.455,119.75,121.362
"15","7","        Hospitals","W033RG3",87.593,88.051,88.997,89.933,90.504,91.252,92.268,93.329,94.372,95.351,96.222,97.099,98.447,99.42,100.395,101.444,102.803,103.894,105.293,106.049,105.782,106.035,106.205,107.403,109.085,109.073,109.469,110.861,112.749,114.975,116.942,118.427,119.721,121.333
"16","8","        Special care","W034RG3",87.393,87.986,88.992,89.944,90.502,91.224,92.21,93.248,94.28,95.264,96.153,97.063,98.503,99.503,100.484,101.519,102.808,103.854,105.234,105.996,105.795,106.091,106.283,107.482,109.12,109.103,109.506,110.918,112.858,115.105,117.087,118.575,119.871,121.485
"17","9","      Medical buildings","W035RG3",88.668,88.216,88.358,88.619,90.531,91.279,92.276,93.312,94.331,95.298,96.171,97.067,98.511,99.504,100.481,101.512,102.808,103.857,105.236,105.993,105.771,106.054,106.237,107.431,109.08,109.052,109.436,110.824,112.722,114.948,116.916,118.4,119.694,121.305
"18","10","    Multimerchandise shopping","W036RG3",88.095,88.192,88.774,89.33,90.995,92.109,93.327,94.412,95.159,95.965,96.667,97.396,98.676,99.532,100.402,101.365,102.238,103.088,104.513,105.571,106.13,106.978,107.469,108.709,109.728,109.537,109.885,111.382,113.817,116.289,118.438,120.007,121.319,122.953
"19","11","    Food and beverage establishments","W037RG3",88.024,88.217,88.759,89.254,91.128,92.208,93.378,94.414,95.124,95.908,96.606,97.351,98.722,99.595,100.459,101.395,102.208,103.012,104.41,105.459,106.049,106.917,107.418,108.658,109.647,109.483,109.885,111.463,114.053,116.604,118.802,120.389,121.705,123.343
"20","12","    Warehouses","W038RG3",88.144,88.18,88.762,89.314,90.969,92.087,93.311,94.403,95.155,95.963,96.667,97.395,98.665,99.521,100.395,101.365,102.249,103.109,104.544,105.608,106.17,107.018,107.509,108.744,109.745,109.549,109.896,111.398,113.853,116.338,118.498,120.074,121.387,123.021
"21","13","    Other commercial\2\","W039RG3",87.95,88.227,88.955,89.628,91.121,92.212,93.401,94.46,95.202,96.003,96.696,97.418,98.698,99.549,100.406,101.347,102.191,103.019,104.423,105.47,106.014,106.865,107.358,108.585,109.605,109.451,109.825,111.352,113.785,116.331,118.538,120.138,121.462,123.093
"22","14","  Manufacturing","B307RG3",87.909,88.485,89.44,90.301,91.128,92.114,93.261,94.338,95.302,96.136,96.85,97.568,98.774,99.581,100.382,101.255,102.118,102.926,104.284,105.258,105.726,106.46,106.803,107.841,108.755,108.183,108.029,108.921,110.132,112.241,114.475,116.655,117.93,119.518
"23","15","  Power and communication","W003RG3",94.625,95.465,95.873,96.08,96.45,96.472,96.624,96.752,96.383,96.439,97.11,97.774,98.679,99.752,100.328,101.241,101.859,102.497,103.473,103.742,104.269,104.766,105.735,106.127,107.109,107.653,108.02,108.175,108.635,111.315,113.169,114.659,116.26,117.858
"24","16","    Power","W028RG3",91.622,92.513,93.205,93.915,94.334,94.486,94.638,94.834,95.112,95.559,96.24,97.415,98.556,99.664,100.452,101.327,101.908,102.571,103.135,103.694,104.302,105.128,106.039,106.929,107.748,108.159,108.177,108.004,108.078,110.819,112.748,114.489,117.102,118.824
"25","17","      Electric","B571RG3",92.062,92.973,93.702,94.401,95.001,95.052,95.193,95.416,95.403,95.611,96.172,97.243,98.488,99.556,100.369,101.354,101.933,102.619,103.282,104.05,105.059,105.803,106.562,107.305,107.665,108.128,108.356,108.514,108.529,109.253,110.468,112.609,115.149,117.266
"26","18","      Other power","W029RG3",90.76,91.597,92.208,92.951,93.107,93.397,93.546,93.675,94.325,95.193,96.137,97.605,98.512,99.817,100.582,101.089,101.313,101.867,102.182,102.168,101.88,103.269,104.72,105.976,107.686,107.876,107.356,106.416,107.066,114.767,118.396,119.315,122.094,123.12
"27","19","    Communication","B314RG3",98.958,99.713,99.717,99.19,99.451,99.235,99.378,99.377,98.009,97.56,98.211,98.301,98.86,99.862,100.108,101.086,101.746,102.389,104.037,103.898,104.299,104.201,105.23,104.79,105.991,106.771,107.85,108.689,110.011,112.517,114.195,115.221,115.063,116.45
"28","20","  Mining exploration, shafts, and wells","B318RG3",85.062,87.717,89.424,92.116,98.662,102.564,101.273,99.782,98.675,96.506,95.333,96.607,96.301,96.962,101.158,105.58,113.05,122.193,127.663,126.55,133.502,142.785,150.036,154.353,154.764,155.357,159.574,162.085,166.089,165.77,167.608,170.31,183.991,195.153
"29","21","    Petroleum and natural gas","B319RG3",84.791,87.596,89.353,92.156,99.031,103.114,101.718,100.116,98.954,96.618,95.309,96.549,96.022,96.604,100.915,105.477,113.397,122.965,128.654,127.492,134.608,144.428,152.147,156.666,157.028,157.685,162.096,164.681,168.805,168.389,170.222,172.968,187.285,198.937
"30","22","    Mining","B320RG3",87.44,88.061,89.092,90.06,90.635,91.351,92.324,93.338,94.324,95.281,96.145,97.033,98.457,99.456,100.448,101.502,102.838,103.912,105.299,106.049,105.777,106.036,106.224,107.443,109.22,109.155,109.462,110.742,112.266,114.487,116.631,118.513,119.808,121.421
"31","23","  Other structures","W004RG3",88.415,89.053,89.924,90.846,91.298,91.997,92.898,93.82,94.706,95.581,96.387,97.239,98.57,99.509,100.409,101.512,102.662,103.606,104.901,105.75,105.752,106.162,106.425,107.528,108.878,108.864,109.211,110.406,112.113,114.101,115.836,117.171,118.366,119.806
"32","24","    Religious","C309RG3",87.358,87.958,88.975,89.94,90.474,91.207,92.21,93.26,94.343,95.334,96.223,97.125,98.532,99.513,100.476,101.496,102.778,103.82,105.203,105.975,105.776,106.076,106.27,107.471,109.12,109.093,109.48,110.872,112.778,115.011,116.984,118.469,119.764,121.377
"33","25","    Educational and vocational","W044RG3",87.282,87.955,89.022,90.011,90.841,91.753,92.841,93.885,94.756,95.642,96.435,97.255,98.726,99.593,100.383,101.177,102.071,102.906,104.287,105.279,105.761,106.532,106.945,108.1,109.106,108.785,108.951,110.209,112.212,114.429,116.392,117.864,119.153,120.757
"34","26","    Lodging","W045RG3",87.623,88.035,88.931,89.83,90.379,91.121,92.15,93.242,94.325,95.348,96.258,97.168,98.563,99.543,100.51,101.535,102.826,103.876,105.26,106.027,105.812,106.106,106.299,107.501,109.171,109.128,109.484,110.835,112.656,114.836,116.764,118.225,119.518,121.127
"35","27","    Amusement and recreation","W046RG3",87.754,88.569,89.528,90.638,90.487,91.167,92.155,93.225,94.307,95.342,96.27,97.198,98.617,99.604,100.562,101.577,102.813,103.826,105.192,105.962,105.783,106.092,106.287,107.478,109.1,109.056,109.429,110.81,112.711,114.939,116.907,118.39,119.684,121.295
"36","28","    Transportation","W047RG3",92.219,92.477,92.859,93.21,93.953,94.604,95.182,95.756,96.317,96.628,97.152,97.784,98.798,99.563,100.397,101.242,102.456,103.672,105.087,106.048,106.048,106.348,106.669,107.581,108.655,109.156,109.758,110.648,111.976,112.75,113.489,113.83,114.162,114.581
"37","29","      Air","W048RG3",87.529,88.492,89.569,90.739,90.65,91.298,92.244,93.255,94.263,95.227,96.103,97.011,98.326,99.309,100.314,101.428,102.884,104.016,105.398,106.151,105.851,106.082,106.236,107.43,109.112,109.112,109.516,110.917,112.821,115.038,117,118.47,119.81,121.371
