"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2015    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2015 4:27:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Motor vehicle output","A953RX1",350,345.3,329.3,366.8,371.4,386.7,401.5,396.4,397.4,326.3,246.8,321.5,353.5,399,418,455.3
"9","2","        Auto output","A133RX1",145.8,147.6,139.7,146.3,131.2,132.5,148.2,152.2,150.1,140.4,92.1,108.5,114.5,141.6,140,140.8
"10","3","        Truck output","A716RX1",205,198.6,190.4,221,239.9,253.8,253.3,244.3,247.4,185.8,154.7,213,239,257.7,278,313.9
"11","4","Final sales of domestic product","AB60RX1",338.8,335.4,342.1,353.9,364.7,385.2,403.2,395.4,402,332.6,270.1,308.1,348.2,378.2,405.1,450.6
"12","5","  Personal consumption expenditures","AB61RX1",283.5,293.2,311.5,330.2,339.2,347.1,339.5,324.4,330.9,283.9,265.3,269,277.4,301.1,318.2,345.8
"13","6","    New motor vehicles","AB67RX1",188.2,198.4,217.8,234.5,245.7,248.2,243.5,229.5,232,187.2,165.6,178.6,198.5,222.6,232.2,244.4
"14","7","      Autos","A136RX1",92.8,97.4,96.3,94.8,91.9,92.9,97.7,99.4,95.8,86,71.2,68.8,77,90.1,90.6,88.7
"15","8","      Light trucks (including utility vehicles)","B704RX1",96.2,101.9,121.8,139.4,153.1,154.6,145.5,130,136.1,101.2,94.4,109.8,121.4,132.5,141.5,155.4
"16","9","    Net purchases of used autos and used light trucks","W240RX1",95.1,94.9,94.5,97.1,95.3,100.6,97.7,96.2,100.1,96.9,99.7,91,81.1,81.6,89.1,104.2
"17","10","      Used autos","A137RX1",54.5,53.5,51.7,51.3,50.5,53.5,51.2,48.4,46.8,45.7,42.7,39.4,36.9,37,40.6,47.8
"18","11","      Used light trucks (including utility vehicles)","W241RX1",40.9,41.6,42.9,45.7,44.8,47,46.4,47.7,53.3,51.2,57,51.6,44.2,44.6,48.4,56.3
"19","12","  Private fixed investment","AB62RX1",152.5,147,129.1,123.5,120.7,138.8,161.2,177.6,159.6,110.9,40.5,104.9,142.9,173,190.8,211.5
"20","13","    New motor vehicles","AB68RX1",201.8,197.7,179.3,177,171.1,192.5,212.1,228.3,219.3,175.7,118.3,163.9,187.7,211.6,232.5,255.2
"21","14","      Autos","B139RX1",80,81.3,77.8,78.1,72.1,73.6,78.1,81.5,83.1,71.5,51.7,68.4,70.7,84.7,91.6,94
"22","15","      Trucks","B705RX1",122,116.6,101.6,99,99.1,119,134,146.8,136.3,104.2,66.5,95.5,116.8,126.8,140.8,160.9
"23","16","        Light trucks (including utility vehicles)","B196RX1",82,81.5,75.4,72.9,73.7,85.7,95.1,105,104.7,79,48.1,72.1,85.1,91.1,105.4,119.2
"24","17","        Other","B197RX1",42.6,36.5,26,26,25.1,33.7,39.6,42.4,31.5,25.2,18.4,23.4,31.8,35.7,35.4,41.6
"25","18","    Net purchases of used autos and used light trucks","W242RX1",-60.6,-61.1,-58.3,-60.3,-57.3,-62,-61.3,-62.7,-69.3,-70,-77.7,-66.4,-58.4,-56.5,-61.6,-66
"26","19","      Used autos","B140RX1",-32.6,-32.1,-29.2,-29.3,-27.9,-31,-30.9,-30.6,-31.8,-32.9,-34.4,-30.4,-28.8,-27.5,-29.8,-30.9
"27","20","      Used light trucks (including utility vehicles)","W243RX1",-27.9,-28.9,-29.1,-31,-29.4,-31,-30.4,-32.1,-37.6,-37.1,-43.4,-36,-29.6,-29.1,-31.8,-35.1
"28","21","  Gross government investment","AB64RX1",13.6,14.2,14.5,14.8,15.7,15.7,16.7,18.4,19,19.2,17.5,17.2,15.7,15,14.8,17
"29","22","    Autos","B144RX1",3.8,3.7,3.8,3.6,3.6,3.6,4,4.4,4.6,4.3,3.6,3.4,3.3,2.8,2.8,3
"30","23","    Trucks","B708RX1",9.8,10.5,10.7,11.2,12.1,12,12.7,13.9,14.4,14.9,14,13.8,12.4,12.1,12,14
"31","24","  Net exports","AB63RX1",-99.6,-110.6,-108.5,-112,-108.6,-112.1,-106.4,-115.1,-99.3,-76.6,-53.3,-76.1,-75,-95,-100.7,-103
"32","25","    Exports","AB69RX1",28.8,29,28,31.4,34.5,38.4,45.4,50.3,61.8,65.9,40,54.5,65,70.3,73,75.3
"33","26","      Autos","B142RX1",13,13.1,14.1,15.7,16.5,17,20.9,24.3,32,37.5,20.8,27.9,33.4,38.1,40.9,44.6
"34","27","      Trucks","B706RX1",15.9,16,13.9,15.6,18.1,21.5,24.6,26.1,29.8,28.5,19.1,26.7,31.6,32.3,32.2,31
"35","28","    Imports","AB70RX1",128.4,139.6,136.4,143.4,143.1,150.4,151.8,165.4,161.1,142.5,93.2,130.6,140,165.3,173.7,178.3
"36","29","      Autos","B143RX1",69,74.6,72.6,77,74.3,74.7,71.8,79.4,78.2,77.9,55,74,80.6,96.1,106.1,107.5
"37","30","      Trucks","B707RX1",59.3,64.9,63.8,66.3,68.8,75.8,80.1,86.1,83,64.7,38.3,56.6,59.3,69.2,67.4,70.8
"38","31","Change in private inventories","AB65RX1",12.2,10.6,-13.9,13.1,6.9,1.5,-1.3,1.7,-4.4,-6.3,-23.2,14.4,5.9,21.9,13.7,5.6
"39","32","  Autos","A145RX1",2.3,3.8,-3.9,7.1,-2.7,-4.2,-1.8,3.3,-2.4,6.2,-8.5,5.6,3.1,13.2,9.9,1.3
"40","33","    New","B146RX1",1.2,1.2,-6.8,8,-1.4,-1.6,-1.1,2.8,-3.9,6.5,-12.2,3.4,-0.6,8.9,5.8,-2.1
"41","34","      Domestic","AB71RX1",-0.1,0.6,-7.4,6.8,-1.1,-0.6,-0.6,1.5,-3,4.4,-9,2.5,0.8,6.8,4.5,-0.9
"42","35","      Foreign","AB72RX1",1.3,0.6,0.7,1.3,-0.2,-1,-0.5,1.2,-0.9,2.1,-3.2,0.9,-1.3,2.1,1.3,-1.2
"43","36","    Used","B147RX1",1,2.4,2,-0.2,-1.3,-2.4,-0.7,0.7,1.2,-0.4,3.7,2.2,3.6,4.6,4.2,3.3
"44","37","  Trucks","B709RX1",10.4,7,-10.2,6,9.7,5.9,0.6,-1.8,-2,-12.4,-14.8,8.8,2.8,8.7,3.9,4.2
"45","38","    New","W244RX1",10.2,5.3,-13,6.2,9,5.1,0.1,-2.7,-3,-13.5,-16.5,8.5,2.8,8.2,2.9,4.1
