"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/20/2014 3:19:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2
"9","1","    Exports of goods and services","B020RC1",44,43.5,42.4,43.9,45.5,47.4,49.5,49.2,44,53.9
"10","2","Exports of goods \1\","A253RC1",32.9,32.6,32,32.7,34,35.4,37.1,36.5,32.1,40.4
"11","3","  Foods, feeds, and beverages","B638RC1",5.1,5,4.9,5,5.3,4.7,4.6,4.7,3.3,5.3
"12","4","  Industrial supplies and materials","A639RC1",10.3,10.1,9.7,9.8,10.2,10.9,12,11,8.7,12.6
"13","5","    Durable goods","B686RC1",3.9,3.9,3.4,3.5,3.7,4.2,4.4,4.3,3.5,4.8
"14","6","    Nondurable goods","B687RC1",6.4,6.3,6.3,6.4,6.5,6.7,7.6,6.7,5.2,7.8
"15","7","  Capital goods, except automotive","A640RC1",9.8,9.9,9.8,10.2,10.4,11.1,11.7,11.3,10.9,12.6
"16","8","    Civilian aircraft, engines, and parts","B688RC1",0.6,0.6,0.9,1,1.1,1.3,1.7,1.5,1.5,1
"17","9","    Computers, peripherals, and parts","B850RC1",0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.7
"18","10","    Other","B689RC1",8.7,8.7,8.4,8.6,8.7,9.3,9.3,9.2,8.8,10.9
"19","11","  Automotive vehicles, engines, and parts","B641RC1",2.7,2.8,2.9,2.8,3.1,3.5,3.4,3.8,3.5,3.9
"20","12","  Consumer goods, except food and automotive","A642RC1",2.2,2,2.1,2.1,2.2,2.3,2.5,2.3,2.3,2.7
"21","13","    Durable goods","B690RC1",0.9,0.9,0.9,0.9,0.9,1,1,1,1.1,1.2
"22","14","    Nondurable goods","B691RC1",1.3,1.2,1.2,1.2,1.2,1.3,1.5,1.3,1.2,1.5
"23","15","  Other \2\","A643RC1",2.8,2.7,2.6,2.8,2.8,2.9,2.9,3.3,3.3,3.3
"24","16","Exports of services \1\","A646RC1",11.1,10.9,10.5,11.2,11.5,12,12.4,12.8,11.9,13.5
"25","17","  Transport","Y800RC1",2.8,2.8,2.8,2.8,2.9,3,3,3,2.5,3.3
"26","18","  Travel (for all purposes including education)","Y801RC1",1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8,2,2.1
"27","19","  Charges for the use of intellectual property n.e.c.","B684RC1",1.7,1.8,1.7,1.7,1.8,1.8,1.9,2,1.9,2.1
"28","20","  Other business services \3\","Y802RC1",0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9
"29","21","  Government goods and services n.e.c.","Y803RC1",3.5,3.2,2.7,3.3,3.4,3.8,3.9,4.2,3.5,4.1
"30","22","  Other","B980RC1",0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,1.1
"31","23","    Imports of goods and services","B021RC1",39.4,39,39.5,41.7,44.4,45.4,48.2,48.2,43.8,52.7
"32","24","Imports of goods \1\","A255RC1",27.7,26.8,27,29.5,32.1,33.2,35.4,35.1,30.8,39.1
"33","25","  Foods, feeds, and beverages","B647RC1",4.7,4.3,4.6,4.7,4.9,5.1,6,5.2,4.1,5.6
"34","26","  Industrial supplies and materials, except petroleum and products","A649RC1",10.1,9.6,9.3,10.7,12.2,12.2,11.9,11.9,9.9,12.9
"35","27","    Durable goods","A820RC1",6,5.8,5.6,6.6,7.9,7.8,7.5,7.4,6,8.1
"36","28","    Nondurable goods","B696RC1",4.1,3.8,3.7,4.1,4.3,4.4,4.4,4.5,3.9,4.8
"37","29","  Petroleum and products","B648RC1",2.1,2.2,1.9,2.2,2.2,2.3,2.5,2.5,2.5,2.7
"38","30","  Capital goods, except automotive","A650RC1",2.5,2.4,2.5,2.5,2.7,2.7,2.9,3.1,2.8,3.6
"39","31","    Civilian aircraft, engines, and parts","B932RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
"40","32","    Computers, peripherals, and parts","B852RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","    Other","B853RC1",2.3,2.2,2.3,2.3,2.4,2.4,2.7,2.7,2.5,3.3
"42","34","  Automotive vehicles, engines, and parts","B651RC1",2.2,2.2,2.6,2.7,3.4,3.7,4.1,4.6,4,5.2
"43","35","  Consumer goods, except food and automotive","A652RC1",4.2,4,4.2,4.5,4.9,5.2,5.6,5.8,5.5,6.8
