"","Table 7#22# Transactions of Private Defined Benefit Pension Plan","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1984 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2015 4:29:04 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Current receipts, accrual basis","Y237RC1",129.2,125.9,136.6,150.5,156,160.1,179.7,172.8,183.1,174.3,176.9,167.9,169.9,160.9,161,156.8,174.2,210.9,230,190.7,196.1,197,196.6,223.3,322.3,294.7,260.2,259.8,253.5,234.1
"9","2","  Output \1\","Y257RC1",2.6,3.1,3.3,3.3,3.4,3.4,3.7,4,4,4.3,4.7,5,5.9,6.3,6.7,6.7,7.3,7.1,7.1,7.2,7.9,8.2,9.2,9.8,9.6,9,9.8,9.8,10.5,10.6
"10","3","  Contributions","Y238RC1",78.2,76.6,82.1,89.9,93.1,98.5,108.6,105.5,115.7,111.8,113.4,108.4,109.8,106.2,108.4,107.8,116.3,136.8,147.4,128.8,131.9,132.4,132.6,147.5,196.4,182.2,162,160,155.8,146.2
"11","4","    Claims to benefits accrued through service to employers","Y248RC1",29.7,30.4,31,32.6,33.6,40.3,41.1,42.1,52.4,53.7,54.5,53.8,55.6,57.8,62.5,65.5,65.8,69.8,71.8,74,75.6,76.1,77.9,81.4,80,78.7,73.6,70,68.7,69
"12","5","      Actual employer contributions","W350RC1",42.7,38,30,26.9,23.3,22.3,20.9,27.2,32.1,37.1,43.1,44.2,33.4,27.3,33.5,28.6,32.4,47.5,83.5,117.2,92.8,89.8,88.4,67.1,104,112.1,127.4,133.8,128.3,118.2
"13","6","      Imputed employer contributions","Y240RC1",-12.9,-6.6,2.9,7.7,12.7,20.5,23.2,18.1,23.5,20,15.4,13.8,27.3,36.1,35,43,40,28.7,-5.4,-36.8,-10.1,-6.3,-2.2,23.3,-15.3,-25.3,-44.9,-54.9,-49.8,-39.4
"14","7","      Actual household contributions","Y241RC1",2.4,2,1.5,1.2,1,0.8,0.7,0.8,0.8,0.9,0.6,0.8,0.8,0.6,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.8,1,1,0.8,0.9,0.8,0.8
"15","8","      Less: Pension service charges \1\","Y257RC1",2.6,3.1,3.3,3.3,3.4,3.4,3.7,4,4,4.3,4.7,5,5.9,6.3,6.7,6.7,7.3,7.1,7.1,7.2,7.9,8.2,9.2,9.8,9.6,9,9.8,9.8,10.5,10.6
"16","9","    Household pension contribution supplements \2\","Y242RC1",48.4,46.2,51.1,57.3,59.5,58.2,67.4,63.3,63.3,58.2,58.9,54.6,54.2,48.4,45.9,42.3,50.5,67,75.6,54.8,56.3,56.3,54.8,66.1,116.3,103.5,88.4,90,87.1,77.3
"17","10","  Income receipts on assets (including plans' claims on employers)","Y242RC1",48.4,46.2,51.1,57.3,59.5,58.2,67.4,63.3,63.3,58.2,58.9,54.6,54.2,48.4,45.9,42.3,50.5,67,75.6,54.8,56.3,56.3,54.8,66.1,116.3,103.5,88.4,90,87.1,77.3
"18","11","    Interest","Y243RC1",38,34.6,39.3,45.4,48.4,46.8,55.6,50.4,49.7,43.7,43.3,38.1,37.3,32,30.4,27.6,35.8,51.3,57.9,35.3,34.1,31.2,26,33.9,82.9,73.5,58.9,62.4,57,44.1
"19","12","      Monetary interest","Y244RC1",30,34.6,36.1,36.2,35,38.3,41.3,42.5,40.8,38,38.8,41.3,44.2,45.6,45,46.8,45,41.8,35,31.2,29.9,30.7,33,37.6,41.4,44.7,34.7,34.8,33.1,32.9
"20","13","      Imputed interest on plans' claims on employers \3\","Y245RC1",8,0,3.3,9.2,13.4,8.4,14.3,8,8.8,5.6,4.5,-3.2,-7,-13.6,-14.6,-19.1,-9.2,9.5,22.9,4.2,4.1,0.5,-7,-3.7,41.5,28.8,24.1,27.7,23.8,11.2
"21","14","    Dividends","Y246RC1",10.5,11.6,11.8,11.9,11.1,11.4,11.8,12.9,13.7,14.5,15.5,16.5,16.9,16.5,15.5,14.6,14.7,15.7,17.6,19.4,22.2,25.2,28.8,32.2,33.4,30,29.6,27.6,30.1,33.2
"22","15","Current expenditures, accrual basis","Y237RC1",129.2,125.9,136.6,150.5,156,160.1,179.7,172.8,183.1,174.3,176.9,167.9,169.9,160.9,161,156.8,174.2,210.9,230,190.7,196.1,197,196.6,223.3,322.3,294.7,260.2,259.8,253.5,234.1
"23","16","  Administrative expenses","Y257RC1",2.6,3.1,3.3,3.3,3.4,3.4,3.7,4,4,4.3,4.7,5,5.9,6.3,6.7,6.7,7.3,7.1,7.1,7.2,7.9,8.2,9.2,9.8,9.6,9,9.8,9.8,10.5,10.6
