"","Table 5#4#6# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2015 4:17:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Private fixed investment in structures","A349RX1",1112.1,1149.3,1148.5,1110.1,1162.5,1241,1304.9,1262.1,1158.3,1028.7,822.1,740.1,750.2,851,899.5
"9","2","Nonresidential","B009RX1",494.9,533.5,525.4,432.5,415.8,414.1,421.2,451.5,509,540.2,438.2,366.3,374.7,423.8,421.7
"10","3","  Commercial and health care","W001RX1",199,212.3,202,171.1,160.3,164.2,162.8,172.6,189.9,182.8,126.7,95.2,94.7,102.8,106.3
"11","4","    Office \1\","W031RX1",85.7,95.6,88.1,61,51.4,52,53.5,59.6,66.1,65.5,42.8,28.8,27.4,30.9,33
"12","5","    Health care","W032RX1",30.3,30.7,29.5,33.2,34.9,35.7,35.7,36.9,39.2,41.5,39.7,34.8,33.8,36.3,34.3
"13","6","      Hospitals and special care","C311RX1",22.2,22.7,22.5,25.9,26.1,25.3,25.6,28.7,30.4,31.5,31.3,28.6,27.4,28.9,26.3
"14","7","        Hospitals","W033RX1",15.6,16.1,17.1,20.7,21.9,21.9,22.9,25.3,27,27.6,27.8,25.4,23.9,24.5,22.4
"15","8","        Special care","W034RX1",6.6,6.6,5.4,5.2,4.2,3.4,2.8,3.4,3.4,3.9,3.4,3.2,3.5,4.4,3.9
"16","9","      Medical buildings","W035RX1",8.1,8,7,7.3,8.7,10.3,10.1,8.3,8.8,10,8.5,6.2,6.3,7.4,8
"17","10","    Multimerchandise shopping","W036RX1",24,22.9,24.4,22.7,21.9,25.1,27.7,33.1,37.1,32.7,18.4,12.9,13.4,14.4,15.3
"18","11","    Food and beverage establishments","W037RX1",13,13.5,13.1,11.5,11.9,11,9.5,8.4,8.6,8.2,4.9,4.7,5.3,5.7,6.2
"19","12","    Warehouses","W038RX1",21.3,22.4,23.1,17.1,17.3,15.9,15.6,16.4,18.1,17.1,9.7,5.8,6.6,6.8,8.2
"20","13","    Other commercial \2\","W039RX1",27.3,30.3,26.7,26.5,23.4,25,21.3,18.8,21.5,18.4,11.1,8.2,8.2,8.7,9.2
"21","14","  Manufacturing","C307RX1",53.9,55.6,54.1,31.6,29.2,30.1,34.2,36.5,43.1,53.8,56.3,40.8,39.1,44.9,44.3
"22","15","  Power and communication","W003RX1",62.8,72.5,74.7,72.9,67.2,56.1,58.1,61.7,85.9,94.5,95.8,80.4,74.1,89.6,82.8
"23","16","    Power","W028RX1",35.2,45.1,47,47.4,47.8,36.3,35.3,38.2,58.3,68.6,76.1,63.9,58.9,76.2,68.3
"24","17","      Electric","C571RX1",24.4,35.2,37.2,35.9,36.4,27.5,28,30.4,44.6,52.6,60.4,47.4,46.8,62.3,48.4
"25","18","      Other power","W029RX1",10.9,9.6,9.7,11.4,11.3,8.7,7.3,7.8,13.8,15.9,15.7,16.5,12.2,14.2,19.5
"26","19","    Communication","C314RX1",26.7,26.7,27.1,25,19.2,19.4,22.4,23,27.4,25.8,19.7,16.5,15.1,13.7,14.7
"27","20","  Mining exploration, shafts, and wells","E318RX1",64.5,80.5,94.9,69.4,79.3,84.2,92.1,99.5,97.9,105,75,87.8,110.9,124.5,125.2
"28","21","    Petroleum and natural gas","C319RX1",64.8,80.8,96.4,67.1,78,80.4,86.8,91.3,90.7,98.3,69.4,80.9,99.8,113.8,115.6
"29","22","    Mining","C320RX1",1.4,1.9,1.7,3,2.7,4.3,5.5,8.2,7.2,6.7,5.6,6.9,11.2,10.7,9.4
"30","23","  Other structures","W004RX1",94.7,97.5,93,78.6,75.6,76.7,72.7,79.7,91.8,103.4,84.5,62,56.2,61.5,63.4
"31","24","    Religious","C309RX1",10.6,11.1,11.2,11,10.9,9.8,8.6,7.9,7.4,6.9,6.2,5.5,4.4,3.9,3.6
"32","25","    Educational and vocational","W044RX1",17.6,20.6,21.7,21.6,21.3,19.2,18.2,17.9,19.2,19.7,17.9,14.7,14.4,16.1,14.9
"33","26","    Lodging","W045RX1",28.9,28.3,24.1,17.1,15.7,17.9,17.5,22.4,33.3,42,31.4,14.6,10.8,13,15.9
