"","Table 3#11#2# Contributions to Percent Change From Preceding Per","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1973 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2015    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2015 4:08:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    National defense consumption expenditures and gross investment","A824RL1",-5.1,-1,-1,-0.5,1,0.8,2.7,3.9,6.2,7.2,7.3,5.2,8.8,6.9,5.1,-0.2,-0.2,0.3,-1,-4.5,-5.1,-4.9,-4,-1.6,-2.7,-2.1,1.5,-0.9,3.5,7,8.5,6,2,2,2.5,7.5,5.4,3.2,-2.3,-3.3,-6.6,-2.1
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Consumption expenditures \1\","A997RN2",-5.78,-2.24,-1.69,-1.69,0.48,0.59,0.71,2.28,3.88,4.28,3.44,1.87,3.85,3.79,2.54,1.62,0.45,0.29,1.12,-3.13,-2.55,-3.39,-3.07,-1.36,-1.14,-2.14,1.32,-1.12,2.26,4.29,6.12,4.03,0.87,0.78,1.25,5.36,4.9,2.89,-1.21,-2.23,-4.81,-0.55
"12","3","  Gross output of general government","W085RN2",-5.45,-2,-2.27,-2.28,0.56,0.62,0.77,2.44,4.02,4.5,3.47,2.2,4.08,3.97,2.63,1.69,0.45,0.49,0.92,-3.11,-2.63,-3.06,-3.73,-1.36,-1.37,-2.28,1.28,-0.96,2.65,4.62,6.27,4.01,1.1,1.06,1.27,5.45,4.88,2.86,-1,-2.02,-4.99,-0.79
"13","4","    Value added","W086RN2",-2.92,-1.1,-0.91,-0.95,-0.37,0.34,-0.16,0.57,1.69,1.65,1.64,1.83,2.29,1.84,1.86,0.88,0.87,0.44,0.21,-1.79,-1.58,-2.1,-2.29,-1.89,-1.66,-1.53,-1.2,-0.62,0,0.73,1.46,1.18,0.82,0.28,0.67,1.95,2.59,1.52,0.68,-0.39,-1.13,-0.53
"14","5","      Compensation of general government employees","B237RN2",-2.32,-0.64,-0.61,-0.85,-0.37,0.29,-0.32,0.23,1.14,0.83,0.54,0.47,0.62,0.12,0.28,-0.37,0,-0.19,-0.11,-1.8,-1.32,-1.6,-1.68,-1.3,-1.1,-0.96,-0.74,-0.22,0.19,0.8,1.09,0.58,0.11,-0.46,-0.1,1.11,1.85,0.95,0.29,-0.58,-1.09,-0.7
"15","6","        Military","B4080N2",-1.69,-1.04,-0.61,-0.66,-0.22,-0.25,-0.39,0.25,0.76,0.42,0.39,0.27,0.31,0.18,0.25,-0.14,-0.1,0.05,0.23,-1.74,-1.01,-0.91,-0.97,-0.67,-0.48,-0.41,-0.33,0.16,0.38,0.72,1.12,0.24,-0.12,-0.48,-0.16,0.86,1.45,0.31,-0.07,-0.5,-0.48,-0.63
"16","7","        Civilian","W090RN2",-0.64,0.39,0,-0.18,-0.15,0.54,0.07,-0.02,0.39,0.42,0.15,0.2,0.31,-0.06,0.03,-0.22,0.1,-0.25,-0.34,-0.06,-0.32,-0.69,-0.71,-0.62,-0.62,-0.55,-0.41,-0.38,-0.19,0.08,-0.02,0.34,0.23,0.02,0.06,0.25,0.39,0.64,0.37,-0.08,-0.61,-0.07
"17","8","      Consumption of general government fixed capital \2\","B432RN2",-0.6,-0.46,-0.3,-0.1,0.01,0.05,0.16,0.35,0.55,0.81,1.1,1.36,1.67,1.72,1.59,1.25,0.87,0.63,0.32,0.01,-0.26,-0.49,-0.62,-0.59,-0.56,-0.56,-0.46,-0.4,-0.2,-0.07,0.36,0.61,0.72,0.74,0.77,0.84,0.75,0.57,0.39,0.19,-0.05,0.17
"18","9","    Intermediate goods and services purchased \3\","W087RN2",-2.53,-0.9,-1.36,-1.33,0.92,0.27,0.93,1.87,2.33,2.85,1.83,0.37,1.79,2.13,0.77,0.81,-0.42,0.05,0.7,-1.32,-1.05,-0.96,-1.44,0.53,0.29,-0.75,2.48,-0.34,2.66,3.89,4.81,2.83,0.27,0.77,0.6,3.5,2.29,1.34,-1.68,-1.62,-3.86,-0.25
"19","10","      Durable goods","A998RN2",-0.48,-0.7,0.25,-0.47,1.16,0.59,0.57,0.37,1.16,0.76,1.57,0.15,0.74,0.66,0.57,0.27,-0.34,-0.29,-0.36,-0.75,-0.64,-0.96,-0.53,-0.04,0.02,0.05,0.35,-0.06,0.04,0.22,0.49,0.52,0.04,0.43,0.5,0.89,0.35,0.14,-0.28,-0.16,-0.69,-0.49
"20","11","        Aircraft","B999RN2",-0.43,-0.51,-0.15,-0.3,0.86,0.05,0.6,0.26,0.88,0.64,0.94,-0.28,0.35,0.5,0.34,0.17,-0.26,-0.51,-0.39,-0.42,-0.4,-0.41,-0.11,-0.02,0.16,0.15,0.15,-0.19,-0.03,0.01,0.27,0.09,-0.24,0.01,0.06,0.19,0.23,0.18,0.22,0.14,-0.19,-0.23
"21","12","        Missiles","B277RN2",0.05,-0.08,0.15,-0.04,-0.08,0.18,-0.16,0.01,0.12,0.09,0.1,-0.04,0.01,0.2,0.05,0.15,-0.03,0.05,-0.03,-0.18,-0.17,-0.18,-0.16,-0.05,-0.08,0,-0.02,0.06,0.04,-0.04,-0.03,0.04,0.11,0.11,0.05,0.02,-0.03,-0.01,-0.1,-0.04,-0.01,0.01
"22","13","        Ships","B278RN2",0,-0.03,0.04,0.03,0.25,0.07,0.07,-0.1,-0.04,0,0.16,-0.02,-0.17,-0.01,0.06,0.01,-0.02,0.15,0.05,0.04,0.03,-0.18,-0.1,-0.07,0.01,-0.02,0.1,0.03,-0.03,0.01,0,0.02,-0.01,0,-0.04,-0.05,-0.01,0.01,-0.01,0,0,-0.01
"23","14","        Vehicles","B288RN2",-0.05,-0.05,0.19,-0.05,0.1,0.18,-0.04,0.1,-0.01,-0.09,0.2,0.22,0.18,-0.01,-0.08,-0.08,-0.16,-0.05,0,-0.11,-0.07,-0.1,0.03,-0.04,0.04,-0.08,-0.06,-0.03,0.01,0,0,0.01,0.06,0.09,0.1,0.1,0.05,-0.01,-0.07,-0.06,-0.1,-0.03
"24","15","        Electronics","B388RN2",-0.08,-0.05,-0.03,-0.17,0.07,0.12,-0.01,0.14,0.11,0.1,0.14,0.1,0.19,0.05,0.09,-0.01,0.02,-0.02,-0.09,-0.03,0.05,-0.12,-0.15,0.03,0.01,-0.01,0.1,0.07,0.03,0.08,0.12,0.13,0.17,0.15,0.22,0.44,0.06,-0.03,-0.26,-0.14,-0.2,-0.16
"25","16","        Other durable goods","B389RN2",0.04,0.03,0.04,0.06,-0.03,0,0.1,-0.04,0.09,0.02,0.03,0.17,0.17,-0.07,0.11,0.03,0.11,0.09,0.09,-0.05,-0.09,0.03,-0.04,0.1,-0.12,0.01,0.09,0,0.02,0.16,0.13,0.24,-0.04,0.07,0.1,0.21,0.05,-0.01,-0.06,-0.06,-0.18,-0.06
"26","17","      Nondurable goods","A725RN2",-1.29,-0.65,-0.86,-0.86,-0.2,0.05,0.11,0.43,0.32,-0.02,0.21,-0.22,-0.09,0.72,-0.06,-0.09,-0.09,-0.31,0.05,-0.19,-0.19,-0.19,-0.36,0.18,0.01,0.06,0.23,0.11,0.07,0.34,0.21,0.37,0.02,-0.08,0.04,0.12,0.16,-0.12,0.09,-0.17,-0.55,-0.12
"27","18","        Petroleum products","B780RN2",-0.8,-0.2,-0.43,-0.42,-0.31,-0.01,0.04,0.31,-0.07,-0.2,0.18,-0.01,0.03,0,0.03,-0.17,0.09,-0.01,-0.02,-0.17,-0.03,0.02,-0.07,0.01,-0.09,-0.02,0.06,-0.07,0.16,0.15,-0.03,0.06,-0.04,-0.02,-0.02,0.02,0.01,0.02,0.06,-0.12,-0.48,-0.08
"28","19","        Ammunition","B781RN2",-0.44,-0.55,-0.39,-0.46,0.17,0.1,0.08,0,0.1,0.18,0.15,-0.14,-0.3,0.69,-0.25,0.12,-0.15,-0.08,-0.04,-0.03,0,-0.2,-0.17,0.05,0.08,0.06,0.01,-0.02,0.07,0.11,0.02,0.16,0.03,-0.01,-0.04,0.01,-0.02,0,-0.02,0,-0.09,-0.05
"29","20","        Other nondurable goods","B783RN2",-0.05,0.1,-0.03,0.02,-0.06,-0.04,-0.01,0.12,0.29,0,-0.12,-0.07,0.18,0.03,0.16,-0.04,-0.03,-0.23,0.1,0.02,-0.15,-0.01,-0.12,0.12,0.02,0.02,0.15,0.21,-0.15,0.09,0.23,0.15,0.03,-0.05,0.1,0.09,0.17,-0.13,0.04,-0.06,0.02,0.01
