"","Table 7#2#3A# Real Auto Output, Quantity Indexes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:45:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
"8","1","      Auto output","A133RA3",29.161,32.79,42.932,55.692,45.568,39.225,54.886,50.461,73.1,54.819,59.442,43.405,55.005,61.163,50.794,63.559,70.895,72.803,89.582,87.498
"9","2","Final sales","A134RA3",26.381,29.553,39.059,50.385,41.78,35.972,48.878,46.776,63.696,50.91,52.947,41.02,49.85,53.389,48.11,57.609,63.441,66.578,79.003,77.582
"10","3","  Personal consumption expenditures","A135RA3",20.146,23.93,33.285,43.444,36.184,31.893,41.875,40.127,55.58,45.76,47.65,37.939,45.61,48.386,42.514,50.795,57.593,60.554,71.219,71.341
"11","4","    New autos","A136RA3",22.127,25.12,35.338,46.943,37.634,31.874,44.051,42.338,59.687,47.393,48.829,36.408,47.273,50.941,43.907,54.778,63.238,67.255,80.371,80.64
"12","5","    Net purchases of used autos","B137RA3",23.927,35.151,46.265,53.648,57.136,63.058,54.603,46.876,53.898,56.651,62.594,65.914,57.655,56.416,54.58,52.884,54.575,53.998,58.247,57.833
"13","6","  Private fixed investment","B280RA3",34.2,35.389,42.128,53.331,40.446,31.862,51.361,48.9,63.536,44.601,49.349,36.108,50.657,52.723,49.462,61.023,58.128,61.583,76.828,73.193
"14","7","    New autos","B139RA3",14.38,15.576,18.894,23.862,20.188,16.966,22.483,22.223,28.515,22.502,24.06,18.378,23.041,23.799,22.992,27.503,27.059,28.028,34.244,34.575
"15","8","    Net purchases of used autos","B140RA3",2.481,4.801,6.558,8.179,10.849,10.964,8.379,9.482,11.511,14.944,14.033,12.244,10.947,10.981,11.829,12.733,13.899,13.445,15.366,18.444
"16","9","  Net exports","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Exports","B142RA3",11.688,8.92,6.684,6.546,10.251,8.273,9.339,9.03,11.395,10.575,9.244,7.777,6.32,6.775,6.589,7.582,8.254,10.003,11.559,16.813
"18","11","    Imports","B143RA3",0.047,0.584,0.161,0.367,0.445,0.713,0.691,0.734,1.114,2.045,4.794,7.673,11.665,8.505,5.115,6.783,7.201,9.127,10.167,18.367
"19","12","  Gross government investment","B144RA3",16.886,15.203,13.893,17.222,21.685,21.892,22.624,21.902,26.381,27.688,28.467,29.752,29.593,33.139,36.858,39.817,47.41,46.476,47.942,50.319
"20","13","Change in private inventories of new and used autos","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  New","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Used","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Domestic output of new autos \1\","B148RA3",44.094,48.523,63.982,83.695,67.545,57.006,80.718,74.348,108.597,80.084,87.042,59.99,77.015,88.738,73.564,94.358,106.282,109.034,136.707,132.67
"25","17","  Sales of imported new autos \2\","B149RA3",0.014,0.167,0.138,0.143,0.199,0.304,0.338,0.317,0.558,0.846,1.594,3.057,4.752,3.896,2.9,2.574,2.96,3.808,4.712,7.011
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. Consists of sales of imported new autos in personal consumption expenditures, in private fixed investment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
