"","Table 5#4#4# Price Indexes for Private Fixed Investment in Struc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:39:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Private fixed investment in structures","A349RG3",4.531,4.343,3.959,3.35,3.349,3.511,3.576,3.658,4.095,4.116,4.112,4.214,4.565,4.987,5.415,5.705,6.004,6.627,7.99,8.753,8.818,9.001,9.786,10.055,10.179,10.155,10.369,10.891,11.115,11.021,11.06,11.101,11.085,11.135,11.122,11.24,11.567,11.991,12.389,13.033,13.93
"9","2","Nonresidential","B009RG3",3.838,3.633,3.324,2.885,2.915,2.924,3.06,3.055,3.471,3.405,3.368,3.422,3.662,4.086,4.441,4.539,4.74,5.309,6.436,7.16,7.135,7.224,8.056,8.27,8.432,8.33,8.497,9.223,9.619,9.465,9.516,9.505,9.447,9.522,9.603,9.74,10.023,10.384,10.707,11.245,11.985
"10","3","  Commercial and health care","W001RG3",3.86,3.784,3.288,2.699,2.5,2.806,2.79,2.952,3.319,3.363,3.337,3.388,3.646,4.135,4.468,4.596,4.735,5.55,7.374,8.184,7.952,7.922,8.983,9.259,9.264,8.998,9.153,9.941,10.346,10.05,9.961,9.933,9.887,9.994,10.17,10.372,10.696,11.073,11.416,11.981,12.883
