"","Table 5#9#3B# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"20","13","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RA3",138.052,145.428,139.916,104.946,98.439,117.974,119.2,105.356,80.75,87.256,98.962,94.892,100,133.813,136.46,114.507,90.344,91.959
"22","15","      New","B831RA3",145.628,137.307,131.556,121.899,114.293,119.845,124.186,124.239,109.794,101.606,101.74,88.401,100,124.476,144.069,120.477,97.462,95.085
"23","16","        Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RA3",269.228,258.754,233.097,201.417,182.25,170.223,213.538,276.074,233.156,165.333,175.843,114.491,100,132.109,216.658,210.407,130.229,94.675
"25","18","        Commercial","W183RA3",140.437,158.622,164.809,139.697,117.489,81.777,141.486,218.255,184.895,161.028,150.594,114.016,100,90.677,165.361,133.719,80.872,67.709
"26","19","        Health care","W184RA3",119.856,87.562,70.371,61.128,54.669,64.75,51.202,44.918,42.805,43.059,55.855,51.14,100,125.603,151.726,151.671,143.369,125.784
"27","20","        Educational","W185RA3",150.909,124.319,108.204,137.298,194.001,263.289,225.555,245.833,103.754,81.728,98.826,95.632,100,87.725,102.545,100.754,85.265,107.412
"28","21","        Public safety","W186RA3",712.264,688.277,615.749,513.729,355.98,388.647,234.734,122.964,66.424,55.931,111.665,113.052,100,103.217,180.799,126.265,65.337,34.414
"29","22","        Amusement and recreation","W187RA3",392.332,380.722,373.394,340.403,238.613,204.043,212.225,124.876,105.282,58.32,73.202,87.249,100,266.726,214.185,96.217,48.503,93.211
"30","23","        Transportation","W188RA3",235.919,225.855,230.303,216.318,222.333,323.598,170.058,198.508,105.984,71.508,101.141,96.83,100,89.36,110.716,67.825,54.64,63.211
"31","24","        Power","W189RA3",11.528,10.438,9.656,11.564,31.932,47.573,135.691,128.031,102.849,96.444,51.946,82.815,100,98.701,132.416,112.618,97.708,103.521
"32","25","        Highways and streets","W190RA3",172.374,157.549,145.713,181.392,166.249,168.377,166.989,202.978,132.188,109.663,132.033,107.141,100,151.565,96.586,78.164,76.959,69.875
"33","26","        Conservation and development","W191RA3",69.404,69.631,78.107,76.142,83.137,89.524,91.235,78.989,81.111,91.009,84.899,81.182,100,135.645,131.192,96.537,80.625,96.644
"34","27","        Other \4\","W192RA3",93.014,89.286,92.86,94.465,98.42,86.213,103.418,83,152.487,170.445,149.623,108.014,100,106.659,117.637,108.468,113.302,93.489
"35","28","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","  State and local","B842RA3",87.098,86.876,93.133,98.246,103.796,108.08,108.316,106.296,102.218,102.307,100.956,100.718,100,96.441,90.027,83.14,78.433,78.354
"37","30","    New","B843RA3",87.625,87.046,93.33,98.662,105.95,108.243,108.27,106.425,102.909,102.986,100.998,100.688,100,96.484,90.194,83.255,78.448,78.445
"38","31","      Residential","W147RA3",113.234,110.34,111.967,98.687,110.691,114.636,111.359,112.201,106.991,73.902,81.684,80.467,100,135.641,108.276,80.578,73.046,61.874
"39","32","      Office","W193RA3",93.94,98.245,104.817,114.386,126.436,135.781,131.074,130.079,120.755,93.525,96.025,98.5,100,97.733,91.568,87.274,80.719,77.666
"40","33","      Commercial","W194RA3",51.659,73.625,73.456,67.404,81.595,83.825,69.504,74.617,84.884,71.94,83.334,97.685,100,86.183,88.067,94.334,76.531,66.895
"41","34","      Health care","W195RA3",83.009,79.06,70.736,69.25,72.303,88.013,86.66,86.508,89.898,78.395,91.368,96.657,100,99.946,104.935,105.877,96.051,88.726
"42","35","      Educational","W148RA3",74.839,74.406,84.042,89.779,97.118,100.308,101.865,101.602,100.759,107.248,104.265,106.491,100,87.802,83.779,75.95,67.372,66.231
"43","36","      Public safety","W196RA3",131.365,133.654,137.263,135.567,129.687,119.279,104.225,101.513,94.258,82.101,95.519,98.391,100,94.948,95.955,88.058,73.912,64.48
"44","37","      Amusement and recreation","W197RA3",94.129,92.343,95.109,111.682,119.018,118.199,102.829,99.497,99.816,81.695,92.628,96.435,100,93.44,81.816,70.29,61.274,62.88
"45","38","      Transportation","W198RA3",91.02,85.698,93.951,118.718,126.365,130.304,132.309,124.222,110.002,85.803,86.716,90.232,100,98.992,91.805,87.554,85.092,91.577
"46","39","      Power","W199RA3",44.61,34.508,44.776,52.281,51.492,53.387,78.183,64.322,67.59,80.031,104.18,91.216,100,89.61,76.641,72.361,78.893,75.403
"47","40","      Highways and streets","W149RA3",106.582,108.75,115.385,118.489,127.43,122.347,119.125,118.001,113.629,115.187,102.661,99.651,100,100.376,96.045,90.211,87.537,89.519
"48","41","      Sewer systems","W150RA3",72.517,66.471,65.871,62.236,69.476,77.265,81.088,83.523,82.664,105.698,103.106,104.269,100,102.175,92.759,81.945,80.485,81.794
"49","42","      Water systems","W168RA3",72.85,74.522,78.027,74.974,83.09,92.55,92.847,92.092,89.908,111.757,104.382,102.641,100,98.385,81.039,75.11,72.638,70
"50","43","      Conservation and development","W169RA3",92.538,92.007,104.942,128.613,113.561,99.081,96.417,104.006,98.538,89.278,114.548,111.625,100,96.992,95.53,90.953,90.172,103.531
"51","44","      Other \5\","W200RA3",489.807,564.386,253.133,434.497,261.719,845.389,1325.003,520.9,342.452,525.406,1250.102,513.478,100,486.42,960.853,892.697,600.821,596.276
"52","45","    Net purchases of used structures","B870RA3",67.903,80.637,85.93,83.077,26.137,100.917,108.488,100.476,77.007,77.523,99.397,101.953,100,94.583,82.874,78.256,77.906,74.583
"53","46","Equipment","Y054RA3",43.906,47.131,52.167,53.795,56.045,62.422,66.132,71.103,75.105,82.649,88.349,99.266,100,101.845,96.704,94.733,89.904,88.849
"54","47","  Federal","Y058RA3",39.354,40.836,45.079,45.56,47.925,56.488,61.46,68.559,73.875,81.82,84.564,98.038,100,104.898,99.731,97.66,89.267,86.85
"55","48","    National defense","Y050RA3",39.278,40.234,43.026,44.543,48.092,55.851,61.176,68.62,72.872,79.764,84.067,98.053,100,104.234,99.133,96.201,88.94,85.033
"56","49","      Aircraft","B874RA3",41.237,41.51,43.232,50.387,58.879,67.88,68.327,81.982,102.849,104.684,99.775,102.153,100,124.229,148.166,147.857,163.134,149.481
"57","50","      Missiles","B875RA3",61.177,68.861,62.449,58.835,73.839,73.752,75.966,86.308,83.667,92.951,88.611,86.025,100,108.108,95.537,125.597,118.33,122.505
"58","51","      Ships","B876RA3",69.618,73.609,77.99,74.231,81.338,97.257,104.744,106.241,101.193,105.194,98.3,101.173,100,103.389,97.671,98.933,102.824,107.288
"59","52","      Vehicles","B877RA3",15.647,17.418,19.392,21.581,23.091,31.309,37.106,32.887,45.255,58.075,70.419,103.65,100,103.438,76.269,59.532,38.916,29.533
"60","53","      Electronics","Y051RA3",14.011,14.693,19.026,21.156,22.282,25.901,31.566,37.083,44.068,55.68,72.854,98.411,100,96.297,79.81,71.626,55.799,48.618
"61","54","      Other equipment","B879RA3",45.639,44.82,47.893,48.035,48.235,55.921,62.686,72.681,70.29,75.959,80.885,95.548,100,99.241,94.038,89.18,76.371,74.769
"62","55","    Nondefense","Y066RA3",40.32,43.686,53.385,49.846,47.567,59.408,62.956,68.643,78.537,91.088,86.876,97.965,100,108.135,102.65,104.838,90.845,95.796
"63","56","  State and local","Y070RA3",54.269,61.818,69.335,73.229,74.772,76.308,76.964,76.874,78.055,84.869,97.205,102.125,100,94.733,89.652,87.885,91.39,93.461
"64","57","Intellectual property products \2\","Y055RA3",64.715,66.977,68.548,70.739,74.241,78.055,83.648,87.824,91.236,93.787,96.53,98.505,100,101.868,101.912,99.441,97.994,96.12
"65","58","  Federal","Y059RA3",66.884,68.539,69.713,71.459,75.068,79.349,85.398,89.704,93.166,95.086,97.411,98.817,100,101.818,101.778,98.539,96.495,93.943
"66","59","    National defense","Y052RA3",65.75,65.442,63.991,63.599,66.859,73.922,83.187,90.961,95.901,98.515,102.449,102.464,100,98.975,97.861,92.133,88.158,86.47
"67","60","      Software","Y053RA3",86.852,92.719,92.356,91.248,86.364,84.493,82.552,86.436,89.491,92.439,96.376,100.647,100,107.393,112.512,113.156,112.739,115.202
"68","61","      Research and development","Y076RA3",63.287,62.242,60.664,60.355,64.568,72.673,83.226,91.433,96.58,99.157,103.09,102.655,100,98.103,96.36,90.007,85.689,83.601
"69","62","    Nondefense","Y067RA3",67.867,71.292,74.839,78.52,82.441,84.217,87.373,88.554,90.678,91.968,92.826,95.502,100,104.382,105.312,104.339,104.059,100.719
"70","63","      Software","Y068RA3",57.053,68.43,75.842,81.274,85.406,76.834,77.166,79.836,85.776,89.858,95.985,101.37,100,106.965,112.467,115.091,115.561,117.87
"71","64","      Research and development","Y069RA3",70.541,71.93,74.491,77.722,81.584,85.996,89.859,90.674,91.876,92.495,92.093,94.13,100,103.791,103.704,101.938,101.492,96.925
"72","65","  State and local","Y071RA3",53.766,58.911,62.398,66.744,69.701,71.199,74.497,77.999,81.147,86.978,91.901,96.864,100,102.137,102.629,104.309,106.091,107.892
"73","66","    Software","Y072RA3",58.561,66.632,70.284,75.268,77.219,75.308,79.658,85.302,88.778,92.517,95.827,99.893,100,100.379,105.487,109.731,113.323,119.02
"74","67","    Research and development","Y073RA3",50.106,52.681,56.055,59.882,63.744,68.2,70.633,72.419,75.315,82.783,88.959,94.605,100,103.427,100.591,100.448,100.952,100.04
"75",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","68","  Government enterprise gross fixed investment","A882RA3",71.137,73.098,79.522,79.383,85.096,92.4,99.765,94.071,90.284,92.365,94.509,96.315,100,101.87,91.022,83.407,81.578,83.473
"77","69","    Federal","A883RA3",86.045,110.629,120.779,84.221,80.532,82.376,97.114,82.266,104.048,101.527,95.151,106.68,100,125.816,104.548,90.877,83.629,105.437
"78","70","      Structures","B884RA3",131.685,156.703,173.857,72.435,102.725,93.292,110.799,62.589,90.682,88.508,77.185,122.985,100,153.185,99.519,71.05,69.615,116.345
"79","71","      Equipment","Y074RA3",84.734,119.898,128.252,99.351,59.886,82.502,112.855,112.222,150.635,139.016,123.737,87.189,100,107.49,104.338,93.243,65.775,70.23
"80","72","      Intellectual property products","Y075RA3",54.077,67.818,74.382,83.844,82.904,77.401,78.084,82.366,86.102,89.932,95.447,101.166,100,106.474,110.903,113.577,113.879,116.522
"81","73","    State and local","A886RA3",69.71,69.088,75.112,78.879,85.567,93.422,100.067,95.236,89.149,91.625,94.465,95.507,100,100.012,89.965,82.812,81.389,81.808
"82","74","      Structures","B887RA3",76.362,73.249,78.725,83.746,90.899,97.213,102.419,96.884,90.999,93.83,97.127,96.364,100,100.651,90.052,81.995,79.539,79.728
"83","75","      Equipment","Y077RA3",38.613,47.126,54.898,53.185,57.638,72.418,85.775,84.152,76.837,77.223,77.234,89.775,100,95.873,88.931,87.552,93.156,95
"84","76","      Intellectual property products","Y078RA3",61.806,70.412,74.407,79.589,81.788,79.847,79.785,85.612,89.069,92.587,95.755,99.821,100,99.908,105.169,109.578,113.336,119.352
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Structures, software, and research and development include compensation of government employees engaged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
