"","Table 1#9#5# Net Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:25:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Net domestic product","A362RC1",94.2,82,67.9,51.2,49.2,58.4,65.8,76.1,83.3,77.4,83.4,92.4,117.3,151.1,185.1,203.2,205,202,220.7,243.4,240.5,266.8,309.5,327.1,346.3,345.2,377.3,396,415.9,419.6,457,475.4,492.7,531,560.6,603.4,655.7,719.7,758.2,829.2,895
"9","2","Business \1\","A363RC1",81.8,69.8,56.4,40.8,39.3,47.9,54.7,63.4,70.7,64,69.8,78.3,100.5,126.4,148.9,159.5,157.5,167.3,190.4,211.6,205.4,228.6,262,273.3,289.3,285.7,313.9,328.2,343.1,340.9,373.7,385.2,396.2,427.3,450,484.6,527.9,577.9,602.8,657.6,706.6
"10","3","  Nonfarm \2\","A364RC1",73.6,63.6,51.4,37.5,35.8,44.2,48.8,58.1,63.6,58.6,64.7,73.1,92.9,114.9,135.1,145.8,143.3,150.4,172.6,191.1,189.7,211.9,242.7,255,273.2,270.2,299.3,314,329.1,324.9,359.5,370.2,381,412,434.7,470.6,511.6,561,586.9,641.5,688.6
