"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:20:15 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Gross domestic product","A191RA3",13.416,13.401,13.388,13.598,13.798,14.022,14.101,14.116,13.923,13.876,14.029,13.903,14.457,14.894,15.468,15.767,15.983,16.26,16.595,16.632,16.808,16.843,16.965,17.521,17.847,17.987,17.886,17.614,17.533,17.551,17.75,18.096,18.613,18.916,19.17,19.286,19.211,19.37,19.354,19.671,19.797,19.753,19.946,19.741,19.23,19.356,19.804,20.267,20.644,21.146,21.105,21.188,21.66,21.578,21.632,21.37,21.515,21.915,22.281,22.732,23.142,23.391,23.614,23.706,23.969,24.282,24.756,24.933,25.472,25.775,26.125,26.217,26.864,27.231,27.784,28.44,29.142,29.261,29.47,29.722,29.995,30.021,30.281,30.524,31.144,31.67,31.898,32.04,32.538,32.643,32.847,32.704
"10","2","       Final sales of domestic product","A190RA3",13.386,13.475,13.579,13.595,13.642,13.715,13.743,13.853,13.907,14.086,14.081,14.134,14.36,14.745,15.268,15.137,15.595,15.685,16.21,16.454,16.598,16.877,16.729,17.28,17.65,17.793,17.757,17.663,17.563,17.629,17.806,18.095,18.441,18.679,18.953,19.003,18.973,19.19,19.205,19.536,19.712,19.644,19.795,19.79,19.305,19.415,19.697,20.081,20.463,20.801,21.03,20.965,21.198,21.41,21.4,21.508,21.547,21.781,21.966,22.462,22.742,23.119,23.306,23.498,23.613,24.022,24.466,24.707,25.227,25.537,25.854,25.942,26.362,26.837,27.344,28.069,28.55,28.7,28.951,29.048,29.36,29.679,29.851,30.126,30.749,31.063,31.512,31.714,32.041,32.206,32.372,32.383
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RA3",11.261,11.15,11.008,11.241,11.543,11.632,11.698,11.643,11.308,11.11,11.286,11.004,11.65,11.97,12.786,13.011,12.934,13.021,13.188,13.148,13.109,12.807,12.931,13.606,13.853,13.925,13.853,13.38,13.289,13.33,13.452,13.882,14.462,15.025,15.294,15.461,15.304,15.339,15.368,15.604,15.747,15.664,15.915,15.253,14.644,14.636,15.128,15.551,15.926,16.44,16.267,16.402,17.184,16.897,17,16.25,16.394,16.865,17.337,17.678,18.114,18.112,18.349,18.297,18.735,18.857,19.225,19.339,19.844,20.136,20.631,20.628,21.51,21.57,22.122,22.824,23.806,23.726,23.962,24.357,24.249,24.028,24.148,24.121,24.667,25.23,25.347,25.274,26.062,25.871,26.058,25.83
"13","5","    Final sales","A325RA3",10.985,11.041,11.085,11.008,11.062,10.913,10.898,10.994,11.057,11.222,11.141,11.154,11.258,11.488,12.206,11.733,12.047,11.833,12.301,12.596,12.508,12.606,12.291,12.941,13.255,13.331,13.366,13.198,13.079,13.198,13.281,13.606,13.888,14.331,14.626,14.679,14.601,14.733,14.814,15.071,15.294,15.172,15.346,15.038,14.488,14.451,14.654,14.934,15.309,15.533,15.822,15.701,16.059,16.28,16.272,16.175,16.134,16.311,16.462,16.873,17.076,17.294,17.464,17.588,17.759,18.048,18.356,18.58,19.042,19.341,19.767,19.756,20.219,20.47,20.929,21.741,22.308,22.286,22.593,22.7,22.666,22.978,22.938,22.971,23.513,23.68,24.197,24.236,24.693,24.619,24.732,24.796
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RA3",6.492,6.369,6.43,6.333,6.685,6.37,6.408,6.471,6.291,6.151,6.606,6.069,6.439,7.092,8.008,8.18,7.896,8.054,8.222,7.982,8.015,7.656,7.326,8.441,8.869,8.911,9.005,8.155,7.826,7.97,8.05,8.466,9.107,9.721,9.863,9.923,9.652,9.569,9.468,9.859,9.978,9.939,10.056,9.364,8.393,8.314,8.762,9.28,9.923,10.422,10.022,10.063,11.068,10.487,10.613,9.83,9.584,10.156,10.863,11.194,11.655,11.586,11.972,11.806,12.085,12.391,12.734,12.842,13.409,13.585,14.04,13.893,15.062,14.911,15.528,15.664,17.024,16.829,17.285,17.528,16.927,16.814,16.936,17.147,17.316,17.678,17.892,18.226,18.779,18.335,18.775,18.595
"16","8","    Final sales","A326RA3",5.937,5.889,5.874,5.995,6.136,5.916,5.937,5.975,5.927,6.123,6.127,6.092,6.129,6.348,7.314,6.811,7.028,6.767,7.077,7.336,7.351,7.374,6.846,7.642,8.034,8.131,8.231,7.942,7.679,7.84,7.79,8.022,8.347,8.782,9.067,8.975,8.725,8.844,8.902,9.13,9.327,9.165,9.263,9.013,8.402,8.273,8.341,8.619,9.049,9.249,9.495,9.25,9.6,9.835,9.853,9.673,9.53,9.695,9.894,10.276,10.488,10.695,10.853,11.021,11.137,11.389,11.695,11.973,12.293,12.485,12.798,12.786,13.383,13.522,13.983,14.491,15.187,15.024,15.374,15.533,15.354,15.637,15.58,15.626,16.049,16.141,16.602,16.64,17.181,16.933,17.094,16.963
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RA3",20.641,20.555,20.007,20.894,21.093,21.989,22.114,21.819,21.18,20.877,20.456,20.733,21.917,21.503,22.045,22.368,22.737,22.667,22.817,23.208,23.016,22.859,23.947,23.631,23.472,23.598,23.174,23.551,23.982,23.797,23.996,24.421,24.822,25.227,25.743,26.124,26.237,26.532,26.851,26.709,26.889,26.717,27.239,26.727,27.018,27.169,27.701,27.855,27.574,28.059,28.426,28.758,28.932,29.349,29.39,28.808,29.813,29.998,29.879,30.203,30.531,30.68,30.552,30.765,31.51,31.203,31.585,31.7,32.011,32.531,33.063,33.382,33.544,34.062,34.419,36.282,36.363,36.532,36.282,36.97,37.913,37.485,37.59,37.06,38.364,39.311,39.21,38.283,39.509,39.865,39.51,39.199
"19","11","    Final sales","A334RA3",21.298,21.577,21.748,21.244,21.108,21.117,21.027,21.243,21.552,21.632,21.364,21.485,21.734,21.959,22.006,21.665,22.166,22.087,22.863,23.205,22.888,23.148,23.364,23.6,23.694,23.711,23.591,23.722,23.954,23.962,24.341,24.841,24.984,25.389,25.663,26.051,26.398,26.54,26.662,26.947,27.194,27.192,27.52,27.122,26.818,27.011,27.507,27.746,27.918,28.165,28.506,28.711,29.021,29.171,29.102,29.224,29.438,29.613,29.624,30.034,30.18,30.39,30.56,30.554,30.832,31.16,31.426,31.486,32.215,32.726,33.354,33.346,33.423,33.903,34.294,35.704,35.902,36.204,36.378,36.355,36.654,36.995,36.999,36.999,37.747,38.067,38.649,38.691,38.904,39.232,39.227,39.72
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RA3",13.137,13.318,13.238,13.039,13.057,13.271,13.351,13.594,13.739,13.897,13.806,13.707,13.833,14.104,14.081,14.565,15.293,16.017,16.71,16.868,17.244,17.734,17.848,18.022,18.342,18.567,18.496,18.448,18.267,18.148,18.297,18.401,18.563,18.424,18.713,18.845,18.872,19.117,19.059,19.517,19.611,19.69,19.819,20.212,19.848,20.219,20.437,20.63,20.73,21.078,21.268,21.465,21.35,21.68,21.679,21.966,21.996,22.435,22.502,22.904,23.249,23.666,23.834,24.122,24.105,24.374,24.802,25.003,25.316,25.662,25.807,26.054,26.305,26.798,27.215,27.732,27.936,28.594,28.81,29.181,29.895,30.072,30.377,30.743,31.376,31.75,32.063,32.377,32.449,32.922,33.124,33.431
"22","14","Structures","A755RA3",24.389,24,26.241,29.223,29.318,30.994,31.086,30.141,29.274,29.505,31.137,32.863,35.083,37.71,39.461,38.734,38.074,36.745,35.872,35.8,36.737,37.151,37.162,38.706,39.632,39.72,39.16,39.701,40.632,41.482,42.753,43.733,45.903,46.588,46.114,45.389,45.479,46.138,45.99,45.721,45.806,45.227,45.09,45.271,45.185,44.63,46.024,48.753,51.136,52.285,51.821,50.198,51.713,50.455,50.357,51.157,52.186,50.913,52.328,54.004,54.227,55.6,55.915,55.761,56.279,58.866,60.46,60.929,63.406,63.063,63.27,62.898,63.838,66.16,67.389,68.095,69.553,66.706,66.311,63.571,63.668,65.006,66.12,67.957,68.627,69.64,70.049,70.767,71.666,71.374,71.603,68.26
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.228,41.701,40.889,41.364,48.128,50.701,49.029,50.881,51.763,47.384,51.945,47.807
"25","16","  Gross domestic product excluding motor vehicle output","A962RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.946,29.892,30.183,30.421,30.857,31.326,31.615,31.707,32.197,32.436,32.512,32.485
"26","17","  Final sales of computers \3\","BB01RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding final sales of computers","BB00RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","  Research and development","Y694RA3",4.144,4.18,4.251,4.35,4.445,4.528,4.578,4.563,4.457,4.427,4.468,4.555,4.763,4.929,5.042,5.083,5.019,5.064,5.181,5.412,5.774,6.06,6.38,6.732,6.993,7.25,7.478,7.686,7.896,8.046,8.14,8.255,8.263,8.566,9.026,9.714,10.572,11.306,11.861,12.294,12.494,12.718,12.959,13.159,13.33,13.474,13.772,14.054,14.302,14.587,14.775,15.051,15.566,16.058,16.378,16.644,17.008,17.506,17.953,18.348,18.696,19.2,19.758,20.442,21.286,22.055,22.715,23.207,23.615,24.052,24.46,24.877,25.392,25.963,26.602,27.38,28.169,28.905,29.554,30.072,30.489,30.833,31.196,31.554,31.944,32.277,32.56,32.834,33.02,33.12,33.054,32.783
"30","21","  Gross domestic product excluding research and development","Y695RA3",13.713,13.696,13.679,13.894,14.097,14.326,14.405,14.421,14.225,14.178,14.334,14.202,14.767,15.213,15.802,16.109,16.333,16.618,16.96,16.99,17.16,17.187,17.302,17.865,18.193,18.329,18.217,17.93,17.839,17.853,18.056,18.409,18.942,19.245,19.493,19.589,19.484,19.624,19.59,19.902,20.027,19.974,20.165,19.947,19.414,19.54,19.992,20.461,20.842,21.351,21.303,21.38,21.85,21.75,21.795,21.516,21.655,22.051,22.414,22.867,23.279,23.52,23.732,23.805,24.051,24.349,24.817,24.984,25.527,25.826,26.174,26.257,26.907,27.268,27.819,28.47,29.17,29.271,29.466,29.711,29.98,29.997,30.253,30.494,31.12,31.652,31.878,32.016,32.523,32.628,32.84,32.7
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Prior to 1959, inventories held by construction establishments are included in nondurable goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Beginning with 1959, these inventories are included in durable goods. Estimates for durable goods and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","nondurable goods for 1996 and earlier periods are based on the 1987 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","(SIC); later estimates for these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Includes government consumption expenditures, which are for services (such as education and national",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","defense) produced by government. In current dollars, these services are valued at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
