"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2016 9:31:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","Personal income","A065RC1",5413,5649,5937.3,6281,6667,7080.7,7593.7,7988.4,8637.1,8991.6,9153.9,9491.1,10052.9,10614,11393.9,12000.2,12502.2,12094.8,12477.1,13254.5,13915.1,14068.4,14694.2
"9","2","  Compensation of employees","A033RC1",3671.1,3820.7,4010.1,4202.6,4422.1,4714.7,5077.8,5410.3,5856.6,6046.5,6141.9,6364.5,6739.5,7086.8,7502.3,7898.3,8078.3,7787,7961.4,8269,8609.9,8839.7,9248.9
"10","3","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1241.4,1285.1,1346.7
"11","4","  Rental income of persons with capital consumption adjustment","A048RC1",64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,525.3,563.4,610.8
"12","5","  Personal income receipts on assets","W210RC1",982.1,988.6,1029.4,1114,1176.5,1258.5,1342.5,1329.7,1453.5,1441.3,1390.4,1420.5,1503.7,1666.5,1938.4,2166.6,2167.1,1818,1739.6,1913.9,2123.8,2060.4,2117.5
"13","6","    Personal interest income","A064RC1",793.1,783.9,794.2,856,874.3,920.5,987.1,983.3,1070.2,1072.2,991.8,988.2,941.7,1088.1,1214.7,1350.1,1361.6,1264.3,1195,1231.6,1288.8,1271.3,1302
"14","7","    Personal dividend income","B703RC1",189.1,204.7,235.2,258,302.2,337.9,355.4,346.4,383.3,369.2,398.6,432.3,562.1,578.3,723.7,816.5,805.4,553.7,544.6,682.2,834.9,789,815.5
"15","8","  Personal current transfer receipts","A577RC1",748,793,829,883.5,929.2,954.9,983.9,1026.2,1087.3,1192.6,1284.7,1347.3,1421.3,1516.7,1614.6,1728.1,1956.6,2147.5,2324.7,2360.5,2366.3,2426.6,2529.2
"16","9","    Government social benefits to persons","A063RC1",731.8,778.9,815.7,864.7,906.3,935.4,957.9,992.2,1044.9,1145.8,1250.5,1321.1,1404.6,1491,1593.1,1697.5,1920,2108.8,2281.7,2310.2,2323.6,2385.5,2487.2
"17","10","    Other current transfer receipts, from business (net)","B931RC1",16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,26.3,16.8,25.7,21.5,30.6,36.6,38.7,43,50.2,42.7,41.2,42
"18","11","  Less: Contributions for government social insurance, domestic","A061RC1",455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,779.3,829.2,873.3,922.6,961.4,988.2,964.4,984.1,917.8,951.6,1106.8,1159
"19","12","Less: Personal current taxes","W055RC1",612.8,648.8,693.1,748.4,837.1,931.8,1032.4,1112.1,1236.6,1239.3,1054.7,1005.3,1050.6,1213.2,1357.1,1493.2,1507.8,1152.3,1239.3,1453.2,1511.4,1672.8,1780.2
"20","13","Equals: Disposable personal income","A067RC1",4800.2,5000.2,5244.2,5532.6,5829.9,6148.8,6561.3,6876.3,7400.5,7752.3,8099.2,8485.8,9002.3,9400.8,10036.9,10507,10994.4,10942.5,11237.9,11801.4,12403.7,12395.6,12913.9
"21","14","Less: Personal outlays","A068RC1",4374.2,4632.6,4912.8,5179.6,5484.7,5796.7,6156,6573,7092.8,7417.1,7693.9,8076.2,8592.9,9157.7,9705.5,10197.2,10457.7,10275.1,10607.9,11091.2,11457,11805.7,12293.7
"22","15","  Personal consumption expenditures","DPCERC1",4215.7,4471,4741,4984.2,5268.1,5560.7,5903,6307,6792.4,7103.1,7384.1,7765.5,8260,8794.1,9304,9750.5,10013.6,9847,10202.2,10689.3,11050.6,11392.3,11865.9
"23","16","  Personal interest payments \1\","B069RC1",118.1,116,122,142.6,159.1,172.1,183.4,190.2,217.5,223.2,213,209.8,221.8,248.8,275.1,305.9,289.6,273.9,250.8,241.4,240.6,244.2,254.2
"24","17","  Personal current transfer payments","W211RC1",40.5,45.6,49.8,52.9,57.6,63.9,69.5,75.8,82.9,90.8,96.9,100.8,111.1,114.8,126.4,140.8,154.4,154.2,154.9,160.5,165.8,169.3,173.6
"25","18","    To government","W062RC1",26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.5,66.9,71.6,76.6,81,82.8,83.5,83.9,85.5,91.1,92.6,95.3
"26","19","    To the rest of the world (net)","B070RC1",14.5,17.1,18.9,20.3,22.6,25.7,29.7,31.8,34.1,37.9,40.5,40.3,44.2,43.2,49.7,59.8,71.7,70.7,71,75.1,74.7,76.6,78.3
"27","20","Equals: Personal saving","A071RC1",426,367.6,331.4,352.9,345.2,352.2,405.3,303.3,307.7,335.2,405.3,409.6,409.4,243.1,331.4,309.8,536.7,667.4,630,710.1,946.7,589.9,620.2
"28","21","    Personal saving as a percentage of disposable personal income","A072RC1",8.9,7.4,6.3,6.4,5.9,5.7,6.2,4.4,4.2,4.3,5,4.8,4.5,2.6,3.3,2.9,4.9,6.1,5.6,6,7.6,4.8,4.8
"29","22","Household income","W380RC1",5386.9,5623.7,5910.1,6247,6633.6,7045.8,7567.9,7961.1,8608.3,8973.1,9143.5,9483.3,10044.4,10598.4,11374,11981.4,12499.7,12090.6,12472.4,13250.5,13906.4,14062.6,14689.7
"30","23","  Compensation of employees","A033RC1",3671.1,3820.7,4010.1,4202.6,4422.1,4714.7,5077.8,5410.3,5856.6,6046.5,6141.9,6364.5,6739.5,7086.8,7502.3,7898.3,8078.3,7787,7961.4,8269,8609.9,8839.7,9248.9
"31","24","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1241.4,1285.1,1346.7
"32","25","  Rental income of households with capital consumption adjustment","W381RC1",62.8,91.9,115.4,126.6,144.1,148.8,166.2,179.3,183.9,203.3,212.6,233.3,250.6,233.6,202.5,183.8,255.9,326.4,394.8,476,515.7,553.8,600.7
