"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Billions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:21:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","3","Plus: Imports of goods and services","A021RX1",54.7,55.7,49.4,52.1,58.8,61.1,64.3,63.2,61.3,60.4,58,58.8,60.5,63.8,78.8,78.9,78.9,76.3,69.8,68,75.9,75.5,80.1,87.3,85.2,89.6,89.2,84.9,80,87.1,81.9,82.7,87.5,92.5,94.1,97.5,101.6,101,101.9,97.2,105,105.8,103.8,104.1,105.7,110.2,108.5,114.2,117.1,122.8,124,120.8,125.4,126.3,122.6,116.8,116.3,117.7,125.5,128.4,132.4,135.2,137,138.6,135.4,138.6,142.1,141.7,141.5,144.7,148.6,152.6,147.1,164.5,165.2,173.2,177.7,182.1,192.3,194.5,197.5,196,198.5,209,221.3,224.7,238.2,236.2,213.9,256.1,252.8,250
"12","4","Equals: Gross domestic purchases","A712RX1",1889.2,1890,1888.2,1939.7,1983.2,2030.9,2043.5,2048.5,2005,1998.2,2027.5,2024.1,2108.9,2176,2276.2,2313,2340,2366.9,2404.2,2408.2,2438.4,2457,2489.8,2580,2626.9,2652.1,2632.7,2590.9,2577.4,2575.2,2601.5,2648.3,2726.1,2779.4,2811.3,2831.8,2820.1,2834.4,2828.6,2863.4,2881.8,2880.9,2911,2885.6,2825.8,2848.9,2912.6,2987.4,3038,3113.8,3104.9,3117.4,3174.9,3154.2,3162.1,3114.1,3135.9,3198.6,3261.8,3326.7,3391.6,3416,3460.4,3479.3,3511,3541.1,3624.5,3641.3,3709.5,3754.4,3811.5,3823.7,3935,3973.5,4068,4158.6,4270.6,4283.6,4333.4,4365.9,4405.1,4409.3,4455.7,4496.1,4593.7,4670.2,4703.7,4725.7,4806.1,4815.8,4848.9,4816.3
"13","5","Less: Change in private inventories","A014RX1",5.5,-3.8,-14.9,-2.5,12.4,23.7,27.7,21.4,-2.2,-19.3,-4.2,-19.3,8.1,11.8,15.5,49.6,30.8,44.8,29.5,12.7,15.9,-3.9,17.6,17.7,14.3,14,8.5,-7.3,-6.5,-10.4,-8.3,-3.1,12.4,18.3,16.7,23,19.4,13.5,10.4,9.2,5,7.2,10.5,-9.8,-12.3,-10.7,5.4,14.2,11.5,29.2,3.5,17.1,42.8,12.2,17.3,-20.1,-9.2,7.9,26.2,21.8,34.4,21.6,25.4,15.1,29.6,19.5,23.2,16.9,18.1,17.3,20.8,19.9,45.5,32.8,36.9,29.7,52,50,44.5,61.2,57.3,25.2,33.9,33,30.1,52.8,28.8,23.9,40.1,33.5,38.7,21
"14","6","Equals: Final sales to domestic purchasers","A713RX1",1904.2,1920.7,1936.4,1959.6,1980.7,2006.3,2011.5,2030.6,2023.6,2050.3,2056.3,2079.6,2116.5,2176.4,2270.1,2243.6,2306.8,2306.3,2372.1,2406.9,2432.7,2487.6,2480.7,2570.9,2624.8,2651,2640.9,2625.1,2608.7,2613.6,2636.8,2675.7,2728.9,2773.2,2808.3,2819.4,2814.2,2837.1,2836,2873.3,2899.2,2894.7,2918.9,2922.9,2866.5,2887.3,2927,2990.8,3042.7,3094.9,3125.9,3116.5,3139.2,3161.9,3160.6,3167.1,3173.4,3212,3249,3321.1,3367.4,3411,3450.6,3484.6,3494.6,3539.4,3619.1,3645.7,3711.9,3758.2,3811,3822.5,3901.2,3956.3,4044.8,4146.8,4227,4244.7,4301.4,4311,4356.3,4404.3,4438.1,4483.7,4582.6,4628.4,4695.2,4726.4,4782,4800.8,4828.5,4818.8
"15",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",1949.8,1962.9,1977.9,1980.4,1987.1,1997.8,2001.8,2017.8,2025.8,2051.9,2051,2058.8,2091.8,2147.7,2224,2204.9,2271.6,2284.7,2361.2,2396.7,2417.7,2458.4,2436.7,2517,2570.9,2591.8,2586.5,2572.9,2558.3,2567.9,2593.7,2635.7,2686.1,2720.9,2760.7,2768.1,2763.7,2795.2,2797.4,2845.7,2871.3,2861.4,2883.4,2882.6,2812,2828,2869.1,2925.1,2980.6,3029.9,3063.3,3053.8,3087.7,3118.6,3117.2,3132.9,3138.6,3172.7,3199.7,3271.9,3312.7,3367.5,3394.8,3422.7,3439.6,3499.1,3563.8,3598.8,3674.7,3719.8,3766,3778.7,3839.9,3909.2,3983,4088.6,4158.7,4180.5,4217.1,4231.3,4276.7,4323.1,4348.2,4388.3,4479,4524.8,4590.2,4619.6,4667.2,4691.2,4715.4,4717
"17","8","  Final sales to private domestic purchasers \1\","LB0000031",1421.3,1433.6,1445.9,1468.5,1483.8,1497.1,1495.8,1501.9,1486.8,1496.4,1498.7,1526.7,1565,1613.1,1702.7,1655.1,1673.5,1620.7,1630.8,1635.9,1643.8,1675.2,1663.4,1735.1,1765.5,1776.8,1774.2,1761.7,1761.9,1785.8,1818.7,1857.2,1904.9,1950.2,1978.5,1999.8,1995.2,2004.9,2008.7,2028.4,2039.1,2038.2,2055.3,2048.8,2002.8,2006.3,2038.8,2084,2138.7,2178.4,2201.2,2197.9,2229.5,2243.5,2226.6,2228.2,2224,2257.8,2277.2,2328,2356.7,2393.2,2412.5,2438.4,2458,2498.6,2538.3,2570.6,2629.1,2664.7,2712.5,2723.4,2797.1,2838.2,2893,2971.2,3029.3,3028.9,3056.6,3049.2,3051.3,3099.8,3120,3154.5,3228.5,3265.7,3324.8,3353.1,3402.4,3423.3,3446.9,3452
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
