"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:25:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product (GDP)","A191RX1",1056.6,966.7,904.8,788.2,778.3,862.2,939,1060.5,1114.6,1077.7,1163.6,1266.1,1490.3,1771.8,2073.7,2239.4,2217.8,1960.9,1939.4,2020,2008.9,2184,2360,2456.1,2571.4,2556.9,2739,2797.4,2856.3,2835.3,3031,3108.7,3188.1,3383.1,3530.4,3734,3976.7,4238.9,4355.2,4569,4712.5
"9","2","Plus: Income receipts from the rest of the world","A645RX1",15.2,14.4,11.7,9.1,7.7,7,8.1,8.9,10.9,9.9,10.7,9.3,10.6,9.8,9.6,10.3,9.7,11.1,14.5,17.3,16.7,18.5,22.2,22.8,22.3,23.6,26.3,28.6,30.1,26.7,28.6,32.2,34.6,37.8,41,44.6,47.3,46.8,48.9,54.2,60.3
"10","3","Less: Income payments to the rest of the world","A655RX1",4.9,4.6,3.8,2.8,2.5,2.6,2.9,4.7,4.9,3.7,4.1,4.2,3.8,3.4,4.1,4.6,5.1,4,4.1,4.5,5.1,5.6,6.1,6.2,6.6,6.6,7.3,7.6,7.8,8,9.4,10.9,10.9,11,12.2,13.5,14.7,16.4,17.5,20.3,27.1
"11","4","Equals: Gross national product","A001RX1",1066.8,976.3,912.9,794.8,784,867.5,945.1,1066,1121.6,1084.8,1171.2,1272.8,1498.9,1780.9,2082.9,2249.1,2226.6,1971.2,1952.5,2035.2,2023.1,2199.6,2378.7,2475.4,2590.2,2576.7,2761,2821.3,2881.3,2857.3,3053.7,3133.3,3214.9,3413,3562.3,3768.4,4012.6,4273.4,4390.8,4607.1,4749.7
"12","5","Less: Consumption of fixed capital","A262RX1",102.3,104.7,104.8,102.5,100.1,98.5,99,100.7,103.9,105.7,107.2,109.9,116.6,130.3,151.5,176.1,191.9,194.6,192.3,192.6,194.9,198.8,206.4,217,229.6,241.6,252.6,264,275.7,288.7,298.2,307.6,319.4,333.1,348.8,365.7,385.5,408.8,433,456.7,480.6
"13","6","  Private","A024RX1",99,101,100.4,97.4,94.4,92.1,92.1,93.1,95.7,96.8,97.4,99.4,102.8,103.7,101.3,99.9,100.7,106,114.9,124.1,131.6,138.7,145.6,151.3,158.2,165.4,173.2,181.6,189.8,199,204.3,209,215.9,223.9,234,245.3,260.1,277.8,295.1,312.1,330.7
"14","7","  Government","A264RX1",9.2,9.8,10.4,10.9,11.4,11.8,12.3,13,13.7,14.5,15.3,16.2,19.5,32,55.7,83,99.5,96.5,83.8,73.7,67.4,63.4,63.9,69.3,75.7,81,84.3,87.4,91.1,95.1,99.7,105,110.4,116.6,122.8,128.7,133.9,139.6,146.8,153.8,159.2
"15","8","    General government","A265RX1",7.6,8,8.5,8.9,9.3,9.6,10.1,10.7,11.3,12,12.6,13.4,16.5,28.5,51.5,78,94.1,91.2,78.8,68.8,62.5,58.5,58.8,63.9,69.9,75,78,80.8,84.2,87.9,92.1,97,101.9,107.6,113.4,118.7,123.4,128.7,135.3,141.6,146.4
"16","9","    Government enterprises","A266RX1",2.2,2.3,2.5,2.7,2.8,2.8,2.9,3,3.2,3.3,3.5,3.7,3.9,4,4,4,3.9,4,4,4.1,4.3,4.5,4.7,5,5.3,5.5,5.7,6,6.3,6.6,6.9,7.3,7.8,8.2,8.7,9.1,9.6,10.1,10.7,11.3,12
"17","10","Equals: Net national product","A027RX1",974.4,880.2,815.7,697.9,689.6,776.8,855.6,977.2,1030.4,990.5,1077.8,1179.3,1404.7,1679.2,1965.1,2106.1,2063.2,1797.6,1781.1,1866.2,1850.8,2028.9,2205.1,2292,2394.9,2365.2,2542.6,2590.4,2637.3,2594.9,2787,2857.6,2927.1,3115.2,3250,3442.2,3670.2,3910.9,4002.1,4196.3,4314
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income (GDI) \1\","A261RX1",1049.2,971.3,896.2,784.6,771.3,857.4,942,1045.8,1115.1,1069.3,1147.6,1253,1486.6,1781.5,2092.5,2214.3,2180.7,1950.3,1917.4,2021.9,1996.2,2175,2336.7,2438.9,2546.5,2538,2725.5,2810.3,2858.6,2831.8,3030.1,3116.5,3193.6,3383.6,3538.8,3734.1,3972.6,4212.4,4338,4553.8,4705.1
"20","12","  Average of GDP and GDI \2\","LB0000091",1052.9,969,900.5,786.4,774.7,859.8,940.5,1053.1,1114.8,1073.5,1155.6,1259.6,1488.4,1776.7,2083.1,2226.8,2199.2,1955.7,1928.4,2021,2002.6,2179.5,2348.4,2447.5,2559,2547.4,2732.3,2803.8,2857.4,2833.5,3030.5,3112.6,3190.9,3383.3,3534.6,3734.1,3974.6,4225.6,4346.6,4561.3,4708.8
