"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"12","5","      Motor vehicles and parts","DMOTRA3",33.538,30.025,35.851,40.833,44.759,37.36,37.16,44.704,49.438,51.667,48.584,42.35,43.307,44.457,52.993,61.682,69.654,74.741,71.723,75.88,75.728,74.521,65.637,71.028,74.983,79.669,78.432,82.235,87.794,96.972,105.896,109.266,114.85,120.897,124.449,127.892,126.159,121.471,123.885,107.493,100,102.002,105.272,113.264,118.521,125.128,129.642
"13","6","      Furnishings and durable household equipment","DFDHRA3",21.651,21.623,22.59,24.936,27.587,27.477,26.045,27.642,30.154,31.74,33.041,31.771,31.162,29.78,32.328,35.569,37.475,40.547,42.263,43.806,46.041,45.411,44.349,45.86,48.217,50.788,53.124,55.426,58.022,62.807,70.089,76.848,80.755,86.651,92.83,101.644,108.402,113.912,114.79,109.561,100,107.037,113.216,118.187,124.538,132.593,140.887
"14","7","      Recreational goods and vehicles","DREQRA3",2.542,2.719,2.812,3.262,3.605,3.621,3.878,4.22,4.503,4.804,5.055,4.858,4.988,5.013,5.803,6.808,7.567,8.758,9.809,10.74,11.203,11.475,11.86,12.608,14.547,16.886,19.308,22.296,25.764,30.835,37.23,43.468,47.47,52.885,59.776,68.908,78.228,88.483,98.419,101.635,100,110.873,121.854,136.041,148.057,158.548,173.349
"15","8","      Other durable goods","DODGRA3",17.043,17.871,18.689,19.708,22.386,23.49,24.853,27.366,28.924,30.508,30.111,27.541,27.952,28.002,30.517,33.987,36.533,40.704,42.168,43.583,44.137,44.364,42.436,43.296,45.478,47.562,48.672,51.906,54.505,59.859,67.002,72.956,71.388,75.79,82.903,90.263,96.935,103.953,108.865,105.261,100,104.237,109.969,114.087,117.956,121.976,127.698
"16","9","    Nondurable goods","DNDGRA3",40.845,41.753,42.536,44.257,45.528,44.42,44.802,46.932,48.001,49.734,51.017,50.931,51.57,52.105,53.801,56.028,57.72,59.775,60.802,62.401,64.087,64.834,64.644,65.9,67.576,70.211,71.949,74.028,76.206,79.041,83.029,85.678,87.168,88.781,91.882,94.875,98.033,101.243,102.952,101.818,100,102.226,104.049,104.709,106.653,108.858,111.76
"17","10","      Food and beverages purchased for off-premises consumption","DFXARA3",58.647,60.286,61.004,62.221,61.137,59.904,60.985,63.975,64.921,64.638,65.537,66.212,65.988,67.268,68.968,70.355,72.431,73.91,73.438,75.378,76.318,77.899,77.802,77.499,78.132,80.309,80.723,81.533,82.243,83.389,86.774,88.907,90.131,90.528,92.636,94.78,98.397,101.411,102.769,101.547,100,102.145,103.271,103.338,104.348,104.88,104.966
"18","11","      Clothing and footwear","DCLORA3",21.637,21.388,22.288,23.874,25.592,25.103,25.736,26.922,28.364,31.353,33.179,34.208,36.386,36.991,39.524,42.795,44.704,48.054,49.836,51.302,54.018,53.645,53.682,56.533,58.941,62.243,64.8,67.943,70.177,74.456,79.345,83.184,83.971,86.535,90.805,94.996,100.089,103.571,105.678,105.159,100,105.274,109.395,110.561,112.06,113.674,117.332
"19","12","      Gasoline and other energy goods","DGOERA3",70.806,73.51,76.076,79.933,84.526,77.646,79.451,83.706,85.208,86.581,84.082,76.648,75.654,75.778,77.446,79.539,81.078,85.202,86.83,89.302,90.729,89.102,88.379,91.908,94.212,95.719,97.505,99.047,101.046,103.877,106.264,103.492,103.393,104.198,104.309,105.199,104.744,104.545,104.337,99.614,100,99.199,96.431,94.908,96.565,97.282,100.488
"20","13","      Other nondurable goods","DONGRA3",29.601,30.587,30.717,32.205,34.386,34.266,33.153,34.549,35.091,37.574,39.751,40.447,41.362,41.214,42.261,44.567,45.764,46.798,48.527,49.64,51.302,52.606,52.318,53.374,55.314,58.112,60.487,63.169,66.643,70.151,74.41,78.131,80.579,82.998,87.15,90.963,94.073,98.67,101.349,101.738,100,102.31,106.023,108.168,111.31,116.068,121.275
"21","14","  Services","DSERRA3",28.011,29.113,30.121,31.853,33.364,34.009,35.289,36.807,38.332,40.107,41.331,41.998,42.727,43.58,45.849,47.621,50.123,51.737,54.063,56.496,58.293,60.045,61.026,63.495,65.449,67.461,69.48,71.518,73.804,77.203,80.192,84.219,86.199,87.812,89.748,92.6,95.561,98.166,100.119,100.903,100,101.19,103.051,103.905,104.941,107.462,110.43
"22","15","    Household consumption expenditures (for services)","DHCERA3",29.686,30.832,31.875,33.715,35.359,36.084,37.48,39.072,40.721,42.605,43.902,44.561,45.242,45.933,48.171,49.849,52.427,53.953,56.321,58.677,60.331,61.807,62.572,64.777,66.663,68.59,70.602,72.608,75.205,78.546,81.483,85.476,87.294,88.631,90.435,93.356,96.467,98.733,100.67,100.982,100,101.206,103.192,103.795,104.793,107.328,110.395
"23","16","      Housing and utilities","DHUTRA3",33.425,34.708,36.203,38.139,39.922,41.809,43.149,44.37,45.605,47.775,49.472,51.179,51.939,52.339,53.438,55.23,57.409,58.783,60.397,62.455,64.016,65.224,66.638,67.991,69.838,72.123,74.318,76.036,77.663,80.056,82.428,85.089,87.35,87.923,89.101,91.33,95.076,96.927,97.862,98.889,100,101.237,102.499,102.56,103.075,104.263,105.149
"24","17","      Health care","DHLCRA3",26.686,28.119,30.142,32.206,34.522,35.709,37.547,39.191,41.092,42.975,44.422,45.7,47.903,48.019,49.454,50.255,51.789,53.406,55.626,57.813,58.474,60.443,61.601,63.46,63.782,64.281,65.613,66.969,69.049,71.292,72.405,74.894,78.628,83.298,85.568,88.625,91.585,93.724,96.058,98.245,100,101.34,103.869,106.12,107.158,110.091,115.311
"25","18","      Transportation services","DTRSRA3",35.459,36.699,38.252,40.449,41.122,41.351,41.908,44.002,47.111,48.247,49.704,46.758,45.018,44.038,47.357,52.909,58.454,60.996,63.498,67.166,68.676,68.604,65.346,68.651,72.538,79.414,85.4,92.399,99.369,103.719,109.586,114.873,114.097,110.744,111.479,114.439,115.536,115.821,117.023,110.904,100,99.107,101.531,103.28,106.56,111.791,117.476
"26","19","      Recreation services","DRCARA3",17.077,17.684,18.289,19.261,20.9,22.314,23.465,25.083,26.669,27.963,29.325,30.316,32.888,34.483,37.428,39.915,42.801,44.781,46.815,51.262,54.46,56.821,56.415,60.145,63.938,67.207,72.32,75.589,77.989,80.448,84.262,86.69,86.549,87.048,89.987,94.624,96.988,100.379,104.275,103.45,100,101.318,103.614,105.691,107.59,110.679,112.734
"27","20","      Food services and accommodations","DFSARA3",39.247,40.607,40.564,43.661,45.839,45.419,47.308,50.161,51.502,53.685,55.35,55.375,55.927,56.297,58.147,59.757,60.553,62.303,65.559,69.459,71.378,73.919,73.966,75.85,77.532,78.721,78.862,79.323,81.018,83.132,85.179,89.059,88.893,90.236,93.548,97.314,100.794,104.053,105.373,104.294,100,101.545,104.152,106.85,108.517,111.784,116.914
"28","21","      Financial services and insurance","DIFSRA3",17.611,18.261,18.929,20.03,21.181,21.693,23.767,25.062,26.624,27.976,28.833,29.199,28.963,31.23,35.72,36.055,39.959,41.819,44.168,45.131,47.565,48.665,52.783,56.5,60.473,61.898,63.987,66.257,69.715,75.856,83.269,91.694,89.849,89.252,89.446,93.015,97.932,100.154,103.28,102.569,100,102.083,103.922,98.252,99.302,100.543,101.576
"29","22","      Other services","DOTSRA3",34.764,35.884,36.03,37.598,38.662,37.42,37.726,39.165,41.087,43.262,43.646,43.401,43.185,44.083,46.962,49.319,52.736,53.316,57.059,59.353,61.198,62.261,60.02,62.388,63.753,66.242,67.612,69.95,73.909,79.435,81.859,87.652,91.498,91.989,94.551,96.777,97.882,100.801,102.903,102.627,100,100.581,102.504,104.058,104.351,108.522,112.271
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",5.24,5.568,5.893,6.196,6.248,6.149,6.183,6.559,6.673,6.985,7.22,7.595,8.226,9.65,11.201,13.04,14.075,15.982,17.252,19.834,22.811,27.766,31.714,38.301,41.443,45.073,47.225,49.921,45.951,50.456,54.38,58.925,63.79,70.346,74.748,76.198,76.063,85.722,88.005,99.124,100,100.821,99.697,106.646,108.634,110.786,111.372
"31","24","      Gross output of nonprofit institutions \2\","DNPERA3",23.098,24.276,26.005,27.489,28.277,28.645,29.742,31.341,32.543,34.327,35.296,36.359,37.862,39.496,40.995,42.423,43.895,46.063,47.925,50.511,52.342,55.48,57.527,60.636,62.138,63.474,64.321,65.963,66.913,70.125,72.512,75.264,78.863,83.542,85.256,87.489,89.66,93.149,95.304,98.382,100,101.255,102.283,105.271,106.549,108.032,110.76
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",36.036,37.714,40.585,42.988,44.543,45.592,47.872,50.334,52.613,55.63,57.108,58.442,60.123,60.538,60.798,60.747,62.063,63.616,65.472,67.264,67.608,68.847,69.438,70.441,71.103,71.369,71.634,72.817,75.903,78.513,80.165,82.041,84.987,88.722,89.221,91.771,94.863,95.928,98.034,98.117,100,101.402,103.143,104.847,105.899,107.167,110.596
"33","26","Gross private domestic investment","A006RA3",33.176,31.159,34.37,38.242,42.426,39.616,33.199,39.534,45.175,50.401,52.167,46.918,51.048,44.39,48.532,61.778,61.738,61.836,63.593,65.163,67.802,66.055,61.699,66.218,71.513,79.988,82.573,89.807,100.046,109.596,118.809,126.484,118.813,118.11,122.926,133.716,142.302,145.361,140.787,127.574,100,112.901,118.758,131.288,137.226,144.702,151.874
"34","27","  Fixed investment","A007RA3",30.042,29.426,31.446,35.032,38.035,35.92,32.397,35.582,40.407,45.088,47.685,44.85,46.055,42.976,46.212,53.693,56.649,57.674,58.03,59.945,61.846,60.955,57.819,60.986,65.663,71.036,75.378,82.06,89.128,98.245,106.922,114.343,112.555,108.662,113.023,120.644,128.892,131.436,128.825,120.087,100,101.504,107.947,118.499,123.507,130.018,135.251
"35","28","    Nonresidential","A008RA3",21.846,21.652,21.642,23.528,26.64,26.858,24.44,25.821,28.601,32.554,35.806,35.813,38.01,36.648,36.486,42.568,45.376,44.594,44.634,46.867,49.52,50.055,48.09,49.494,53.201,57.401,62.965,68.695,76.09,84.273,92.449,100.871,98.467,91.708,93.428,98.281,105.143,112.618,119.282,118.428,100,102.471,110.335,120.246,123.895,131.517,135.272
"36","29","      Structures","B009RA3",71.777,71.975,70.799,73.001,78.971,77.272,69.157,70.832,73.744,84.387,95.087,100.652,108.721,106.943,95.387,108.686,116.407,103.654,100.671,101.336,103.346,104.867,93.199,87.577,87.34,88.941,94.607,99.969,107.305,112.803,112.929,121.74,119.895,98.708,94.895,94.502,96.125,103.03,116.164,123.271,100,83.585,85.509,96.55,98.052,106.027,104.343
"37","30","      Equipment","Y033RA3",18.627,18.296,18.445,20.796,24.644,25.156,22.522,23.906,27.616,31.789,34.391,32.873,34.095,31.502,32.964,39.359,41.52,41.996,42.148,44.928,47.307,46.326,44.202,46.827,52.773,59.238,66.4,72.724,80.814,91.418,102.813,112.824,107.97,102.129,105.388,113.483,124.413,135.152,139.426,129.766,100,115.892,131.601,145.776,150.473,159.269,164.205
"38","31","        Information processing equipment","Y034RA3",1.221,1.351,1.442,1.649,1.953,2.234,2.16,2.477,3.083,4.035,4.86,5.665,6.551,6.616,7.685,9.756,10.711,11.498,12.002,13.103,14.377,14.572,14.869,17.034,19.374,22.046,26.547,32.073,38.682,47.848,58.363,70.432,69.588,66.341,72.544,79.877,86.77,97.989,109.288,109.733,100,109.903,111.637,118.342,122.772,127.457,133.68
"39","32","          Computers and peripheral equipment","B935RA3",0.006,0.008,0.01,0.016,0.017,0.023,0.023,0.034,0.05,0.098,0.159,0.251,0.39,0.398,0.605,0.989,1.241,1.427,1.793,2.049,2.491,2.462,2.674,3.658,4.688,5.826,8.785,12.685,18.395,26.741,37.994,46.072,47.221,49.505,54.358,60.983,67.909,83.765,94.749,100.367,100,110.275,108.052,115.2,119.792,115.886,115.008
"40","33","          Other","A937RA3",8.376,9.025,9.133,9.682,11.738,12.985,12.469,13.653,16.424,19.581,21.986,23.652,25.011,25.182,26.467,30.14,31.1,32.369,31.069,33.209,34.702,35.579,35.362,37.508,40.408,44.167,47.536,52.078,56.557,63.672,70.986,85.428,82.813,75.285,82.152,89.651,96.283,104.573,115.927,113.882,100,109.75,113.088,119.62,123.986,132.072,141.103
"41","34","        Industrial equipment","A680RA3",65.178,66.103,60.712,65.461,77.394,83.338,70.661,71.01,75.258,83.734,89.719,85.861,84.497,77.188,71.061,81.327,85.083,84.686,82.579,86.723,92.771,87.407,81.807,83.301,90.373,98.433,108.037,112.045,114.463,119.446,120.182,130.563,120.935,112.812,113.264,111.199,120.745,130.907,135.016,128.531,100,99.504,120.511,131.381,128.077,137.393,143.828
"42","35","        Transportation equipment","A681RA3",110.046,90.293,97.519,113.293,136.243,123.322,106.243,118.122,143.558,158.661,165.631,135.212,131.482,116.497,131.178,156.26,162.384,156.179,148.506,157.248,141.758,139.853,136.026,139.143,165.782,194.317,208.954,215.885,231.45,250.301,295.3,289.275,262.064,236.999,219.384,250.074,280.467,301.256,288.502,222.281,100,194.038,259.389,310.244,344.559,385.121,411.298
"43","36","        Other equipment","A862RA3",44.537,46.459,46.315,52.489,61.336,60.55,56.065,56.522,63.592,70.051,71.426,64.202,65.934,57.048,54.972,62.251,62.845,61.701,63.437,66.499,74.227,71.414,61.025,60.7,66.453,71.808,75.675,78.558,86.151,94.959,97.462,102.94,102.154,101.39,108.293,116.211,127.385,132.608,131.036,124.726,100,108.56,120.372,133.889,134.535,135.772,128.911
"44","37","      Intellectual property products","Y001RA3",8.762,8.751,8.786,9.399,9.872,10.158,10.248,11.36,12.108,12.968,14.483,15.203,16.859,17.899,19.313,21.952,23.927,25.595,26.6,28.493,31.838,34.522,36.738,38.949,40.585,42.227,45.297,50.409,56.984,63.14,70.996,77.334,77.686,77.309,80.261,84.384,89.849,93.926,98.445,101.43,100,101.887,105.506,109.603,113.791,119.708,126.584
"45","38","        Software \4\","B985RA3",0.551,0.703,0.747,0.877,0.997,1.166,1.368,1.486,1.548,1.834,2.284,2.695,3.133,3.618,4.264,5.391,6.404,7.164,8.167,9.735,12.545,14.786,16.746,19.675,21.999,24.161,26.576,31.181,40.374,48.784,60.168,68.486,68.978,68.884,73.586,80.971,86.14,89.704,95.095,99.785,100,99.011,105.836,111.633,115.211,122.672,130.115
"46","39","        Research and development \5\","Y006RA3",21.347,21.429,21.401,22.403,23.903,24.001,23.611,25.104,26.446,28.515,30.626,32.673,34.777,36.593,38.647,42.601,46.251,48.161,49.083,51.101,54.414,57.298,59.879,60.045,59.682,59.67,62.729,68.245,72.05,75.681,80.293,84.29,85.401,83.167,82.566,83.413,88.33,93.878,99.501,102.839,100,102.351,103.336,106.049,111.49,116.5,123.692
"47","40","        Entertainment, literary, and artistic originals","Y020RA3",26.456,23.189,22.878,24.625,23.566,23.885,23.116,29.371,32.768,32.223,36.969,33.501,40.458,40.777,42.998,47.935,47.705,52.68,51.811,52.336,54.707,56.649,57.246,60.014,63.252,66.604,72.116,77.346,79.616,83.357,85.886,90.975,88.214,92.608,99.564,101.055,109.5,110.661,107.957,102.97,100,111.553,112.25,114.876,116.645,119.999,123.343
"48","41","    Residential","A011RA3",71.861,68.11,86.247,101.215,100.565,80.844,71.088,86.803,104.603,111.582,107.399,84.928,77.941,63.821,90.616,103.989,106.372,119.566,121.918,120.841,116.931,106.999,97.465,110.901,119.977,130.74,126.313,136.63,139.942,152.035,161.577,162.641,164.103,174.043,189.815,208.773,222.467,205.631,166.934,126.886,100,97.496,98.032,111.276,121.876,124.014,134.837
"49","42","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","44","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","  Exports","B020RA3",10.646,11.781,11.986,12.919,15.354,16.567,16.462,17.181,17.595,19.45,21.377,23.68,23.972,22.14,21.569,23.329,24.109,25.963,28.79,33.457,37.329,40.622,43.309,46.31,47.827,52.056,57.406,62.103,69.501,71.125,73.006,79.259,74.628,73.341,74.635,81.914,87.036,94.9,103.694,109.642,100,111.895,119.561,123.646,127.105,131.404,132.839
"54","47","    Goods","B253RA3",10.167,11.307,11.296,12.524,15.594,16.92,16.57,17.423,17.757,19.601,21.676,24.341,24.184,22.136,21.418,22.937,23.743,25.023,28.07,33.06,36.838,39.994,42.678,45.893,47.384,51.925,57.967,63.129,72.274,73.846,76.93,84.707,79.494,76.78,78.221,84.92,91.122,99.709,107.168,113.746,100,114.38,121.823,126.2,129.777,135.48,135.136
"55","48","    Services","B646RA3",12.247,13.349,14.324,14.264,14.513,15.303,16.207,16.381,17.119,19.037,20.39,21.243,23.322,22.303,22.258,24.879,25.577,29.25,31.462,35.205,39.428,43.186,45.929,48.401,50.022,53.515,57.143,60.726,63.921,65.694,64.786,67.802,64.4,66.145,67.129,75.66,78.508,84.863,96.462,101.082,100,106.77,114.921,118.388,121.602,123.012,127.846
"56","49","  Imports","B021RA3",12.263,12.787,13.469,14.985,15.68,15.325,13.622,16.285,18.065,19.631,19.957,18.631,19.124,18.883,21.265,26.442,28.158,30.564,32.373,33.644,35.126,36.382,36.328,38.875,42.236,47.274,51.056,55.496,62.971,70.331,77.463,87.547,85.064,88.181,92.119,102.63,109.129,116.028,118.951,115.907,100,112.716,118.883,121.534,122.812,127.516,133.816
"57","50","    Goods","B255RA3",10.866,11.292,12.239,13.904,14.885,14.471,12.648,15.508,17.397,18.958,19.283,17.851,18.219,17.761,20.174,25.055,26.622,29.351,30.712,31.956,33.332,34.302,34.457,37.706,41.479,47.018,51.253,56.058,64.137,71.736,80.923,91.518,88.563,91.876,96.397,107.159,114.311,121.069,123.302,118.711,100,114.869,121.496,124.013,125.215,130.575,136.844
"58","51","    Services","B656RA3",19.391,20.403,19.822,20.662,19.965,19.943,19.078,20.395,21.412,22.938,23.254,22.735,24.066,25.346,27.394,34.263,36.871,37.283,41.678,43.091,45.179,48.129,46.877,45.611,46.828,49.321,50.807,53.463,58.11,64.432,62.471,70.353,69.9,72.183,73.71,83.078,86.821,94.297,100.156,103.91,100,103.79,107.976,111.251,112.879,114.729,121.138
"59","52","Government consumption expenditures and gross investment","B822RA3",48.171,47.189,46.323,46.103,45.954,46.999,48.034,48.285,48.856,50.297,51.232,52.199,52.703,53.674,55.731,57.727,61.637,64.992,66.911,67.812,69.764,72.004,72.865,73.228,72.62,72.693,73.08,73.781,75.169,76.738,79.366,80.872,83.921,87.591,89.485,90.907,91.489,92.884,94.345,96.946,100,100.074,97.031,95.224,92.418,91.88,92.539
"60","53","  Federal","B823RA3",56.034,52.6,49.245,47.695,45.987,46.309,46.554,46.644,47.658,48.859,50.003,52.185,54.528,56.558,60.242,62.246,67.181,71.136,73.814,72.848,74.053,75.634,75.621,74.524,71.925,69.378,67.554,66.758,66.222,65.656,66.959,67.154,69.792,74.801,79.902,83.529,84.982,87.123,88.586,94.631,100,104.35,101.538,99.657,93.959,91.676,91.417
"61","54","    National defense","B824RA3",69.292,63.637,57.169,53.224,50.505,50.025,49.537,49.304,49.781,50.184,51.536,53.528,56.867,60.967,65.392,68.822,74.873,80.065,84.125,83.915,83.71,83.925,83.1,79.402,75.391,71.73,68.873,67.804,65.962,64.581,65.579,64.984,67.234,71.967,78.073,82.795,84.427,86.114,88.245,94.9,100,103.203,100.854,97.447,90.905,87.417,86.34
"62","55","      Consumption expenditures","A997RA3",82.458,75.8,70.102,65.68,61.162,59.506,58.273,57.049,57.392,57.82,58.337,60.035,63.023,66.523,69.535,71.283,75.059,79.065,81.91,83.798,84.323,84.656,85.95,82.392,79.627,76.13,73.111,71.829,70.774,68.85,70.01,69.013,70.986,74.836,80.653,84.779,85.721,86.577,87.964,94.034,100,103.705,102.112,99.67,93.023,89.5,88.66
"63","56","      Gross investment","B788RA3",38.612,35.317,27.63,24.848,25.884,27.809,28.875,30.682,31.407,31.737,34.738,37.266,41.248,46.523,53.918,60.983,72.001,79.785,86.656,81.212,79.173,79.079,72.812,68.872,61.726,57.764,55.43,54.952,51.083,51.202,51.734,52.259,55.256,62.538,69.494,76.111,80.019,84.525,89.238,97.948,100,101.432,96.386,89.523,83.353,79.987,78.058
"64","57","    Nondefense","B825RA3",33.441,33.759,35.636,38.197,38.272,40.026,41.57,42.234,44.209,46.855,47.632,50.183,50.692,48.847,51.165,50.47,53.344,55.011,55.135,52.761,56.576,60.687,62.167,65.841,65.81,65.269,65.295,64.986,66.783,67.668,69.514,71.117,74.449,79.958,83.251,84.888,86.015,88.993,89.219,94.135,100,106.447,102.79,103.704,99.544,99.444,100.657
"65","58","      Consumption expenditures","A542RA3",31.613,32.852,35.757,38.976,39.033,41.61,43.429,43.254,44.992,46.731,47.565,50.827,52.059,51.087,54.631,52.857,55.931,57.835,56.338,53.109,57.544,61.602,61.97,65.617,64.952,65.63,65.005,63.678,66.402,66.037,66.819,69.504,73.477,79.043,82.418,84.39,85.525,88.18,88.103,93.554,100,105.859,100.948,103.089,99.23,99.594,100.546
"66","59","      Gross investment","B798RA3",37.217,35.788,35.658,36.921,37.033,37.162,38.175,40.507,42.971,47.455,48.124,49.28,48.364,44.788,44.722,46.149,48.649,49.853,53.251,52.576,55.181,59.44,63.211,66.981,68.309,65.09,66.561,68.538,68.222,72.037,76.424,75.411,77.174,82.56,85.644,86.378,87.483,91.374,92.474,95.838,100,108.186,108.287,105.515,100.45,98.943,100.961
"67","60","  State and local","B829RA3",41.177,42.358,43.688,44.656,45.916,47.605,49.331,49.724,49.905,51.557,52.31,52.23,51.163,51.228,51.896,53.885,56.93,59.784,61.087,63.439,65.951,68.672,70.183,71.633,72.508,74.518,76.542,78.347,81.14,84.258,87.829,90.261,93.591,96.312,95.933,95.798,95.774,96.657,98.115,98.452,100,97.293,94.1,92.341,91.383,91.953,93.192
"68","61","    Consumption expenditures","A991RA3",39.149,41.524,43.597,45.243,46.788,48.876,51.261,51.995,52.994,54.063,54.395,54.211,53.974,54.829,55.529,56.695,59.243,61.928,63.19,65.42,67.788,70,71.512,73.111,74.364,76.411,78.234,79.688,81.806,85.138,88.018,89.865,92.904,95.436,94.827,94.919,95.466,96.179,97.729,97.945,100,97.438,94.83,93.98,93.571,94.204,94.881
