"","Table 1#9#4# Price Indexes for Net Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2016 9:23:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Net domestic product","A362RG3",20.985,22.101,23.221,24.233,25.554,27.766,30.244,31.887,33.816,36.147,39.104,42.588,46.573,49.422,51.601,53.611,55.487,56.619,58.076,60.162,62.638,65.132,67.448,69.21,70.965,72.523,74.013,75.545,77.016,78.013,79.241,81.111,83.148,84.626,86.492,88.911,91.62,94.336,96.92,98.864,100,101.471,103.655,105.632,107.341,109.023
"9","2","Business \1\","A363RG3",24.46,25.501,26.564,27.482,28.943,31.74,34.695,36.477,38.584,41.245,44.717,48.685,53.14,56.15,58.313,60.17,61.997,62.82,64.046,66.09,68.617,71.019,73.145,74.488,76.367,77.783,79.148,80.57,81.927,82.514,83.124,84.754,86.432,87.189,88.585,90.693,93.44,95.894,98.118,99.522,100,101.366,103.637,105.669,107.318,108.809
"10","3","  Nonfarm \2\","A364RG3",23.781,24.82,25.877,26.663,27.594,30.443,33.621,35.438,37.61,40.052,43.424,47.593,52.151,55.4,57.402,59.203,61.337,62.204,63.413,65.346,67.819,70.268,72.551,73.94,75.821,77.3,78.645,79.887,81.468,82.13,82.899,84.635,86.228,87.081,88.365,90.279,93.288,95.835,97.743,99.15,100,101.179,103.002,105.007,106.635,108.313
