"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Index numbers, 2009=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 29, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2014 1:10:49 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","S1 PN04472AMG       Retail and food services","T070013",80.742,82.374,83.849,85.125,86.817,87.6,86.808,87.863,90.073,90.504,90.182,90.703,92.696,95.242,97.188,98.969,101.892,100,102.295,106.325,107.986,107.964
"9","2","S1 PN44ZZZZMG Retail trade","T070023",82.985,84.68,86.212,87.461,89.155,89.786,88.655,89.612,91.856,92.038,91.418,91.807,93.751,96.292,98.152,99.76,102.546,100,102.442,106.685,108.186,107.889
"10","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",84.147,87.216,90.75,94.077,95.784,96.222,95.818,96.725,97.622,98.545,98.554,96.949,96.821,98.609,99.579,99.921,99.237,100,104.668,107.714,109.419,110.201
"11","4","S4 PN4411ZZMG     Automobile dealers","T070043",84.994,88.663,92.717,96.462,98.379,98.903,98.453,99.446,100.323,101.121,100.962,98.956,98.655,100.384,100.965,100.961,99.554,100,105.209,108.234,109.859,110.671
"12","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",81.966,83.151,85.516,87.872,88.98,88.881,89.068,90.462,91.929,93.02,93.098,92.759,93.529,95.588,97.826,98.708,99.423,100,102.519,105.294,106.907,108.054
"13","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",77.902,77.048,76.991,77.455,77.799,77.807,77.485,77.439,78.175,80.09,81.583,82.712,83.479,85.596,89.058,92.147,96.642,100,101.813,105.189,107.631,107.908
"14","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",155.661,157.622,161.911,162.338,161.994,159.446,154.491,147.224,141.937,134.883,128.952,122.752,118.812,115.119,111.547,107.59,103.963,100,94.498,90.57,86.615,82.873
"15","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",99.289,100.363,102.595,103.445,104.517,104.794,105.358,105.105,105.323,104.589,103.206,101.221,100.825,100.885,101.389,100.708,100.172,100,96.345,95.344,94.759,92.868
"16","9","S4 PN4421ZZMG       Furniture Stores","T070093",101.164,102.768,105.446,106.562,107.911,107.857,107.697,107.353,106.967,105.321,103.297,101.977,101.761,101.044,101.877,101.088,100.12,100,95.895,94.748,95.487,93.957
"17","10","S4 PN4422ZZMG       Home furnishings stores","T070103",97.178,97.486,99.102,99.597,100.309,101.015,102.513,102.373,103.331,103.714,103.115,100.347,99.742,100.707,100.832,100.274,100.231,100,96.878,96.05,93.931,91.643
"18","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",248.257,251.901,260.118,259.339,255.691,247.073,230.531,209.503,193.775,175.367,161.822,149.016,139.758,130.821,122.01,114.243,107.422,100,92.926,86.612,80.032,74.911
"19","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",86.869,94.193,96.641,96.663,97.784,100.044,97.053,97.029,96.494,95.8,94.855,94.694,97.861,99.818,100.658,100.867,100.891,100,99.841,100.991,102.787,104.257
"20","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",85.633,94.08,96.534,96.231,96.474,99.205,96.788,97.247,96.137,95.031,94.35,94.23,97.849,99.919,100.782,100.965,100.99,100,100.066,101.32,103.404,105.218
"21","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",94.892,95.426,97.852,99.948,106.738,106.033,99.529,96.536,99.707,101.847,98.967,98.488,98.122,99.153,99.784,100.216,100.237,100,98.444,98.993,99.248,98.991
"22","15","S1 PN445ZZZMG   Food and beverage stores","T070153",65.333,66.408,67.345,68.626,70.953,72.441,73.618,75.479,77.581,79.955,81.346,82.978,85.847,87.656,89.189,92.644,98.371,100,101.152,105.367,108.189,109.389
"23","16","S1 PN4451ZZMG     Grocery stores","T070163",64.942,66.044,67.031,68.357,70.711,72.179,73.371,75.217,77.301,79.706,81.075,82.717,85.641,87.497,89.045,92.577,98.489,100,101.204,105.683,108.666,109.853
"24","17","S3 PN4452ZZMG     Specialty food stores","T070173",65.647,66.795,68.044,69.436,71.983,73.581,74.738,75.97,77.639,80.156,81.432,83.247,86.27,87.868,89.36,93.029,99.242,100,100.462,105.072,107.771,109.03
"25","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",70.954,71.522,71.439,71.926,73.667,75.399,76.347,78.731,81.307,83.157,84.918,86.317,88.314,89.604,90.955,93.325,96.539,100,100.824,101.706,102.684,103.997
"26","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",118.185,117.66,116.283,113.948,112.347,111.65,109.398,107.847,106.426,104.914,102.289,99.625,99.275,98.426,98.601,98.711,99.093,100,99.731,102.206,105.099,105.617
"27","20","S2 PN4481ZZMG     Clothing stores","T070203",122.744,122.024,120.07,117.119,115.676,115.546,113.332,112.231,111.09,109.04,106.092,103.228,102.683,101.314,100.987,100.354,99.436,100,99.192,101.081,104.363,104.691
"28","21","S2 PN4482ZZMG     Shoe stores","T070213",106.546,106.762,105.73,104.244,103.482,103.339,102.271,99.831,98.354,97.555,96.228,94.76,94.596,96.989,97.626,96.812,98.062,100,100.693,101.248,103.991,106.347
"29","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",107.393,106.945,107.749,107.189,104.174,100.706,97.245,94.791,92.413,92.415,90.054,87.277,87.574,86.413,88.343,92.415,98.216,100,101.843,109.425,110.28,110.204
"30","23","S1 PN452ZZZMG   General merchandise stores","T070233",94.722,94.927,95.066,94.933,95.656,95.918,95.49,95.499,95.685,95.732,95.077,94.425,95.249,95.971,96.958,98.11,100.139,100,98.957,99.97,100.356,99.05
"31","24","S1 PN4521ZZMG     Department stores","T070243",106.124,106.14,106.224,105.525,105.777,105.771,104.829,104.213,103.769,102.943,101.564,100.074,100.039,99.981,100.259,100.109,100.04,100,98.01,97.96,98.558,97.117
"32","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",83.684,84.281,84.539,85.414,87.015,87.746,88.082,88.958,89.935,90.936,90.951,90.979,92.445,93.703,95.137,97.043,100.188,100,99.396,100.883,101.181,99.927
"33","26","S1 PN44EZZZMG   Other retail stores","T070263",68.96,69.529,70.297,71.214,73.612,74.095,71.646,74.076,80.664,80.442,79.321,82.82,87.532,93.835,98.617,102.227,108.865,100,106.107,115.43,117.459,116.345
"34","27","S1 PN446ZZZMG     Health and personal care stores","T070273",65.7,67.529,69.155,70.041,71.671,72.817,74.414,77.087,79.734,82.685,85.269,86.871,88.826,90.924,93.806,95.16,97.263,100,102.501,105.251,107.899,108.276
"35","28","S1 PN447ZZZMG     Gasoline stations","T070283",50.744,50.575,50.77,51.615,54.599,54.978,49.553,53.88,66.396,64.863,62.008,69.793,79.532,92.793,102.67,111.009,125.289,100,115.947,140.525,144.884,142.343
"36","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",110.056,110.588,111.601,111.829,112.55,111.974,110.962,108.922,107.791,107.289,105.891,103.938,103.154,101.936,101.119,99.852,100.022,100,99.031,99.037,99.478,99.169
"37","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",124.705,124.779,125.765,125.684,125.842,124.809,122.333,118.926,116.506,114.572,111.66,108.08,106.45,104.521,103.221,100.989,100.51,100,98.819,98.95,99.534,99.031
"38","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",83.071,84.234,85.232,85.881,87.345,87.443,88.586,88.667,89.591,91.459,92.73,93.844,94.749,95.039,95.338,96.551,98.542,100,99.724,99.281,99.13,99.708
"39","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",92.334,93.416,95.057,97.449,98.95,99.806,100.222,101.556,102.694,102.699,101.896,99.196,98.265,97.628,96.79,96.352,98.03,100,99.619,99.866,99.752,99.179
"40","33","S3 PN4531ZZMG       Florists","T070333",100.442,98.825,99.271,101.994,99.606,97.173,98.346,96.593,100.289,103.171,103.073,101.697,100.375,100.323,100.187,100.238,99.237,100,97.529,97.034,96.892,96.57
"41","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",126.378,128.888,131.367,135.152,138.278,140.835,141.513,140.219,138.791,136.094,131.354,123.373,117.612,112.302,107.143,103.151,101.958,100,97.393,95.257,93.135,90.631
"42","35","S4 PN4533ZZMG       Used merchandise stores","T070353",117.373,117.863,118.442,118.154,118.451,117.976,116.557,115.77,115.678,114.504,111.597,107.692,105.631,103.128,101.48,99.839,99.945,100,98.179,98.477,98.89,97.795
"43","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",67.056,67.96,69.465,71.347,72.714,73.383,73.787,76.994,79.212,80.416,81.971,82.245,84.309,86.705,88.619,90.629,94.809,100,101.733,103.714,104.874,105.777
"44","37","S1 PN454ZZZMG     Nonstore retailers","T070373",79.648,80.381,80.982,81.367,84.002,84.18,82.463,82.54,86.816,85.995,84.505,86.903,90.107,94.52,97.509,99.585,103.698,100,101.094,103.661,103.92,102.907
"45","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",91.564,92.711,93.815,94.099,94.688,94.522,93.989,93.356,92.797,91.663,91.227,91.973,93.934,95.592,97.467,98.937,99.269,100,99.39,99.164,99.163,98.09
"46","39","S4 PN4542ZZMG       Vending machine operators","T070393",66.728,67.962,69.061,70.513,73.011,74.697,76.216,78.091,79.9,82.515,83.824,85.216,87.752,88.905,89.9,93.014,99.124,100,100.426,104.948,107.601,108.768
"47","40","S4 PN4543ZZMG       Direct selling establishments","T070403",62.15,62.411,62.491,62.75,66.774,67.045,63.722,64.415,75.701,74.95,71.479,76.689,82.255,93.053,99.12,102.818,118.441,100,107.106,120.748,121.977,121.131
"48","41","S1 PN722ZZZMG Food services and drinking places","T070413",63.051,64.206,65.246,66.68,68.332,70.223,71.967,73.781,75.718,78.142,80.228,81.828,84.223,86.821,89.476,92.675,96.712,100,101.127,103.459,106.403,108.626
"49","42","S4 PN7221ZZMG   Full-service restaurants","T070423",63.477,64.679,65.746,67.209,68.911,70.834,72.71,74.666,76.581,79.104,81.139,82.8,85.042,87.556,90.331,93.525,97.262,100,101.329,103.716,106.416,108.801
"50","43","S4 PN7222ZZMG   Limited-service eating places","T070433",62.682,63.731,64.716,66.093,67.654,69.48,71.047,72.654,74.6,76.876,79.014,80.53,83.132,85.838,88.335,91.54,95.988,100,100.863,103.126,106.393,108.411
"51","44","S4 PN7223ZZMG   Special food Services","T070443",64.064,65.18,66.205,67.634,69.267,71.138,72.992,74.913,76.769,79.175,81.139,82.806,85.051,87.57,90.34,93.535,97.239,100,101.334,103.725,106.396,108.787
"52","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",60.884,62.535,63.816,65.483,67.506,69.69,71.614,73.772,75.969,78.818,81.137,82.797,85.028,87.56,90.321,93.523,97.283,100,101.331,103.695,106.417,108.794
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 PN04472BMG   Retail and food services except motor vehicle and parts dealers","T070463",79.752,81.018,81.945,82.666,84.354,85.233,84.333,85.431,88.02,88.312,87.897,89.003,91.579,94.328,96.526,98.671,102.447,100,101.82,106.055,107.707,107.502
"55","47","S1 PN44GZZZMG   Retail trade except motor vehicle and parts dealers","T070473",82.541,83.822,84.722,85.306,86.995,87.688,86.321,87.295,89.991,89.927,89.104,90.129,92.734,95.507,97.632,99.611,103.345,100,101.928,106.458,107.909,107.328
"56","48","S2 PN44BZZZMG   GAFO-Department store merchandise stores \1\","T070483",111.636,112.032,112.577,112.259,112.47,112.159,110.71,109.108,107.972,106.476,104.41,102.123,101.581,100.883,100.553,100.215,100.659,100,98.288,98.526,98.507,97.104
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries PN442ZZZMG, PN443ZZZMG, PN448ZZZMG, PN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","PN452ZZZMG, and PN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
