"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"1","[Millions of chained (2009) dollars; quarters and months are seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 29, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2014 11:38:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Personal consumption expenditures by major type of product (From NIPA table 2.3.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","      Personal consumption expenditures (PCE)","DPCERX0",7618691,7731528,7819273,7934144,8054859,8132194,8211276,8284400,8319403,8340761,8371247,8499132,8524579,8568126,8628043,8674353,8712527,8809507,8939387,9008815,9096415,9155468,9243002,9337837,9409222,9511451,9585233,9621339,9729225,9781025,9838106,9938409,9990657,10024604,10069158,10081798,10060966,10077940,10005097,9884724,9850832,9806377,9865864,9864805,9917689,9998389,10063083,10166127,10217123,10237676,10282234,10316777,10387551,10420180,10470382,10520581,10613655,10660396,10713300,10811431,10844293,10910375
"11","2","Goods","DGDSRX0",2393599,2449834,2478775,2521287,2559102,2572582,2599387,2621931,2628045,2635071,2653920,2749540,2742596,2753580,2788314,2796217,2811721,2872229,2953462,2980393,3012806,3029450,3066039,3099389,3136535,3177837,3195493,3198775,3262214,3267844,3294479,3345579,3363481,3376314,3392331,3394925,3348724,3360387,3296562,3185498,3188798,3166888,3222890,3215201,3246978,3288034,3319130,3380462,3404859,3398248,3405495,3438505,3477983,3488971,3516870,3542294,3593656,3605168,3636105,3668962,3678323,3730328
"12","3","  Durable goods","DDURRX0",664025,695778,712454,720989,761222,747154,759844,765106,777690,777013,785934,851425,840968,849219,874118,862044,864685,904370,944695,956807,972679,982167,1001345,1015506,1026252,1055365,1067330,1038837,1081348,1080152,1095075,1109606,1122037,1138252,1150899,1155460,1122489,1118994,1084703,1006754,1008610,1002566,1050555,1031542,1045163,1076300,1093761,1127409,1141775,1134221,1148617,1181511,1212000,1218770,1242413,1269702,1295721,1309988,1325866,1344507,1354992,1401022
"13","4","    Motor vehicles and parts","DMOTRX0",320664,343486,344517,334334,362723,336659,342687,343673,353227,347326,351460,404553,375776,377863,401703,377911,377403,393801,406582,400511,402409,401972,407284,410304,401196,414390,416623,367774,382073,381919,388514,388023,390477,396212,393296,391170,371918,355180,337369,298790,307597,308944,342159,309531,306206,319712,325749,341956,342720,324192,325170,343011,351354,351695,359456,369080,374127,373995,375487,380532,385658,403642
"14","5","    Furnishings and durable household equipment","DFDHRX0",164177,168065,173615,179079,183579,187110,189592,190707,193558,195296,197175,203146,209596,211393,211098,214708,213971,223393,232557,237253,241873,245802,251341,254290,257752,261922,266764,272910,280314,276953,278274,277654,281323,279621,280672,280157,273271,276586,267208,253613,245184,240874,243576,247609,253974,261398,262690,267944,270744,274637,277582,283437,288727,285795,287623,291545,297654,301811,308847,312108,312711,322147
"15","6","    Recreational goods and vehicles","DREQRX0",105317,110333,115722,121013,128519,130169,133360,136137,138161,141899,144888,151863,157112,159357,161397,164740,167480,175943,187619,195297,200794,206231,212565,217717,227723,236189,240097,246538,261175,263603,269375,281000,286066,293508,304723,311590,308154,318108,312767,295939,298585,294740,305759,316017,324073,333828,340970,348343,357850,364947,373747,384102,397775,404897,415205,425459,437951,448453,457713,464073,468271,482827
"16","7","    Other durable goods","DODGRX0",102032,103403,106508,111979,112550,116150,116813,116075,114495,111745,110988,114444,117372,119371,120239,122541,122724,128563,134538,138700,142074,141313,142603,145103,149543,152350,152976,158434,163838,163156,163951,166763,167661,172113,174619,174392,170591,169746,167615,158034,156921,157765,158909,159102,162206,162489,165418,169391,171255,173761,176247,174505,178435,181416,185398,188898,192398,193956,193705,197669,198069,201540
"17","8","  Nondurable goods","DNDGRX0",1780218,1796766,1805080,1841834,1825701,1862049,1874305,1892339,1881040,1889822,1898574,1914659,1921736,1922707,1927430,1952556,1965967,1980296,2016969,2030935,2046289,2052617,2068522,2087172,2114017,2123202,2127909,2164197,2182086,2189304,2200274,2237006,2241568,2237132,2240189,2238413,2226156,2241750,2212166,2178566,2180158,2164376,2172498,2183471,2201628,2212076,2225986,2254452,2265077,2265580,2259731,2262357,2273414,2277975,2284149,2285000,2311682,2310485,2326396,2341837,2341931,2352884
"18","9","    Food and beverages purchased for off-premises consumption","DFXARX0",657368,664160,670148,680818,674406,684742,686015,693031,690910,695842,693794,695352,692995,694443,697314,703373,708922,707928,718735,717442,724510,725121,730823,738611,749982,752813,759337,768319,771637,779102,780806,791738,793152,789122,789788,793064,789279,792690,782239,763257,761448,767189,771896,779300,786130,780569,783831,795354,797522,797115,793899,792043,797582,800940,803304,804744,810155,804575,808876,814034,811946,808885
"19","10","    Clothing and footwear","DCLORX0",240668,242744,244358,244989,248981,254374,257151,259325,255164,256830,256528,260953,263899,263976,262420,270618,269692,276913,283003,283664,290795,287376,290329,296149,300171,306489,305668,314753,316629,314417,317703,321032,323087,322893,325434,324191,321616,331113,324243,312274,308498,302726,305931,308840,315859,321042,321801,331955,334840,338048,332855,335431,340391,334512,338967,336989,341129,342704,339383,341450,338263,342696
"20","11","    Gasoline and other energy goods","DGOERX0",299488,305757,301565,302474,290983,295950,296593,294216,294966,290628,295398,295615,293942,296397,297524,297910,294844,293973,297378,300837,299788,300271,298364,298738,304202,296762,292330,298692,296252,294056,296101,303307,301631,297659,295463,292599,290164,285759,275861,281827,291862,284742,282297,279098,279326,282543,284191,282822,280155,273070,272692,271463,267431,271659,270890,266711,270492,270393,272921,272874,274361,271724
"21","12","    Other nondurable goods","DONGRX0",596017,599230,601932,626123,618857,634054,640738,650819,646455,651524,658886,667322,673774,671748,674635,682835,693778,700677,716141,727595,728404,737655,746132,750186,756258,762684,766780,777918,793810,799046,802717,817797,820779,825101,827531,827194,823730,833296,834300,821943,818972,809401,811931,816373,821028,828417,836621,845831,855110,862872,865468,869382,876551,877700,878535,886102,899266,902221,914425,923521,926842,940858
"22","13","Services","DSERRX0",5245389,5297451,5356195,5427430,5510763,5577287,5629228,5679888,5709575,5723745,5733702,5756818,5791933,5825165,5848159,5887428,5909399,5942311,5986872,6028993,6083984,6126762,6177086,6238426,6271489,6331814,6388449,6421912,6464403,6511278,6541209,6589501,6623820,6644894,6673418,6683577,6710521,6715490,6708062,6700304,6662509,6639488,6642706,6649398,6670610,6710336,6743979,6785643,6811987,6839240,6876640,6877739,6908819,6930506,6952756,6977516,7019253,7054456,7076643,7141908,7165353,7180431
"23","14","  Household consumption expenditures (for services)","DHCERX0",5108068,5159012,5216795,5286215,5363834,5429973,5474635,5519394,5548089,5557575,5563566,5581933,5612964,5639596,5653063,5686527,5708416,5737980,5781754,5823742,5875141,5918994,5970277,6032092,6073180,6127909,6183445,6204812,6237802,6276049,6301551,6351754,6385121,6409527,6434137,6432120,6451724,6446232,6430148,6412289,6383430,6366600,6369522,6370484,6391466,6428732,6466500,6510678,6539342,6565757,6596541,6602132,6630181,6642516,6663113,6677658,6723410,6757654,6775391,6833372,6857119,6866786
"24","15","    Housing and utilities","DHUTRX0",1531197,1546073,1562209,1562348,1570511,1592101,1606656,1632833,1641322,1639633,1646294,1644905,1644706,1651617,1654422,1664544,1668048,1673011,1675315,1687556,1698335,1710582,1720338,1742366,1760857,1782259,1802123,1808224,1803771,1824542,1835961,1828474,1837500,1840125,1845439,1840048,1854624,1860228,1854743,1870817,1874043,1877955,1881417,1890556,1897157,1896528,1906495,1916842,1918306,1924406,1937367,1931909,1924312,1942135,1951697,1943290,1967208,1966946,1959619,1969066,1995978,1979481
"25","16","    Health care","DHLCRX0",1167289,1171920,1181428,1192613,1199568,1215413,1223682,1236585,1254419,1268636,1287347,1307909,1333862,1353259,1363879,1371309,1379637,1386684,1397204,1406561,1416198,1432786,1453037,1467043,1473802,1483295,1501563,1503115,1511958,1519805,1527960,1541257,1549487,1556273,1570401,1576769,1593680,1596752,1600080,1604790,1616025,1628555,1634899,1630042,1626026,1640900,1657072,1672761,1680036,1688193,1687178,1705950,1732440,1737527,1752665,1757463,1759087,1774558,1785988,1804666,1798407,1800437
"26","17","    Transportation services","DTRSRX0",310529,314364,320654,324309,328635,332272,334500,335721,336180,334717,328462,322770,323324,320300,319786,319871,321660,320561,323811,325761,329028,331804,331776,333485,333905,334982,335934,333987,333245,335219,335063,338587,340306,340336,338947,336445,332118,326510,319565,306938,296540,291074,286952,284213,284593,286171,288039,289634,290180,293497,295983,296857,297293,298640,300950,301459,305363,307117,307894,310027,311439,313160
"27","18","    Recreation services","DRCARX0",308883,313772,320533,324116,323830,326596,327077,326321,328928,325533,323721,323508,325551,326059,326943,330647,330460,335647,341109,346194,351576,355220,357794,358556,362436,364471,364514,367279,372191,374357,377088,386071,388818,390514,394570,394393,393155,392505,387678,382548,378954,375332,373619,376095,379061,377044,382389,385330,383988,389757,392140,392475,394664,395551,396394,397826,403753,403605,407191,408152,406233,409554
"28","19","    Food services and accommodations","DFSARX0",505058,508101,510137,522147,530671,535332,537191,535405,539347,534019,531047,530199,538001,542024,543001,543842,547762,558004,567440,573195,579419,580249,585542,591618,595002,603596,607795,614014,623083,619646,623260,632677,629809,631253,631878,637427,628991,632440,626274,616730,605802,599860,598221,597450,603084,607698,611323,616319,622123,623252,626418,629249,635902,638027,641832,648783,653623,651922,652257,663656,661547,669897
"29","20","    Financial services and insurance","DIFSRX0",576227,590822,603819,623803,655197,656505,660831,664410,654415,647606,638473,643403,640190,639920,643623,642983,637227,640152,644969,649972,659846,661864,669043,684180,691660,703233,710515,710937,718508,718406,717370,725975,735366,743218,747002,744559,742299,738315,738863,730214,723790,719028,719201,713802,721467,736148,735415,742686,747980,746568,752634,741438,729039,717127,702810,706021,715109,727061,730842,741060,746199,749667
"30","21","    Other services","DOTSRX0",711391,714898,717753,734617,749760,767328,780685,784591,791594,807024,809012,810001,808683,808131,802880,815210,826434,826675,834694,837200,842996,849009,855027,856227,856523,856520,861324,867754,875203,884546,885628,899401,903934,907445,905298,902034,906661,899411,902727,900175,888254,874761,875184,878408,880259,884088,885726,886955,896340,899755,904534,904041,916342,914154,918133,923766,920329,926963,931850,936631,937288,944118
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",148074,149323,150508,152488,157693,158515,164661,169704,170717,174463,177611,181491,184956,190398,198151,203161,203454,206507,207471,207840,211235,210489,209865,209692,202655,207893,209119,220116,228893,236928,241110,239499,240483,237440,241137,252577,259544,269493,277776,287578,278930,272876,273229,279032,279239,281713,277411,274772,272350,273168,279958,275249,278335,288139,289833,300698,296290,297230,301900,309494,309109,314817
"32","23","    Gross output of nonprofit institutions \2\","DNPERX0",769722,773811,779606,787812,794532,802124,811035,821326,830445,839256,850709,863001,878016,892713,904394,909035,910288,912809,915929,918660,925592,932328,943171,952419,947525,956196,966965,975954,986711,996051,1004068,1009483,1016761,1017190,1022755,1032084,1043394,1050419,1059353,1067657,1068984,1071230,1074769,1075272,1072550,1084003,1090565,1096962,1093242,1095976,1094558,1104430,1121420,1124547,1138448,1140440,1136046,1146214,1151716,1171657,1159423,1160190
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",632620,635346,640009,646218,646452,653584,654839,659105,667630,672010,680101,688097,699619,708125,710334,708775,709818,708709,710872,713351,716588,724516,736549,746344,749354,752293,762058,758797,760000,760621,764240,771585,777965,781732,783359,780478,784481,780983,781272,779441,789855,798344,801594,796395,793481,802431,813042,821899,820540,822453,814597,828755,842558,836473,848525,840507,840255,849360,850435,862982,851342,846802
