"","Table 5#4#5BU# Private Fixed Investment in Structures by Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 01, 2006      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2006 4:28:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Private fixed investment in structures","A349RC0",593176,654496,700050,752727,784514,775533,841515,963810,1082453
"9","2","Nonresidential","B009RC0",250343,275237,282224,313184,322634,279223,276860,298385,335148
"10","3","  Commercial and health care","W001RC0",104304,115448,124312,137551,134925,116766,112384,121948,130186
"11","4","    Office\1\","W031RC0",37710,46422,51776,60228,57169,40564,35143,38054,39675
"12","5","    Health care","W032RC0",19573,19963,20691,21892,21954,25257,27253,30045,32444
"13","6","      Hospitals and special care","C311RC0",15097,15409,15197,16225,16765,19748,20464,21424,23914
"14","7","        Hospitals","W033RC0",11240,10677,10702,11482,12756,15759,17177,18595,21368
"15","8","        Special care","W034RC0",3857,4732,4496,4743,4009,3989,3287,2829,2546
"16","9","      Medical buildings","W035RC0",4476,4553,5493,5668,5189,5509,6789,8621,8530
"17","10","    Multimerchandise shopping","W036RC0",11541,12583,14462,14156,15544,14792,14620,17355,21960
"18","11","    Food and beverage establishments","W037RC0",8132,8656,7858,8341,8321,7513,7945,7753,7036
"19","12","    Warehouses","W038RC0",11927,12055,13008,14071,14896,11305,11720,11386,12436
"20","13","    Other commercial\2\","W039RC0",15421,15770,16518,18863,17042,17336,15704,17355,16637
"21","14","  Manufacturing","C307RC0",37624,40482,32631,31800,29529,17760,16737,18364,22845
"22","15","  Power and communication","W003RC0",28778,33551,39541,46807,49628,49541,43581,39988,38531
"23","16","    Power","W028RC0",16362,21078,21136,28008,30032,31157,30873,26606,24308
"24","17","      Electric","C571RC0",11325,12381,14585,22038,23803,23547,22829,18332,15515
"25","18","      Other power","W029RC0",5037,8697,6551,5970,6229,7610,8044,8274,8793
"26","19","    Communication","C314RC0",12416,12473,18405,18799,19596,18384,12708,13382,14223
"27","20","  Mining exploration, shafts, and wells","E318RC0",22387,23440,20581,27169,39160,35627,45508,56173,81709
"28","21","    Petroleum and natural gas","C319RC0",20970,22356,19592,25843,37897,33690,44239,54504,78945
"29","22","    Mining","C320RC0",1417,1084,989,1326,1263,1936,1269,1670,2765
"30","23","  Other structures","W004RC0",57250,62316,65158,69857,69392,59529,58650,61912,61878
"31","24","    Religious","C309RC0",5623,6422,7168,7809,8162,8106,8324,7858,7294
"32","25","    Educational and vocational","W044RC0",9825,10971,10890,13041,14258,14624,14728,13965,14291
"33","26","    Lodging","W045RC0",15966,18343,19750,20182,17973,12957,12292,14287,14950
"34","27","    Amusement and recreation","W046RC0",10245,10307,11460,10522,9394,8974,9338,10264,9735
"35","28","    Transportation","W047RC0",6102,7142,6334,6627,6876,6497,6024,6488,6633
"36","29","      Air","W048RC0",1007,1158,1338,1938,2138,1423,1087,1012,850
"37","30","      Land\3\","W049RC0",5094,5984,4996,4688,4738,5073,4937,5476,5783
"38","31","    Farm","C316RC0",3815,4284,5059,5988,5135,5611,4833,5123,5760
"39","32","    Other\4\","W050RC0",3800,3875,3593,4643,3615,2602,3108,3680,3213
"40","33","    Brokers' commissions on sale of structures","C321RC0",2017,2212,2250,2416,2380,2066,1961,2043,2146
"41","34","    Net purchases of used structures","E322RC0",-143,-1241,-1347,-1370,1599,-1907,-1956,-1797,-2145
"42","35","Residential","A012RC0",342833,379259,417826,439543,461880,496309,564655,665425,747305
"43","36","  Permanent site","A943RC0",198062,223983,251271,265047,279391,298841,345691,416052,467146
"44","37","    Single-family structures","A944RC0",175179,199409,223837,236788,249086,265889,310575,377557,420533
"45","38","    Multifamily structures","C292RC0",22883,24574,27434,28259,30305,32952,35116,38495,46613
"46","39","  Other structures","A863RC0",144771,155276,166555,174496,182489,197468,218964,249373,280159
"47","40","    Manufactured homes","A945RC0",13864,15290,14882,11460,9314,8521,7086,7479,7837
"48","41","    Dormitories","C295RC0",790,956,1276,1358,1557,1530,1763,1665,1738
"49","42","    Improvements","A946RC0",90951,93199,100004,107137,112983,121758,133191,147037,163690
"50","43","    Brokers' commissions on sale of structures","A758RC0",41522,48900,53821,56050,60415,68792,80414,95978,109529
"51","44","    Net purchases of used structures","A759RC0",-2356,-3069,-3428,-1508,-1780,-3132,-3490,-2786,-2634
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures\5\","W040RC0",552136,607694,648754,697139,721900,709715,764587,870373,975558
"54","46","    Nonresidential structures","A771RC0",248469,274266,281321,312138,318655,279065,276856,298140,335148
"55","47","    Residential structures","A756RC0",303667,333428,367433,385001,403245,430650,487731,572233,640410
