"","Table 6#22B# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2016 12:28:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Corporate capital consumption allowances","A677RC0",63338,68337,73580,81377,88808,98439,108146,117265,133444,151144,171328,195023,240375,277555,309201,346788,391682,400987,422723
"9","2","Agriculture, forestry, and fishing","A1722BC0",437,523,546,595,755,936,1098,1257,1538,1527,1595,1697,2154,2411,2478,2665,2879,2765,2706
"10","3","  Farms","B1723BC0",325,381,385,419,599,747,893,1030,1208,1220,1232,1280,1624,1759,1804,1918,2060,1909,1776
"11","4","  Agricultural services, forestry, and fishing","B1724BC0",112,142,161,176,156,189,205,227,330,307,363,417,530,652,674,747,819,856,930
"12","5","Mining","A1725BC0",1017,1103,1101,1361,1391,1653,2131,2475,2863,3195,3832,4679,6333,8771,8711,8753,10789,8546,7323
