"","Table 5#5#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:39:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Private fixed investment in equipment","Y032RL1",-20.6,-32.9,-41.1,2.6,37.9,36,36.8,16.2,-30.1,15.3,29.3,17.3,-42.5,-11.1,33,43.3,26.1,36.2,5.2,-12.3,10.6,2.7,-2.8,9,-5.4,13.7,2.8,2.6,-14.3,12,3.6,-2,11.3,7.8,12.5,18.1,15.3,-1,6.3,8.4
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Nonresidential equipment","Y033RW2",-20.42,-32.78,-40.6,2.32,37.28,35.39,36.42,15.96,-29.86,15.08,29.03,16.95,-41.9,-9.96,33.37,43.01,24.56,35.32,5.13,-12.22,10.17,2.86,-2.81,8.92,-5.5,13.42,2.6,2.6,-14.37,11.67,3.76,-2.04,11.23,7.64,12.41,17.9,15.22,-0.99,6.02,8.15
"12","3","  Information processing equipment","Y034RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,0.3,-1.08,1.08,1.02,1.57,1.22,-1.2,1.71,1.79,1.65,-1.46,1.31,2.73,1.39,1.76,2.55,2.4,3.09,4.96,1.1,1.05,3.54
"13","4","    Computers and peripheral equipment","B935RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.47,0.66,1.96,0.98,1.12,2.4,1.02,0.65,1.22
"14","5","    Communication equipment \1\","C275RW2",-1.09,-1.9,-4.32,-1.56,2.47,2.73,1.87,3.62,-2.64,1.54,3.79,0.73,-2.87,-0.7,8.68,1.63,-7.08,1.62,-0.03,-0.44,0.45,0.45,1.24,0.8,-0.68,0.54,1.02,0.74,-0.82,1.06,1.73,1.48,1.28,-0.57,0.24,1.19,1.04,0.2,0.33,1.3
"15","6","    Medical equipment and instruments","W176RW2",-0.05,-0.07,-0.13,-0.01,0.05,0.06,0.07,0.13,-0.09,0.09,-0.06,-0.01,-0.08,0.15,0.01,0.41,0.61,0.33,-0.02,-0.07,0.07,0.09,0.01,-0.1,0.03,0.15,0.07,-0.03,-0.1,0.1,0.17,0.1,0.08,0.23,0.18,0.1,0.15,0.37,0,0.31
"16","7","    Nonmedical instruments","W177RW2",-0.13,-0.33,-0.58,0.01,0.08,0.43,0.27,0.51,-0.33,0.32,-0.26,-0.1,-0.34,0.72,0.1,1.85,0.33,0.57,0.06,-0.11,0.23,0.17,0.14,0.03,-0.49,0.52,0.13,0.04,-0.27,-0.01,0.01,-0.06,-0.13,0.07,0.07,0.18,0.1,0.09,-0.02,0.06
"17","8","    Photocopy and related equipment","C285RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.02,-0.02,0.04,0.05,0.07,0.17,0.04,0.03,0.05,0.03,-0.13,0.23,0.16,0.02,0.26,0.71,0.94,0.45,0.67,-0.47,0.22,0.3
"18","9","    Office and accounting equipment","B936RW2",-0.99,-0.86,-1.01,0.21,0.97,1.28,0.73,0.64,-0.52,0.13,0.53,0.65,-0.76,-1.01,1.47,1.05,2.3,0.92,0.26,-0.45,0.3,0.26,0.11,0.32,-0.11,0.46,0.52,0.87,-0.15,-0.14,-0.03,-0.61,-0.39,0.15,-0.02,0.05,0.61,-0.12,-0.13,0.33
"19","10","  Industrial equipment","A680RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,-2.22,-6.04,3.63,3.09,1.09,3.04,0.94,-0.26,3.15,0.42,-5.54,0.49,2.32,-1.65,1.54,2.28,3.75,5.24,4.46,0.12,-0.62,1.94
"20","11","    Fabricated metal products","C263RW2",-0.33,-0.47,-1.07,-0.49,0.62,0.3,0.45,0.27,-0.49,0.36,0.45,0.38,-0.14,0.7,0.72,0.75,1.3,1.04,-0.36,-0.58,0.21,0.54,0.46,0.21,0.23,-0.41,0.12,0.49,-0.27,-0.42,-0.18,-0.14,-0.24,0.24,0.42,0.47,0.41,-0.08,0.47,0.6
"21","12","    Engines and turbines","A668RW2",-0.11,-0.36,-0.53,-0.14,0.34,0.33,0.64,0.45,-0.41,0.29,0.14,-0.18,-0.47,0.54,1.11,2.02,-2.01,0.76,0.41,-0.04,0.43,-0.44,0.45,-0.12,0.63,-0.27,-0.18,0.45,-0.01,-0.36,-0.1,-0.22,-0.09,0,0,0.05,0.2,0.34,0.24,0.19
"22","13","    Metalworking machinery","C271RW2",-1.17,-1.16,-1.71,0.16,1.64,2.57,2.02,1.09,-2.25,1.6,5.44,2.71,-0.71,-0.82,-2.69,2.05,1.51,1.61,-1.19,-1.34,1.21,1.16,0.33,1.48,0.6,-1.6,1.38,-0.4,-2.38,0.37,0.62,-0.53,0.49,1,0.28,1.36,1.22,1.47,-0.89,-0.12
"23","14","    Special industry machinery, n.e.c.","C272RW2",-1.65,-1.37,-2.19,1.03,0.7,1.78,2.63,0.58,-1.8,0.49,0.47,-0.02,-0.86,-1.38,3.1,3.02,2.24,3.4,-0.28,-1.5,0.84,0.32,-0.76,0.29,-0.74,0.96,0.53,-0.41,-0.69,0.37,0.77,-0.27,0.58,-0.07,0.8,1.69,0.56,-0.59,-0.02,0.21
"24","15","    General industrial, including materials handling, equipment","C273RW2",-2.13,-2.08,-3.41,-0.2,2.29,3.24,3.6,0.92,-2.67,1.62,1.08,0.47,-2.22,0.67,6.52,5.26,-0.35,1.75,-0.48,-2.2,0.14,0.64,-0.28,0.81,-0.05,1.15,0.57,-0.11,-1.03,0.34,0.65,-0.5,0.6,1.06,1.53,1.03,1.06,-0.87,-0.16,0.82
"25","16","    Electrical transmission, distribution, and industrial apparatus","C276RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,-0.31,-0.38,0.8,0.87,0.9,0.36,0.26,-0.09,0.73,0.41,-1.14,0.19,0.56,-0.01,0.2,0.05,0.72,0.64,1.01,-0.16,-0.26,0.24
"26","17","  Transportation equipment","A681RW2",-8.45,-14.32,-15.32,7.11,18.14,12.24,14.51,4.04,-14.12,8.2,12.56,5.49,-25.76,-2.48,1.03,12.29,15.82,12.28,1.28,-0.18,3.8,-1.38,-5.76,5.3,-3.76,7.63,-3.16,1.89,-7.7,7.84,0.86,-1.54,6.33,-0.96,3.53,6.78,2.82,-0.89,5.31,1.19
"27","18","    Trucks, buses, and truck trailers","C279RW2",-1.95,-2.26,-3.97,2.62,6.46,3.78,3.42,-0.29,-3.57,3.39,1.5,1.7,-7.8,0.59,4.98,10.22,1.91,3.75,1.21,-2.22,2.04,0.51,-2.97,-0.06,-0.44,2.65,-0.23,-1.05,-1.29,1.88,0.05,0.31,2.59,0.69,0.44,2.18,1.57,-1.21,1.67,1.75
"28","19","      Light trucks (including utility vehicles) \2\","W178RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","      Other trucks, buses, and truck trailers \2\","W179RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","21","    Autos \2\","C280RW2",-6.6,-4.6,-7.41,6.03,5.61,10.04,6.01,0.37,-7.11,5.78,5.38,1.73,-16.87,-0.26,-3.35,0.17,12.43,4.34,0.4,2.18,4.13,-4.2,-2.78,6.23,-0.71,4.48,-4.98,1.23,-3.25,4.06,0.51,-0.78,2.78,-0.62,0.68,2.6,-0.51,-0.33,2.28,0.32
"31","22","    Aircraft","C281RW2",-0.39,-0.18,-0.33,0.52,0.49,-0.33,-0.03,0.27,-0.1,0.23,0.39,-0.14,-0.44,-0.15,0.18,0.77,1.56,-0.65,-0.47,0.28,-0.26,-0.01,0.56,-0.06,0.1,-0.3,0.78,0.42,-0.51,1.82,-0.29,0.09,-0.2,-0.99,1.05,1.06,1.1,1.09,1.98,-1.71
"32","23","    Ships and boats","C282RW2",0.43,-0.45,-2.25,-0.53,0.38,-0.57,1.65,0.07,1.16,-1.85,1.89,0.67,0.09,0.79,-2.91,1.41,0.05,2.6,-2.14,-0.62,-0.09,0.82,0.12,-0.24,-0.75,0.42,0.5,0.36,-0.12,-0.19,-0.17,-0.2,0.06,-0.18,0.16,0.15,0.06,0.02,0.32,0.1
"33","24","    Railroad equipment","C283RW2",0.05,-6.84,-1.35,-1.53,5.21,-0.68,3.46,3.62,-4.5,0.65,3.4,1.53,-0.74,-3.45,2.13,-0.28,-0.13,2.24,2.29,0.2,-2.03,1.5,-0.69,-0.56,-1.96,0.37,0.76,0.93,-2.54,0.28,0.76,-0.97,1.1,0.14,1.2,0.79,0.6,-0.46,-0.94,0.71
