"","Table 6#8C# Persons Engaged in Production by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2016 12:25:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Persons engaged in production \1\","A4601C0",106967,110092,112825,114024,112776,112554,114531,117342,120268,122421,125267,128099,130449,133221
"9","2","Domestic industries","A4602C0",107033,110167,112908,114106,112858,112632,114896,117753,120677,122798,125671,128500,130890,133617
"10","3","  Private industries \2\","A4603C0",89796,92525,94863,95734,94436,94294,96615,99463,102281,104391,107139,109799,112046,114516
"11","4","    Agriculture, forestry, and fishing","A4604C0",2932,2988,2940,2930,2964,2883,2935,2995,3210,3154,3132,3133,3171,3146
"12","5","      Farms","Q4605C0",1968,1977,1880,1846,1861,1803,1801,1790,1967,1826,1813,1704,1692,1659
"13","6","      Agricultural services, forestry, and fishing","B4606C0",964,1011,1060,1085,1103,1080,1135,1205,1242,1328,1320,1428,1478,1487
"14","7","    Mining","A4607C0",733,744,716,731,709,654,621,610,594,586,601,599,542,543
"15","8","      Metal mining","B4608C0",47,54,60,61,57,56,52,50,53,56,54,49,45,42
"16","9","      Coal mining","B4609C0",161,151,145,146,136,125,111,111,105,96,94,92,84,76
"17","10","      Oil and gas extraction","B4610C0",413,424,397,412,411,369,353,346,328,326,344,348,303,314
"18","11","      Nonmetallic minerals, except fuels","Q4611C0",113,116,113,111,104,103,105,103,108,108,109,110,109,111
"19","12","    Construction","B4612C0",6141,6357,6419,6406,5958,5812,6068,6334,6572,6861,7152,7488,7894,8282
"20","13","    Manufacturing","A4613C0",18938,19310,19363,19080,18401,18040,18079,18406,18582,18529,18715,18862,18598,18455
"21","14","      Durable goods","A4614C0",11194,11450,11466,11197,10654,10360,10324,10563,10792,10889,11105,11309,11186,11186
"22","15","        Lumber and wood products","B4615C0",797,812,805,788,730,740,777,822,847,841,847,877,897,882
"23","16","        Furniture and fixtures","B4616C0",517,530,529,517,477,484,495,515,524,520,531,542,560,570
"24","17","        Stone, clay, and glass products","B4617C0",561,578,576,565,531,519,525,543,546,561,561,567,570,579
"25","18","        Primary metal industries","B4618C0",736,766,770,755,722,684,677,695,702,707,707,712,697,696
"26","19","        Fabricated metal products","B4619C0",1395,1423,1436,1416,1345,1324,1337,1390,1442,1447,1482,1513,1516,1536
"27","20","        Industrial machinery and equipment","B4620C0",2046,2109,2126,2089,2019,1935,1935,1994,2082,2094,2164,2206,2132,2104
"28","21","        Electronic and other electric equipment","B4621C0",1763,1757,1740,1674,1588,1524,1521,1572,1614,1654,1683,1697,1655,1705
"29","22","        Motor vehicles and equipment","B4622C0",849,848,847,818,780,816,832,894,962,960,975,994,1017,1017
"30","23","        Other transportation equipment","B4623C0",1166,1187,1201,1184,1104,1017,920,851,817,821,856,903,872,836
"31","24","        Instruments and related products","B4624C0",961,1017,1006,981,953,911,881,853,835,849,860,864,841,836
"32","25","        Miscellaneous manufacturing industries","B4625C0",404,423,430,410,404,405,423,436,423,434,439,434,427,425
"33","26","      Nondurable goods","A4626C0",7744,7861,7898,7883,7747,7681,7755,7843,7790,7640,7610,7553,7412,7268
"34","27","        Food and kindred products","B4627C0",1589,1591,1594,1610,1624,1609,1631,1651,1655,1661,1673,1669,1676,1670
"35","28","        Tobacco products","Q4628C0",54,54,51,51,49,47,45,43,41,40,40,39,36,34
"36","29","        Textile mill products","B4629C0",716,718,710,689,659,662,670,674,660,631,618,597,555,535
"37","30","        Apparel and other textile products","B4630C0",1081,1068,1065,1026,992,984,977,993,945,875,826,770,704,614
"38","31","        Paper and allied products","Q4631C0",673,680,688,690,684,682,685,687,688,678,679,674,666,653
"39","32","        Printing and publishing","B4632C0",1462,1539,1558,1574,1532,1485,1513,1543,1550,1519,1541,1555,1538,1529
"40","33","        Chemicals and allied products","B4633C0",1018,1055,1066,1080,1076,1070,1064,1040,1033,1026,1021,1025,1025,1027
"41","34","        Petroleum and coal products","B4634C0",160,156,153,156,156,154,149,145,142,139,135,135,131,125
"42","35","        Rubber and miscellaneous plastics products","B4635C0",848,856,874,875,855,870,903,952,968,971,991,1006,1001,1007
"43","36","        Leather and leather products","B4636C0",143,143,139,133,120,117,118,116,108,99,88,83,78,74
