"","Table 3#7# Government Current Transfer Receipts","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2016 12:08:32 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Current transfer receipts","W060RC1",2.6,2.7,2.9,3.5,3.6,4.1,4.7,5.5,6.5,7.8,8.9,10.3,11.7,14,16,18.6,22.2,25,26.3,27,31.6,35.3,43.8,49.5,54.2,58.8,57.5,65.7,68,74.2,80.6,91.4,97.3,103.1,109.5,119.8,125.7,136,144,156.5,175.2,174.8,176.7,170.1,192.2,207.3
"9","2","From business (net)","W061RC1",1.5,1.4,1.5,1.7,1.8,2.1,2.2,2.4,3,3.9,4.5,5.4,5.7,6.9,7.9,9.4,11.8,13,13.1,12.2,15.1,17,21.3,23.6,25.6,27.9,24.9,30.7,29.8,34.3,36.5,41.9,43.9,46.2,48.3,52.4,53.4,58.3,62,70.6,88.5,87.2,89.2,72.6,91.9,94.8
"10","3","  Federal","W012RC1",0.9,0.9,0.9,1,0.9,1,1,1.1,1.4,2,2.4,2.9,2.9,3.7,4.2,5.2,7.4,6.3,8.2,6.8,8.7,9.9,13.3,14.3,15.1,15.9,11.4,15.6,12.1,12.7,12.4,13.4,14,13.7,14.5,15.9,16.9,19.5,21.5,27,44.4,43.8,45,28.6,42.3,46.1
"11","4","    Deposit insurance premiums \1\","B1041C1",0.3,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,1.2,1.6,1.8,2,3.2,3.4,3.5,3.5,4,4.6,7.5,7.9,8.7,7.8,4.5,7.2,2,1.9,2.1,3.3,3.7,3.5,3,2.6,2.4,2.5,3.3,9.6,26.3,18.9,17.5,15.5,13.1,11.7
