"","Table 9#3U# Gross Domestic Product and Final Sales of Software","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2015 2:33:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8",NA,"[Billions of chained (2009) dollars]"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Gross domestic product (GDP)","A191RX1",12065.9,12559.7,12682.2,12908.8,13271.1,13773.5,14234.2,14613.8,14873.7,14830.4,14418.7,14783.8,15020.6,15354.6,15583.3,15961.7
"10","2","GDP less final sales of software","SWGXSX1",11884.7,12349.4,12471.7,12701.2,13046.1,13518.4,13955.1,14313.5,14543.8,14484.2,14075.1,14428.6,14648.3,14962.3,15176.5,15532.6
"11","3","Final sales of software \1\","SWFSTX1",191.6,216,216.7,215.3,230.9,258.3,281.1,301.5,330.3,346.1,343.7,355.3,372.7,393.6,408.7,432.3
"12","4","  Personal consumption expenditures","DCPSRX1",5.5,6.4,6.8,7.9,12.3,18.2,23.5,30.2,39.1,38.8,38.2,47.2,48.6,55.9,60.9,65.3
"13","5","  Private fixed investment","B985RX1",154.5,175.9,177.1,176.9,189,207.9,221.2,230.3,244.2,256.2,256.8,254.2,271.8,286.6,295.8,315
"14","6","  Exports \2\","SWXPTX1",9.7,11,11,10.9,10.7,12,14.7,17.9,23.7,29.7,28.5,32.8,32.8,35.1,37.6,37.7
"15","7","  Less: Imports \2\","SWMPTX1",2.1,2.5,3.5,4.1,5.7,6.6,7.5,8.2,10,12.9,13.9,14.4,17.7,22.1,23.8,24.6
"16","8","  Government \3\","SWGOVX1",26.2,27.6,28.1,26.5,27,28.3,29.8,31.1,32.7,34.3,34.1,35.7,37.5,38.4,38.9,40.1
"17",NA,"[Percent change from preceding period in chained (2009) dollar measures]"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","9","GDP","A191RL1",4.7,4.1,1,1.8,2.8,3.8,3.3,2.7,1.8,-0.3,-2.8,2.5,1.6,2.2,1.5,2.4
"19","10","GDP less final sales of software","SWGXSL1",4.4,3.9,1,1.8,2.7,3.6,3.2,2.6,1.6,-0.4,-2.8,2.5,1.5,2.1,1.4,2.3
"20","11","  Difference","SWDIFF1",0.3,0.2,0,0,0.1,0.2,0.1,0.1,0.2,0.1,0,0,0.1,0.1,0.1,0.1
"21","12","Final sales of software \1\","SWFSTL1",20.2,12.8,0.3,-0.7,7.2,11.9,8.8,7.3,9.5,4.8,-0.7,3.4,4.9,5.6,3.9,5.8
"22",NA,"[Billions of dollars]"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","13","Final sales of software \1\","SWFSTC1",199,230.5,231.5,226.1,236.3,257.7,278.1,300.4,328.8,346.6,343.7,349.4,367,387.8,402.7,423.6
"24","14","  Personal consumption expenditures","DCPSRC1",9.7,11,10.8,11.8,16.5,22.7,27.7,33.4,41.1,39.3,38.2,43.8,41.9,45.8,47,48.4
"25","15","  Private fixed investment","B985RC1",157.3,184.5,186.6,183,191,205.1,217.2,228.9,244.2,258.5,256.8,252,269.8,284.3,295,313
"26","16","  Exports \2\","SWXPTC1",10.9,12.8,12.7,12.3,12.2,13.5,16.2,19.5,24.3,29,28.5,32.7,33.8,36.7,38.6,38.6
"27","17","  Less: Imports \2\","SWMPTC1",4,4.8,6.4,7.2,9.6,10.9,11.8,11.9,13.1,14.7,13.9,14.6,16,17.7,17.4,17.1
"28","18","  Government \3\","SWGOVC1",25,27.1,27.8,26.1,26.2,27.3,28.8,30.5,32.3,34.4,34.1,35.5,37.5,38.6,39.4,40.7
