"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars; quarterly totals not seasonally adjusted]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 04, 2012  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 9:58:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Budget receipts","M318011",187.8,193.7,188.4,208.6,232.2,264.9,281,300,356.9,402,465.9,520.1,602.6,617.8,600.6,663.6,733.7,768.8,853.8,908.4,990.7,1031.3,1054.3,1090.5,1154.5,1258.7,1351.9,1453.2,1579.4,1722,1827.6,2025.5,1991.4,1853.4,1782.5,1880.3,2153.9,2407.3,2568,2524,2105,2162.7,2303.5
"10","2","Less: Coverage differences","M318021",5.1,5.5,5.6,7.8,7.3,7.3,7.4,8.3,10.5,8.6,9,10.1,11.2,12.8,9.8,10,11.5,12.6,12.1,12.5,13.6,16.3,15.8,16.2,17.4,20,19.3,22.7,25.3,31.2,36.1,38.5,37.5,36.6,32,35.8,36.2,39.5,37.6,40.5,35.3,30.6,19.4
"11","3","        Contributions received by federal employee retirement plans \1\","M318041",1.5,1.8,2,2.1,2.2,2.3,2.6,2.8,3,3.2,3.5,3.7,4,4.2,4.4,4.6,4.8,4.7,4.7,4.6,4.5,4.5,4.6,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.5,4.8,4.7,4.6,4.6,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.1
"12","4","        Capital transfers received \2\","M318051",3.5,3.6,3.7,5.4,4.9,5,4.6,5.2,7.3,5.2,5.3,6.3,6.7,7.8,5.9,5.8,6.3,6.8,7.3,7.3,8.6,11.3,11,11,12.3,15.1,14.6,17.1,19.7,23.9,27.6,28.8,28.2,26.4,21.7,24.7,24.6,27.7,25.8,28.6,23.3,18.3,7.3
"13","5","        Financial transactions","M318061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","6","        Other \3\","M318071",0.1,0.1,-0.1,0.3,0.2,0,0.2,0.3,0.3,0.1,0.1,0.1,0.5,0.8,-0.6,-0.5,0.5,1,0.1,0.6,0.5,0.4,0.3,0.4,0.2,0.3,0.2,1.2,1.2,3,4,4.9,4.6,5.6,5.7,6.6,7.1,7.4,7.5,7.7,7.8,8.3,8
"15","7","Less: Netting and grossing differences","M318081",-4.6,-4.5,-4,-5.3,-5.4,-4.5,-5.1,-6.5,-8.7,-9,-12.2,-13.2,-17.9,-28.5,-30.3,-35.1,-40.8,-44.3,-41.6,-44.8,-49.1,-45.7,-57,-56.9,-64,-62.8,-62.2,-63.2,-69.5,-66,-66.2,-71.6,-69.7,-79.2,-87.2,-91.5,-97.6,-110.9,-121.8,-137.1,-168.1,-219.8,-172.7
"16","8","        Supplementary medical insurance premiums","M318091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,-4.3,-4.9,-5.6,-5.7,-6.5,-8.8,-11.6,-11.6,-12.2,-13.2,-15.3,-17.8,-20.2,-20,-20.4,-20.7,-21.6,-21.9,-23.8,-26,-28.4,-32.1,-38.2,-45.1,-50.2,-54.2,-57,-60.7,-63.1
"17","9","        Interest receipts","W704MC1",-2.5,-2.5,-2.7,-3,-3.1,-3,-3.3,-4.1,-4.7,-5.7,-7.1,-8.4,-11,-14.4,-15.3,-16.6,-17.6,-22.3,-17.3,-18.4,-16.7,-16.4,-22.3,-17.4,-15.1,-11.6,-11.7,-13.9,-12.1,-11.7,-12.4,-13.6,-11.4,-11.4,-11.4,-9.7,-9,-10.4,-11.4,-12.5,-30.9,-40,-43.1
"18","10","        Current surplus of government enterprises","W705MC1",0.4,1,1.6,1.3,1.4,2.2,3,3.1,2.9,3,2.3,3.8,3.9,2.7,3,3.3,3.2,1.8,2.5,2.6,1.1,5.1,2.9,1.1,-0.5,1.6,-0.1,1.4,0.4,-0.7,-1.2,0,4.9,0.9,-4,-1.7,3.7,3.3,2.3,3.5,4.1,5.6,10.9
"19","11","        Other \4\","M318111",-2.6,-3,-3,-3.6,-3.7,-3.7,-4.9,-5.5,-6.9,-6.3,-7.4,-8.6,-10.7,-13,-13.7,-16.9,-20.8,-18.1,-20.3,-20.2,-21.8,-22.9,-25.3,-27.3,-33.1,-35,-30.1,-30.7,-37.3,-32.9,-31.1,-36.1,-39.5,-42.7,-43.4,-48,-54,-58.7,-62.5,-73.9,-84.3,-124.7,-77.3
