"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 26, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 9:51:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Gross value added of corporate business \1\","A451RC1",576.7,597.8,646.1,716.7,802.6,869.9,944.4,1062.9,1205.1,1376.1,1529,1663,1889,1967.3,2116.7,2371.3,2526.5,2640.6,2832.6,3065.5,3229.5,3377,3467.4,3642.2,3823.2,4110.5,4357.5,4625,4978.9,5299.3,5624.5,6016.4,6034.7,6122.7,6360.7,6774.2,7297.9,7823.3,7965.6,7999,7659.9,8086.7,8493.4,8865.5
"9","2","Consumption of fixed capital","A438RC1",45.1,50,54.8,59.7,66.9,78.8,94.4,104.5,118,134.2,155.1,179.8,208.1,231.4,240.4,252.9,271.7,289.8,306.5,328.8,350.8,373,392.1,402,420.1,444.9,476.8,506,540.9,578.3,625.8,685.1,730.3,755.9,775.5,809.2,862.9,925.9,973.4,1028.5,1030.4,1026.5,1061.9,1107.5
"10","3","Net value added","A439RC1",531.5,547.7,591.3,657,735.6,791,850,958.4,1087.1,1241.9,1373.9,1483.2,1680.8,1736,1876.2,2118.4,2254.8,2350.8,2526.1,2736.7,2878.6,3003.9,3075.3,3240.2,3403.2,3665.7,3880.7,4119,4438.1,4720.9,4998.7,5331.4,5304.4,5366.8,5585.2,5965,6435,6897.4,6992.2,6970.5,6629.5,7060.2,7431.5,7758.1
"11","4","  Compensation of employees","A442RC1",378.6,400.2,425.3,472.5,533.9,587.4,614.9,695.2,784.8,901.8,1022,1120.1,1240,1293.8,1367.1,1513.9,1622.4,1720.4,1840,1980.4,2088.3,2200.6,2249.4,2375.5,2488.2,2634.8,2776,2914.9,3123.9,3396.8,3628.6,3950.7,3986.2,3980.7,4105.5,4265.9,4498.5,4743.4,4944.1,5025.9,4709.6,4807.9,5057.8,5248.9
"12","5","    Wage and salary accruals","A443RC1",338,356,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.2,855.6,935.6,1033.4,1073.1,1132.6,1256.8,1351.4,1432.3,1536.6,1656.7,1746,1838.2,1865.3,1958.4,2043.7,2163.6,2300.2,2438.6,2635.3,2868.6,3077.6,3344.4,3350.3,3294.4,3356.9,3507.8,3701.4,3930.9,4130.5,4167,3881.7,3968.6,4173.2,4335.4
"13","6","    Supplements to wages and salaries","A444RC1",40.6,44.2,49.1,57.8,69.3,78.5,86.4,104,122.1,145.6,166.3,184.5,206.6,220.7,234.4,257.1,271,288.1,303.5,323.7,342.3,362.4,384.1,417.1,444.5,471.2,475.8,476.3,488.5,528.3,551,606.3,635.9,686.3,748.5,758,797.1,812.5,813.6,858.9,827.9,839.3,884.6,913.5
"14","7","  Taxes on production and imports less subsidies","W321RC1",52.9,57,62.8,67.3,74.1,78.6,84.5,91.4,100,108.7,115,128.6,154.4,161.3,177.4,195.6,209,219.6,233.4,252,267.5,284.5,307.9,325.9,342,372.4,379.1,390.7,406.9,418.4,441.5,466.6,462.6,492.2,517.3,553.7,596.7,633.7,651.5,661,636.5,659,694.1,705.6
"15","8","  Net operating surplus","W322RC1",100,90.6,103.2,117.2,127.6,125,150.7,171.7,202.3,231.3,236.9,234.5,286.4,280.8,331.7,408.9,423.3,410.8,452.7,504.3,522.8,518.9,518,538.8,572.9,658.5,725.6,813.4,907.3,905.7,928.6,914.1,855.7,893.9,962.4,1145.4,1339.8,1520.3,1396.5,1283.7,1283.4,1593.3,1679.6,1803.5
"16","9","    Net interest and miscellaneous payments","A453RC1",7.8,11.3,11.5,11.3,13,20.7,23.4,18.8,23.3,27.5,34.9,55.9,77.7,90,86.6,98.8,96.9,106.3,107.6,107.8,130,125.8,102.6,80.6,73.5,75,64.7,69.3,94.8,142.2,139,166.6,154.2,116.2,99.4,48.6,61.6,120.4,164.2,338.7,189.8,182.6,183.4,178.5
"17","10","    Business current transfer payments (net)","W323RC1",4.4,3.9,3.5,4,5,6.6,8.6,7.9,6.3,8.2,11.3,12.6,15.1,17.7,20.3,28,31.9,29.9,25.3,26.9,34.4,34.8,34.6,35.1,32.7,33.2,37.7,44.6,35.2,53.8,54.9,73.8,87,63.5,50.9,54.9,61.6,48.4,72.6,103.2,104,109.8,108.1,104.4
"18","11","    Corporate profits with IVA and CCAdj","A445RC1",87.9,75.4,88.2,101.9,109.6,97.7,118.7,145.1,172.7,195.6,190.7,166,193.6,173.1,224.8,282,294.4,274.7,319.8,369.6,358.4,358.4,380.8,423.1,466.8,550.3,623.2,699.5,777.3,709.7,734.8,673.6,614.5,714.3,812,1041.9,1216.6,1351.5,1159.8,841.8,989.5,1300.9,1388.1,1520.6
"19","12","      Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.3,445.5,309,269.4,373.3,379,449.3
"20","13","      Profits after tax with IVA and CCAdj","W273RC1",47.9,40.6,50.1,59.6,59.6,44.9,67,79.8,98.3,110.7,100.7,78.8,109.3,106.6,144.1,184.5,195,165,189.4,228,212.4,212.9,242.2,274.4,295.7,357.1,405.4,468.1,531.9,461.3,476,408.5,411.2,522,568.3,735.8,804.3,878.2,714.3,532.8,720.2,927.6,1009,1071.3
"21","14","        Net dividends","A449RC1",20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.4,160,182.3,197.6,221.6,257.3,284,309.2,295.7,348.5,330.1,351.2,392.8,488,296.5,626.9,649.7,606.3,442.3,481,554,643.8
"22","15","        Undistributed profits with IVA and CCAdj","W274RC1",27.5,20.3,29.7,37.6,36.5,21.4,40.6,49.7,64.6,71.1,59.2,31.4,50.9,45.3,72.8,106,109.3,76.7,93.8,130,86,68.8,85.9,114.5,113.4,159.6,183.8,210.7,247.9,152.1,180.3,60.1,81.1,170.8,175.5,247.8,507.8,251.3,64.6,-73.6,277.9,446.5,455,427.5
