"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 26, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 9:57:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Government consumption expenditures \1\","A955RX1",1608.7,1615.9,1643.3,1673.5,1720.2,1750.6,1816,1897.2,1938.8,1966.9,1977.9,1997.2,2022.6,2066.8,2156.3,2175.2,2124.4,2097.5
"9","2","        Gross output of general government","W101RX1",1867,1878.8,1912.4,1951.9,2002.8,2047.9,2127.7,2212.3,2253.7,2284.7,2299.4,2320.6,2351.2,2397.2,2490,2511.1,2464,2437.5
"10","3","          Value added","W102RX1",1287.7,1289.8,1299.6,1314.3,1326.3,1349.4,1373.7,1401.4,1418.2,1426.8,1436.5,1445,1462.5,1492.3,1522.4,1532.7,1524.7,1519.8
"11","4","            Compensation of general government employees","A194RX1",1125,1124,1130.4,1141,1147.4,1165.2,1185,1208.3,1220.6,1223.5,1227.8,1230.1,1240.8,1263.8,1286.7,1290.5,1277.3,1268.3
"12","5","            Consumption of general government fixed capital \2\","A265RX1",165.4,167.9,170.9,174.6,179.5,184.5,188.8,193.3,197.7,203.3,208.7,214.9,221.7,228.4,235.7,242.3,247.8,252
"13","6","          Intermediate goods and services purchased \3\","W104RX1",584.5,593.7,616.4,640.3,678.2,699.9,754.3,810.7,835.3,857.9,863,875.6,888.7,905,967.6,978.4,939.5,918.1
"14","7","            Durable goods","W105RX1",36.9,37.4,38.6,40.7,43.8,45.1,47,48.7,50.6,53.8,54.6,57.6,61.5,67.8,71.9,72.7,69.7,68.1
"15","8","            Nondurable goods","W106RX1",148.4,151.5,159.9,171.7,178.6,187.6,203,211.6,211.1,215.3,217.6,217.4,222.1,219.7,237.1,234.8,228.5,226.5
"16","9","            Services","W107RX1",399.5,405.2,418.6,429.5,456.6,468.5,506.1,551.6,573.9,588.7,590.8,600.6,605.2,618.7,659.6,672.1,642.1,623.7
"17","10","        Less: Own-account investment \4\","W108RX1",20.2,20.1,21.2,21.5,21.6,21.7,24.1,24.3,23.5,23.6,23.8,24.3,24.4,25,25.2,23.9,22.3,21.6
"18","11","              Sales to other sectors","W109RX1",238.2,243,248,256.8,261,275.6,287.6,290.8,291.4,294.2,297.8,299,304.2,305.4,308.5,312,317,318
"19","12","Federal consumption expenditures \1\","A957RX1",625.5,614.6,615.3,602.4,610.4,616.4,642.9,685.8,731.3,759.5,765.8,776.5,782.7,830.6,881.8,918.7,897.3,880.7
"20","13","      Gross output of general government","W110RX1",640.8,629.9,627.4,615.9,621.2,628.4,653.8,696.4,742.2,770.6,779.6,788.9,793.9,843.3,895.2,933.2,913.1,892.6
"21","14","        Value added","W111RX1",435.1,423.2,415.2,410.4,407.1,410.5,412.1,420.2,431.5,435.8,438.7,438.4,441.8,459,486,503.8,507.8,505.5
"22","15","          Compensation of general government employees","B568RX1",350.3,337.5,329,324,319.5,322.2,323.4,331.1,341.4,344,344.4,341.1,341.2,354.2,376,389.4,390,385.4
"23","16","          Consumption of general government fixed capital \2\","B995RX1",87.1,86.9,86.7,86.6,87.3,88,88.4,89.1,90.2,91.8,94.3,97.3,100.7,105,110.1,114.6,118.2,120.9
"24","17","        Intermediate goods and services purchased \3\","W113RX1",212,212.2,216.7,210.3,218.1,221.8,244.2,277.3,311,334.8,340.8,350.5,352.2,384.5,409.5,429.8,405.3,386.8
"25","18","          Durable goods","W114RX1",22.7,22.8,23,23.2,24.7,24.6,24.9,26.2,28.5,31.6,32.3,35,38.2,44.7,47.7,49.1,46.7,45.6
"26","19","          Nondurable goods","W115RX1",22.6,22.2,24.6,26.6,23.2,25.6,29.8,32,34.6,38.5,40.6,39,38.8,41.5,46.2,47,46.4,45.8
"27","20","          Services","W116RX1",166.4,166.9,169,160.7,169.6,171.3,189.6,219.1,247.7,264.6,267.9,276.6,275.4,298.7,315.8,334,312.3,295.4
"28","21","      Less: Own-account investment \4\","W117RX1",6.2,5.8,5.5,5.5,5,4,5,5.1,4.9,4.7,4.6,4.6,4.4,4.7,4.9,5.1,4.9,4.4
"29","22","            Sales to other sectors","W118RX1",8.9,9.4,6.5,7.9,5.9,7.8,5.9,5.5,6,6.4,9.1,7.8,6.8,7.9,8.5,9.4,10.9,7.6
"30","23","    Defense consumption expenditures \1\","A997RX1",424.5,418.5,412.2,401.2,407.6,403.9,418.5,445.8,484.1,509.4,514.8,519.1,528,559.6,592.1,610,599,580.5
"31","24","      Gross output of general government","W085RX1",429.8,424.2,417,405.4,411.4,407.7,422.7,450.7,489.1,514.2,520.2,524.6,532.8,565,597.4,615.3,604.3,585.5
"32","25","        Value added","W086RX1",296.8,286.8,278.4,270.9,265.4,263.5,264.2,269.1,276.8,281.9,284.4,283,284.4,295.8,314.1,324.8,329.3,326.1
"33","26","          Compensation of general government employees","B237RX1",227.6,218,210.1,203.4,198.5,197.2,198.6,203.9,211.1,215,215.7,212.4,211.6,219.8,234.3,241.6,243.8,239.2
"34","27","          Consumption of general government fixed capital \2\","B432RX1",70.2,69.2,68.1,67,66.3,65.7,65.2,65.1,65.7,67,68.7,70.6,72.9,76.1,79.9,83.3,85.8,87.4
"35","28","        Intermediate goods and services purchased \3\","W087RX1",139,142.2,142.8,138.6,149,147.2,160.7,182.7,212.5,232.2,235.8,241.7,248.5,269.5,283.5,290.7,274.8,259.1
"36","29","          Durable goods","A998RX1",21.7,21.5,21.6,21.8,23.1,22.9,23.1,24,26.3,29.2,29.5,32,35.2,41.3,44,45,42.8,41.7
"37","30","          Nondurable goods","A725RX1",10.8,11.9,12,12.4,13.9,14.5,14.9,17.1,18,20.8,20.9,20.1,20.9,21.4,22.6,21.9,22.7,22.1
"38","31","          Services","A489RX1",105.6,108.3,108.7,104,111.7,109.7,122.6,141.7,168,182.3,185.4,189.6,192.5,207.3,217.5,224.4,209.5,195.5
"39","32","      Less: Own-account investment \4\","W088RX1",2.3,2.1,2,1.9,1.7,1.4,1.8,2.4,2.4,2.2,2.1,2,1.9,2,2.1,2.2,2.1,1.9
"40","33","            Sales to other sectors","W089RX1",3,3.5,2.7,2.2,2.1,2.4,2.4,2.4,2.6,2.6,3.3,3.5,2.9,3.3,3.2,3.1,3.2,3.1
"41","34","    Nondefense consumption expenditures \1\","A542RX1",201.2,196.2,203.2,201.2,202.9,212.4,224.2,239.7,247.1,250.2,251,257.5,254.7,271,289.8,308.8,298.4,300.3
"42","35","      Gross output of general government","W128RX1",211.1,205.9,210.5,210.6,209.9,220.5,230.8,245.5,253,256.5,259.4,264.3,261,278.2,297.8,318,308.8,307.2
"43","36","        Value added","W129RX1",138.9,136.8,137.2,139.8,141.8,146.9,147.9,151.1,154.6,153.9,154.4,155.5,157.3,163.3,171.9,179,178.4,179.4
"44","37","          Compensation of general government employees","W130RX1",123.4,120.1,119.4,120.8,121,124.8,124.7,127.1,130.2,129,128.7,128.8,129.6,134.4,141.7,147.8,146.2,146.2
"45","38","          Consumption of general government fixed capital \2\","B546RX1",17.2,17.9,18.8,19.7,21.1,22.4,23.3,24,24.4,24.9,25.6,26.7,27.8,28.9,30.2,31.3,32.4,33.5
"46","39","        Intermediate goods and services purchased \3\","W131RX1",72.9,69.9,73.8,71.6,69.2,74.6,83.4,94.5,98.4,102.6,105,108.8,103.6,114.9,125.9,139.1,130.4,127.8
"47","40","          Durable goods","A543RX1",1.2,1.4,1.4,1.4,1.6,1.7,1.8,2.2,2.2,2.4,2.8,3,3,3.4,3.7,4.1,3.9,3.9
"48","41","          Nondurable goods","A729RX1",11.6,10.3,12.3,13.6,9.7,11.2,14.6,14.9,16.5,17.9,19.7,18.8,17.8,20.2,23.9,25.4,23.7,23.9
"49","42","            Commodity Credit Corporation inventory change","B826RX1",-0.1,-0.1,0,0.2,0.1,0.8,0.8,0.1,-0.2,-1,-0.5,-0.1,0,-0.1,0.1,-0.1,0,0
"50","43","            Other nondurable goods","B828RX1",11.6,10.4,12.3,13.5,9.6,10.3,13.8,14.8,16.7,18.8,20.3,18.9,17.9,20.3,23.8,25.5,23.7,23.9
"51","44","          Services","A544RX1",60.7,58.6,60.3,56.7,57.9,61.6,67,77.3,79.7,82.3,82.5,87.1,82.8,91.4,98.3,109.5,102.8,99.9
"52","45","      Less: Own-account investment \4\","W136RX1",3.9,3.7,3.5,3.6,3.2,2.6,3.1,2.7,2.5,2.5,2.6,2.6,2.5,2.7,2.8,2.9,2.8,2.5
"53","46","            Sales to other sectors","W137RX1",5.9,5.9,3.8,5.6,3.7,5.4,3.5,3.1,3.4,3.8,5.8,4.3,3.8,4.6,5.3,6.4,7.7,4.5
"54","47","State and local consumption expenditures \1\","A991RX1",983,1001,1027.7,1070.8,1109.5,1133.7,1172.6,1211.3,1207.5,1207.4,1212,1220.7,1239.8,1237.1,1275.9,1258.9,1229.4,1218.9
"55","48","      Gross output of general government","W138RX1",1226.4,1248.9,1284.9,1335.7,1381.2,1419,1473.5,1515.7,1511.5,1514.1,1519.9,1531.7,1557.3,1554.8,1596.4,1580.6,1553.4,1546.9
"56","49","        Value added","W139RX1",855.1,868.4,885.6,904.6,919.5,939,961.3,980.9,986.7,991,997.7,1006.5,1020.8,1033.3,1036.7,1029.5,1017.7,1015
"57","50","          Compensation of general government employees","B251RX1",779.2,789.3,803,817.7,828,842.9,861,876.7,879.1,879.5,883.3,889,899.7,909.6,910.6,901,887.2,882.9
"58","51","          Consumption of general government fixed capital \2\","B986RX1",77.5,80.4,83.6,87.6,91.9,96.2,100.3,104.1,107.5,111.4,114.4,117.5,121,123.5,125.9,128.2,130.1,131.7
