"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of chained (2005) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 26, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 9:50:58 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","Gross domestic product","A191RX1",4258.2,4266.3,4409.5,4643.8,4912.8,4885.7,4875.4,5136.9,5373.1,5672.8,5850.1,5834,5982.1,5865.9,6130.9,6571.5,6843.4,7080.5,7307,7607.4,7879.2,8027.1,8008.3,8280,8516.2,8863.1,9086,9425.8,9845.9,10274.7,10770.7,11216.4,11337.5,11543.1,11836.4,12246.9,12623,12958.5,13206.4,13161.9,12757.9,13063,13299.1,13593.2
"9","2","Plus: Income receipts from the rest of the world","A645RX1",54.9,56.8,58.7,65.2,88.4,103.6,89.1,96.7,104.1,120.1,163.5,174,184,190.2,184.6,213.2,190.5,183.2,195.8,233,261.2,265.7,228.6,201,200.1,231.9,282.2,297.1,332.2,337.6,371,431.1,358.8,343.1,377.7,465.1,573,697.8,819.6,781.3,586.2,644.8,688.2,674.9
"10","3","Less: Income payments to the rest of the world","A655RX1",25.6,27.7,26.2,30.3,40.4,48.4,46.9,46.2,47.2,63.7,86.5,97.8,117.2,120.3,116.8,149.2,145.3,153.4,167.1,196.4,222.9,217.4,187.9,161.5,160.2,202.1,246.7,260,305.2,317.5,339.1,388.7,301.5,289.4,304.3,370.5,475.9,628,704.1,626.6,455.3,454.6,465.7,464.6
