"","Table 3#13# Subsidies Less Current Surplus of Government Enterpr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2003 11:56:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","      Subsidies less current surplus of government enterprises","1","A031RC",0.2,1.2,1.4,0.9,1.4,1.7,3,2.9,3,3.5,4.8,4.9,6.1,5.6,4.2,7.7,6.9,9.7,10.6,11,14.5,16.1,18.1,24.3,22.9,20.4,23.6,30.1,27.4,22.6,25.3,21.5,22.4,29.6,25.2,22.2,22.6,19.1,23.5,32.5,34.1,47.3
"9","Federal","2","A095RC",1.5,2.5,2.8,2.5,3,3.3,4.5,4.4,4.5,5,6.2,6.3,7.7,7,5,7.9,7.1,9.8,10.7,10.3,12.9,13.3,16.1,23.7,24,23.3,26.1,32.9,31.9,28.7,31.6,28.2,29.6,38.2,33.6,32.4,35.1,31.5,33.4,43,43.8,50.3
"10","  Subsidies","3","B096RC",1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.1,4.5,4.7,4.6,6.6,5.2,3.2,4.3,4.9,6.8,8.5,8,9.3,10.7,13.7,20.8,20.6,20.9,24.6,31,29.6,26.8,26.4,26.9,29.5,36.4,32.3,32.9,33.4,32.6,35,43.6,43.7,47.5
"11","    Agricultural","4","L31204",0.7,1.5,1.7,1.7,2.2,2.5,3.3,3.1,3.5,3.8,3.7,3.2,3.9,2.6,0.5,0.8,0.7,1.8,2.9,1.2,1.2,1.6,2.7,9.3,8.4,7.7,11.9,17.8,15.1,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,22.9,20.7
"12","    Housing","5","L31205",0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.9,1.4,1.6,2.1,2.3,2.6,3.1,3.7,4.6,5.5,6.8,8.7,9.5,10.1,11.2,11.1,11.5,12.7,14.2,15.5,17.1,18.4,20.6,22,23.6,24.5,23.6,21.6,21,19.8,20.5
"13","    Maritime","6","L31206",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0,0.1,0.2
