"","Table 3#18A# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1952 To 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 27, 2000  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2003 11:57:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967
"8","      Current receipts",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Cash receipts from the public","1","L318011A",68,71.5,71.6,67.8,77.1,82.1,81.9,81.7,95.1,97.2,101.9,109.7,115.5,119.7,134.5,153.6
"10","Less: Coverage differences","2","L318021A",1.8,1.8,2.1,2.4,2.7,2.9,2.9,3.1,3.5,4.1,3.6,4.2,4.2,4.7,5.2,6
"11","        Geographic \1\","3","L318031A",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"12","        Contributions received by Federal employee retirement plans \2\","4","L318041A",0.4,0.4,0.4,0.4,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2
"13","        Capital transfers received \3\","5","L318051A",0.8,0.9,0.9,0.9,1.2,1.4,1.4,1.3,1.6,1.9,2,2.2,2.4,2.7,3.1,3
"14","        Financial transactions","6","L318061A",0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.7,0.6,1.1,0.4,0.7,0.5,0.3,0.3,0.6
"15","        District of Columbia","7","L318071A",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
"16","        Other \4\","8","L318081A",0.1,0.1,0.4,0.5,0.4,0.2,0.3,0.1,0.3,0,0,0.1,0,0.2,0.2,0.7
"17","      Netting and grossing differences","9","L318091A",0.7,0.4,0.4,0.6,0.7,0.4,0.5,0.4,0.5,0.4,0.4,1,0.9,0.4,0.9,0.6
"18","        Taxes received from the rest of the world \5\","10","B1068C1A",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
"19","        Other \6\","11","L318111A",0.7,0.4,0.4,0.6,0.7,0.4,0.5,0.4,0.4,0.3,0.2,0.8,0.7,0.2,0.7,0.4
"20","Plus: Timing differences","12","L318121A",-1.8,-1.4,-4.5,1.2,0.7,-0.2,-3,4.6,0.5,-1.2,2.4,1.3,0.8,0.5,-1.6,-6
"21","        Corporate profits taxes","13","L318131A",-2.3,-1.9,-4.1,0.8,0.4,-0.7,-2.8,3.7,-0.3,-1.6,1.4,0.9,1.3,0.5,-1.1,-5.2
"22","        Federal and State unemployment insurance taxes","14","L318141A",-0.1,0,-0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.5,-0.1,-0.2,0,0,-0.1
"23","        Withheld personal income tax and social security contributions","15","L318151A",0.4,0.3,-0.1,0.2,0.3,0.3,0,0.5,0.6,0.2,0.3,0.4,-0.5,0.1,-0.1,0.1
"24","        Excise taxes","16","L318161A",0.1,0.1,-0.3,0.1,0,0.2,-0.1,0.1,0.1,0,0.1,0,0.1,-0.1,-0.4,-0.8
"25","        Other","17","L318171A",-0.1,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0
"26","Equals: Federal Government current receipts, national income and product accounts","18","L318181A",63.7,67.9,64.5,66.1,74.4,78.5,75.5,82.7,91.6,91.6,100.2,105.9,111.1,115.2,126.9,141
"27","      Current expenditures",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Cash payments to the public","19","L318191A",68,76.8,71.9,70.5,72.5,80,83.5,94.8,94.3,99.5,107.7,113.8,120.3,122.4,137.8,155.1
"29","Less: Coverage differences","20","L318201A",8.9,11,6.7,6.3,5.2,7.9,7.2,12.3,9.8,10.1,14,11.3,12.7,12.4,12.8,8.6
"30","        Geographic \7\","21","L318211A",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3
"31","        Federal employee retirement plan transactions \2\","22","L318221A",0.1,0.2,0.6,0.6,0.5,0.4,0.5,0.5,0.6,0.6,0.8,0.9,1.1,1.3,1.6,1.9
