"","Table 6#20C# Net Corporate Dividend Payments by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2003 12:05:55 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","      Net corporate dividends","1","B056RC0C",112217,129608,155014,165600,178437,185500,203143,234922,254207,297711,335236,348706,328398,376140,409627
"9","Domestic industries","2","A3302C0C",95654,98189,126526,144203,156416,161482,182348,196998,221634,257325,283860,309179,299591,349510,383144
"10","  Agriculture, forestry, and fishing","3","A3303C0C",301,1024,862,1124,1052,1397,1169,1577,1825,1838,2526,3375,3730,3987,4188
"11","    Farms","4","B3304C0C",210,834,671,833,798,1162,750,976,1083,1014,1662,1446,1945,NA,NA
"12","    Agricultural services, forestry, and fishing","5","B3305C0C",91,190,191,291,254,235,419,601,742,824,864,1929,1785,NA,NA
"13","  Mining","6","A3306C0C",2289,2994,3720,3986,3887,2168,2890,2821,3588,3436,4201,4242,2478,4231,5257
"14","    Metal mining","7","B3307C0C",749,498,620,417,729,345,139,424,746,504,573,238,189,NA,NA
"15","    Coal mining","8","B3308C0C",289,641,760,536,392,249,246,364,361,426,885,357,302,NA,NA
"16","    Oil and gas extraction","9","B3309C0C",689,1325,1849,2576,2538,1295,2052,1804,1989,1893,2247,1866,1201,NA,NA
"17","    Nonmetallic minerals, except fuels","10","B3310C0C",562,530,491,457,228,279,453,229,492,613,496,1781,786,NA,NA
"18","  Construction","11","B3311C0C",1148,1520,3123,3203,3924,3926,4611,5257,6791,7786,11153,12783,15460,18195,19785
"19","  Manufacturing","12","A3312C0C",27980,27526,40536,48298,50713,55373,58614,56352,61390,68331,75497,85821,71275,81785,83802
"20","    Durable goods","13","A3313C0C",10431,5730,12518,11940,13682,16451,17966,17687,21634,22167,25787,30948,27131,25626,24467
"21","      Lumber and wood products","14","B3314C0C",705,812,923,988,1253,1092,1069,1445,1677,1400,1689,1641,3089,NA,NA
"22","      Furniture and fixtures","15","B3315C0C",243,327,501,322,220,292,518,497,646,557,1178,668,845,NA,NA
"23","      Stone, clay, and glass products","16","B3316C0C",270,369,804,432,600,1091,667,933,953,1293,1387,1042,1055,NA,NA
"24","      Primary metal industries","17","B3317C0C",573,966,1792,1713,1268,2137,1145,1436,1806,1446,1455,740,1361,NA,NA
"25","      Fabricated metal products","18","B3318C0C",284,1373,1671,1513,1870,1656,1720,2659,3687,4407,4740,5956,6193,NA,NA
"26","      Industrial machinery and equipment","19","B3319C0C",1426,-1544,-1037,-762,249,1505,2730,2790,1828,428,415,-1557,1035,NA,NA
"27","      Electronic and other electric equipment","20","B3320C0C",2863,1621,3141,3117,3503,4374,3860,4021,3072,5080,5905,6586,4836,NA,NA
"28","      Motor vehicles and equipment","21","B3321C0C",2494,412,2100,2812,2581,2568,2321,1745,4079,3185,4152,10498,3992,NA,NA
"29","      Other transportation equipment","22","B3322C0C",648,427,1379,535,403,-97,1670,422,844,1446,1151,1564,1343,NA,NA
"30","      Instruments and related products","23","B3323C0C",537,395,539,420,840,1178,1869,916,2227,1643,1500,1647,907,NA,NA
