"","Table 7#7# Chain-Type Quantity and Price Indexes for Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2003 12:09:05 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","Chain-type quantity indexes",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","      Private fixed investment in structures","1","B349RA",23.47,17.6,12.46,7.19,5.65,6.87,8.47,10.94,12.96,11.54,14.29,16.16,17.99,9.98,6.64,7.37,9.45,25.69,28.24,32.17,30.25,37.95,34.76,34.34,36.28,38.58,43.45,42.97,41.47,40.52,46.7,46.15,46.5,49.95,53.58,57.67,60.4,59.29,57.56,61.87,64.32,62.3,70.41,78.35,80.52,70.1,61.81,70.02,79.72,86.49,89.03,81.16,81.48,74.43,81.35,93.13,97.09,97.46,95.94,96.14,94.93,91.11,80.13,84.49,88.25,93.56,93.19,100,105.02,112.9,116.46,120.33,119.66
"10","  Nonresidential","2","B009RA",32.96,28.2,18.15,11.13,8.65,9.74,10.79,14.15,17.95,14.36,15.15,17.2,20.43,12.63,9.18,12.02,16.2,32.01,29.12,30.64,29.62,31.75,34.15,34.04,37.06,38.33,41.09,45.39,45.37,42.64,43.65,47.12,47.76,49.91,50.46,55.71,64.59,69.02,67.26,68.21,71.89,72.12,70.94,73.12,79.08,77.43,69.32,71.02,73.97,82.66,93.08,99.23,107.09,105.47,94.53,108.03,115.92,103.43,99.69,100.95,103.42,104.95,93.38,87.7,88.39,89.14,93.39,100,109.07,116.53,114.96,122.47,120.43
"11","    New","3","B771RA",32.76,28.06,18.14,11.19,8.69,9.75,10.78,14.11,17.87,14.35,15.25,17.35,20.35,12.56,9.14,11.94,15.68,28.78,27.52,29.87,29.25,31.54,34.09,33.96,36.98,38.26,40.44,45.53,45.35,42.6,43.85,47.41,48.23,50.59,51.15,56.33,64.83,68.98,67,67.94,71.68,72.09,71.07,73.28,79.13,77.39,69.29,71.05,73.85,82.49,93.01,99.22,107.17,105.5,94.65,108.1,115.93,103.48,99.74,100.91,103.45,105.11,93.62,88.04,88.64,89.24,93.4,100,108.61,116.43,114.88,122.35,119.2
"12","      Nonresidential buildings, excluding farm","4","B306RA",26.83,21.28,13.21,7.24,6.1,6.07,6.25,8.82,11.8,8.44,8.88,10.95,14.33,5.43,1.83,2.79,7.61,21.12,16.24,17.02,15.81,18.24,21.65,20.05,22.74,25.71,29.08,34.43,34.38,32.49,33.89,38.95,41.59,44.13,44.14,49.66,60,63.36,58.79,57.57,62.34,60.94,60.04,62.42,67.34,64.54,53.38,51.78,53.78,61.67,74.88,76.81,83.89,87.83,81.87,96.51,110.13,102.53,100.78,103.49,106.57,107.84,88.29,80.01,80.96,84.69,91.45,100,109.68,116.64,114.55,118.44,109.87
"13","        Industrial","5","B307RA",46.45,28.99,13.91,5.16,12.1,11.23,9.08,14.5,23.85,11.4,12.96,21.04,34.53,12.91,5.36,7.44,21.79,47.27,40.24,29.68,21.22,23.32,41,43.8,41.86,39.18,42.89,56.32,59.77,41.2,36.74,49.79,48.71,49.18,49.35,59.29,82.02,101.99,89.75,86.3,90.77,87.68,72.51,63.24,78.22,89.13,85.63,79.2,81.31,93.74,116.3,99.08,112.89,110.19,81.11,85.31,97.05,82.86,80.79,87.14,106.7,120.55,110.74,101.42,89.51,94.27,101.77,100,98.27,102,78.89,73.61,64.66
"14","        Commercial","6","B308RA",20.78,16.57,9.7,5.82,3.68,4.36,5.35,6.95,8.27,6,6.2,7.29,7.96,2.65,0.52,0.87,3.06,14.92,9.42,12.35,10.71,12.92,12.08,8.96,14.01,17.77,24.04,27.69,24.98,25.85,28.57,30.41,34.08,37.1,35.46,37.51,45.07,43.89,42.67,46.4,52.34,51.5,56.52,62.35,66.71,62.64,46.69,45.44,49.45,58.6,72.4,80.07,85.97,90.51,85.69,109.71,131.68,121.92,116.26,118.11,116.75,110.25,82.76,74.96,77.93,83.62,91.92,100,110.4,119.59,125.44,133.99,124.42
"15","          Office buildings \1\","7","B346RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,64.94,60.8,46.69,44.26,46.3,54.48,71.67,91.41,110.66,138.03,122.96,148.07,175.2,154.69,138.03,140.23,136.61,125.95,99.37,82.94,82.81,84.58,93.91,100,119.18,141.51,152.98,171.2,154.04
"16","          Other \2\","8","B347RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.24,67.89,63.87,46.64,46.22,51.61,61.44,72.85,72.07,68.62,57.16,59.53,82.78,101.12,98.91,100.99,102.58,102.81,99.24,71.11,69.36,74.5,82.94,90.53,100,104.24,104.21,106.12,107.89,103.64
"17","        Religious, educational, hospital and institutional, and other \3\","9","B312RA",25.15,24.93,19.26,11.26,6.17,5.5,6.06,8.29,9.48,10.9,10.92,10.39,11.01,4.94,1.49,2.74,5.15,13.49,11.01,16.07,20.7,23.73,24.39,22.29,24.18,29.77,27.93,30.54,32.59,37.68,40.91,45.85,49.36,52.52,55.22,63.55,69.94,69.35,64.5,56.44,59.43,58.28,57.32,62.05,60.86,50.56,42.13,43.3,41.82,44.42,50.07,55.72,60.09,67.65,75.98,82.09,82.93,83.6,88.68,90.31,89.32,94.87,81.89,73.53,80.1,79.81,83.43,100,116.46,121.91,121.13,123.61,116.98
"18","      Utilities","10","B313RA",64.04,63.52,43.94,25.15,16.69,19.64,21.51,28.08,33.23,28.81,32.7,35.43,38.4,34.76,30.15,38.35,39.83,46.07,58.74,66.6,68.06,66.08,67.42,69.06,73.53,65.65,62.14,71.3,72.52,66.92,63.79,64.49,59.76,60.1,64.53,70.07,77.12,87.87,94.3,105.24,105.43,112.83,113.99,118.85,126.31,118.95,108.75,119.99,119.09,126.31,130.37,130.34,132.85,124.84,108.16,111.94,112.62,115.2,96.9,93.18,98.19,91.55,107.87,115.86,106.49,100.09,102.11,100,97.83,118.59,126.85,139.89,139.52
"19","        Railroads","11","B573RA",248.78,245.45,171,99.28,83.52,103.98,104.93,124.69,134.9,100.71,115.16,125,139.69,148.55,176.68,219.08,212.43,176.04,162.63,160.04,149.65,133.55,144.58,155.36,148.37,121.36,112.2,119.2,109.91,79.61,72.89,74.61,63.94,64.23,72.19,76.8,81.2,91.88,83.52,96.79,98.54,83.99,87.21,90.49,94.9,95.6,81.67,102.15,109.03,128.2,126.69,116.14,111.55,99.91,92.72,106.53,121.19,88.27,74.24,68.67,74.72,71.81,65.3,78.76,77.92,81.24,83.24,100,108.28,124.97,107.09,96.39,94.95
