"","Table 5#1# Gross Saving and Investment","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2003    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2003 11:59:12 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","    Gross saving","1","A929RC",19.2,14.9,8.2,3.1,3.1,6.2,9.5,11.3,16.1,11.6,13.5,18.3,29.7,39.8,44.8,39.8,29.6,38.9,46.8,58.3,45.6,60.3,74.8,73.8,74.6,72.7,87.4,98.6,99,90.1,105.8,110.9,113.9,124.6,132.8,143,158.1,169.1,171.1,183.3,199.8,194.3,211.4,241.6,294.6,304,298.4,342.7,398.2,481.6,544.9,555.5,656.5,625.7,608,769.4,772.5,735.9,810.4,936.2,967.6,977.7,1015.8,1007.4,1039.4,1155.9,1257.5,1349.3,1502.3,1647.2,1704.1,1807.9,1662.4,1572.9
"9","Gross private saving","2","A126RC",15.7,12.4,8.5,3,2.8,6.2,9.2,11.1,12.5,9.7,12.1,15.2,23.6,43.5,51.3,56.3,46.9,31.6,29.5,43.8,41.1,45.6,54,57.6,58.9,60,66.5,73.9,78,78.8,84.2,84.4,91.5,100.4,104.3,117.6,129.4,138.5,150.8,153.7,157,174.3,202.6,217,256.4,270.7,323.5,344,383.1,439.1,487.8,537.8,631.7,681.6,693.8,824.8,833.4,806.5,838.3,943,955.1,1016.2,1098.9,1164.6,1159.4,1199.3,1266,1290.4,1343.7,1375,1356.1,1372.1,1399.3,1594.8
"10","  Personal saving","3","A071RC",3.9,3.2,2.6,-0.4,-0.7,0.6,2.6,4.3,4.5,1.5,3.4,4.5,11.7,29,34.9,39,31.4,16.3,8.1,14.1,10,15.2,19.7,20.6,21.3,19.8,19.5,25.4,26.8,28.2,26.5,26.4,31.9,33.5,33.1,40.5,42.7,44.5,54,52.7,52.6,69.5,80.1,76.9,102.5,114.3,125.2,122.1,125.6,145.4,165.8,205.6,243.7,262.2,227.8,306.5,282.6,267.8,252.8,292.3,301.8,334.3,371.7,413.7,350.8,315.5,302.4,272.1,252.9,301.5,174,201.5,169.7,291
"11","  Undistributed corporate profits with inventory valuation and capital consumption adjustments","4","A127RC",3.4,1,-1.8,-3.3,-2.9,-1,0,0,0.6,0.4,1,2.6,2.9,4.4,6,7,4.8,2.7,5.9,11.4,11.1,8.6,9.3,10.4,9.5,11,16,14.1,13.8,11.9,17.5,16.3,16.8,22.6,25.2,28.6,34.9,37.6,35.4,33.6,29.8,23,32.4,41.1,44.8,29.5,49.1,57.3,73.1,82.9,77,49.6,64.1,61.9,93.2,124.7,128.3,88,107.3,138.3,99.2,102.4,119.2,124.4,142,151.6,203.6,232.7,261.3,189.9,229.6,152.6,122.7,139.9
"12","    Undistributed profits","5","B057RC",3.4,-2,-4.2,-4.4,-0.8,-0.2,0.4,1,1.3,0.2,2.4,3.6,6.3,6.4,7,6.9,4.7,10.3,14.4,16.4,12.2,16.5,13.7,12.3,12.5,12.4,17.4,17.2,15.9,12.4,17.5,15.5,14.8,17.9,19.5,22.7,28.9,32.1,29.1,29.3,27.2,21.9,29.7,38.6,55,61.8,60.9,75.4,91.2,110.6,124.6,102.6,86,56.2,70.5,81,61,30.6,75.3,115.2,80.2,95.3,104.1,122.9,141.9,151.8,203.3,205,220,133.6,185.9,146.8,61.2,17.6
"13","    Inventory valuation adjustment","6","B058RC",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,8.4,18.3,-4.2,-15,5,-6.9
"14","    Capital consumption adjustment","7","A059RC",-0.5,-0.3,0,0,0.1,-0.2,-0.2,-0.3,-0.7,-0.8,-0.7,-0.8,-0.9,-0.8,-0.3,0.4,0.7,-2.3,-2.5,-2.9,-2.9,-2.9,-3.2,-2.8,-2,-1.1,0.3,-0.4,-0.5,-0.3,0.3,1,1.7,4.6,5.6,6.4,7.2,7.6,7.9,8,8.5,7.6,7.3,9,9.4,5.9,-1.2,-4,-2.4,-4,-7.4,-10.8,2.7,13.3,30.2,47.7,67.2,50.3,48.2,45.3,35.3,19.9,10.2,4.3,4.1,12.2,18.6,24.6,32.9,38,47.9,20.8,56.5,129.1
"15","  Corporate consumption of fixed capital","8","B128RC",5,4.9,4.6,4.1,3.8,4,4,4.1,4.5,4.7,4.6,4.8,5.4,6.2,6.1,6.1,6.2,7.5,8.9,10.4,11.4,12.2,14,14.9,15.8,16.6,17.6,19.8,21.9,22.8,23.7,24.7,25.2,26.2,27.2,28.7,30.8,33.7,37.1,41.1,45.6,50.5,55.4,60.9,66.8,78.5,94,104.5,117.5,134.5,156.4,181.1,210.1,233.4,244.4,260.2,280.9,302.1,320.8,344.3,370.6,391.1,411.2,427.9,448.5,482.7,512.1,543.5,581.5,620.2,665.5,721.1,789.1,827.5
"16","  Noncorporate consumption of fixed capital","9","B129RC",3.4,3.4,3.1,2.6,2.5,2.6,2.6,2.7,3,3.1,3.1,3.2,3.6,4,4.1,4.3,4.5,5.2,6.7,7.9,8.7,9.5,10.9,11.7,12.2,12.7,13.4,14.6,15.4,16,16.5,17.1,17.6,18.1,18.7,19.7,21,22.6,24.3,26.4,29,31.4,34.4,38.5,42.3,48.4,55.2,60,66.9,76.2,88.5,101.5,113.7,124,128.3,133.4,141.7,148.7,157.4,168.1,183.4,188.4,196.8,214.3,211.6,231.9,231.5,238.5,250.9,264.2,281.8,296.8,317.7,336.4
