"","Table 7#11# Chain-Type Quantity and Price Indexes for Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2003    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2003 12:10:20 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","Chain-type quantity indexes",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","    Government consumption expenditures and gross investment \1\","1","B822RA",7.75,8.53,8.9,8.61,8.3,9.35,9.63,11.18,10.77,11.58,12.64,12.83,21.31,50.01,74.54,84.08,73.21,25.29,21.6,23.13,25.83,25.84,35.16,42.56,45.54,42.4,40.82,40.85,42.67,44.04,46.52,46.51,48.75,51.69,52.91,53.95,55.64,60.63,65.2,67.27,66.99,65.48,64.26,64.34,63.87,65.04,66.28,66.34,67,69.07,70.4,71.8,72.44,73.56,76.02,78.65,83.72,88.28,90.89,91.95,94.48,97.56,98.69,99.16,98.37,98.46,98.91,100,102.35,104.32,108.34,111.29,115.36,120.46
"10","Federal","2","B823RA",3.55,3.94,4.08,4.16,5.11,6.88,7.03,10.72,9.74,10.74,11.57,12.51,33.22,102.01,161.79,185.15,158.67,42.88,31.88,34.3,37.49,35.34,58.41,76.67,82.7,71.75,65.1,63.99,66.27,66.23,70.91,68.81,71.46,77.38,77.16,75.85,76,84.59,92.84,93.69,90.57,84.21,78.24,76.53,72.77,72.47,72.47,71.63,72.89,74.82,76.63,80.31,84.08,87.13,92.61,95.5,102.79,108.45,112.45,110.41,111.88,114.16,113.8,111.95,107.6,103.71,100.92,100,99.62,98.84,101.16,102.42,107.33,115.37
"11","  National defense","3","B824RA",2.78,2.98,3,3.01,2.91,2.59,3.15,3.75,3.77,3.93,4.3,7.44,40.37,147.3,240.74,275.58,236.74,57.01,38.4,38.6,40.33,39.65,76.03,102,108.29,92.61,83.51,82.92,86.44,86,88.19,86.49,90.02,95.29,92.88,88.86,87.28,99.9,112.64,114.65,109.24,100.03,89.85,85.39,79.86,77.91,76.96,75.35,75.92,76.51,78.69,81.99,86.98,93.46,99.79,104.57,113.32,120.44,126.1,125.15,124.18,124.15,122.8,116.83,110.57,105.28,101.37,100,97.4,95.67,97.71,97.66,102.51,112.04
"12","    Consumption expenditures","4","B997RA",3.65,3.81,3.7,3.75,3.53,3.04,3.84,4.04,3.92,4.19,4.71,7.2,29.33,105.87,195.3,242.23,231.42,70.57,48.13,45.84,45.66,46.42,78.46,102.38,106.93,93.06,86.72,86.95,92.87,90.82,88.88,89.43,91.14,97.43,98.42,95.43,96,108.74,122.61,128.16,123.11,112.55,103.71,97.01,90.27,87.39,84.94,83.1,83.63,84.43,85.32,88.53,93.35,99.49,104.39,107.61,114,119.07,123.42,124.4,123.17,122.28,122.19,115.95,111.16,105.99,102.09,100,98.72,96.12,97.67,97.27,102.17,111.46
"13","      Durable goods \2\","5","B998RA",0.18,0.13,0.34,0.45,0.58,0.49,0.48,0.99,1.01,1,1.38,2.17,36.55,220.24,409.73,445.54,468.94,13.35,8.37,18.85,23.8,40.97,95.61,176.96,198.19,143.23,119.02,112.71,117.53,121.07,100.36,82.06,67.43,82.8,82.09,68.34,78.91,110.22,114.1,135.11,114.94,104.86,77.32,79.48,68.89,56.56,71.82,62.33,78.5,89.88,95.14,96.98,110.4,121.26,145.89,148.45,160.67,170.76,180.3,180.5,170.1,159.36,157,142.35,131.34,111.78,100.43,100,101.02,101.79,108.19,108.05,116.02,120.85
